name;01;02;03;04;05
ZINC000130461122;-7.066955;-7.237708;-6.744361;-6.9342713;-7.2613277
ZINC000130461312;-6.866419;-7.093611;-6.6331334;-6.8837323;-7.2010536
ZINC000130483548;-7.0511374;-7.1791525;-7.0929465;-7.0857244;-7.612884
ZINC000130483748;-7.040043;-7.0708523;-6.995422;-7.1367044;-7.594352
ZINC000426348748;-6.901374;-6.6460037;-6.36095;-6.3473115;-6.425538
ZINC000426348747;-6.928692;-6.759137;-6.6077156;-6.540911;-6.487406
ZINC000130595331;-6.9929314;-7.3203936;-6.959017;-7.190541;-7.590914
ZINC000130595132;-7.1658382;-7.4738026;-7.0101204;-7.162218;-7.6431503
ZINC000428461390;-5.953671;-5.823537;-5.8255444;-5.7576447;-5.738768
ZINC000428461384;-6.2020264;-6.0911803;-6.389408;-5.8906784;-5.6898875
ZINC000461089970;-7.0862694;-7.0027223;-6.3230247;-6.5317535;-7.3872685
ZINC000461089971;-6.976629;-6.7170057;-6.0863085;-6.483837;-7.029981
ZINC000461089972;-7.0138426;-6.931993;-6.220085;-6.81705;-7.3226104
ZINC000461089973;-6.9296646;-7.1210723;-6.566446;-6.792572;-7.5783195
ZINC000480659199;-5.937005;-6.4611163;-6.204773;-6.007924;-6.0837493
ZINC000480659201;-6.0391293;-6.3759875;-6.186556;-5.981079;-5.85958
ZINC000480659200;-6.0268793;-6.555154;-5.937504;-5.968145;-6.1190653
ZINC000462334669;-6.730608;-6.7594237;-6.900295;-6.7691593;-6.9553027
ZINC000462334671;-7.6414022;-7.1547413;-7.3053718;-7.175332;-7.1525736
ZINC000462466526;-7.5983295;-7.63816;-7.0812936;-7.392228;-7.6962366
ZINC000462466524;-7.639858;-7.7883472;-7.078985;-7.37886;-7.5211706
ZINC000090665227;-6.7737265;-6.7654552;-6.4331594;-6.6078563;-7.119578
ZINC000090665431;-7.19065;-7.3243723;-6.7173448;-7.163641;-7.462086
ZINC000090665226;-6.6907616;-6.581848;-6.6949396;-6.620196;-7.327656
ZINC000090665225;-6.117275;-6.777705;-6.002993;-6.6353393;-6.78573
ZINC000090665429;-6.5648446;-7.4334307;-6.4654207;-7.0384555;-7.2065134
ZINC000090665430;-7.226873;-7.1894197;-6.8613753;-7.2196865;-7.6312885
ZINC000090664543;-6.215511;-6.463906;-5.9155455;-6.4177184;-6.367413
ZINC000090664547;-6.6573434;-6.671661;-6.337391;-6.514778;-6.7707863
ZINC000090665228;-6.6099815;-6.8349;-6.314722;-6.6065626;-6.795701
ZINC000090664550;-6.236542;-6.656999;-5.894863;-6.296274;-6.4076977
ZINC000090664545;-6.533015;-6.6580653;-6.536951;-6.718137;-7.008546
ZINC000090665432;-7.011821;-7.4895964;-6.404783;-7.00495;-7.2454834
ZINC000545267919;-6.517746;-6.4565153;-6.843007;-6.507664;-6.802416
ZINC000545267920;-6.519723;-6.625783;-6.5032907;-6.4490047;-6.7273836
ZINC000186452835;-6.4292173;-6.4719887;-6.1210823;-6.22569;-5.900393
ZINC000186452845;-6.1124954;-6.2026987;-5.897738;-6.041019;-5.946959
ZINC000186452819;-6.6215534;-6.369097;-6.411982;-6.0312037;-6.0022373
ZINC000186452802;-6.258503;-6.3338327;-5.9260883;-6.0397167;-5.882202
ZINC000340308469;-7.5239434;-7.1676655;-7.1308303;-7.180438;-7.598295
ZINC000340308470;-7.4399233;-7.00255;-7.323922;-7.2402167;-7.796022
ZINC000340308471;-7.0601854;-7.259764;-7.1837516;-7.2620716;-7.379689
ZINC000340308472;-6.77886;-7.2143664;-6.825944;-7.2968464;-7.3281317
ZINC000433021147;-6.3392572;-6.531684;-6.2299156;-6.368228;-6.373228
ZINC000433021146;-6.1888304;-6.3647118;-6.3674664;-6.3026366;-6.4088707
ZINC000433027752;-6.156442;-6.382738;-6.0781527;-6.145758;-6.499592
ZINC000433027753;-6.3315344;-6.393652;-6.2082825;-6.213087;-6.429256
ZINC000439461357;-7.8800673;-7.5021415;-7.256416;-7.4213743;-7.669727
ZINC000439461355;-7.730443;-7.5060797;-6.987565;-7.2882767;-7.483938
ZINC000181574135;-6.773156;-6.6757255;-6.9473557;-7.12559;-7.427951
