name;01;02;03;04;05
ZINC001058255664;-6.4110746;-6.986316;-6.668491;-6.1736445;-6.584277
ZINC001281614306;-8.825023;-8.125878;-8.196477;-8.161888;-7.7659426
ZINC001002788222;-8.267064;-7.6114364;-7.3991113;-7.5382023;-7.68709
ZINC001098366014;-7.106803;-5.8603935;-5.3578157;-6.177173;-5.48474
ZINC000444398808;-6.5498533;-6.8338284;-5.3991838;-6.53686;-6.262795
ZINC001019975783;-7.381875;-7.3741436;-6.1226683;-7.2864895;-7.201706
ZINC001020138869;-8.094992;-8.631759;-7.813144;-8.329732;-7.375437
ZINC001020138785;-7.5025187;-7.8754826;-6.7065225;-7.723505;-6.293493
ZINC001020138840;-7.7682905;-8.221628;-7.334481;-8.027516;-7.2605076
ZINC001020139889;-7.487133;-8.145194;-7.3285646;-8.256429;-7.0686793
ZINC000444398809;-6.05951;-6.648323;-5.2516646;-6.661407;-6.059083
ZINC001020156534;-7.1112247;-7.1890454;-5.8174853;-7.314649;-6.7115765
ZINC000377888863;-6.716824;-6.8771873;-5.950217;-6.550531;-6.4499116
ZINC000266539892;-6.320611;-6.709753;-6.094367;-6.696034;-6.8556447
ZINC000339806996;-5.9552703;-6.289348;-6.677581;-6.4652233;-6.9526634
ZINC001167069130;-7.574491;-7.510951;-7.7364187;-6.948831;-7.442044
ZINC001167069132;-7.5424714;-7.7208486;-7.521345;-6.9468985;-7.692032
ZINC000440653755;-7.3181725;-7.423522;-6.2374105;-6.568802;-6.494089
ZINC000440653752;-6.8807173;-6.973807;-6.408469;-6.6473193;-6.420448
ZINC001131828307;-7.279503;-7.458913;-6.660735;-8.008715;-6.999778
ZINC001131828303;-8.14688;-7.6287856;-7.03611;-8.426437;-7.6061873
ZINC001020480083;-7.431922;-7.6492195;-7.2868166;-8.061514;-7.3590503
ZINC001131832065;-7.086985;-7.0909867;-6.554768;-7.227801;-6.432578
ZINC001196575993;-7.164815;-6.7100253;-6.063321;-6.476715;-6.9742603
ZINC001196575994;-7.6950026;-6.9191184;-6.404768;-6.5991297;-6.8741355
