name;01;02;03;04;05
ZINC000257227622;-6.501211;-5.8910694;-6.5172896;-5.8673196;-6.378185
ZINC000137233931;-7.0805945;-6.468503;-7.3990865;-6.815678;-6.929435
ZINC000008299747;-7.1781306;-7.2254634;-6.958163;-6.853591;-7.000276
ZINC000008298038;-7.6187963;-7.7806754;-7.837039;-7.727494;-7.5336556
ZINC000016321039;-6.170338;-6.2797837;-5.88754;-6.3583593;-6.4362874
ZINC000100998424;-6.170338;-6.2797837;-5.88754;-6.3583593;-6.4362874
ZINC000575623580;-5.9420233;-6.7311697;-6.2443566;-6.337734;-6.2648897
ZINC000575623579;-6.185696;-6.5207543;-6.2812247;-6.0131154;-6.4897594
ZINC000096063147;-6.249709;-6.4362087;-6.030786;-6.0319576;-6.145595
ZINC000257268597;-6.1585793;-6.6673985;-6.34521;-6.3605633;-6.277311
ZINC000257250688;-6.0849814;-6.9905066;-6.66234;-6.3997955;-6.382519
ZINC000257293752;-7.1975346;-7.383762;-6.369975;-6.7875986;-6.411536
ZINC000067897669;-7.258581;-6.4451385;-7.499979;-6.66461;-7.0030227
ZINC000067897669;-6.9756513;-6.4612775;-7.617364;-6.468424;-6.967216
ZINC000019690757;-5.8620415;-5.442903;-4.8621826;-5.6842785;-6.0015063
ZINC000514289083;-6.842935;-6.3741035;-6.635211;-6.8051972;-6.703171
ZINC000514288875;-6.111289;-6.819433;-6.4138494;-6.475691;-6.6227994
ZINC000514289568;-6.0798593;-6.912851;-6.539292;-6.399138;-6.3684483
ZINC000514288551;-6.699856;-6.8503475;-6.943737;-7.093441;-7.2673807
ZINC000514289107;-7.1074147;-6.5800195;-6.551429;-6.7813134;-6.1206865
ZINC000514289013;-6.53233;-6.454277;-6.271785;-6.0817566;-6.2890377
ZINC000514288905;-7.3426585;-6.956188;-7.0583925;-6.9289813;-6.6463923
ZINC000514288549;-7.1607537;-7.3971386;-6.9744306;-6.8397884;-7.4017196
ZINC000514288411;-7.417452;-7.4206376;-7.3022084;-6.790447;-7.318865
ZINC000514289345;-7.414588;-6.8538594;-7.180885;-7.397476;-7.085436
ZINC000514289405;-7.8974285;-7.4629717;-7.579081;-7.2528076;-7.5397162
ZINC000253601946;-7.014729;-6.3774633;-6.826623;-6.714556;-7.010948
ZINC000253601946;-5.8985815;-5.5665436;-6.0281835;-5.9779577;-6.1933627
ZINC000253601946;-7.044021;-6.2755494;-6.32335;-6.565683;-6.8801603
ZINC000253601944;-7.5288606;-6.3320975;-7.084396;-6.8401785;-7.0242925
ZINC000253601944;-7.698247;-6.34282;-6.6295323;-6.7322984;-7.1126595
ZINC000253601944;-6.6964564;-6.5084367;-6.144048;-6.584431;-6.5528126
ZINC000107768811;-6.732874;-6.4199533;-6.726086;-6.8717933;-6.8964696
ZINC000107768811;-7.140867;-6.465357;-6.224821;-6.5310416;-7.4673586
ZINC000107768811;-6.8811903;-6.1661696;-6.6153846;-7.0437565;-6.0828924
ZINC000096218999;-6.3665867;-6.584195;-6.437715;-6.290619;-6.3896585
ZINC000017224175;-5.686166;-5.728563;-5.6663375;-6.1719575;-5.69888
ZINC000225960014;-6.1267886;-6.0344276;-5.4096403;-5.6180286;-6.1485286
ZINC000575405244;-6.526452;-6.5251575;-6.696159;-6.534388;-6.2139354
ZINC000226075780;-7.12139;-6.62418;-5.346235;-6.098187;-6.165235
ZINC000575405215;-6.8382974;-6.7299204;-6.4441404;-6.3898454;-6.048186
ZINC000575406571;-7.502102;-7.606303;-7.592559;-7.4467163;-7.3068147
ZINC000575406913;-7.9084644;-7.38043;-6.592751;-7.631467;-7.1965218
ZINC000575406912;-7.778805;-7.2269254;-6.4561396;-7.403817;-7.0740366
ZINC000083261403;-5.3598814;-4.940795;-5.3508377;-5.3843393;-5.060026
ZINC000100343824;-6.4998875;-6.6784277;-5.579323;-6.6138554;-6.0755625
ZINC000043771810;-5.828442;-6.6035075;-6.2334585;-5.687543;-6.310932
ZINC000100856796;-7.808402;-8.0112915;-7.6735387;-8.010572;-7.7523265
ZINC000575426706;-6.6385794;-6.0972447;-5.912958;-6.5524006;-7.0318546
ZINC000575426705;-6.3464923;-6.2433214;-6.0745277;-6.6428723;-6.9421644
ZINC000100998420;-6.331719;-6.9688077;-6.458484;-6.356223;-6.958496
ZINC000257203702;-6.2521048;-6.8200345;-6.1785703;-6.6931944;-6.7614546
ZINC000257203701;-6.1179867;-6.86425;-5.8352995;-6.581902;-6.655265
ZINC000257205645;-6.597922;-6.540489;-6.669307;-6.459958;-6.832261
ZINC000020465683;-5.510497;-6.3219466;-5.8854284;-5.680324;-6.2789893
ZINC000257206217;-5.48858;-6.3151045;-6.3950534;-6.1100683;-6.122211
