name;01;02;03;04;05
ZINC000832668773;-6.8234982;-7.156445;-6.663745;-6.862362;-6.991632
ZINC001228973787;-5.7562685;-6.3298297;-6.612452;-6.245293;-6.2161226
ZINC001228973786;-6.0539937;-5.745918;-6.2545443;-6.366907;-6.38303
ZINC001228974626;-6.122278;-5.8915033;-6.335839;-6.6546354;-6.8150434
ZINC001228973788;-5.876573;-6.1098843;-6.673075;-6.3712444;-6.3442683
ZINC001228973779;-6.29001;-5.656627;-6.304099;-6.518672;-6.2994847
ZINC000833279459;-7.227435;-7.407162;-7.477859;-7.3349447;-7.633918
ZINC000833682883;-7.2236824;-6.5269117;-6.265805;-6.1809187;-6.649594
ZINC000833683099;-7.080746;-6.974369;-6.7666893;-6.6662235;-6.9041886
ZINC000274940769;-6.1420236;-6.6131563;-6.598086;-6.501429;-6.7053804
ZINC000833950508;-8.047509;-7.540901;-6.67653;-7.133162;-7.267517
ZINC000833950507;-7.964632;-7.407024;-6.611566;-7.0733895;-7.1640973
ZINC000834001500;-7.566588;-7.212308;-7.164004;-7.2034245;-7.1334996
ZINC000834051329;-7.3201475;-7.1335106;-6.8608785;-6.779327;-7.06993
ZINC000274965109;-6.4138784;-6.3579707;-6.522639;-6.505777;-6.47872
ZINC001229394844;-6.8665857;-5.9327374;-6.6615067;-6.836932;-6.326129
ZINC001229394850;-6.8417892;-6.0660295;-6.585595;-6.6725874;-6.2376695
ZINC001229394853;-6.485187;-6.747978;-6.897553;-6.725154;-6.364541
ZINC001229394851;-6.796796;-6.4172325;-6.6926684;-6.749572;-6.3097076
ZINC000342473429;-6.6316195;-7.059739;-6.8912973;-7.5529084;-6.9475284
ZINC000277701992;-6.840656;-6.929348;-6.714796;-6.7107005;-7.0203705
ZINC000424239063;-6.504325;-6.585471;-6.343994;-7.288379;-6.9247293
ZINC000424239075;-7.515347;-6.893513;-7.0456347;-7.4495106;-7.627419
ZINC001229754814;-6.6527348;-6.8794484;-6.2983227;-6.408036;-6.790913
ZINC000424246039;-6.8458023;-6.126621;-6.7789564;-7.290605;-7.0062504
ZINC000424246040;-7.2001305;-6.4729915;-6.750631;-7.2671266;-7.326602
ZINC000274933978;-7.505637;-6.9598427;-6.826349;-6.487556;-6.74014
ZINC000278313077;-7.7217255;-6.8862576;-7.957537;-6.8704095;-7.530026
ZINC000298673648;-5.61074;-5.9345064;-6.390079;-6.7146673;-6.551169
ZINC000274994265;-6.616397;-6.7569265;-6.9051714;-6.4616313;-6.6661415
ZINC000274900458;-6.9418993;-6.845383;-7.314514;-6.631585;-6.928606
ZINC000356570935;-7.3978953;-7.455919;-7.8320045;-8.216733;-7.5940003
ZINC001589496631;-7.366208;-7.2029424;-7.602993;-7.9363217;-7.695634
ZINC001589496630;-6.913727;-7.14431;-7.566284;-7.5733933;-7.4325013
ZINC000274900459;-6.568264;-6.6207004;-6.8713527;-6.531494;-6.4425187
ZINC001230231969;-7.3370767;-7.175981;-7.1990647;-7.8598332;-7.5421104
ZINC000387160121;-6.5277877;-6.8589506;-6.6248693;-6.603901;-6.8441916
ZINC000319422371;-7.174522;-6.457549;-6.8687243;-6.8375807;-7.139787
ZINC000319467988;-7.5889997;-7.0920196;-7.959537;-7.318673;-7.293566
ZINC000319532215;-6.931224;-6.266103;-6.689192;-6.436265;-7.108708
ZINC000319532225;-6.7852836;-6.17744;-6.8034673;-6.4127035;-7.1213303
ZINC000274947478;-6.5033374;-5.981009;-6.145871;-5.865442;-6.527314
ZINC000264450731;-5.9935308;-6.5320473;-6.736878;-6.57519;-6.443283
ZINC000320043723;-7.222374;-6.5862465;-6.746267;-6.8306575;-7.0674133
ZINC000619470863;-6.0458794;-6.1772738;-6.4831505;-6.3417606;-6.047991
ZINC000343944232;-7.0535207;-7.188963;-6.9382544;-6.823163;-7.000272
ZINC000343944231;-6.969139;-6.8758693;-7.3196807;-6.847349;-6.911284
ZINC000343944235;-7.0689898;-6.8518167;-6.727696;-7.2345862;-7.097805
ZINC000274885351;-6.5654855;-7.191811;-6.744185;-6.6123524;-6.3988037
ZINC000554538049;-7.5356;-6.5917873;-5.379974;-6.1331053;-6.3915377
ZINC001230601234;-6.6651506;-6.6152287;-6.533126;-6.598569;-7.0333357
ZINC000436628609;-7.3664913;-7.4182186;-7.574318;-8.063734;-7.3383183
ZINC000278789739;-6.705474;-6.900019;-6.6646476;-6.8101177;-6.8976097
ZINC000436988506;-6.9760528;-7.0426946;-6.759777;-7.7662306;-6.6682014
ZINC000436971404;-7.5628667;-7.4115095;-7.60102;-8.056206;-7.2699184
ZINC000275035161;-7.1936855;-6.603934;-6.7676706;-7.1157465;-7.237611
ZINC000275035165;-7.105213;-6.52104;-6.687125;-7.0700355;-7.118947
ZINC000274925358;-6.7825785;-6.362066;-6.770223;-6.7969437;-6.5940375
ZINC000274921578;-6.48839;-6.1741304;-5.9332457;-5.26872;-5.619644
ZINC000274921580;-6.189909;-6.3591456;-6.019907;-5.549719;-6.08786
ZINC001231263574;-6.1530757;-5.6593037;-6.11321;-6.3679066;-6.061209
ZINC001231263576;-6.2272234;-5.664694;-6.1262264;-6.298565;-5.9618554
ZINC001231263575;-6.0812798;-5.5133014;-6.1811705;-6.3790874;-6.080001
ZINC001231263573;-6.3473864;-5.4485893;-6.2246966;-6.2718;-6.0505624
ZINC001231264880;-6.125173;-5.6557307;-6.139893;-6.549131;-6.4375753
ZINC001233554594;-6.365003;-5.9862194;-5.1409235;-5.885714;-5.7244015
ZINC001233554607;-6.732108;-6.33363;-5.5348544;-6.3768516;-6.358263
ZINC001233554604;-6.4202023;-5.99997;-6.1712956;-6.701591;-6.290975
ZINC001233554606;-6.511062;-5.8993926;-6.0686812;-6.3729367;-5.985853
ZINC000863406694;-7.938754;-8.117716;-7.240252;-7.2512865;-7.2866273
ZINC000863406693;-7.928941;-7.306161;-7.1508946;-7.342904;-7.3799286
ZINC000863410110;-7.2893386;-6.317972;-6.7248707;-6.921971;-6.726379
ZINC000863416046;-7.059907;-6.2279468;-6.2898445;-6.654227;-6.9878464
ZINC000863410109;-7.576592;-6.509933;-6.5136766;-7.174546;-6.7581587
ZINC000863953161;-7.3799086;-7.2153554;-6.7814307;-7.0873933;-7.154049
ZINC000863952983;-6.546785;-7.0243325;-6.228117;-6.0725136;-6.7736707
ZINC000863953574;-7.1141167;-7.050205;-7.0500746;-6.477667;-6.9856315
ZINC000863957275;-7.209703;-7.490436;-7.484562;-7.692557;-7.550394
ZINC000863956847;-7.1159673;-7.1146393;-7.145426;-6.753873;-6.957238
ZINC000863956279;-7.7573223;-7.5732217;-7.1546087;-7.095848;-7.3029394
ZINC000863955619;-7.3546505;-7.6470537;-7.2738395;-6.7022767;-6.851238
ZINC000863957274;-7.0261407;-7.176825;-7.5451884;-7.4365683;-7.0034556
ZINC000863962864;-7.021367;-7.000065;-7.284194;-7.178571;-7.2413936
ZINC000863965182;-6.9523163;-7.2543974;-6.71984;-6.820014;-7.3006816
ZINC000863965294;-7.7624702;-7.80338;-7.2035685;-7.3139925;-8.162045
