name;01;02;03;04;05
ZINC001262044767;-6.19365;-6.713125;-6.105155;-6.7577252;-6.65788
ZINC001262044766;-6.2324424;-6.82101;-6.0269074;-6.9127607;-6.6434436
ZINC001118957840;-7.3761554;-7.1486535;-7.085233;-6.943058;-7.4445467
ZINC000842191402;-7.007597;-7.10128;-7.092161;-6.361912;-6.708996
ZINC000842190184;-6.9007444;-6.8305845;-6.8960195;-6.504562;-6.711816
ZINC000842190185;-6.877863;-6.9652433;-7.2028008;-6.5289526;-6.5999155
ZINC000842192382;-7.0595036;-7.2173376;-7.3099594;-6.6903386;-7.0284276
ZINC000842192378;-6.9669113;-7.2610655;-7.2597146;-6.8336306;-7.1194596
ZINC000839169066;-6.645594;-6.6426744;-6.443006;-6.7863164;-6.662852
ZINC000839170987;-7.115356;-7.481481;-6.8883595;-6.9497647;-6.687026
ZINC000839170979;-6.8615236;-7.3107305;-7.1851807;-7.1394744;-6.9045496
ZINC000839170991;-6.996854;-6.802691;-7.0350294;-7.043337;-6.7438483
ZINC000839170989;-7.088118;-7.06332;-7.2952514;-6.932006;-7.0083704
ZINC000843298356;-7.1109495;-7.3595104;-7.3615894;-6.894426;-6.8179035
ZINC000843298360;-7.1359577;-7.231889;-7.30959;-6.8902936;-6.8597527
ZINC000843489229;-5.789487;-6.5990624;-6.30327;-6.3077564;-6.164017
ZINC000844173953;-6.9485974;-7.494916;-7.1793194;-7.662092;-7.3525357
ZINC000844217744;-7.0834756;-6.0998793;-6.504624;-6.2093735;-6.2946167
ZINC001180613033;-7.2488337;-8.17075;-7.9131694;-7.572363;-8.32164
ZINC001139411654;-6.6454577;-6.768933;-6.2456775;-6.507105;-6.591367
ZINC001139411655;-6.5308924;-6.9103;-6.4242473;-6.684745;-6.487058
ZINC001317405854;-6.9409704;-6.9827347;-6.9989367;-6.795185;-7.6474757
ZINC000748362444;-6.1153755;-6.057649;-5.730114;-5.9127254;-5.983916
ZINC001220490028;-6.7748876;-6.885439;-6.874548;-7.0075216;-6.969308
ZINC000846934666;-5.8946;-6.4943695;-6.0091853;-5.8255467;-5.8485603
ZINC001330184577;-6.807051;-6.493764;-6.974968;-6.755319;-6.774708
ZINC001330184578;-6.8038163;-6.4861746;-6.9704676;-6.757638;-6.772161
ZINC001342095949;-6.1988053;-6.31463;-6.446973;-6.135713;-6.033508
ZINC001342095947;-6.224654;-6.411665;-6.4422636;-6.030651;-6.0744696
ZINC000910999536;-6.9860477;-6.3344803;-6.542112;-5.9215755;-5.8658805
ZINC000910999540;-6.7142463;-5.8661404;-6.11502;-5.8697066;-5.8160787
ZINC001275115946;-6.419682;-5.569135;-5.1216273;-5.733896;-5.6576242
ZINC000848613484;-7.7122393;-7.0693336;-7.1373596;-6.9676266;-6.7151504
ZINC000848930142;-7.3173466;-6.653542;-7.0748215;-6.646621;-6.7371774
ZINC001358052392;-6.8147044;-7.130301;-6.317718;-6.7767453;-6.818433
