name;01;02;03;04;05
ZINC000264885438;-7.4959507;-7.4239283;-7.065812;-7.1978197;-6.770851
ZINC000984859060;-8.603617;-8.6334;-7.2901764;-7.8875504;-7.926269
ZINC000422977582;-7.8300056;-7.6483517;-7.826516;-8.110151;-7.8836465
ZINC000530665364;-8.568258;-7.941217;-8.067999;-7.8166146;-8.250441
ZINC000530665365;-8.786965;-7.931263;-7.9044023;-7.9378624;-8.239112
ZINC000366127773;-8.46578;-8.442074;-8.269409;-8.44611;-8.349154
ZINC000591577155;-8.59644;-8.619752;-8.172883;-8.597897;-8.439759
ZINC000863556097;-8.249513;-8.02156;-7.691228;-7.523903;-7.8988757
ZINC000366127772;-8.647264;-8.564508;-8.235308;-8.663442;-8.466097
ZINC000591577154;-8.584318;-8.713656;-8.018604;-8.709051;-8.525727
ZINC000842482819;-7.1594796;-7.6439433;-8.237328;-7.406807;-6.70518
ZINC000842481825;-8.534544;-7.5089717;-8.024039;-7.784902;-7.7253838
ZINC000530880597;-7.083461;-7.2838163;-7.4627323;-7.0648193;-7.797694
ZINC000531118520;-7.6860504;-7.5582833;-7.7142253;-7.110718;-7.842266
ZINC000531340871;-8.571018;-7.5936527;-7.2532797;-7.7067733;-8.108533
ZINC000531340868;-8.327289;-7.640578;-7.412484;-7.624643;-8.024892
ZINC000531357094;-7.9790936;-8.2955;-8.254711;-7.754223;-8.324045
ZINC001167186905;-7.6883173;-7.601063;-8.18864;-8.096925;-8.000568
ZINC000930072314;-7.331089;-7.903557;-6.8526154;-7.2727227;-7.3176785
ZINC000072630349;-7.9206448;-7.107278;-7.0770884;-7.4764934;-7.620453
ZINC000072630348;-8.138544;-7.9284215;-6.462332;-7.715256;-7.7886143
ZINC000173533956;-8.737524;-8.198739;-7.425612;-8.497584;-8.477973
ZINC000173533942;-8.406396;-8.17962;-7.2861185;-8.325624;-8.482658
ZINC000843356456;-8.926198;-8.657759;-8.76909;-9.055513;-8.672968
ZINC000174839433;-7.9890947;-8.487913;-7.0899897;-7.5048237;-8.077517
ZINC001167674769;-7.794654;-7.7975063;-7.8415837;-7.6400647;-7.8546963
ZINC000299467805;-7.7739954;-8.118179;-8.146303;-8.563085;-8.624389
ZINC000591745275;-8.405443;-8.228893;-6.063546;-8.104227;-7.6718087
ZINC000591745276;-8.030565;-8.066084;-6.259326;-8.066065;-7.8294888
ZINC000264957348;-7.2793007;-7.9352856;-7.309442;-7.2084575;-7.5976872
ZINC000520799586;-7.874387;-7.6846113;-6.840215;-8.044538;-7.694194
ZINC000520799587;-8.163907;-7.61038;-6.6182337;-8.121431;-7.6894445
ZINC000566910032;-7.663687;-7.0650787;-6.7243557;-7.4532566;-7.038394
ZINC000566910031;-7.5442476;-7.438905;-6.750108;-7.526991;-7.2495203
ZINC000602612759;-8.978585;-8.991866;-8.668887;-8.953323;-8.567282
ZINC000602617243;-8.526997;-8.2427025;-7.1986303;-7.7724166;-7.9488306
ZINC000602612760;-8.87563;-8.579889;-8.411291;-8.9135895;-8.568753
ZINC000546880927;-7.8992624;-8.447067;-8.144449;-8.279537;-8.183125
ZINC000521612180;-8.366467;-7.6977;-6.5787206;-7.93625;-7.892858
ZINC000521863031;-8.284924;-7.9383116;-7.2903395;-8.481243;-8.101305
ZINC000521863030;-8.464727;-8.033317;-6.9183464;-8.545333;-8.096786
ZINC000521863032;-8.234782;-8.114317;-6.875994;-8.344914;-7.9252043
ZINC000358041107;-8.083042;-8.566119;-8.352935;-8.373505;-7.9591794
ZINC000358041105;-8.05808;-8.577898;-8.190919;-8.176594;-7.9918942
ZINC000521863029;-8.034602;-7.939864;-6.9120235;-8.283324;-8.001668
ZINC000358049878;-9.258297;-8.516496;-8.594284;-7.7639313;-8.208315
ZINC000358049887;-8.957751;-8.754877;-8.095317;-8.378416;-8.616256
ZINC000358049889;-8.772045;-8.908387;-8.186363;-8.562807;-8.522822
ZINC000358049882;-9.198027;-8.775121;-8.110366;-8.2247925;-8.133988
ZINC000602778484;-7.7089415;-7.8426533;-7.7196417;-7.70839;-8.133332
ZINC000176224206;-8.268385;-8.737016;-7.8949056;-7.550933;-8.083692
ZINC000602778488;-8.115175;-7.640059;-7.6001387;-7.450796;-8.19055
ZINC000302141682;-7.3861246;-7.6750526;-7.4050837;-7.536058;-8.061405
ZINC000431172285;-7.459253;-7.4885106;-6.965054;-7.8264995;-7.6490164
ZINC000431172286;-7.4201503;-7.826476;-6.878216;-7.7702894;-7.5635376
ZINC000537519031;-7.296856;-7.596546;-8.261959;-7.657691;-7.1486893
ZINC000304287091;-8.09572;-7.9739733;-6.74534;-7.8388085;-7.945902
ZINC000304334085;-8.019325;-7.957022;-6.9156303;-8.103143;-8.513784
ZINC000304287093;-8.001159;-7.2879143;-7.1384916;-7.498024;-7.74942
ZINC000304334082;-8.092531;-7.8074174;-6.912286;-8.456942;-8.332338
