name;01;02;03;04;05
ZINC000736317620;-6.2713814;-6.4228797;-6.211068;-6.5984;-6.598975
ZINC000834057202;-7.6436887;-7.7576838;-7.5867457;-7.471039;-7.454648
ZINC000548198811;-6.3179235;-6.559933;-6.104102;-7.043248;-6.3984
ZINC000834069269;-6.9347615;-7.727562;-6.381831;-6.6707916;-7.573917
ZINC000834079012;-7.28242;-7.298186;-7.126828;-7.3317833;-7.3533154
ZINC000534783480;-7.9174905;-7.6685314;-7.3766394;-7.0990705;-7.350485
ZINC000736663559;-6.828224;-7.2271423;-6.471078;-6.6852593;-7.4073815
ZINC000736665149;-6.595161;-6.8685746;-6.730391;-7.1289167;-7.243184
ZINC000834095366;-7.1336756;-7.2119946;-6.944372;-7.223874;-7.628456
ZINC000548292440;-6.942755;-7.455723;-6.9778895;-8.113031;-7.050721
ZINC000760117434;-6.6415253;-6.4479194;-6.50268;-6.984393;-7.1319113
ZINC000736863214;-6.7836714;-7.2549257;-6.126229;-6.4653525;-6.730825
ZINC000736863212;-6.7802696;-7.113458;-6.2221937;-6.436447;-6.7461123
ZINC000834155532;-7.1731195;-7.480712;-7.0535164;-7.083663;-6.5901265
ZINC000270416473;-7.3664684;-6.6365056;-7.379856;-7.060467;-7.606933
ZINC000356808277;-8.008771;-7.9245067;-7.9309883;-8.111062;-8.276645
ZINC000834194926;-8.315147;-8.67564;-7.9299126;-7.8762894;-8.106839
ZINC000548553452;-7.6874957;-8.014016;-8.210171;-8.292328;-7.2245197
ZINC000542859178;-7.6125555;-8.427074;-7.74864;-8.0171795;-7.590977
ZINC000843296163;-6.743234;-6.44099;-6.425481;-7.0827665;-7.1465635
ZINC000843296164;-6.4776697;-5.901287;-6.46211;-7.0236044;-7.1768556
ZINC000843305142;-6.681541;-6.468732;-6.7145305;-6.644072;-6.812186
ZINC000837286945;-6.3222213;-6.6069884;-6.385709;-6.2244477;-6.6633825
ZINC000837286946;-6.2861414;-6.602133;-6.373979;-6.212577;-6.651164
ZINC000837286957;-5.7928495;-6.2997503;-6.010645;-6.398357;-6.1917095
ZINC000837286956;-5.8367934;-6.4220734;-6.397268;-6.340086;-6.3050785
ZINC000837287266;-5.804117;-6.206873;-6.115117;-5.92388;-6.4740486
ZINC000837287269;-5.9792724;-6.969143;-6.4039598;-6.6491227;-6.508167
ZINC000837287267;-5.929242;-6.139702;-6.1300163;-6.042127;-6.6158304
ZINC000737855820;-7.164304;-7.184194;-7.1533885;-7.329684;-6.7820983
ZINC000837292988;-6.144636;-6.7802296;-6.6232853;-6.6677003;-6.529247
ZINC000837292984;-6.1885796;-6.7296305;-6.5504246;-6.6289005;-6.549447
ZINC000837292990;-6.264353;-6.7587934;-6.791473;-6.7399306;-6.753742
ZINC000837292986;-6.265438;-6.757258;-6.7922335;-6.7407603;-6.7465754
ZINC000837294096;-6.531154;-7.1594095;-6.498558;-6.468944;-7.0898604
ZINC000339192477;-7.4313297;-7.44982;-7.128386;-7.6174445;-7.7425632
ZINC000580718024;-7.4508333;-7.630466;-7.3157673;-7.750553;-7.229741
ZINC000580718021;-7.533685;-7.617085;-7.1320214;-8.03795;-7.176242
ZINC000339205212;-7.5363693;-7.2711625;-7.231014;-7.9434586;-8.074128
ZINC000275076610;-6.3288593;-7.4624743;-6.530075;-6.9521174;-6.8448973
ZINC000275076611;-5.9984546;-7.207296;-6.584015;-6.981952;-6.8397975
ZINC000563229781;-5.8679996;-6.0078135;-6.467194;-6.466158;-6.7081704
ZINC000275160956;-6.175213;-5.7464013;-5.763043;-6.149273;-6.1729603
ZINC000414334531;-5.4796;-6.368931;-6.0906262;-5.824323;-6.2705746
ZINC000547885389;-7.7521043;-8.003338;-7.100653;-7.8672943;-7.1160984
ZINC000270545744;-7.2420683;-7.1469707;-7.469631;-7.453603;-7.7019873
ZINC000548227347;-6.7656574;-6.6327753;-6.134701;-7.2236695;-7.0171685
ZINC000548227348;-6.8935513;-6.5851254;-6.2502666;-7.3106747;-7.177804
ZINC000548241223;-7.659413;-7.8785787;-7.4451036;-7.910725;-7.411908
ZINC000548241222;-7.445528;-7.8167825;-7.3360124;-7.8554344;-7.3422894
ZINC000548524982;-6.3847575;-6.716633;-6.8079624;-6.94306;-6.636737
ZINC000548524981;-6.3423367;-6.6786227;-6.8062015;-6.993383;-6.639967
ZINC000548524779;-7.659208;-7.2200766;-7.023238;-7.5620823;-7.0579395
ZINC000548524778;-7.41098;-7.106845;-7.021968;-7.476274;-6.9979644
ZINC000548552649;-6.794016;-6.335718;-6.3322997;-6.3107634;-6.675417
ZINC000548552654;-6.951393;-6.3660727;-6.1843615;-6.2614517;-6.5567665
ZINC000339728185;-7.9615726;-8.0805435;-8.223674;-8.288817;-8.624197
ZINC000548771014;-6.9667687;-7.4282527;-6.724033;-7.5817957;-6.7880387
ZINC000548771017;-7.6633883;-7.596208;-6.910445;-7.7313633;-7.1713686
ZINC000548771015;-7.5809937;-7.652789;-7.0478754;-7.6583214;-7.2455087
ZINC000548991116;-7.103575;-7.1977305;-7.008367;-7.477652;-6.5553045
ZINC000548991115;-6.91123;-7.3169684;-6.7529416;-7.14207;-6.6306453
ZINC000548990923;-7.1782494;-7.120053;-6.771417;-7.3656287;-6.5821333
ZINC000548991112;-6.796194;-7.076657;-6.8108854;-7.044121;-6.5624995
