name;01;02;03;04;05
ZINC000003308165;-6.296736;-6.5781546;-6.716545;-6.891062;-6.836546
ZINC000101306595;-7.2747087;-7.2948318;-6.5270457;-6.8794966;-7.014299
ZINC000019201878;-7.09525;-7.133361;-7.152554;-7.3308434;-7.1552534
ZINC000006684814;-6.939289;-6.482004;-5.551742;-6.458075;-6.336003
ZINC000033927873;-8.24368;-7.806186;-7.322133;-8.144776;-8.117965
ZINC000019418358;-6.4293637;-6.472106;-6.968626;-6.4259796;-6.90933
ZINC000035183093;-8.160724;-7.842021;-8.11917;-8.152754;-8.309142
ZINC000205998425;-5.376337;-4.878424;-5.3368797;-4.960002;-4.7068176
ZINC000009189449;-7.1194077;-6.662458;-6.526907;-7.3363037;-6.6523023
ZINC000225852532;-7.4069057;-7.4684353;-7.4895883;-7.4578824;-7.6008806
ZINC000036108076;-6.554998;-6.5840683;-7.540362;-7.7031875;-7.111129
ZINC000016282404;-6.173997;-6.649134;-6.6543655;-6.441629;-6.4850655
ZINC000254704515;-8.222608;-8.014082;-7.6085253;-8.1251;-7.9907293
ZINC000254867885;-7.1313806;-7.614217;-7.261404;-7.148613;-7.1941442
ZINC000101153854;-7.010769;-7.5436783;-6.6044016;-7.091572;-6.940592
ZINC000008044815;-7.5301;-6.3007116;-6.395543;-6.8458257;-7.095252
ZINC000008217243;-5.7900357;-5.9132857;-6.140065;-5.987326;-6.206143
ZINC000008381740;-6.514617;-7.3289704;-7.1715913;-7.4648676;-7.472041
ZINC000100150434;-6.3414125;-6.2314034;-6.087336;-6.3493404;-6.0240045
ZINC000100217784;-7.592371;-7.2618837;-7.3072147;-7.424941;-7.2130356
ZINC000100217786;-7.2204466;-7.030084;-7.6188526;-7.5020776;-7.096219
ZINC000008653158;-6.070366;-6.6901097;-5.881693;-6.682558;-6.175192
ZINC000036542273;-6.7083883;-5.8542047;-6.116144;-6.196831;-6.3591523
ZINC000104168914;-6.3945475;-6.2017746;-6.5074387;-6.0230303;-6.6430106
ZINC000008816306;-8.441596;-8.340546;-7.6462283;-7.8867326;-8.5668745
ZINC000100530564;-7.4833393;-7.1325836;-7.1062894;-7.350971;-7.5498137
ZINC000100367801;-6.872636;-6.5561953;-6.5294023;-6.652232;-6.816812
ZINC000009189451;-6.5984325;-6.6384854;-6.004133;-7.5547314;-6.543521
ZINC000101160085;-6.799462;-6.7453866;-6.6066914;-6.3745365;-6.423168
ZINC000101306586;-7.245689;-6.99893;-6.558731;-6.7377334;-6.841594
ZINC000101306601;-7.196813;-6.7672086;-6.68605;-6.6987677;-6.880911
ZINC000101306591;-7.0283422;-7.071131;-6.107583;-6.748192;-6.8365016
ZINC000004150947;-6.331236;-6.193118;-6.202125;-5.984938;-6.5845017
ZINC000012503102;-6.52797;-6.363585;-6.3633304;-6.5116215;-6.5193257
ZINC000096524672;-5.789983;-5.202475;-5.7723403;-5.4946184;-5.329379
ZINC000096524671;-5.7349033;-5.1665373;-5.816755;-5.375833;-5.331801
