name;01;02;03;04;05
ZINC001599445469;-6.5247536;-6.63865;-6.7787127;-6.998347;-6.7841682
ZINC001599445471;-6.817241;-6.918231;-6.866934;-7.205298;-7.0758724
ZINC001261029425;-5.898181;-6.373957;-6.305998;-6.5479803;-6.5132914
ZINC000319602564;-6.540353;-7.015876;-6.8062906;-7.0232267;-6.979967
ZINC001600283852;-6.683608;-7.178333;-6.4869604;-6.256848;-6.967661
ZINC000738607542;-6.9854226;-7.90204;-7.363906;-7.3354707;-7.2752647
ZINC000738607542;-7.4048395;-7.6087637;-7.6784306;-7.3889666;-7.319216
ZINC000738463809;-5.9508247;-6.5015206;-6.1720843;-6.3949094;-6.540493
ZINC001600360410;-6.424225;-6.7416744;-6.9229684;-7.1183767;-6.9650726
ZINC001326187808;-6.7009983;-7.3603635;-7.2023787;-7.3326964;-7.3961473
ZINC000288312990;-4.9783044;-5.793724;-5.9177403;-5.8179064;-5.547261
ZINC000730732594;-6.2221804;-6.1703405;-5.812684;-5.9462543;-6.0633574
ZINC000730732592;-6.04214;-6.1484933;-5.7795043;-6.0862293;-6.031499
ZINC001600528718;-7.451889;-7.788212;-7.4683294;-7.3903575;-7.4067903
ZINC001600528719;-7.201745;-7.906436;-7.5444393;-7.325277;-7.45289
ZINC000740307425;-8.304065;-8.352444;-7.9017467;-8.287494;-8.099036
ZINC000740307425;-8.196612;-8.379979;-8.062837;-8.212754;-7.8125076
ZINC000740307424;-8.470293;-8.471756;-8.013211;-8.069955;-7.977931
ZINC000740307424;-8.0670805;-8.397697;-7.8903737;-7.993182;-7.9768095
ZINC000013463987;-6.298053;-6.2337584;-6.6657786;-6.511675;-6.3824825
ZINC001600728125;-6.850236;-6.985006;-7.3813095;-7.3243814;-7.3892775
ZINC001184692578;-6.56887;-6.5366592;-7.1400275;-7.0839605;-6.6204486
ZINC001184696322;-6.4589972;-6.392454;-6.7574406;-6.8876376;-6.636773
ZINC001184698225;-6.0487595;-6.9026666;-7.1679244;-7.1438003;-6.75073
