name;01;02;03;04;05
ZINC000097235653;-8.584645;-8.20989;-8.613852;-8.448574;-8.285725
ZINC000330032890;-6.994283;-6.6689696;-6.889964;-6.6139774;-7.2477727
ZINC000330031858;-7.2972655;-6.981238;-7.2699523;-7.1403255;-7.2169256
ZINC000019213928;-7.6479154;-8.3046665;-8.508764;-8.643652;-8.5057125
ZINC000003317519;-6.705929;-7.3841267;-6.401942;-6.519171;-7.260876
ZINC000019213930;-7.4326196;-8.461066;-8.277989;-8.466452;-8.749993
ZINC000019348810;-7.8627234;-8.319098;-8.38583;-8.312857;-8.284465
ZINC000019234939;-7.920216;-8.3497305;-8.532685;-8.704764;-8.580229
ZINC000019575084;-7.935496;-8.544591;-7.631539;-8.070766;-8.133512
ZINC000019583289;-8.040723;-8.508073;-8.298782;-8.4583;-8.532297
ZINC000019575086;-7.990423;-8.601523;-7.648488;-7.8909807;-8.123855
ZINC000019348812;-7.8257027;-8.075014;-8.391415;-8.357475;-8.377145
ZINC000065867875;-8.691411;-8.572526;-8.437614;-8.508057;-8.551839
ZINC000096208163;-7.622081;-7.7628565;-7.2512016;-7.3893013;-7.1179104
ZINC000019366536;-8.974331;-7.969603;-7.925065;-8.239418;-8.071456
ZINC000253596937;-7.0676656;-6.9679317;-6.5545483;-7.1113486;-6.714827
ZINC000253596938;-7.627092;-7.379787;-7.282602;-7.166793;-7.1551814
ZINC000108528221;-8.094711;-7.2794485;-7.652233;-7.4573817;-7.682662
ZINC000108528225;-8.228352;-7.2839775;-7.8017664;-7.3312273;-7.605538
ZINC000195267095;-7.1542177;-7.2364035;-7.272144;-7.1989;-7.2710667
ZINC000019583286;-8.022685;-8.638788;-8.404372;-8.501337;-8.660397
ZINC000019592021;-8.116934;-7.569172;-7.8948393;-7.437183;-7.3812237
ZINC000090891684;-7.9213243;-7.9385557;-7.790678;-8.187906;-8.202243
ZINC000090882483;-7.803944;-7.4921227;-7.446612;-7.6735125;-7.736249
ZINC000078552977;-8.770749;-8.040649;-7.804489;-8.307142;-7.548591
ZINC000078552419;-7.9525027;-7.695222;-7.8451476;-7.4550157;-7.8102016
ZINC000078553024;-8.305189;-8.35831;-8.797766;-8.674892;-9.097915
ZINC000078553313;-7.3091135;-7.7174263;-8.059586;-7.9227824;-7.662781
ZINC000078553350;-6.386051;-6.5178747;-6.9370737;-6.6179934;-6.94683
ZINC000078553310;-7.2685213;-7.6324186;-7.727792;-7.8621173;-7.456866
ZINC000195529648;-8.155165;-8.188675;-7.9263887;-8.214158;-8.128401
ZINC000195529647;-8.54095;-8.426761;-8.095265;-8.1534;-8.455761
ZINC000100177579;-8.883725;-8.340503;-7.972171;-8.882385;-8.789569
ZINC000195557229;-8.085993;-7.8297853;-8.171795;-8.100086;-7.6492014
ZINC000093132909;-7.9393477;-8.0697975;-8.19026;-7.8817973;-7.975559
ZINC000195557233;-7.6042385;-7.3016043;-7.9211674;-7.205583;-7.5614376
ZINC000195560495;-9.1112995;-9.181389;-9.305119;-8.990592;-9.186105
ZINC000195560447;-7.7187114;-7.6548324;-8.038231;-7.4639087;-7.74638
ZINC000195560530;-7.3827443;-7.5193343;-7.973967;-7.7090583;-8.239857
ZINC000195560532;-8.501496;-8.089226;-8.803086;-8.297672;-8.565456
ZINC000195560450;-7.956018;-8.035796;-7.5483418;-7.7769985;-7.985797
ZINC000195560492;-8.560128;-8.869332;-8.943885;-9.037668;-9.003077
ZINC000195560497;-8.457824;-8.55278;-8.686853;-8.656599;-8.963391
ZINC000195565169;-8.685215;-9.233306;-7.91779;-8.762957;-8.535765
ZINC000195565171;-8.210402;-9.73609;-7.666091;-8.980649;-8.244608
ZINC000195564555;-8.074347;-7.943688;-7.2289424;-7.594344;-7.7351
