name;01;02;03;04;05
ZINC000006870531;-7.556745;-6.954844;-6.8667736;-7.3576317;-7.236143
ZINC000225724002;-8.275941;-8.758362;-8.21298;-8.294993;-8.848535
ZINC000079350285;-8.477689;-7.9638085;-7.7669177;-7.544492;-7.840963
ZINC000068604058;-5.91862;-6.2578096;-5.645847;-6.210531;-6.1858315
ZINC000043148533;-8.900542;-9.295981;-8.063296;-8.734023;-8.442072
ZINC000043148535;-8.647563;-9.296287;-8.032931;-8.591609;-8.525591
ZINC000110613676;-8.080829;-7.6931663;-7.755956;-7.3950753;-7.4508
ZINC000078440882;-7.304199;-7.857205;-8.270374;-7.7380457;-7.793681
ZINC000021639679;-8.043802;-9.199244;-8.646277;-9.016359;-9.13294
ZINC000078552905;-9.340585;-8.673512;-8.444661;-8.185805;-8.680263
ZINC000225237909;-7.488555;-7.880598;-7.7854986;-8.142434;-8.02179
ZINC000225244739;-7.937841;-8.471538;-7.8106136;-8.019759;-8.433818
ZINC000004028399;-8.294664;-8.086243;-7.6220846;-7.752505;-7.792689
ZINC000004404214;-7.491457;-6.9848623;-7.619999;-7.663497;-7.6318145
ZINC000226778169;-7.9206214;-7.588862;-7.344014;-7.3580465;-7.511565
ZINC000004073352;-8.138602;-7.8649225;-7.2061496;-7.225319;-7.4977865
ZINC000226778032;-7.4573274;-7.6204023;-7.6951075;-7.4646244;-7.46483
ZINC000226777942;-7.234557;-7.4641085;-7.454455;-7.4609013;-7.4270473
ZINC000024237695;-8.21263;-9.266324;-9.0276785;-8.896065;-9.256009
ZINC000007924921;-9.046362;-9.3017025;-8.716154;-8.750217;-8.784399
ZINC000007924933;-8.559427;-8.829191;-8.354831;-8.405155;-8.437639
ZINC000001596116;-6.116085;-6.1289096;-6.2458196;-6.3470073;-6.4005804
ZINC000008011578;-7.4210634;-8.32276;-7.9088383;-8.23663;-7.93811
ZINC000010111110;-8.100169;-8.70349;-8.528799;-8.373767;-8.175982
ZINC000174249159;-8.115633;-8.147875;-7.9671197;-7.9797807;-8.01639
ZINC000010313870;-9.081391;-9.325901;-8.756414;-8.867322;-8.886986
ZINC000078979791;-7.8328695;-8.749618;-7.664494;-8.019043;-7.6204457
ZINC000058138019;-7.635294;-7.7576876;-7.2238665;-7.7606907;-7.6813555
ZINC000058140303;-7.5062895;-8.063725;-7.35126;-7.4140472;-7.2441974
ZINC000058157843;-7.6428614;-7.6102324;-7.1516504;-7.623911;-7.1860776
ZINC000058171172;-7.878276;-7.7907295;-7.4239135;-8.15967;-7.8431435
ZINC000182816171;-8.465557;-8.148439;-8.032911;-8.136263;-8.309207
ZINC000193015661;-8.501356;-7.9392915;-7.9811172;-8.191973;-8.985971
ZINC000193015674;-8.490604;-7.988136;-7.988536;-8.198651;-8.944153
ZINC000010543023;-8.382308;-8.662608;-8.494264;-8.390416;-8.528001
ZINC000004416259;-7.70782;-7.4503636;-6.7963266;-6.7170906;-7.359475
ZINC000008474626;-7.342313;-7.6112423;-7.3874807;-7.779759;-7.555175
ZINC000095422273;-8.49601;-8.300226;-8.345074;-8.44051;-8.924497
ZINC000095422275;-8.564152;-8.192901;-8.346112;-8.448754;-8.89129
ZINC000095422276;-8.433318;-8.593484;-8.226856;-8.33824;-8.960944
ZINC000095422274;-8.587615;-8.468965;-8.133405;-8.360014;-8.936448
ZINC000008494677;-7.611338;-7.9885893;-7.6303844;-8.004491;-7.999504
ZINC000000217346;-8.164756;-8.6458845;-7.833678;-8.376012;-7.796043
ZINC000079350277;-8.306651;-8.252689;-7.6096954;-7.805832;-8.045068
ZINC000031962389;-7.514861;-7.0789804;-7.6142817;-6.985502;-7.367088
ZINC000038853842;-9.326008;-9.511429;-8.743783;-9.020131;-8.655557
ZINC000038853844;-9.278257;-9.773836;-9.590153;-9.288086;-9.027399
ZINC000004610443;-8.093295;-8.135645;-7.4375286;-7.5019007;-7.595662
ZINC000039745740;-9.079121;-9.426361;-9.141751;-9.1048565;-8.749037
ZINC000046374478;-9.452804;-9.871908;-9.260396;-9.317613;-9.725227
ZINC000046374505;-8.729314;-9.107811;-8.43578;-8.56987;-8.629389
ZINC000100751255;-6.783781;-7.3473516;-6.6237917;-6.7507067;-6.866176
ZINC000100751258;-7.3546453;-7.3426695;-6.590681;-6.8468213;-6.791102
ZINC000130742162;-7.998728;-7.738533;-7.2260656;-7.176108;-7.55336
ZINC000252463206;-7.3546453;-7.3426695;-6.590681;-6.8468213;-6.791102
ZINC000040086930;-8.324208;-8.364257;-8.026697;-8.459736;-8.215248
ZINC000054992201;-7.967641;-8.042552;-8.2834635;-7.924469;-8.170004
ZINC000054992204;-7.2039022;-7.065438;-7.9166393;-7.6594377;-7.54705
ZINC000040095651;-8.256158;-8.954724;-8.80013;-8.178152;-8.244911
ZINC000040095675;-7.9752083;-9.088424;-8.361918;-8.67951;-8.383016
ZINC000022006229;-7.9145784;-7.641986;-7.575186;-7.758301;-7.8115053
ZINC000040157215;-7.370649;-7.2072487;-7.318283;-7.5071826;-7.425131
ZINC000245232050;-7.9805365;-7.843206;-7.418997;-7.324869;-7.722329
ZINC000245231348;-7.9236;-7.878274;-7.4983926;-7.5180917;-7.3351865
ZINC000245231350;-7.782217;-7.8838115;-7.474958;-7.2150064;-7.349202
ZINC000245231347;-8.245233;-7.581187;-7.1650405;-7.415669;-7.2717915
ZINC000245232051;-7.7058682;-8.087499;-7.663233;-7.5039487;-7.687038
ZINC000245231349;-7.763491;-7.7461724;-7.7303314;-7.5160527;-7.3030386
ZINC000245232052;-7.9466534;-7.9261527;-7.1408253;-7.4218388;-7.7005334
ZINC000245232053;-8.091623;-8.136258;-7.438785;-7.502852;-7.5965776
ZINC000010543025;-8.491585;-8.665505;-8.343261;-7.986853;-8.423474
ZINC000004886590;-8.320411;-8.495222;-7.605532;-8.165911;-7.9402742
ZINC000096410275;-8.544806;-8.337353;-8.600782;-8.986832;-8.653209
ZINC000096419454;-8.062246;-7.9284;-7.846762;-7.9584546;-7.48798
ZINC000096419450;-7.5252476;-7.750819;-7.508679;-7.2119813;-7.3997636
ZINC000096419455;-8.229893;-8.288045;-7.548492;-7.755559;-7.96774
ZINC000096419451;-8.059805;-7.988085;-7.570861;-7.5514183;-7.649748
ZINC000001648464;-5.84659;-6.438685;-6.3525085;-5.897345;-6.2274604
ZINC000001648463;-5.480393;-6.412157;-5.8794613;-5.9846544;-6.0251546
ZINC000047264959;-7.4759007;-8.416315;-7.726748;-7.7688346;-8.265201
ZINC000000343975;-7.9466534;-7.9261527;-7.1408253;-7.4218388;-7.7005334
ZINC000096479359;-9.52013;-8.997396;-9.746092;-9.5165205;-9.335175
ZINC000096479363;-9.388827;-9.40628;-8.848177;-8.243114;-9.1637
ZINC000096479361;-9.3397665;-8.933188;-8.940991;-8.594467;-9.089882
ZINC000096483415;-9.35481;-8.83769;-9.53955;-9.453669;-9.744498
ZINC000096483413;-9.315486;-8.740848;-9.441747;-9.286177;-9.710163
ZINC000096490849;-7.850239;-7.3536773;-7.6073384;-8.007992;-8.329851
ZINC000096490851;-7.7149215;-7.500101;-7.8232822;-8.212955;-8.389652
ZINC000078338378;-6.763805;-6.913788;-6.9770756;-7.0433025;-7.0390234
ZINC000078338379;-7.6358175;-7.6233;-7.402524;-7.6450944;-7.6074176
ZINC000036394281;-8.027266;-8.796619;-8.705923;-8.771279;-8.404353
ZINC000005390213;-7.2587023;-7.2035213;-7.0568895;-7.0303836;-7.2831635
ZINC000041690120;-7.495297;-7.570132;-7.2246337;-6.775484;-7.209611
ZINC000100822836;-7.664078;-7.4471726;-7.2569227;-7.2731333;-7.217348
ZINC000100824579;-6.785215;-7.0667667;-7.1635633;-6.9418406;-6.6625414
ZINC000013613107;-7.745293;-8.506713;-8.407393;-8.155717;-8.187631
ZINC000013613330;-8.164321;-8.756799;-8.593033;-8.415286;-8.443884
