name;01;02;03;04;05
ZINC000008768814;-7.212413;-7.3560076;-7.07961;-7.4159794;-7.4478197
ZINC000008913810;-8.368084;-8.927994;-8.171652;-8.571199;-8.433306
ZINC000206825930;-6.4789906;-6.345857;-6.237477;-6.4411616;-6.274725
ZINC000000314086;-7.7162676;-7.8032265;-7.3457966;-7.7218184;-7.6454954
ZINC000000450297;-7.4251156;-7.81258;-7.28145;-7.8496222;-7.9200315
ZINC000000459258;-6.578315;-6.9167557;-6.938926;-6.474416;-7.1632767
ZINC000000452766;-6.548255;-6.204925;-6.2372723;-6.0616;-6.410343
ZINC000000452767;-6.7110977;-6.1328287;-6.499665;-6.0535336;-6.3562593
ZINC000000440954;-7.2891355;-7.59184;-7.7462063;-7.862599;-7.4212103
ZINC000008974283;-7.32957;-7.053179;-6.9348717;-7.308228;-7.1117387
ZINC000008970985;-7.1530533;-7.05156;-7.0698576;-7.318883;-7.3253064
ZINC000008974182;-8.128467;-8.076301;-8.007373;-8.278484;-8.498024
ZINC000008997408;-7.4728074;-7.59819;-7.264743;-7.8709793;-7.4413314
ZINC000001186812;-7.7791734;-8.025294;-6.909622;-7.7586102;-7.2848516
ZINC000000270392;-6.6360545;-6.6205363;-6.965698;-6.9591856;-6.785867
ZINC000000186993;-6.8009267;-6.96541;-7.189899;-7.207278;-7.0772667
ZINC000000468984;-6.9160357;-6.9968824;-7.6198196;-7.5845737;-6.9550548
ZINC000022215539;-6.736983;-6.8337846;-7.0181346;-6.4870887;-6.9635873
ZINC000000432732;-7.2925696;-7.313756;-7.5998793;-7.734744;-7.3552094
ZINC000000450336;-6.7208858;-6.881188;-6.983674;-6.9699845;-6.924755
ZINC000009136872;-8.129949;-8.378935;-7.988043;-8.049986;-7.871035
ZINC000000073709;-7.2400155;-6.964492;-6.8381042;-6.8399405;-6.7400837
ZINC000000073730;-6.089138;-6.6837482;-6.4099703;-6.527264;-6.520138
ZINC000000073687;-7.0702057;-7.2804713;-7.508199;-7.279084;-7.4908333
ZINC000035686313;-7.000211;-6.3623505;-7.053811;-6.785987;-7.168749
ZINC000000966858;-7.1972084;-7.0454464;-6.562316;-6.7938347;-7.035034
ZINC000002996663;-6.0708146;-5.887249;-6.6493554;-6.478492;-6.3891954
ZINC000017180655;-6.304703;-6.597537;-6.8325906;-7.0306296;-6.666886
ZINC000001406983;-6.965575;-6.880537;-7.4634495;-6.9399824;-7.120788
ZINC000223247825;-8.116259;-7.9487457;-8.422694;-8.511487;-8.680561
ZINC000014009269;-8.249387;-7.6360254;-7.4899244;-7.5968037;-7.671981
ZINC000000966942;-6.3564396;-6.3354034;-5.97834;-6.0936503;-6.379868
ZINC000000966941;-6.1997366;-5.9373837;-5.83378;-6.0994415;-6.5438986
ZINC000019797737;-7.1150746;-7.4065876;-7.5290365;-7.568728;-7.420585
ZINC000001188740;-7.0000124;-6.5355196;-6.313761;-6.476395;-6.504673
ZINC000001188744;-7.0283613;-6.394214;-6.8991733;-6.238145;-6.7945223
ZINC000001188742;-7.052696;-6.3525558;-6.6249504;-6.506188;-6.522258
ZINC000014011214;-7.0575833;-7.186986;-7.2681;-7.2308626;-6.9895034
ZINC000001188746;-7.1149616;-6.892603;-6.83674;-6.402278;-6.809565
ZINC000098086483;-6.7513137;-6.94711;-6.450989;-6.510672;-6.4626856
ZINC000003877759;-8.120234;-8.565938;-8.63917;-8.885;-8.820301
ZINC000003897416;-9.871696;-9.992104;-10.222191;-10.070233;-10.110033
ZINC000100040997;-7.6825595;-8.154278;-7.8103156;-7.750094;-8.02499
ZINC000003906349;-6.383061;-6.7252483;-6.7686844;-7.030088;-6.7364016
ZINC000100161632;-7.8003097;-7.7205353;-8.132294;-8.047358;-8.343163
ZINC000100161641;-7.505345;-7.507249;-8.020283;-8.009218;-8.217401
ZINC000100281613;-7.047856;-7.1616154;-6.964224;-7.071658;-7.2201295
ZINC000100278037;-7.5214577;-7.511591;-7.2814116;-7.558847;-7.6224523
ZINC000023128344;-7.750847;-7.5313864;-7.950185;-8.001187;-7.796646
