name;01;02;03;04;05
ZINC000208522236;-6.8699236;-6.7768183;-6.550744;-7.1331472;-7.0610247
ZINC000208319016;-6.8402023;-6.85925;-6.403037;-6.630624;-6.989122
ZINC000213396784;-6.4170885;-6.4675703;-6.145828;-6.868244;-6.232753
ZINC000213608728;-6.619868;-6.427963;-5.832486;-6.650042;-6.013954
ZINC000019891074;-7.916679;-7.796728;-7.909691;-7.5383935;-7.8265367
ZINC000020226991;-8.195827;-7.9343796;-7.770944;-7.4285283;-7.627934
ZINC000020226984;-8.132131;-7.7761006;-7.691555;-7.5394325;-7.4823437
ZINC000007166550;-6.637834;-6.847171;-6.493933;-7.1469913;-6.47863
ZINC000007166737;-6.533467;-6.5420322;-6.348435;-6.362904;-6.4632745
ZINC000007166593;-6.8684998;-6.711431;-6.572641;-6.7369246;-6.8273606
ZINC000007166083;-6.7221217;-6.9290686;-6.75869;-7.0960855;-6.648232
ZINC000000468985;-6.6316586;-6.7438116;-6.952804;-6.9337153;-6.7529526
ZINC000006635778;-6.0382185;-5.7666125;-6.1311407;-5.9180646;-6.325071
ZINC000006613974;-8.132131;-7.7761006;-7.691555;-7.5394325;-7.4823437
ZINC000006635881;-6.0539;-5.712356;-6.1891623;-5.8960114;-6.347585
ZINC000006635879;-6.2982492;-6.0888114;-6.5281887;-6.2441373;-6.453118
ZINC000006635776;-6.3111444;-6.0686126;-6.590919;-6.176665;-6.45725
ZINC000035962275;-8.769252;-8.360022;-8.006389;-8.249756;-8.146001
ZINC000003570672;-6.4636025;-6.305753;-6.324192;-6.790693;-6.4571176
ZINC000223482214;-7.167771;-6.5912657;-6.6347303;-6.650736;-7.2858343
ZINC000223550530;-6.577699;-6.6957865;-6.5766697;-6.7594757;-7.4316707
ZINC000223577474;-6.838328;-6.6395745;-6.5085163;-6.924885;-7.0701137
ZINC000007342618;-7.2437267;-7.375906;-6.9667897;-7.270051;-6.6547623
ZINC000007342261;-6.541403;-6.935659;-6.57623;-6.998164;-6.247539
ZINC000097990665;-6.6556034;-6.583857;-6.609495;-7.077743;-6.842266
ZINC000007365758;-7.6951084;-7.6226754;-7.242977;-7.2876205;-6.8450375
ZINC000097990683;-6.954406;-6.797096;-6.298438;-6.6202636;-6.918021
ZINC000007365674;-6.579257;-6.1518197;-5.6232915;-6.4577622;-6.0875835
ZINC000007365663;-7.7109857;-7.720981;-7.39168;-7.4031353;-6.9021244
ZINC000007262945;-6.247961;-6.32671;-6.4090934;-6.2609453;-6.4280877
ZINC000007262866;-6.2693386;-6.327618;-6.449758;-6.208658;-6.39895
ZINC000019792092;-7.4598036;-7.498065;-7.427633;-7.699312;-7.4821963
ZINC000208244440;-6.726432;-6.2204437;-6.362621;-6.617903;-6.83892
ZINC000208244483;-6.687397;-6.4664345;-6.4119024;-6.6497874;-6.895585
ZINC000019793840;-7.037208;-6.454346;-6.832508;-6.7492695;-6.804324
ZINC000019793841;-7.159882;-6.6777277;-6.9940743;-6.8136215;-6.9101176
ZINC000224858597;-6.6332064;-6.902568;-7.224009;-7.0314984;-7.088743
ZINC000019891119;-6.8505015;-7.308735;-7.1612763;-7.252527;-7.0909534
ZINC000019891118;-6.885616;-6.6279635;-6.595505;-6.8827;-6.677761
ZINC000019891051;-6.4223185;-6.7019167;-6.989274;-6.334706;-6.7421055
ZINC000019891048;-6.4312763;-6.7092;-6.9647675;-6.3228035;-6.831012
ZINC000019891135;-6.542062;-6.278387;-6.731358;-6.294044;-6.5453887
ZINC000226095666;-7.20171;-7.114581;-7.0553465;-7.4049506;-7.3787093
ZINC000109597687;-8.639668;-8.195228;-8.23075;-7.8936653;-8.272626
ZINC000100148950;-7.566884;-7.913882;-7.75892;-7.9519696;-7.843224
ZINC000004478800;-6.6827874;-6.6670523;-6.2951384;-6.7171183;-6.866606
ZINC000104204096;-6.9064384;-7.041795;-7.1979036;-7.325864;-7.1789756
ZINC000036613136;-7.0134444;-6.952001;-7.3870106;-7.3649535;-7.139673
ZINC000008326894;-5.8877487;-6.058384;-6.040723;-6.180224;-6.2263584
ZINC000008326891;-6.0362997;-6.3138394;-6.220111;-6.334517;-6.3203697
ZINC000100955117;-7.6829185;-7.846783;-8.35951;-8.299824;-7.9754405
ZINC000100998478;-7.876246;-7.907016;-8.033021;-7.6647415;-8.1716385
ZINC000020227070;-7.9294868;-8.074146;-8.0558195;-7.7536635;-8.080835
ZINC000100998476;-7.876246;-7.907016;-8.033021;-7.6647415;-8.1716385
ZINC000020226950;-7.916679;-7.796728;-7.909691;-7.5383935;-7.8265367
ZINC000101112772;-7.405634;-7.8777547;-7.568329;-7.4287133;-7.1937437
ZINC000020336480;-7.493253;-7.6703224;-7.9195967;-7.562113;-7.8678937
ZINC000044868792;-7.008686;-6.765093;-6.3921585;-6.661047;-6.8197093
ZINC000069972885;-6.9650936;-6.704463;-6.2770357;-6.56432;-6.7940526
ZINC000004291529;-6.6560855;-6.8567066;-6.6812043;-6.9477053;-6.929818
ZINC000004478799;-6.93622;-6.834503;-6.4445424;-6.5947056;-6.860078
ZINC000005835639;-6.3595324;-6.422181;-6.337378;-6.0696707;-6.569515
ZINC000005374104;-6.753474;-6.8521066;-6.4366074;-6.1686077;-6.7235327
ZINC000004426252;-6.3682976;-6.503289;-6.380622;-6.4632053;-6.4774365
ZINC000019891128;-6.698913;-6.6920133;-6.7693524;-6.5178895;-6.7426586
ZINC000008371575;-7.34152;-7.478759;-7.6477137;-7.673683;-7.390477
ZINC000004523145;-6.521116;-6.403344;-6.336456;-6.844449;-6.7778125
ZINC000004478811;-6.5473485;-6.1372123;-6.332375;-6.5583544;-6.7437143
ZINC000004853842;-6.6058393;-6.909408;-7.39102;-7.3572636;-7.1016707
ZINC000019891612;-6.3669834;-6.7649336;-6.527969;-6.956842;-6.940628
ZINC000096669684;-7.8575926;-8.03236;-7.7799;-7.938663;-7.9159503
ZINC000008342183;-7.8575926;-8.03236;-7.7799;-7.938663;-7.9159503
ZINC000058865900;-7.3152514;-7.1677704;-7.2875786;-7.3700166;-7.192293
ZINC000102963310;-6.7035856;-6.6128483;-6.619501;-6.7510853;-6.8715897
ZINC000001465864;-6.9184017;-7.0376945;-7.1743307;-7.0914035;-6.9766617
ZINC000059105559;-8.053801;-7.8274918;-7.833665;-7.8794284;-7.9726934
ZINC000059105254;-8.814724;-8.1859;-7.820576;-8.407557;-7.960575
ZINC000059106208;-6.3624454;-6.5648108;-6.7347;-6.7419696;-6.5856686
ZINC000059106204;-6.728229;-7.1381307;-6.9721437;-7.171789;-6.796837
ZINC000059135687;-6.4491763;-6.712268;-7.0616283;-6.838393;-6.8309917
ZINC000059135080;-6.513565;-6.6937857;-6.925815;-7.0444922;-6.807317
ZINC000059135727;-6.7308245;-7.1604614;-7.1778803;-7.1908283;-7.1203737
ZINC000059475167;-7.49726;-7.624821;-7.5202694;-7.400851;-7.760576
ZINC000059961069;-6.5122733;-6.6271563;-6.824159;-6.830174;-6.584735
ZINC000004745740;-6.3510923;-6.2409687;-6.258724;-6.3376384;-6.378429
ZINC000004745737;-6.3613815;-6.1765785;-6.253845;-6.200994;-6.30454
ZINC000015013891;-7.430794;-7.2437277;-7.6313396;-7.1312065;-7.3671722
ZINC000013546844;-6.9875803;-7.1825314;-7.4212637;-6.8965535;-7.1531224
ZINC000090447648;-6.8682947;-7.0455894;-7.0825815;-7.0801635;-7.330397
ZINC000005885980;-7.348548;-7.9608912;-7.614426;-7.331917;-7.479009
ZINC000000441049;-6.512773;-6.4170737;-6.990481;-6.752248;-6.4759903
ZINC000104204097;-6.9064384;-7.041795;-7.1979036;-7.325864;-7.1789756
ZINC000104204100;-6.9064384;-7.041795;-7.1979036;-7.325864;-7.1789756
ZINC000104204092;-6.9064384;-7.041795;-7.1979036;-7.325864;-7.1789756
ZINC000000441042;-6.919648;-6.5847235;-7.0193954;-6.7102146;-6.714118
ZINC000096663456;-6.1399546;-6.088312;-6.276342;-6.1566687;-6.4229984
ZINC000096663493;-6.1457224;-6.2345886;-6.639043;-6.7164736;-6.4930754
ZINC000096669698;-9.524114;-9.163938;-8.626834;-8.775986;-8.993253
ZINC000035043200;-8.195827;-7.9343796;-7.770944;-7.4285283;-7.627934
ZINC000035648165;-7.9294868;-8.074146;-8.0558195;-7.7536635;-8.080835
ZINC000035648643;-7.4637876;-7.556885;-7.3561783;-7.6707554;-7.3856606
ZINC000012602753;-6.9309144;-6.698483;-6.5943465;-6.911092;-6.8438115
ZINC000390834439;-7.373968;-7.0876737;-6.934832;-6.932384;-6.900185
ZINC000100955118;-7.6829185;-7.846783;-8.35951;-8.299824;-7.9754405
ZINC000013475931;-8.345417;-7.892941;-8.005644;-8.100721;-8.005316
ZINC000013576057;-7.5193586;-7.5491185;-7.260854;-7.324051;-7.5189943
ZINC000013574906;-6.9330173;-7.2109404;-6.784675;-6.938342;-7.140535
ZINC000005893655;-5.941758;-5.7946067;-6.082999;-6.056903;-6.4274755
ZINC000208473210;-6.7056327;-6.373164;-6.412962;-6.8825264;-6.8315697
ZINC000102243798;-6.838377;-6.437087;-6.97052;-6.758152;-6.7250133
ZINC000102243794;-6.473676;-6.8715105;-6.5333753;-7.196787;-6.8170853
ZINC000005374176;-7.0002155;-6.7584586;-6.5532694;-6.4327326;-6.846446
ZINC000014177046;-6.952101;-6.583183;-6.5592985;-6.7710505;-6.859201
ZINC000005373502;-6.4837375;-6.677557;-6.729574;-6.2504387;-6.7904663
ZINC000000179593;-6.789406;-7.008979;-6.9280972;-6.776003;-7.0511575
ZINC000000053992;-7.5014577;-7.658983;-7.8641877;-7.830571;-7.562681
ZINC000000203446;-6.933764;-6.8702;-6.1653233;-6.5799065;-6.3929033
ZINC000000203443;-6.855172;-6.8460717;-6.131766;-6.579569;-6.4096956
ZINC000000209189;-8.249387;-7.6360254;-7.4899244;-7.5968037;-7.671981
ZINC000083314195;-7.6303906;-7.447076;-7.057043;-7.7712708;-7.5746884
ZINC000005816392;-6.7407665;-6.965392;-6.7954597;-7.0362673;-6.857482
ZINC000015008920;-8.5448475;-8.1419935;-7.379252;-8.181538;-8.021657
ZINC000000342448;-6.9808807;-7.0714545;-6.922385;-6.801691;-7.4749637
ZINC000000344834;-7.891467;-8.025162;-7.7710934;-7.8596883;-7.9440746
ZINC000408527497;-7.3929834;-7.1298122;-7.5845137;-7.2239027;-7.1198664
ZINC000408526944;-7.4234486;-6.9891615;-7.2269535;-7.120086;-7.000421
ZINC000408536300;-7.237021;-7.05779;-7.478709;-7.197927;-7.420858
ZINC000104366637;-6.6671863;-7.2054224;-6.7730427;-6.725573;-7.2363534
ZINC000408742823;-7.7096715;-7.358907;-7.7050443;-7.507343;-7.428287
ZINC000408784788;-7.1978045;-7.4633045;-7.739493;-7.437134;-7.4465356
ZINC000408757979;-6.7688;-7.3272038;-6.846743;-7.144382;-7.277722
ZINC000408755779;-6.4320884;-7.0823565;-6.723466;-7.041905;-7.0789094
ZINC000408776498;-7.039032;-7.467685;-7.5136323;-7.330767;-7.3049383
ZINC000408743019;-6.9633512;-7.3941507;-7.5235205;-7.488533;-7.347157
ZINC000408741309;-7.30016;-7.634675;-7.6543055;-7.6808324;-7.5056267
ZINC000408873686;-7.0327935;-7.0359774;-7.3316684;-6.926342;-7.2429523
ZINC000408810395;-7.628088;-7.7017617;-8.044165;-7.958801;-7.7689333
ZINC000408817189;-7.294011;-7.3117027;-6.928978;-7.5649934;-7.338744
ZINC000408868506;-7.113225;-7.268801;-7.667374;-7.3174033;-7.52359
ZINC000408852127;-7.175545;-7.2728925;-7.479973;-7.301814;-7.3340383
ZINC000408868208;-7.214965;-7.6592526;-7.702686;-7.731286;-7.623074
ZINC000408821819;-8.2399845;-7.751473;-7.322114;-7.986021;-7.8429832
ZINC000408822273;-7.51727;-7.710357;-7.260765;-7.55814;-7.3850174
ZINC000408845903;-6.5662737;-6.7754807;-7.0462127;-7.0217214;-6.8831196
ZINC000408872763;-7.2158365;-7.3832307;-7.7276354;-7.278003;-7.437516
ZINC000408876281;-6.848775;-6.999703;-7.2491727;-6.7876086;-7.280902
ZINC000408812184;-6.9352207;-7.106742;-6.859763;-7.3024497;-7.0919876
ZINC000408965438;-7.1575217;-6.8984613;-7.247038;-7.133319;-7.0002584
