name;01;02;03;04;05
ZINC000245310677;-7.126526;-7.0783463;-6.882955;-6.8347015;-6.976328
ZINC000245310678;-7.581982;-7.421134;-7.4225936;-6.7811804;-7.285275
ZINC000011818477;-7.86895;-7.6617026;-8.07549;-7.6596327;-7.5280128
ZINC000005348802;-8.770385;-8.09559;-8.064603;-8.335867;-8.089928
ZINC000005348804;-8.7503605;-8.119627;-8.10744;-8.388295;-8.113131
ZINC000005348800;-8.572304;-7.940116;-7.5362177;-8.399531;-8.250419
ZINC000005348805;-8.547464;-7.9591393;-7.51681;-8.436779;-8.235788
ZINC000005350074;-8.9603195;-8.51247;-7.5464487;-8.6268635;-8.084961
ZINC000005350082;-9.010772;-8.5675125;-7.6820183;-8.570332;-8.104954
ZINC000005350079;-8.646084;-8.334171;-7.9828615;-8.794791;-8.489472
ZINC000005350076;-8.750594;-8.331801;-7.913964;-8.791597;-8.499177
ZINC000192444056;-8.714747;-8.909587;-8.417366;-8.515093;-8.781492
ZINC000180641687;-8.696853;-8.435787;-8.187991;-9.048572;-8.627866
ZINC000180641670;-8.565538;-8.445658;-8.690645;-8.870602;-8.589515
ZINC000072119513;-8.811565;-8.773844;-8.481979;-9.014342;-8.887751
ZINC000072121654;-7.726866;-8.424433;-8.034641;-7.6452174;-8.184598
ZINC000072126670;-9.33177;-9.753353;-9.031678;-9.025281;-9.366299
ZINC000035287353;-8.053525;-8.233834;-7.948453;-7.924577;-8.223839
ZINC000097377119;-7.279219;-7.071303;-7.87527;-7.522817;-7.856323
ZINC000216253054;-9.449133;-8.740805;-8.486726;-8.43701;-8.6218605
ZINC000216253100;-9.56362;-8.855505;-8.514688;-8.574832;-8.542249
ZINC000072131910;-6.0024443;-6.5671577;-6.447936;-6.4210587;-6.934027
ZINC000097413268;-8.067837;-7.937394;-7.0216274;-7.8153973;-7.6375766
ZINC000091624979;-8.193293;-8.103456;-8.346401;-8.235557;-7.840324
ZINC000214951896;-6.851808;-7.478652;-7.9800673;-7.128942;-7.5375648
ZINC000095967534;-7.0908265;-6.9125934;-7.056637;-6.7421284;-6.6200285
ZINC000095967536;-6.980911;-7.3767586;-7.5151916;-6.8192587;-7.460449
ZINC000072148833;-8.698853;-9.004485;-9.080322;-8.975545;-9.895774
ZINC000072150159;-7.9244375;-7.705574;-8.08794;-7.881414;-8.5102625
ZINC000072149870;-7.419961;-7.4555655;-7.5541735;-7.7518616;-7.6729
ZINC000223338857;-8.154044;-7.3864756;-7.7941885;-8.053083;-8.073946
ZINC000606422270;-6.7129235;-7.30214;-6.4296255;-6.3800197;-6.627125
ZINC000097638001;-7.9088078;-6.7765694;-7.727326;-7.853244;-8.039058
ZINC000225407976;-8.564753;-8.458474;-8.802836;-8.37627;-8.669286
ZINC000225408019;-8.867124;-8.394518;-8.71017;-8.448029;-8.550802
ZINC000072156850;-8.807643;-8.939991;-9.279901;-8.929212;-9.104426
ZINC000072156851;-8.739284;-8.916428;-9.237221;-8.776535;-9.276468
ZINC000225509738;-7.222069;-7.7590137;-7.5442047;-7.818271;-8.03693
ZINC000225509772;-7.4144816;-7.9018984;-7.689381;-8.106889;-8.159305
ZINC000072158194;-9.866957;-9.302158;-9.126036;-9.358593;-8.851017
ZINC000244641288;-7.9856577;-7.677866;-7.374202;-8.08761;-7.988617
ZINC000244641289;-8.019766;-7.7791944;-7.402794;-8.000623;-8.059067
ZINC000244894030;-7.807642;-8.818399;-8.167734;-7.3954043;-8.912167
ZINC000244894029;-8.232676;-8.562594;-8.227415;-8.05767;-8.517847
ZINC000015069244;-8.855572;-8.203559;-7.8445463;-7.986401;-8.002999
ZINC000015069242;-8.60054;-8.157177;-8.024853;-8.179029;-8.070179
ZINC000012459632;-7.0165067;-7.3974485;-6.920808;-7.267684;-7.753837
ZINC000187774731;-8.8464;-8.946486;-8.986481;-9.256241;-8.713024
ZINC000072164945;-9.821103;-9.821817;-9.487997;-9.395544;-9.52259
ZINC000072164944;-10.060779;-9.984726;-8.984269;-9.3260765;-9.238872
ZINC000072165700;-7.140977;-7.3993325;-7.430168;-7.431049;-7.8366685
ZINC000188000756;-9.465383;-8.559408;-8.427399;-8.842812;-8.679787
ZINC000188000706;-9.519432;-8.743441;-8.272811;-8.893907;-8.734049
ZINC000091738085;-8.625002;-8.54644;-8.096439;-7.5766277;-8.060043
ZINC000072166422;-7.937947;-8.463169;-7.8557887;-7.624192;-7.982767
ZINC000072166421;-8.566041;-8.887613;-8.234967;-8.180212;-7.98234
ZINC000069869520;-8.403273;-7.940506;-8.236996;-8.197931;-8.504752
ZINC000069869523;-8.307287;-7.866531;-8.219914;-8.202157;-8.366186
ZINC000012530427;-8.653424;-8.40876;-8.184417;-8.342974;-8.23498
ZINC000012533192;-9.045367;-8.651866;-8.037062;-8.546623;-8.581479
ZINC000012533002;-8.890392;-8.503022;-7.9462;-8.438354;-8.434667
ZINC000019745408;-8.375148;-7.710701;-8.049734;-8.247102;-7.9985285
ZINC000120906061;-8.329779;-7.144067;-7.6309466;-7.153281;-7.2387314
ZINC000019745406;-8.081856;-7.903963;-7.974927;-8.013642;-7.569042
ZINC000215450138;-8.395808;-8.607995;-7.931994;-7.5527534;-8.074601
ZINC000064344442;-8.806824;-8.895762;-8.53687;-8.50842;-8.790074
ZINC000072174622;-7.4633284;-8.246128;-7.8545475;-8.169763;-8.311228
ZINC000367682207;-8.230816;-8.216611;-8.228436;-8.543739;-8.259381
ZINC000367682206;-8.349821;-8.3813505;-8.218352;-8.725996;-8.314344
ZINC000244719126;-8.382033;-7.7534633;-7.919571;-8.019389;-7.986747
ZINC000244719125;-8.434719;-7.8008766;-8.185263;-8.051399;-8.113818
ZINC000003738375;-9.150074;-8.657075;-8.247262;-8.590836;-8.8848715
ZINC000078553948;-8.585915;-8.4513235;-8.661063;-8.458219;-8.771313
ZINC000078553919;-8.680632;-8.345964;-8.713274;-8.484089;-8.769604
ZINC000299760775;-7.969634;-8.425284;-7.951644;-8.348083;-8.213598
ZINC000299760771;-7.845742;-8.528958;-7.9926753;-8.350334;-8.308655
ZINC000012926464;-7.8986993;-7.9943056;-8.187456;-8.143128;-8.218007
ZINC000257192654;-7.8974495;-8.196912;-8.45969;-8.076166;-8.253153
