name;01;02;03;04;05
ZINC001192352623;-6.4541698;-6.924525;-6.929831;-6.779049;-7.2844915
ZINC000828350734;-7.244789;-6.6308956;-6.613074;-7.243555;-7.233407
ZINC001192358127;-6.167923;-6.804615;-6.840144;-6.4948683;-7.03842
ZINC000068726383;-7.6783276;-7.7951994;-7.7368736;-8.061552;-7.800005
ZINC000316304442;-7.0166845;-7.493191;-7.2199984;-7.3800774;-7.3873167
ZINC000486247122;-7.7285113;-7.74831;-7.76554;-7.9864902;-8.006522
ZINC001203293352;-6.0733285;-6.035431;-5.80631;-6.2282615;-6.063886
ZINC001601587703;-8.112079;-8.080099;-7.456711;-7.7334647;-7.686758
ZINC000013342269;-7.2174597;-6.865817;-7.1324058;-7.5606203;-7.7194295
ZINC001192568295;-6.9213977;-6.862817;-7.1134977;-7.2268577;-7.192452
ZINC001192541350;-6.694617;-6.652279;-6.3677993;-6.667575;-6.6974826
ZINC001192572540;-6.7142806;-6.6669188;-6.94866;-6.8714547;-7.0109406
ZINC000058518516;-7.565334;-7.2459717;-7.231712;-7.3828354;-7.7000103
ZINC000547547865;-7.243822;-7.5361886;-7.7435665;-8.108783;-7.4972334
ZINC000736521097;-7.561758;-7.3754034;-7.0481052;-7.344011;-7.3654194
ZINC000460824130;-7.460768;-7.7541513;-7.6063128;-8.06866;-7.5806646
ZINC000736299246;-7.2335052;-7.3632054;-7.061967;-7.660057;-7.419514
ZINC000738542260;-7.007492;-7.1528883;-7.3389273;-7.8345118;-7.025473
ZINC000736524034;-7.985957;-7.7871647;-7.71258;-7.864953;-7.8485208
ZINC000460824042;-7.625454;-7.449641;-7.1399894;-7.533602;-7.39003
ZINC000736298820;-6.847018;-7.0077786;-6.5320096;-7.128476;-6.9411616
ZINC001192665001;-6.765991;-6.6010456;-6.611061;-6.8383455;-6.9294515
ZINC000738637763;-7.3715534;-7.6057086;-7.312545;-7.732434;-7.560326
ZINC000736521157;-7.864888;-8.035803;-7.63879;-7.896857;-7.58101
ZINC000460824290;-8.102402;-8.0963125;-7.881221;-7.8593473;-7.6473026
ZINC000443444465;-7.755855;-7.7328053;-7.6688404;-7.3217673;-7.987778
ZINC000071973950;-6.658457;-7.2894917;-7.4404016;-7.4592032;-7.2172003
ZINC001192716716;-5.744301;-6.0438313;-5.925084;-5.929358;-5.963357
ZINC001192768944;-5.6587577;-6.0323677;-5.901274;-5.913516;-5.9289546
ZINC000443446717;-7.4813943;-7.4728117;-7.2808332;-7.213882;-7.5510435
ZINC000323907390;-7.7208147;-7.730961;-7.644252;-7.609137;-7.514905
ZINC001192811662;-5.407608;-6.041241;-5.860314;-5.961062;-6.062471
ZINC000460823222;-7.921447;-7.117157;-7.1845846;-7.299898;-7.49222
ZINC000447279863;-7.2667837;-7.2025876;-6.9826784;-7.5581374;-7.2998204
ZINC001192841040;-5.434176;-6.2273645;-5.9301906;-6.073574;-6.1200495
ZINC000058518846;-6.806492;-6.3951855;-7.206416;-6.639144;-7.0390763
ZINC001597503289;-6.962864;-6.8655562;-6.865103;-6.921274;-7.2626905
ZINC001192879202;-5.4766736;-6.1918015;-5.717996;-5.8613048;-5.821354
ZINC001185383177;-5.918086;-5.69491;-6.106467;-6.145336;-6.0171533
ZINC000614731611;-7.2727146;-7.655978;-7.565485;-7.371067;-7.549119
ZINC001591828352;-7.5364876;-7.603711;-6.782436;-7.709249;-7.524041
ZINC001589761790;-7.141174;-7.1638813;-7.2567115;-7.0816708;-7.413323
ZINC001589761789;-7.140038;-7.2752843;-7.4469256;-7.4813147;-7.5870123
ZINC000060123684;-8.155301;-8.264394;-7.6943235;-7.8030653;-7.586066
ZINC000325147487;-7.2863007;-7.1930814;-7.46364;-7.1243773;-7.1565814
ZINC000738785873;-7.0221205;-7.3310747;-6.7911186;-6.864333;-6.9711585
ZINC001593679213;-7.9911847;-7.951955;-7.7745757;-7.7308054;-7.5695996
ZINC001593679205;-8.0002;-7.9569216;-7.7746086;-7.734736;-7.579478
ZINC000324303647;-7.7068443;-7.6260414;-7.4681563;-7.169881;-7.622288
ZINC000736692983;-7.231185;-7.5615964;-6.9344244;-7.2386594;-7.171123
ZINC000736692982;-7.2275224;-7.570624;-6.9428735;-7.1894755;-7.174336
ZINC000738393927;-6.9168315;-7.4991565;-7.1454644;-7.304855;-7.133277
ZINC000738979442;-7.240377;-7.509963;-7.087757;-7.106322;-7.16367
ZINC000738966440;-6.9533157;-7.3963966;-7.273902;-7.3113327;-7.277021
ZINC000740299708;-7.2179832;-6.9559603;-6.9745293;-6.9193387;-7.2005143
ZINC000740299707;-7.246546;-7.0135307;-7.0084;-6.9542193;-7.1986246
ZINC000833343820;-6.8623514;-7.502699;-7.174332;-7.0741835;-7.5839796
ZINC000833343819;-7.137624;-7.930438;-7.48985;-7.568557;-7.560227
ZINC000833344049;-6.772859;-7.6610084;-7.2772083;-7.3347974;-7.2938423
ZINC000833344050;-6.759791;-7.17756;-6.9482203;-6.994537;-7.346778
ZINC000392214423;-7.9365277;-7.393087;-7.710605;-7.59711;-8.149754
ZINC000324445476;-7.676033;-7.7276177;-7.459834;-7.312353;-7.6746807
ZINC000447265371;-7.5138235;-7.3341947;-7.3535686;-8.131609;-7.7589035
ZINC000075474344;-7.1237426;-6.784655;-6.7226863;-6.5370984;-7.3051577
ZINC000020395422;-8.014586;-7.962873;-7.880352;-7.77113;-7.8164363
ZINC001589511981;-7.3139725;-7.293873;-6.9884624;-7.2799335;-7.3337584
ZINC001589511978;-7.5073676;-7.4120674;-7.1671085;-7.3996077;-7.3079033
ZINC001589779930;-6.8450756;-7.955868;-6.9287744;-7.5564327;-7.2328944
ZINC000388137594;-7.454066;-7.7654476;-7.717639;-7.9887347;-7.904374
ZINC001185909356;-7.189043;-7.7419996;-7.2604604;-7.8541183;-7.692687
ZINC001185909485;-7.318702;-7.6288285;-7.524835;-7.871631;-7.5284276
ZINC001185909291;-6.8585186;-7.313921;-7.189675;-7.5481844;-7.8382554
ZINC001185877751;-7.6732574;-7.814084;-7.5715632;-7.537541;-8.066646
ZINC001185914009;-7.120971;-7.5845823;-6.917127;-7.351169;-7.651223
ZINC001185918243;-7.562735;-7.049717;-7.1822166;-7.42935;-7.483253
ZINC001185914212;-7.1987667;-7.6528716;-7.6149864;-7.6226435;-7.927769
ZINC001210969562;-6.6087737;-6.302125;-6.389585;-6.465277;-6.19479
ZINC001599354926;-7.5016656;-7.1244955;-7.248716;-7.4981203;-7.159964
ZINC001210987221;-7.929501;-7.5757775;-7.251729;-7.6143427;-7.6180654
ZINC001589521910;-7.5965075;-7.300929;-7.306088;-7.2664413;-7.5007715
ZINC001589521911;-7.4885855;-7.2834926;-7.253832;-7.231521;-7.4252114
ZINC000080716371;-7.631671;-8.060774;-7.521263;-7.571158;-7.6447954
ZINC001167933750;-5.832077;-5.957364;-5.585861;-6.0132627;-6.371232
ZINC001591266398;-7.960475;-7.910537;-7.515688;-7.242364;-7.6311827
ZINC001193788814;-5.7960224;-6.386733;-5.947095;-5.9954047;-6.1813674
ZINC000833418248;-7.44441;-7.439214;-7.219271;-7.362609;-7.8868237
ZINC000833418247;-7.143643;-7.0719247;-7.4970193;-7.4855375;-7.162091
ZINC000833751288;-6.709241;-7.3219943;-6.691738;-6.8471875;-7.2856693
ZINC000833750994;-7.417136;-7.6203923;-7.4222126;-7.260672;-7.5993843
ZINC000325109539;-7.073167;-6.5686564;-6.698528;-7.4986506;-7.1845875
ZINC000034601511;-7.3166595;-7.3113413;-7.041271;-6.946666;-7.3480406
ZINC000547894454;-7.6042924;-7.4671636;-7.3698053;-7.4663215;-7.489325
ZINC001589531543;-8.006357;-7.678464;-7.803064;-8.058374;-8.012712
ZINC001589531544;-8.02608;-7.9323096;-7.6519303;-7.8894706;-7.848251
ZINC001167935859;-7.3904996;-7.376951;-6.717785;-6.793357;-6.8172636
ZINC001167935891;-7.146967;-7.033918;-6.4039507;-6.2058306;-6.5718784
