name;01;02;03;04;05
ZINC000033920778;-6.939359;-7.369958;-6.668311;-7.505708;-7.6321206
ZINC000005410576;-9.443454;-10.366763;-9.310612;-9.210918;-9.268825
ZINC000008063230;-7.432179;-7.2953515;-7.588628;-7.9697766;-7.53596
ZINC000005446701;-7.868335;-7.8412366;-7.092174;-6.9755263;-7.32794
ZINC000005446702;-7.8196836;-7.541565;-7.1414456;-6.752229;-7.4457874
ZINC000005525674;-7.6222486;-8.009096;-8.087994;-8.108189;-8.132893
ZINC000005525654;-8.215565;-8.29664;-8.185093;-7.978812;-8.149766
ZINC000005572152;-8.50144;-8.6280985;-8.6810665;-8.987478;-9.052143
ZINC000005577878;-7.1706514;-7.0208054;-7.0314255;-7.7134295;-7.2320013
ZINC000005572688;-7.140884;-7.3043346;-6.7263117;-6.8880854;-6.900862
ZINC000005610572;-8.940818;-8.534394;-9.060149;-8.802853;-8.710244
ZINC000008843567;-7.3624516;-7.062208;-7.8556676;-7.3362627;-7.424618
ZINC000008843566;-7.351268;-7.082213;-7.859374;-7.3116765;-7.4175167
ZINC000003336348;-8.952499;-8.942561;-9.091777;-8.722508;-8.88599
ZINC000000493945;-8.40289;-7.7954226;-7.6667433;-7.7552733;-7.6860476
ZINC000005674907;-8.8415575;-8.016469;-8.181991;-7.9465003;-8.718482
ZINC000005674915;-9.241041;-8.205042;-8.449804;-8.048905;-8.494004
ZINC000005689399;-7.5434165;-7.779562;-8.59538;-8.20261;-7.9826517
ZINC000005689398;-7.6415114;-7.779748;-8.676302;-8.201767;-8.047675
ZINC000005698942;-7.9951954;-8.322524;-8.468303;-7.951745;-8.304378
ZINC000000536308;-8.330465;-7.0348935;-7.3349032;-7.1376767;-7.067958
ZINC000000536309;-7.9662952;-7.202279;-7.7691603;-7.2099614;-6.90737
ZINC000000557470;-7.693092;-7.7604923;-7.1723895;-7.4344664;-7.1022925
ZINC000000568280;-7.6380587;-7.7808094;-7.4119124;-7.425726;-7.3687296
ZINC000103942361;-8.188705;-8.673117;-8.515819;-8.599431;-8.652031
ZINC000005729755;-8.030757;-7.5479155;-6.8843775;-7.3841076;-7.3986416
ZINC000047406637;-8.282882;-8.944258;-8.738806;-8.675148;-8.988919
ZINC000047406636;-8.352903;-8.754989;-8.585772;-8.791159;-8.956425
ZINC000106341653;-7.6597233;-7.7175274;-8.249131;-8.00134;-7.7379866
ZINC000046054567;-9.642754;-9.8515835;-10.017996;-9.520431;-9.324602
ZINC000046054568;-9.485019;-10.055075;-10.071165;-9.683956;-9.741413
ZINC000047904057;-8.88707;-9.6299515;-9.362586;-9.532888;-9.358783
ZINC000048008860;-7.8335567;-7.0785217;-7.6659265;-7.735068;-7.9167814
ZINC000048342878;-7.780582;-8.333222;-8.329545;-8.660007;-8.678923
ZINC000048364336;-7.4828463;-7.6703134;-7.718626;-8.215696;-8.225739
ZINC000091503990;-7.9729433;-7.8929715;-7.3781767;-7.680091;-7.7851844
ZINC000024864680;-8.916264;-8.877829;-8.785627;-9.064754;-9.146739
ZINC000000819154;-8.306049;-8.373437;-8.443956;-8.170567;-8.531746
ZINC000000819157;-8.102716;-7.849788;-8.05397;-7.952883;-8.146418
ZINC000000819110;-8.10274;-7.856762;-7.869033;-7.839278;-8.113844
