name;01;02;03;04;05
ZINC000000459320;-6.779536;-6.8895597;-7.250244;-7.1275306;-6.9268327
ZINC000000459262;-7.123542;-7.2845945;-7.159817;-7.261263;-7.274741
ZINC000005481985;-7.9579287;-7.760397;-7.9643016;-7.7095137;-7.9432993
ZINC000005481994;-8.153738;-7.6148763;-7.7692504;-7.619701;-7.962728
ZINC000005602377;-6.844063;-7.3987274;-7.1540604;-7.3151274;-7.275376
ZINC000101504064;-7.2457895;-7.6096573;-7.190028;-7.623001;-7.3225255
ZINC000000193552;-6.4762897;-6.6552362;-6.496851;-7.0490336;-6.796052
ZINC000584904514;-8.570071;-8.582805;-8.6841135;-8.568028;-8.838299
ZINC000100821565;-7.9005413;-7.4552283;-7.4798965;-7.7649508;-7.811493
ZINC000100984886;-8.345158;-8.728945;-8.277264;-8.383278;-8.420255
ZINC000169682593;-7.422042;-6.843762;-6.9329977;-7.14722;-7.5299096
ZINC000035286721;-7.806719;-8.016478;-7.7909994;-7.700719;-7.851262
ZINC000018257922;-7.8339815;-7.90425;-7.9085674;-7.924862;-7.6796145
ZINC000101113876;-6.6283545;-7.2367244;-7.195827;-7.2714486;-7.5445633
ZINC000101113911;-6.755844;-7.479147;-7.2771506;-7.33604;-7.719293
ZINC000101125050;-7.0131855;-7.3534584;-7.314032;-7.390097;-7.4620914
ZINC000102160529;-5.997547;-6.0001035;-5.906962;-6.18798;-5.6012325
ZINC000035325372;-7.9229183;-8.097203;-7.658357;-7.720125;-7.8965816
ZINC000000559689;-6.8093777;-6.7605033;-6.61825;-6.7926273;-7.0895395
ZINC000000565111;-7.2998366;-7.525758;-7.4575205;-7.227177;-7.5087824
ZINC000008971727;-7.206071;-7.5363746;-7.700137;-7.5252457;-7.950437
ZINC000008974095;-7.5830092;-7.301736;-7.2347713;-7.3655286;-7.4220133
ZINC000008972011;-7.595129;-7.2100563;-7.268295;-7.5321665;-7.172949
ZINC000008971586;-7.161623;-7.486265;-6.9537973;-6.901401;-7.702792
ZINC000008974490;-7.363367;-7.2088146;-7.441972;-7.3356557;-7.384158
ZINC000005730815;-8.659363;-9.0664425;-8.818883;-8.827106;-8.449524
ZINC000008974448;-7.7414;-7.430015;-7.223538;-7.5647573;-7.5119886
ZINC000008995328;-7.6205816;-7.319535;-7.3294306;-7.4835052;-7.32399
ZINC000008995498;-7.2627926;-7.251038;-7.5406065;-7.480704;-7.387614
ZINC000019865740;-6.0062366;-6.4047146;-6.0823784;-5.9072695;-6.35304
ZINC000020075107;-7.8855615;-8.526106;-8.1865835;-8.277793;-8.22525
ZINC000102148372;-8.019374;-7.642881;-7.582593;-7.863737;-7.6745234
ZINC000220952115;-7.2676115;-7.561091;-7.3613715;-7.2992163;-7.48989
ZINC000033286283;-8.029133;-8.59335;-7.94184;-8.062953;-8.117895
