name;01;02;03;04;05
ZINC000061711065;-6.933422;-7.12615;-6.543232;-6.7146945;-6.604489
ZINC000000459226;-6.5902967;-6.619734;-6.937836;-6.4421763;-6.6015773
ZINC000003197355;-6.2563314;-6.4580636;-6.1113977;-6.235792;-6.3214545
ZINC000299779595;-8.264952;-7.8800697;-7.3999586;-7.6621466;-7.9272904
ZINC000156000959;-7.6120806;-7.062879;-7.1533127;-7.310463;-7.6371794
ZINC000156000851;-7.790704;-7.3694005;-7.361834;-7.903228;-7.711173
ZINC000156912601;-6.3971996;-5.984325;-6.0633554;-6.4330997;-6.5671177
ZINC000156912896;-6.4152803;-5.9094114;-6.121433;-6.3770304;-6.420838
ZINC000097296564;-7.7673335;-7.665171;-7.7010345;-7.2029963;-8.136903
ZINC000157325227;-7.1979704;-7.8822565;-7.9364285;-7.4747715;-7.773368
ZINC000017318086;-7.1183457;-6.093582;-6.39615;-6.7337875;-6.7408113
ZINC000017318104;-7.1964803;-6.745369;-6.3248777;-6.7263784;-7.0496674
ZINC000019288068;-7.834544;-8.091636;-7.825255;-7.4212446;-7.5430565
ZINC000164321514;-6.397831;-6.601798;-6.394291;-5.909723;-6.643919
ZINC000019300999;-7.3585052;-6.560497;-6.791866;-6.7435765;-6.9509377
ZINC000019301000;-7.6973457;-7.3180633;-7.2917695;-7.1353636;-7.537837
ZINC000334161228;-7.769689;-7.808177;-7.5452566;-7.3927655;-7.577564
ZINC000000488118;-5.954611;-5.757927;-6.1285543;-5.8640513;-6.208501
ZINC000019335792;-6.4860992;-6.753339;-6.077902;-6.543819;-6.6749353
ZINC000019335797;-6.3574924;-6.56569;-5.902811;-6.4017463;-6.6462193
ZINC000069566358;-8.552067;-8.429592;-7.9487014;-8.340723;-8.07072
ZINC000102187653;-6.843303;-6.562668;-6.8402843;-6.747282;-6.185718
ZINC000013943210;-6.766398;-7.1521506;-7.28492;-7.031149;-7.1667852
ZINC000000532364;-7.2234883;-7.598154;-6.906323;-7.387826;-7.1040263
ZINC000019831623;-6.5931034;-6.7454166;-6.5681477;-6.636944;-6.7171173
ZINC000019857274;-6.742267;-7.283324;-6.9767046;-6.9944377;-6.8592873
ZINC000047569216;-7.094365;-7.037698;-7.3166924;-7.1982827;-7.4610014
ZINC000012475699;-8.497851;-7.555009;-7.6525393;-7.677992;-7.5351143
ZINC000012475701;-8.390189;-7.7077065;-7.5937834;-7.5461664;-7.3682556
ZINC000003415214;-7.2329016;-6.9216223;-6.9243097;-7.0012918;-7.0189257
ZINC000003415219;-7.3257875;-7.312957;-6.9573736;-7.195402;-7.086441
ZINC000019537622;-6.7451315;-6.992526;-7.30288;-7.248498;-7.281681
ZINC000078394182;-8.28801;-7.5076127;-7.3100452;-7.94271;-7.4852815
ZINC000078394178;-8.242163;-7.7615466;-7.3505087;-7.8550854;-7.5042877
ZINC000078394095;-6.9092026;-6.2267876;-6.265468;-5.973171;-6.858221
ZINC000078394092;-6.6941805;-6.2605577;-6.3469067;-6.301111;-6.932742
ZINC000078394102;-6.725894;-6.1803484;-6.1781654;-6.5788665;-6.7854004
ZINC000225534294;-6.8309736;-6.221459;-6.7799835;-6.3054166;-6.461839
ZINC000072161640;-7.3377786;-7.802143;-7.572122;-7.3046465;-7.612751
ZINC000058438176;-7.0385737;-6.495783;-6.393519;-6.7507005;-6.9251585
ZINC000019634501;-6.6570945;-6.900639;-6.789749;-6.8554015;-6.8434153
ZINC000019634528;-7.1020613;-6.9091773;-7.1508317;-7.3035736;-7.1772747
ZINC000020773898;-7.4987993;-7.0975504;-7.0843735;-6.977356;-7.429078
ZINC000003912330;-6.733386;-6.383732;-5.9221544;-6.2776527;-6.6211624
ZINC000012618919;-7.879908;-7.1244254;-6.992645;-6.8044934;-6.891879
ZINC000083115152;-7.84828;-7.7111735;-7.4266386;-7.451236;-7.302553
ZINC000012637575;-7.733247;-7.1240315;-7.722535;-7.5562577;-7.5539823
ZINC000069898441;-6.180108;-5.500928;-5.9229355;-5.553079;-5.977692
ZINC000084157208;-6.192033;-6.982213;-7.064389;-7.1693544;-6.5745735
ZINC000012785012;-7.392714;-7.087142;-7.0957217;-7.2064314;-7.1485868
ZINC000248540271;-7.744857;-7.1599145;-7.7534375;-7.749631;-7.895382
ZINC000248540270;-7.5674253;-7.7883563;-7.3475575;-7.153826;-7.813368
ZINC000019831622;-6.6524115;-6.726112;-6.644994;-6.631831;-6.64506
ZINC000078552344;-8.040819;-7.281257;-7.877974;-8.159388;-7.8431387
ZINC000019857272;-6.7741866;-7.184559;-7.0925393;-6.9681315;-6.7241197
ZINC000012908325;-7.6527996;-7.637173;-7.6545596;-6.8292704;-7.7625713
ZINC000075126856;-7.2233934;-7.3953753;-7.3363657;-7.2654476;-7.7813478
ZINC000075260761;-6.06395;-6.4528475;-6.57203;-6.8033004;-6.7435675
ZINC000006209185;-5.606957;-5.7957077;-5.8409605;-5.9022145;-5.7703485
ZINC000006300088;-7.028876;-7.4207106;-7.3232355;-7.1921043;-7.6786427
ZINC000075402885;-7.115947;-7.0886817;-6.8642583;-6.997854;-6.7506557
ZINC000225396442;-8.608182;-8.460512;-8.202847;-8.633219;-8.372558
ZINC000013007990;-6.747101;-6.9232135;-6.312041;-6.2976193;-6.2342668
ZINC000013007988;-6.919718;-6.870556;-6.423108;-6.326101;-6.304927
ZINC000098212995;-7.182155;-6.5614924;-6.450553;-6.7925897;-7.0140257
ZINC000098212996;-7.068337;-6.5812907;-6.5701528;-6.9131126;-7.006231
ZINC000019953940;-7.794038;-7.802511;-7.6033173;-7.703516;-7.243632
ZINC000075612510;-7.7235756;-7.2376485;-7.999131;-6.946792;-7.572116
ZINC000075612502;-7.520128;-6.7217894;-7.844508;-6.9129696;-7.0095477
ZINC000296797886;-7.0096884;-7.841104;-6.9652147;-6.585856;-7.586982
ZINC000006508460;-7.6318827;-7.5486383;-7.0663395;-7.3860855;-6.909808
ZINC000003912331;-6.6511564;-6.4544725;-6.399987;-6.3957014;-6.837713
ZINC000006590734;-7.2670255;-7.2754464;-7.127151;-6.837636;-6.739478
ZINC000022932820;-7.9381485;-7.5183997;-8.406786;-7.757266;-7.8340993
ZINC000006654906;-7.032997;-7.1077666;-6.8802824;-6.5943966;-7.534907
ZINC000006654914;-6.893307;-7.380743;-6.967846;-6.8211493;-7.469942
ZINC000022932817;-7.668465;-7.660087;-8.231052;-7.593846;-7.5769715
ZINC000006787284;-8.202293;-7.845622;-7.8967953;-8.1245575;-8.339254
ZINC000006797685;-7.240527;-7.400876;-7.5606313;-7.580836;-7.353609
