name;01;02;03;04;05
ZINC000005490163;-7.4140453;-7.104325;-7.082451;-7.283513;-7.40093
ZINC000101355193;-7.1378183;-7.3201957;-7.1638813;-7.4919853;-7.147161
ZINC000005602346;-7.087229;-7.1537256;-7.351163;-7.717756;-7.60335
ZINC000000140233;-6.8490653;-6.9821854;-6.8448663;-6.9342747;-6.8907685
ZINC000003343770;-8.058619;-7.547065;-7.3128014;-7.531291;-7.4846025
ZINC000013468318;-7.836718;-7.409135;-7.513836;-7.262571;-7.4692383
ZINC000008914652;-7.668858;-7.614036;-7.6119742;-7.27873;-7.578203
ZINC000013152825;-6.396229;-6.3587465;-6.375496;-6.4193573;-6.433249
ZINC000101093349;-6.5350914;-6.728818;-6.511747;-7.106696;-7.178074
ZINC000101093347;-6.180846;-6.489155;-6.4524517;-6.9229784;-6.8126435
ZINC000101093354;-6.5350914;-6.728818;-6.511747;-7.106696;-7.178074
ZINC000101093343;-6.180846;-6.489155;-6.4524517;-6.9229784;-6.8126435
ZINC000101355169;-7.222355;-7.377733;-7.3842764;-7.2771273;-7.326791
ZINC000101355544;-7.4714055;-7.5946655;-7.561323;-7.56211;-7.6640997
ZINC000101355533;-7.121974;-7.594641;-7.63735;-7.461182;-7.3819413
ZINC000102500639;-7.685225;-7.6830983;-7.4931293;-7.3537245;-7.388335
ZINC000102500634;-7.685225;-7.6830983;-7.4931293;-7.3537245;-7.388335
ZINC000102519910;-6.9525046;-7.0702252;-6.8822823;-6.84074;-6.96318
ZINC000103503459;-6.1641965;-6.2785826;-5.8691206;-6.148659;-6.8670015
ZINC000103503462;-6.1641965;-6.2785826;-5.8691206;-6.148659;-6.8670015
ZINC000104185511;-7.591279;-7.5690975;-7.3182015;-7.4659204;-7.330815
ZINC000104185505;-7.591279;-7.5690975;-7.3182015;-7.4659204;-7.330815
ZINC000104401594;-7.685225;-7.6830983;-7.4931293;-7.3537245;-7.388335
ZINC000104401597;-7.685225;-7.6830983;-7.4931293;-7.3537245;-7.388335
ZINC000005730732;-6.8777113;-7.7197733;-7.3441863;-7.2185235;-7.3448286
ZINC000044942766;-7.1022816;-6.550606;-7.0597925;-7.1764345;-7.0226808
ZINC000048286614;-6.743183;-6.451774;-6.4654613;-6.586031;-6.1644583
ZINC000048286615;-6.7150836;-6.459011;-6.4569273;-6.5973983;-6.1372256
ZINC000012904216;-6.5366693;-6.881987;-6.6457734;-7.047591;-6.8893776
ZINC000328596892;-6.961053;-6.3081245;-6.4159174;-6.560458;-6.729656
ZINC000004752008;-8.284462;-8.335871;-7.978919;-8.436428;-8.36387
ZINC000000170824;-6.9584312;-7.075668;-6.751562;-6.7311687;-7.091398
ZINC000003543723;-7.3842034;-8.115978;-7.503159;-7.442841;-7.612246
ZINC000003543721;-7.3842034;-8.115978;-7.503159;-7.442841;-7.612246
ZINC000006066972;-6.146407;-5.8866405;-5.3257527;-5.9256635;-5.714908
ZINC000001012922;-6.3531737;-6.2204876;-6.2603426;-6.449175;-6.2410517
ZINC000012536246;-8.223505;-8.037666;-8.272314;-8.342403;-8.237589
ZINC000012542535;-7.3198853;-6.677737;-7.122383;-6.9383173;-6.9251504
ZINC000003257570;-7.3854876;-7.4796185;-7.2309566;-7.3373065;-7.547516
ZINC000003257570;-7.4473233;-7.4699717;-7.2606664;-7.3124027;-7.619365
ZINC000001239783;-7.158518;-7.945897;-7.6332364;-7.566259;-7.948968
ZINC000001307607;-7.221081;-7.651387;-7.277871;-7.1050057;-7.14574
ZINC000006158523;-6.6259212;-7.11551;-6.4475646;-7.037982;-6.6983585
ZINC000006556700;-6.5044584;-6.547237;-6.3017945;-6.815053;-6.5462646
ZINC000006974140;-6.3104444;-5.9991155;-6.46514;-6.4560637;-6.2269106
ZINC000000366584;-6.2492642;-6.65777;-6.2387123;-6.9372597;-6.5939465
ZINC000000366583;-6.7031965;-6.854996;-6.9463234;-7.099005;-6.766476
ZINC000001384309;-7.1641936;-6.984452;-7.404035;-7.6302347;-7.4592037
ZINC000210801620;-7.3413944;-7.3889904;-6.9884214;-7.3182535;-7.7981234
ZINC000075141379;-7.714355;-7.1980953;-7.5488033;-7.812974;-7.9697337
ZINC000075278412;-5.781851;-6.0760574;-5.7386107;-6.1449833;-5.9732447
ZINC000009418814;-7.9905252;-7.749938;-7.86417;-7.835947;-7.7312183
ZINC000001644562;-4.0998335;-4.5651875;-4.0646057;-4.4063663;-5.0638294
ZINC000026439502;-7.3205705;-7.768455;-7.4939847;-7.5491605;-7.63583
ZINC000006214025;-5.7399726;-6.164725;-5.762457;-5.711047;-6.3506556
ZINC000191374747;-6.887231;-7.2486563;-7.0616016;-6.6457586;-7.1486864
ZINC000191374732;-6.887231;-7.2486563;-7.0616016;-6.6457586;-7.1486864
ZINC000091208578;-7.068716;-6.138944;-6.333313;-6.5329437;-6.7621517
ZINC000001808260;-7.553775;-7.2136755;-7.0565295;-7.674689;-7.2847185
ZINC000001856276;-4.098915;-4.1774235;-4.4560943;-4.389882;-5.091632
