name;01;02;03;04;05
ZINC000215032110;-8.341492;-8.361394;-8.392397;-7.5565505;-8.867523
ZINC000215032061;-8.208822;-8.325368;-8.342987;-7.61416;-8.80756
ZINC000090728956;-8.164969;-7.4955497;-8.157114;-8.27754;-7.922324
ZINC000090728963;-8.178613;-7.669831;-8.0248165;-8.125717;-8.001073
ZINC000000213910;-8.624735;-8.1462345;-8.35991;-8.018513;-7.877537
ZINC000000212522;-8.759735;-8.520663;-7.8892827;-8.227487;-8.036953
ZINC000000212525;-8.608389;-8.481242;-8.056368;-8.197243;-8.20336
ZINC000091494370;-8.040702;-8.181867;-7.9894958;-8.304886;-7.8435516
ZINC000581806485;-8.409803;-7.5698333;-7.651795;-7.7403016;-7.81993
ZINC000581806485;-7.988456;-7.2791862;-7.3853264;-7.7428575;-7.4351397
ZINC000091494368;-8.381361;-8.269093;-8.3040905;-8.181622;-7.857019
ZINC000581806484;-7.650743;-7.7425437;-7.524803;-7.4872475;-7.5606155
ZINC000581806484;-7.6026635;-7.298228;-6.7682457;-7.3220224;-7.4834347
ZINC000215648518;-7.776089;-7.512455;-7.0386066;-6.9093533;-7.0108986
ZINC000215648518;-8.087868;-7.8757687;-7.1849318;-7.535593;-7.2517695
ZINC000215648569;-8.286274;-7.692393;-7.2527714;-7.4103746;-7.1879377
ZINC000215648569;-8.033022;-7.3550024;-6.8878827;-7.004179;-6.789005
ZINC000581816952;-7.487687;-7.6554947;-7.2294693;-7.5635834;-7.7122
ZINC000581816952;-7.22633;-7.0750313;-6.8570085;-7.3389897;-7.196777
ZINC000106914397;-6.8295927;-6.6987824;-6.8073006;-6.3757076;-6.8596106
ZINC000008992492;-7.1744823;-8.440751;-7.939331;-7.722136;-7.71987
ZINC000008992495;-7.797574;-7.8192015;-7.7202334;-7.740043;-8.030943
ZINC000008992493;-7.5258064;-8.56778;-8.17325;-7.963991;-8.305562
ZINC000048782242;-8.296079;-7.6047153;-7.642294;-7.647086;-8.057928
ZINC000072146868;-7.6175327;-8.053441;-7.4408174;-7.2884583;-7.7642717
ZINC000072146868;-7.6804404;-7.653666;-7.6034203;-7.6067324;-7.614274
ZINC000072146867;-7.9999876;-7.913559;-8.00932;-7.4327326;-7.769512
ZINC000072146867;-7.5628166;-7.609742;-7.222584;-7.5975785;-7.5181875
ZINC000058165463;-8.51693;-8.891064;-8.457985;-8.197593;-8.116722
ZINC000058165467;-7.4479265;-7.808386;-7.133782;-7.7645473;-7.1880517
ZINC000014974145;-7.765091;-7.8983083;-7.5375347;-7.46155;-7.928291
ZINC000023280949;-8.496314;-8.283666;-7.765909;-8.160337;-7.843447
ZINC000221896980;-8.8717;-7.771358;-7.9812355;-8.135949;-8.019285
ZINC000221897042;-9.140445;-8.681822;-8.218982;-8.322457;-8.574199
ZINC000097604269;-8.094191;-8.257347;-8.445494;-7.7557406;-8.657305
ZINC000097604269;-7.8357277;-8.135455;-8.367663;-7.7871857;-8.484786
ZINC000097604268;-7.817383;-8.233843;-8.290009;-7.5875587;-8.538798
ZINC000097604268;-7.95042;-8.161772;-8.690802;-7.9414663;-8.60801
ZINC000072153932;-8.169019;-8.194256;-7.9421177;-8.035326;-7.9955587
ZINC000072153932;-8.067559;-8.003665;-8.016303;-7.9659925;-7.5949993
ZINC000072153932;-8.180021;-7.9577093;-8.236948;-8.028925;-8.114733
ZINC000072153932;-8.093213;-8.24935;-7.941833;-8.047956;-8.056535
ZINC000097674472;-7.9786587;-8.548237;-7.868601;-7.561922;-8.513975
ZINC000072159047;-8.468417;-8.353344;-8.597883;-8.227375;-8.454829
ZINC000072159047;-8.51664;-8.588705;-8.869612;-8.486781;-8.561171
ZINC000072159047;-8.608694;-8.275219;-8.544782;-8.383486;-8.503096
ZINC000097757885;-8.108451;-7.3452578;-7.1902213;-7.661217;-7.5938635
ZINC000097757885;-8.095457;-7.2533474;-7.294394;-7.544019;-7.304259
ZINC000072167623;-8.201955;-8.458943;-8.1950865;-7.563872;-7.724408
ZINC000072167623;-8.443506;-8.396552;-8.358937;-8.090872;-7.8458996
ZINC000072167622;-8.625412;-8.308011;-8.359604;-8.130569;-7.8552327
ZINC000072167622;-8.222394;-7.6974287;-8.020836;-7.499857;-7.5342846
ZINC000097822925;-7.849457;-8.449524;-7.818768;-7.650765;-8.17858
ZINC000097822925;-7.7332487;-7.6723857;-7.769641;-7.010726;-7.4884157
ZINC000097822927;-7.7753677;-8.367969;-7.6839447;-7.4688544;-7.8717384
ZINC000097822927;-8.098528;-8.563413;-7.679309;-7.596071;-8.100528
ZINC000072172750;-8.716199;-8.5574255;-8.826358;-8.576434;-8.485334
ZINC000072172750;-8.277523;-8.069509;-8.629921;-7.8929787;-8.276976
ZINC000072172751;-8.310276;-8.752468;-8.696315;-7.928274;-7.9395986
ZINC000072172751;-8.484466;-8.705293;-8.803006;-8.532217;-8.611493
ZINC000248408656;-8.186727;-7.868908;-8.225737;-8.419221;-8.070279
ZINC000248408656;-8.355653;-7.8675675;-8.261316;-8.517208;-8.073493
ZINC000248408637;-8.677008;-8.218639;-7.924532;-8.312277;-8.088442
ZINC000248408658;-8.131615;-7.944324;-8.248386;-8.357649;-8.043649
ZINC000248408658;-8.442725;-7.8618503;-8.374321;-8.431295;-7.9224687
ZINC000248408638;-8.554119;-7.557452;-7.5026293;-7.7958717;-7.340507
ZINC000248408657;-7.981128;-8.2127495;-8.020839;-7.8558598;-8.212385
ZINC000248408657;-8.213015;-8.284072;-7.7728424;-8.124475;-8.073715
ZINC000248408659;-8.629257;-8.677675;-9.149211;-8.425655;-8.547937
ZINC000248408659;-8.639442;-8.527126;-8.336673;-8.755533;-8.528518
ZINC000091831113;-8.157112;-8.287125;-8.174367;-8.237579;-7.8447814
