name;01;02;03;04;05
ZINC000520044759;-8.950834;-8.689033;-8.758053;-9.101456;-8.73884
ZINC000522557807;-9.1115055;-8.290528;-8.3044815;-8.182528;-8.227682
ZINC000500900371;-9.434164;-8.923186;-9.158679;-8.803676;-8.759211
ZINC000522557806;-9.112931;-7.901538;-7.66442;-8.221086;-8.046469
ZINC000122142616;-8.854629;-8.3212805;-8.591547;-8.39077;-8.679036
ZINC000183198142;-9.023531;-8.711573;-8.804719;-8.585832;-8.716946
ZINC000122142413;-8.749845;-8.395722;-8.611838;-8.3789835;-8.741841
ZINC000183198190;-9.110772;-8.942005;-8.230057;-8.72954;-8.161848
ZINC000183187955;-8.904451;-8.271721;-8.44466;-8.292505;-8.240362
ZINC000173320192;-9.343616;-8.451216;-9.161079;-9.276433;-9.065466
ZINC000173320176;-9.054142;-8.289241;-9.441757;-9.275887;-9.246233
ZINC000425944921;-9.584137;-9.467966;-8.724793;-9.152674;-8.902381
ZINC000425944922;-9.256679;-9.430836;-8.762336;-9.103897;-9.04155
ZINC000425944924;-9.3314495;-9.059846;-8.2154665;-9.17411;-8.883727
ZINC000425944923;-9.096524;-8.91395;-8.492908;-9.041275;-9.07784
ZINC000120506966;-9.431683;-9.1559725;-9.263065;-9.118202;-9.489222
ZINC000120507118;-9.532284;-9.081447;-9.186474;-9.122253;-9.428743
ZINC000178643357;-9.9739685;-8.951381;-8.945857;-9.423084;-9.778141
ZINC000423219542;-10.082537;-10.163593;-9.253612;-9.2586565;-8.983322
ZINC000325116233;-9.263096;-8.974261;-8.281707;-8.375677;-8.8887825
ZINC000423219543;-9.631329;-9.681281;-9.432739;-9.398678;-9.148594
ZINC000125868559;-9.643518;-9.254028;-8.428832;-8.372412;-8.518827
ZINC000125868955;-9.581513;-8.71517;-8.835743;-8.592125;-8.642874
ZINC000125868786;-9.831782;-8.782371;-8.778393;-8.688866;-8.894875
ZINC000125868315;-9.431058;-9.190383;-8.399095;-8.733156;-8.556961
ZINC000603875745;-9.991327;-10.019991;-9.074114;-9.8521595;-9.441853
ZINC000603875744;-9.943424;-9.8962145;-9.205726;-9.80175;-9.622982
ZINC000178644315;-8.769693;-7.5981755;-8.882779;-8.279272;-8.50535
ZINC000178644335;-9.017912;-7.886663;-8.835949;-8.44009;-8.540984
ZINC000178646784;-9.293902;-8.475164;-8.444329;-8.348268;-8.957717
ZINC000178646799;-9.221365;-8.397501;-8.60988;-8.339529;-8.999836
ZINC000423289841;-9.737623;-9.3309765;-9.865605;-9.219574;-9.54406
ZINC000248397846;-10.233019;-9.185839;-9.610981;-9.84591;-9.544141
ZINC000423289838;-9.481777;-8.662309;-9.083068;-9.175304;-8.713773
ZINC000423289840;-9.478321;-8.604235;-9.09114;-9.18739;-8.650661
ZINC000423289839;-9.677699;-9.253964;-9.813487;-9.283848;-9.463884
ZINC000443602453;-9.980739;-9.249359;-9.495036;-9.541112;-9.974333
ZINC000443602451;-10.024124;-9.165822;-9.580456;-9.617896;-10.059362
ZINC001171092628;-8.594983;-8.535161;-6.9558954;-7.297481;-7.8067317
ZINC001171092627;-8.393875;-8.450342;-6.825621;-7.386537;-7.8267107
ZINC000423295155;-9.428097;-9.253028;-8.635744;-9.129633;-8.852867
ZINC000423295152;-9.463354;-9.309266;-8.701704;-9.140644;-8.990871
ZINC000423295153;-9.328612;-9.247529;-8.678037;-9.198404;-8.87952
ZINC000423295154;-9.52728;-9.28886;-8.664135;-9.080796;-8.910695
ZINC000551265698;-9.325701;-8.8612585;-9.08847;-8.61909;-9.086433
ZINC000248397847;-9.454764;-9.013726;-9.174432;-8.961575;-9.24504
ZINC000551265695;-9.249344;-8.182927;-9.12483;-8.535196;-8.430424
ZINC000183454040;-8.86903;-8.815059;-8.438558;-8.639712;-9.183109
ZINC000443605465;-8.982527;-8.718578;-9.023905;-9.0469885;-9.041951
ZINC000443605467;-9.036724;-8.797699;-8.948218;-8.902498;-9.081266
ZINC000447537750;-9.181192;-9.531574;-9.334589;-9.542883;-9.635456
ZINC000447537749;-9.1947;-9.592527;-9.259309;-9.554073;-9.645771
ZINC000447537752;-9.265832;-9.605095;-9.463329;-9.502756;-9.602858
ZINC000447537751;-9.323592;-9.4500475;-9.507277;-9.439305;-9.584583
ZINC000447542825;-9.477082;-9.885033;-9.410631;-9.698569;-10.015321
ZINC000447542821;-9.3817215;-9.743054;-9.480262;-9.700564;-10.039579
ZINC000433281726;-9.017269;-8.116882;-8.925808;-8.801876;-8.3592825
ZINC000447540109;-9.310975;-9.180203;-9.349742;-9.1826315;-9.500024
ZINC000248393718;-9.327656;-8.909229;-8.62361;-8.727703;-8.632989
