name;01;02;03;04;05
ZINC000136525796;-6.7789984;-6.8316936;-6.722499;-6.7732105;-6.7659945
ZINC000137030710;-7.4428415;-7.373656;-7.3273897;-7.2492237;-7.228967
ZINC000137096068;-7.3824306;-7.2776523;-7.062188;-7.717686;-7.432296
ZINC000001240983;-7.289196;-7.335603;-6.6892686;-7.182525;-6.9659443
ZINC000005392778;-8.227716;-8.002352;-8.260747;-7.4859037;-8.450312
ZINC000003175811;-7.352205;-7.053955;-7.091497;-7.0615454;-7.111861
ZINC000007949630;-7.043426;-7.406584;-7.0850863;-7.2541857;-7.555292
ZINC000408782383;-6.956732;-6.9145327;-6.7141876;-7.1729627;-7.1169457
ZINC000408784789;-7.4996667;-8.297315;-7.8578405;-8.051638;-7.8788023
ZINC000408806623;-6.5243034;-6.0205746;-6.337735;-6.5184517;-6.519575
ZINC000408844718;-6.9586716;-7.0751247;-6.689572;-7.0785513;-7.0067205
ZINC000408851616;-6.6378098;-6.5662007;-6.591026;-5.896196;-6.11749
ZINC000408848163;-6.3507996;-6.4094267;-6.6533136;-6.3525567;-6.364413
ZINC000408848165;-6.029471;-6.2217884;-6.3374743;-6.201982;-6.183643
ZINC000408850859;-7.1156645;-7.337432;-7.144131;-7.2751064;-7.3450346
ZINC000408857779;-7.3085985;-7.40254;-7.076045;-7.55895;-7.823317
ZINC000408858391;-7.864271;-7.3501678;-7.569887;-7.594494;-7.785968
ZINC000408851243;-7.761447;-7.7452364;-7.7819114;-7.897387;-7.588318
ZINC000408856203;-6.7671967;-6.8863735;-7.089104;-6.6442204;-6.5279884
ZINC000408905123;-7.566998;-7.7408624;-7.558333;-7.54496;-7.6445007
ZINC000408903890;-6.241695;-6.2832813;-6.85031;-6.994168;-6.591748
ZINC000408904922;-7.3179154;-7.148415;-6.9700136;-6.725649;-7.143965
ZINC000408904702;-7.4955487;-7.6695967;-7.6407337;-7.5556602;-7.6870766
ZINC000408913077;-7.4426928;-7.0906096;-7.050715;-7.3245454;-7.3989906
ZINC000408913081;-7.5016418;-7.408358;-7.332728;-7.5774193;-6.9455557
ZINC000408910924;-7.712202;-7.4442415;-7.1866803;-7.4824567;-7.366703
ZINC000408915471;-6.7632875;-6.924408;-6.6974196;-6.895416;-6.990751
ZINC000408932223;-7.5444202;-7.923183;-7.596249;-7.7732487;-7.824272
ZINC000408935799;-7.4225974;-7.752743;-7.100673;-7.324959;-7.4216485
ZINC000408936842;-6.9987144;-7.364487;-6.7282896;-7.119292;-7.1720314
ZINC000408935812;-7.7518334;-7.895834;-7.2800694;-7.8331003;-7.8812327
ZINC000408950465;-7.214143;-7.2750025;-7.1135435;-7.4262023;-7.3662314
ZINC000408950149;-6.8222656;-7.1411443;-6.8619184;-7.185823;-6.978656
ZINC000408949281;-6.9174266;-7.0313263;-7.159095;-6.989689;-7.0760775
ZINC000408959759;-7.3000107;-7.5509195;-7.2656965;-7.2648497;-7.345469
ZINC000408961349;-7.179609;-7.3325133;-7.1780005;-7.228378;-7.1596427
ZINC000408962096;-6.4778566;-6.835718;-6.9308186;-6.4319663;-6.725445
ZINC000408965236;-6.314531;-6.388822;-6.812695;-7.08055;-6.656864
ZINC000409010436;-7.858691;-7.5068307;-7.206639;-7.620098;-7.642658
ZINC000409010434;-7.8828154;-7.425481;-7.182755;-7.624611;-7.5567017
ZINC000409012000;-7.13016;-6.8356557;-6.620722;-6.9339533;-6.980122
ZINC000409015569;-6.6255274;-6.4434795;-7.0819597;-7.100213;-6.4261885
ZINC000409023086;-7.109394;-7.1744995;-7.0253124;-7.433592;-7.3545117
ZINC000409067285;-6.250827;-6.491318;-6.6533666;-7.094152;-6.5320044
ZINC000409064404;-6.8487787;-7.186289;-6.596744;-6.7760954;-6.774115
ZINC000409066886;-8.024304;-8.137449;-7.94716;-8.039523;-8.202352
ZINC000409068326;-6.4346633;-6.585306;-6.461564;-6.2466993;-6.49457
ZINC000409072375;-7.7702165;-7.687867;-7.6736746;-7.505246;-7.636392
ZINC000409071479;-7.2826;-7.226486;-7.252093;-6.9161615;-6.753666
ZINC000409072073;-6.5342064;-6.8502674;-6.6807327;-6.6509833;-6.811932
ZINC000409073330;-7.0449095;-6.966952;-6.8176217;-7.018362;-7.013115
ZINC000409079946;-7.5546765;-8.098134;-7.659815;-7.695466;-7.7082205
ZINC000409092305;-7.791462;-7.5316553;-7.953076;-7.5071335;-8.329349
ZINC000409079494;-6.5864086;-6.7163343;-6.524266;-6.3810477;-6.7094855
ZINC000409094883;-8.02648;-8.159847;-8.18916;-7.9581046;-8.290043
ZINC000409087442;-7.474974;-7.6665745;-7.6347475;-7.3439465;-8.084203
ZINC000409089844;-6.841817;-6.683048;-6.7817245;-7.1345778;-6.897579
ZINC000409088526;-6.945921;-6.909365;-7.098608;-6.7840967;-6.88388
ZINC000409089162;-7.4144096;-7.987677;-7.5037785;-7.479891;-7.682522
ZINC000409091021;-7.4589634;-8.144813;-7.5224895;-7.5909743;-8.134174
ZINC000409103986;-7.03337;-6.9842634;-7.496611;-7.006648;-6.7579336
ZINC000409096328;-8.1469555;-8.45167;-8.286526;-8.26033;-8.517026
ZINC000409102415;-7.0215006;-7.0987873;-6.713844;-6.888929;-7.121076
ZINC000409100569;-7.65337;-7.920544;-7.38896;-7.6739335;-7.8277946
ZINC000409102557;-8.957937;-9.407724;-8.653327;-8.675085;-8.695814
ZINC000409102913;-6.988548;-7.1281233;-7.2530513;-6.958603;-6.9348936
ZINC000409103321;-6.9445653;-7.097175;-7.097012;-6.956687;-6.8563914
ZINC000409108123;-7.005979;-7.0588293;-6.6974096;-6.87219;-6.9749007
ZINC000409107962;-7.690945;-7.9345045;-7.541324;-7.4775047;-7.830785
ZINC000409107532;-6.2200127;-6.527421;-6.7390013;-7.033189;-6.5151563
ZINC000409108945;-7.4158025;-7.672237;-7.4879837;-7.2151957;-7.6725864
ZINC000409188357;-6.823546;-6.66199;-6.502852;-6.9529486;-6.652813
