name;01;02;03;04;05
ZINC000005265564;-7.2327204;-8.034981;-7.6260204;-7.507961;-8.156652
ZINC000005282798;-8.925164;-8.840271;-8.391866;-8.61915;-8.150916
ZINC000072073047;-7.638017;-7.6267004;-7.8200994;-7.9356422;-7.7255607
ZINC000072073048;-7.890622;-7.5048223;-7.66588;-7.842036;-8.026442
ZINC000001668733;-7.9461017;-7.9213085;-7.7821736;-7.8486075;-7.825688
ZINC000001667308;-7.659739;-7.8185897;-7.587374;-7.8226633;-7.79597
ZINC000001664853;-7.1450787;-7.249785;-6.870258;-7.4478526;-7.1840014
ZINC000008830039;-5.559962;-5.908318;-5.5334516;-5.1619706;-5.24173
ZINC000055074022;-7.105785;-6.8641744;-6.441236;-6.8927956;-6.715584
ZINC000055074023;-7.4348454;-6.7518406;-6.4036164;-6.7893486;-6.6632423
ZINC000055036865;-7.449189;-6.8336606;-7.1993504;-7.0311885;-7.5309467
ZINC000055042658;-7.7541404;-7.412046;-7.2723045;-7.2600107;-7.353691
ZINC000055036867;-7.5058603;-7.061303;-7.2291327;-7.0560465;-7.545347
ZINC000013731155;-8.171844;-6.872932;-6.7089524;-7.211236;-7.092322
ZINC000013731158;-8.283795;-6.884848;-6.722474;-7.2515736;-7.182339
ZINC000012979405;-6.685809;-6.1969023;-6.345648;-6.6086497;-6.71146
ZINC000018191534;-7.412522;-7.583501;-7.305616;-7.641678;-7.500254
ZINC000014856217;-8.13396;-7.446354;-7.332245;-7.566782;-8.240886
ZINC000014855774;-7.2258506;-7.142731;-6.713924;-7.1645145;-7.118955
ZINC000044844406;-8.676603;-8.331409;-8.182875;-8.256853;-8.202838
ZINC000225432593;-7.7453322;-7.7318945;-7.1711736;-7.4693375;-7.4332733
ZINC000225432637;-7.7232237;-7.7873516;-6.873891;-7.1561193;-7.3192925
ZINC000002886037;-7.691844;-7.2279058;-7.230675;-7.136755;-7.207174
ZINC000002839417;-6.8825603;-6.9219284;-6.850732;-6.7799315;-6.863442
ZINC000002839349;-5.8370404;-6.131444;-5.8713984;-6.0345874;-6.2470236
ZINC000024976541;-8.767254;-8.692947;-8.599752;-7.9789;-8.487171
ZINC000006600515;-7.34251;-7.0449095;-7.5145545;-7.0536394;-7.0904703
ZINC000225425398;-7.323611;-6.949244;-6.9955506;-7.2268696;-7.1556125
ZINC000002839666;-5.5951953;-5.6300416;-5.6926403;-5.851574;-5.74
ZINC000009157931;-7.347963;-7.332056;-7.2772107;-7.5009947;-7.5196166
ZINC000000099159;-7.2709436;-7.3241324;-7.2706347;-6.9699354;-7.415796
ZINC000225627178;-7.6699424;-7.544882;-7.953797;-7.9212484;-7.614666
ZINC000225627205;-7.2761087;-7.317384;-7.649901;-7.246452;-7.5448623
ZINC000100659179;-7.52723;-7.6082034;-6.5513344;-7.727123;-6.8556504
ZINC000002173517;-6.582153;-6.8022532;-6.496759;-6.9328322;-6.836026
ZINC000002536981;-6.619225;-6.675468;-6.6285706;-6.3487515;-6.5794463
ZINC000035841000;-7.3862247;-6.53439;-7.6383715;-7.66726;-7.21849
ZINC000241720893;-7.3819385;-7.1026354;-7.1535144;-7.143078;-7.1282086
ZINC000241720892;-7.7195597;-7.691378;-7.2769012;-7.3701363;-7.4641795
ZINC000257356076;-7.6300244;-7.8253675;-7.5579886;-7.774098;-7.676569
ZINC000257356075;-7.831577;-7.6153684;-7.565853;-7.808715;-7.6405377
ZINC000036089811;-6.8525715;-6.3152575;-6.1611485;-6.3403845;-6.748906
ZINC000072171436;-8.122764;-8.200182;-7.709876;-7.300786;-7.8367915
ZINC000072171437;-8.113955;-8.068832;-7.4886827;-7.700551;-8.262316
ZINC000097960730;-6.3578324;-6.5426884;-6.437468;-6.056255;-6.1394973
ZINC000097972973;-6.081823;-5.8734903;-5.8026876;-5.755463;-5.9793873
ZINC000097972974;-6.0163846;-5.652919;-5.4870567;-5.6640606;-5.8889394
ZINC000065462799;-7.418581;-7.2986627;-7.1530375;-7.122621;-7.0182962
ZINC000067192404;-7.731671;-7.678819;-7.609477;-7.477662;-7.177875
ZINC000084502446;-7.217498;-7.2855797;-7.0813828;-7.176879;-7.2054257
ZINC000069980946;-7.776375;-7.515055;-7.702399;-8.167269;-7.9576607
ZINC000012775671;-8.053961;-7.7702546;-7.8049846;-8.00915;-7.8509727
ZINC000012708935;-8.237907;-7.5829105;-7.876045;-7.882732;-7.7277746
ZINC000012708931;-8.016909;-7.49507;-7.591918;-7.3660464;-7.343271
ZINC000000138512;-5.956957;-6.1687136;-6.213409;-6.192834;-5.917226
ZINC000001423814;-6.648424;-6.4904;-6.939188;-7.3819547;-7.212489
ZINC000001767744;-7.7784433;-7.562474;-8.064209;-8.149569;-8.270112
ZINC000001825614;-7.699954;-7.8732495;-6.629442;-7.016008;-7.4390497
ZINC000001825613;-7.6274;-7.5087876;-6.658946;-6.975205;-7.7463937
ZINC000001819003;-7.9590535;-8.047754;-6.7980328;-7.637626;-7.5872827
ZINC000002279569;-8.59762;-7.485148;-6.672595;-7.3883553;-7.6035786
ZINC000002156516;-6.7424564;-6.409859;-6.2626295;-6.483937;-6.812398
ZINC000003080626;-6.9492416;-6.6633935;-6.6484213;-6.663418;-6.5024943
ZINC000100684628;-5.54261;-5.40109;-5.587828;-5.359282;-5.195669
ZINC000003818809;-8.056481;-7.8023505;-7.595253;-7.6468735;-7.468015
ZINC000012912468;-7.5146885;-7.3834867;-7.546434;-7.2412853;-7.5953283
ZINC000075273854;-6.404055;-6.2293243;-6.8074193;-6.763958;-6.871301
ZINC000075273852;-6.4240527;-6.22499;-6.775687;-6.749818;-6.857981
ZINC000089261547;-8.274179;-8.707535;-8.108417;-8.02438;-8.554548
ZINC000089261549;-8.023398;-8.9775;-7.9988365;-8.030448;-8.584057
ZINC000006321464;-6.2895555;-5.898157;-5.560384;-6.2982006;-6.1934323
ZINC000103640448;-6.440901;-6.1530466;-6.080674;-6.3816586;-6.2056336
ZINC000001769311;-6.851468;-7.262125;-6.8201785;-7.060684;-6.8490353
ZINC000239338946;-6.729137;-6.9254975;-6.4221487;-6.7816434;-6.682111
ZINC000239338947;-6.9507275;-7.1440663;-6.693547;-6.6741776;-7.0703015
ZINC000239338948;-6.814792;-7.2654953;-6.822533;-7.20925;-7.217459
ZINC000239433140;-8.629574;-7.5288258;-7.9863214;-8.111549;-8.0214
