name;01;02;03;04;05
ZINC000257329346;-6.168396;-5.8326855;-6.3755827;-6.873619;-6.0352983
ZINC000257329346;-6.6172876;-5.852271;-6.486939;-6.829568;-6.4721045
ZINC000105351463;-6.817416;-5.618884;-6.4639673;-6.950725;-6.6037774
ZINC000036634075;-6.7917523;-6.8037386;-7.059444;-7.167116;-6.7687635
ZINC000004416423;-5.1583943;-6.139163;-4.199052;-4.39363;-4.554768
ZINC000004416423;-4.9311996;-6.0589886;-4.047107;-4.3436284;-4.617152
ZINC000257222850;-5.2685294;-6.5403504;-6.4078956;-6.218841;-6.384984
ZINC000257273408;-7.9304466;-7.3397264;-6.510001;-6.642863;-6.6192517
ZINC000257263245;-5.862357;-6.021728;-6.449444;-6.439918;-6.084626
ZINC000257262811;-6.016518;-6.321339;-6.009608;-6.2717323;-5.833985
ZINC000257269781;-7.082244;-6.3904395;-6.482811;-7.2003517;-6.686638
ZINC000257281915;-6.7187433;-6.5710487;-6.661575;-6.3060446;-6.800681
ZINC000257281915;-6.960199;-6.472511;-6.8020997;-6.410119;-6.7654104
ZINC000257288617;-6.6436462;-6.7317305;-6.9167743;-6.900075;-6.6373377
ZINC000257207457;-6.363619;-6.3687983;-6.507327;-6.7046785;-6.5316467
ZINC000257203219;-6.2842855;-7.0917826;-6.949913;-6.9488444;-6.9163327
ZINC000306139205;-6.702092;-7.302139;-7.2248783;-6.976578;-7.163351
ZINC000306139205;-6.702092;-7.302139;-7.2248783;-6.976578;-7.163351
ZINC000257246868;-6.2665663;-6.488611;-6.3440695;-6.238722;-6.03679
ZINC000257246868;-5.742215;-6.4216056;-6.447251;-6.5704927;-6.305355
ZINC000257215150;-6.4081335;-7.184682;-6.6768613;-7.596356;-7.3526864
ZINC000257215150;-6.504145;-6.96705;-6.4340925;-7.3000436;-7.1475143
ZINC000257304887;-5.840146;-6.712194;-5.9043427;-6.1503086;-6.0231795
ZINC000257304887;-5.8491354;-6.545544;-6.0138693;-6.152741;-6.2337937
ZINC000257299503;-5.6894026;-6.0486164;-6.345895;-5.940946;-6.0606737
ZINC000257294305;-6.715325;-6.2277317;-5.9504232;-6.2373066;-6.424568
ZINC000257233695;-6.5290527;-6.201564;-6.3427787;-6.127214;-6.736464
ZINC000257234118;-5.66442;-6.4349604;-6.199559;-6.161328;-6.372958
ZINC000257234118;-5.7326155;-6.3404865;-6.299176;-5.894816;-6.261045
ZINC000257213632;-5.2489433;-5.963523;-6.45297;-5.9884114;-5.9442854
ZINC000067897349;-7.0751324;-6.62249;-7.033888;-6.5549135;-6.8039966
ZINC000005105282;-6.326935;-6.0114007;-5.886624;-6.645348;-6.1047287
ZINC000096251008;-8.046749;-8.019436;-6.5825357;-7.0257287;-7.1149554
ZINC000096249611;-6.187077;-6.8036537;-6.3542366;-6.119302;-6.1639175
ZINC000096066669;-7.8782263;-7.546619;-7.1213036;-7.2271805;-7.479658
ZINC000306133050;-7.005169;-7.173313;-7.6823254;-7.019391;-7.815637
ZINC000096108544;-5.7134223;-6.033515;-6.500576;-6.480216;-5.9112267
ZINC000062161614;-7.631726;-7.4466724;-7.4309883;-7.183357;-6.952154
ZINC000015188572;-8.105003;-7.770155;-7.40014;-7.0306745;-7.720062
ZINC000096533301;-5.5230217;-6.306241;-6.4663987;-5.766358;-6.1173973
ZINC000004416424;-5.894277;-5.9224205;-4.6188116;-4.7943573;-4.546216
ZINC000004416424;-5.486278;-6.11695;-4.740864;-4.823509;-4.602126
ZINC000096262232;-6.6776686;-6.88936;-7.0520697;-6.6088214;-6.553737
ZINC000016022080;-6.890665;-5.2266235;-6.214907;-6.0063524;-5.951128
ZINC000116313264;-6.0722837;-7.251456;-6.3460245;-6.5765257;-6.55323
ZINC000116313264;-6.73127;-6.85281;-6.240873;-6.67809;-6.6737423
ZINC000015708328;-7.799527;-7.390474;-6.842819;-7.2462096;-7.1083674
ZINC000015708328;-7.2460227;-7.0701895;-7.170237;-7.6443663;-7.4651666
ZINC000116313259;-6.3259187;-6.967314;-6.1973763;-6.740142;-6.386776
ZINC000116313259;-6.4081116;-7.132155;-6.412075;-6.6064644;-6.620639
ZINC000015708334;-7.4001555;-7.028737;-6.919847;-7.137824;-6.6722803
ZINC000015708334;-7.3254356;-7.211809;-7.042386;-7.4626455;-7.4881053
ZINC000004830493;-5.494089;-6.1107917;-5.4863086;-5.7832465;-5.799758
ZINC000004830492;-6.021552;-6.0789046;-5.680178;-6.0701766;-5.8296027
ZINC000077265422;-8.567317;-8.798251;-8.093037;-8.297799;-8.100802
ZINC000329004764;-7.1892185;-7.4644785;-7.729417;-7.8690653;-7.926323
ZINC000329114816;-6.8701124;-6.7644687;-7.0404496;-6.856231;-6.786248
ZINC000096244184;-7.462244;-6.9979677;-6.825437;-6.5930147;-6.8737116
ZINC000096244184;-7.125121;-6.9904103;-6.6040525;-6.1586676;-6.6656075
ZINC000096244185;-7.107019;-6.938076;-6.80071;-6.225499;-6.645005
ZINC000096244185;-6.9710646;-6.9532957;-6.556138;-6.5546913;-6.914181
ZINC000020465019;-6.675027;-5.3351364;-6.1454477;-6.055385;-6.619712
ZINC000057773682;-8.447651;-8.280963;-7.8246937;-8.604541;-8.158602
ZINC000057773679;-8.630263;-8.447146;-7.89883;-8.752563;-8.155724
ZINC000019710068;-7.5524406;-7.130251;-6.8189654;-7.0193048;-7.358015
ZINC000019710069;-7.3406887;-7.137306;-6.803739;-7.0182076;-7.312796
ZINC000025425825;-6.5657005;-7.46295;-6.4670873;-6.9711404;-6.4269853
ZINC000257242186;-6.6739964;-6.889261;-7.161041;-5.728153;-6.1496506
ZINC000257242186;-7.2235045;-6.7349515;-6.8139405;-6.2038794;-6.413443
ZINC000257254991;-5.9121523;-6.321328;-6.7163086;-6.200781;-6.7183557
ZINC000257254991;-5.566672;-6.097832;-6.454051;-6.1091275;-6.643624
ZINC000257258587;-6.9287395;-7.0610843;-6.787589;-6.8388176;-6.6279535
ZINC000257258587;-6.6241875;-7.122989;-6.879432;-6.3917246;-6.549236
ZINC000257256798;-7.2468014;-7.4736285;-7.2352138;-7.6731834;-7.6565742
ZINC000257258586;-6.4678063;-7.2019553;-6.8227706;-6.615919;-6.6033554
ZINC000257258586;-6.9210887;-7.0628977;-6.4807754;-6.706233;-6.7794957
ZINC000257233694;-6.1837745;-6.2834015;-7.069956;-6.4220147;-6.989774
ZINC000257245827;-7.101084;-7.7055182;-7.545312;-7.568535;-7.4968605
ZINC000257216744;-7.115491;-6.6649;-6.7146177;-6.2956624;-6.7787576
ZINC000257245828;-7.024064;-7.6770163;-7.3462625;-7.575858;-7.738082
ZINC000257266580;-6.6723742;-7.4005895;-7.001315;-5.987012;-6.6892867
ZINC000257273407;-7.621989;-7.488413;-6.5810947;-6.6490774;-6.6481695
ZINC000257335706;-6.8421636;-7.900571;-7.205414;-7.1645613;-7.1832714
ZINC000257338622;-8.031732;-8.555926;-8.149749;-8.216647;-8.2448435
ZINC000257324182;-7.019755;-7.440501;-7.074392;-6.553559;-6.4599094
ZINC000257338621;-8.229398;-8.624842;-8.461163;-8.045302;-8.518472
ZINC000257319063;-6.0557117;-6.494693;-6.0040946;-6.0031314;-6.813229
ZINC000257288616;-6.464377;-6.839315;-6.8511;-7.1251383;-6.726884
ZINC000101274554;-7.124068;-6.803993;-7.082861;-7.060385;-6.7062435
ZINC000247549768;-6.302519;-7.3299785;-6.5374475;-6.3428416;-6.54097
ZINC000247549768;-6.278815;-7.24556;-6.2608404;-6.815872;-6.372384
ZINC000247549772;-6.43545;-6.859189;-6.3512735;-6.8415365;-6.536833
ZINC000247549772;-6.3131313;-7.1561403;-6.299036;-6.3704453;-6.2585635
ZINC000020247362;-5.622069;-5.5948505;-5.299171;-5.200073;-5.5502853
ZINC000020548768;-6.6849613;-5.19274;-6.374767;-6.0424733;-6.0509048
ZINC000012489950;-6.030908;-6.337683;-5.991067;-5.74031;-5.8314686
ZINC000012489950;-6.3886147;-6.1756196;-5.3489957;-5.677191;-5.617811
ZINC000020463899;-5.988725;-6.990308;-7.8297358;-6.797275;-6.9627476
ZINC000020463877;-6.8207803;-6.934525;-7.275277;-6.9652557;-7.067007
ZINC000020463665;-5.8257303;-6.95314;-7.2111616;-6.6301546;-6.196751
ZINC000020465704;-6.923147;-6.587058;-6.608814;-6.6540136;-7.2654424
ZINC000020463893;-6.057836;-6.562696;-6.293729;-6.7695255;-6.777838
ZINC000020463684;-5.6077037;-6.379435;-6.239128;-6.2955;-6.0448833
ZINC000020463902;-6.5137;-6.908482;-7.0050545;-6.975563;-6.7392
ZINC000020504963;-7.514449;-7.445127;-7.776484;-7.41595;-7.2627463
ZINC000001711730;-5.8140306;-5.8837395;-6.17212;-6.25249;-6.431156
ZINC000105351769;-6.3264303;-5.82178;-6.7259254;-5.8570995;-6.429858
ZINC000009265113;-7.4165535;-7.724195;-7.275337;-7.1147485;-7.5534897
ZINC000009265111;-7.613139;-7.6609592;-7.378213;-7.0246763;-7.5291348
ZINC000408602100;-7.4141297;-7.7644467;-7.585793;-7.6082344;-7.13667
ZINC000004830491;-6.1067038;-6.019759;-5.4841895;-6.082751;-6.3900175
ZINC000005105280;-6.576729;-5.481853;-5.668295;-6.4690332;-5.730492
ZINC000005105281;-6.8212814;-5.9578385;-6.4997683;-6.353445;-6.458423
ZINC000005105279;-5.9702888;-5.7525535;-6.241257;-6.078629;-6.0182495
ZINC000035442564;-7.211564;-6.467205;-6.768615;-6.271093;-6.895771
ZINC000022922179;-6.9629993;-7.2757187;-6.7049427;-7.094584;-6.772021
ZINC000022922540;-6.1597996;-5.8194265;-6.1914873;-6.2198186;-6.3963695
ZINC000022922540;-5.7011805;-5.849452;-6.185772;-5.730239;-5.6613693
ZINC000019341678;-6.067038;-6.5058026;-5.845495;-6.276239;-5.714722
ZINC000257332649;-6.67731;-6.781174;-7.241785;-6.5686316;-6.8195667
ZINC000022820919;-7.024401;-6.923949;-6.959023;-7.240963;-6.9765587
ZINC000575422078;-7.916459;-7.424917;-5.8843756;-7.278023;-7.012045
ZINC000016022196;-7.055485;-5.3634305;-6.6180253;-6.470731;-6.4262934
ZINC000575422084;-6.8108373;-6.9558253;-5.9592834;-7.2050304;-7.0856276
ZINC000575422201;-7.0670924;-7.005624;-6.430617;-7.551204;-7.396939
ZINC000575422202;-6.9237413;-6.9066267;-6.1612735;-7.2509623;-7.163514
ZINC000575422203;-6.3018694;-6.7499814;-5.966736;-7.40817;-7.3626895
ZINC000575420519;-6.157729;-6.4284544;-5.899926;-6.1318846;-6.4525394
ZINC000575422082;-7.731617;-7.2390413;-5.5026197;-6.954718;-6.7951345
