name;01;02;03;04;05
ZINC000001443432;-7.5372725;-7.1948433;-7.046381;-7.6272316;-7.545849
ZINC000004358926;-6.46068;-6.7487373;-6.702531;-6.723158;-6.4520063
ZINC000004358933;-6.7735033;-6.9325943;-6.6211805;-6.6972437;-6.514092
ZINC000004342491;-6.618904;-7.0705237;-6.858311;-7.0465026;-6.7007637
ZINC000013557047;-6.286656;-6.9783993;-6.81177;-6.9628725;-6.860115
ZINC000013555248;-6.1226625;-6.690859;-6.5550284;-6.7797146;-6.4970417
ZINC000004723950;-5.6223063;-5.7464256;-5.6494055;-6.025085;-5.875766
ZINC000041084486;-7.241949;-7.5563583;-7.1000376;-7.7122593;-7.4270887
ZINC000041077865;-7.311893;-7.480891;-7.2624707;-7.145592;-7.3810673
ZINC000041083966;-7.226519;-6.982833;-6.992782;-6.7708874;-6.976227
ZINC000054672249;-6.5601025;-6.503309;-6.6661663;-6.635862;-6.537854
ZINC000004933202;-6.80897;-6.786582;-6.3479977;-6.996333;-6.2454677
ZINC000013555539;-5.9181433;-6.695329;-6.4926863;-6.6866364;-6.4716415
ZINC000013556983;-7.2341366;-7.2372537;-6.6093097;-7.2075763;-6.701307
ZINC000013557707;-7.8325353;-7.3927712;-7.0902076;-7.4695683;-7.263839
ZINC000013590084;-6.6395626;-6.5793476;-6.804803;-7.050646;-6.7470937
ZINC000004745430;-6.4373727;-5.890744;-5.594995;-6.337121;-6.041017
ZINC000005245553;-6.731187;-6.6487484;-6.493186;-6.9325447;-6.663253
ZINC000005246700;-7.830724;-7.067883;-6.7608747;-6.9798064;-7.257601
ZINC000005307734;-7.2201552;-7.11859;-6.795593;-7.2745056;-6.8420157
ZINC000005371072;-7.224043;-7.8013277;-7.5165315;-7.8634634;-7.912236
ZINC000026111808;-6.56883;-6.8335786;-6.555462;-6.57774;-7.121233
ZINC000005526500;-6.4996953;-6.3250318;-6.2454457;-6.7060256;-6.689305
ZINC000329001368;-7.427995;-7.0969915;-6.7048855;-7.0828896;-7.187153
ZINC000329018790;-7.85046;-7.297367;-7.1545486;-7.2834787;-7.555666
ZINC000005616409;-6.9152513;-6.9677043;-6.612232;-6.724802;-6.9849434
ZINC000004092250;-5.843519;-5.863345;-6.5031204;-6.1402216;-6.1234884
ZINC000328961051;-7.5650616;-7.3069754;-6.882219;-7.296189;-7.410837
ZINC000057613974;-6.8922048;-8.107588;-7.40399;-7.3216;-7.3969483
ZINC000057613967;-6.339526;-6.9220076;-6.8343744;-6.999057;-6.944803
ZINC000057613965;-6.536411;-7.4758635;-6.7382927;-7.1239357;-6.9966526
ZINC000057613970;-7.2915854;-7.343587;-7.4531;-7.1352654;-7.406791
ZINC000096193719;-6.257086;-6.310222;-5.9624963;-6.4394846;-6.7980413
ZINC000408535019;-6.6567373;-6.6136837;-7.040618;-6.5212917;-7.2109637
ZINC000015657800;-7.978303;-8.564497;-8.207868;-7.7597713;-8.175232
ZINC000004342490;-5.9392557;-6.913634;-6.5810847;-7.2445936;-6.6338167
ZINC000014904404;-7.357935;-7.8439255;-7.394567;-7.703712;-6.9494505
ZINC000035876599;-6.440261;-6.1356373;-6.565127;-6.8377934;-6.5118465
ZINC000006403490;-6.5588408;-5.432127;-5.743248;-6.023223;-5.618577
ZINC000006452015;-7.7871084;-6.9168587;-7.2512636;-6.9641447;-7.426995
ZINC000001030514;-5.710088;-5.6136694;-5.6517506;-5.57588;-5.903687
ZINC000256055925;-6.3436804;-6.6235504;-6.436921;-6.765216;-6.5319967
ZINC000096193588;-6.5972233;-6.841939;-6.5052443;-6.8235044;-6.8872075
ZINC000016188938;-5.4919534;-5.974238;-5.622088;-5.4616375;-5.927143
ZINC000006793197;-5.609862;-6.0176396;-6.116504;-5.7971783;-6.0116715
ZINC000036625743;-6.797642;-7.7357364;-7.0416327;-7.6699595;-7.8604226
