name;01;02;03;04;05
ZINC000048262690;-6.630624;-6.507624;-6.4633036;-6.4307327;-6.3971195
ZINC000030734468;-7.1000338;-6.6542015;-6.505477;-7.141938;-7.0387897
ZINC000004184464;-7.349039;-7.768221;-7.502718;-8.252244;-7.641284
ZINC000241784827;-7.9045324;-7.1683;-6.903248;-7.016823;-6.834144
ZINC000004385827;-6.6671705;-6.8870845;-6.659141;-6.77187;-6.18857
ZINC000004520467;-7.40358;-7.259487;-7.094007;-7.628004;-7.321795
ZINC000025055872;-8.11465;-7.9009347;-7.7589464;-8.046812;-7.4335823
ZINC000100332762;-6.8978205;-6.2520914;-7.1016774;-6.347292;-7.184821
ZINC000004851795;-5.7405066;-6.2868533;-5.9493146;-5.7190495;-5.7528524
ZINC000040284442;-6.19366;-6.6111765;-6.6465383;-6.605964;-6.143846
ZINC000828327507;-7.023489;-6.898179;-6.725743;-6.979379;-7.321619
ZINC000013494544;-6.5188217;-6.4054356;-5.8802795;-6.2403936;-6.6107435
ZINC000095461191;-6.5700493;-7.0548773;-6.6005692;-6.95308;-7.327959
ZINC000095478920;-6.7729445;-6.667483;-7.5617104;-7.0881176;-7.084837
ZINC000005061362;-6.8942957;-6.6947556;-6.620056;-7.472657;-6.7156606
ZINC000004817990;-6.476008;-6.433999;-5.8661375;-6.28913;-6.8106775
ZINC000016956901;-5.9927554;-6.0957036;-5.5773945;-6.016341;-6.2827306
ZINC000003275696;-6.978061;-6.9450674;-6.484722;-7.6945744;-6.88788
ZINC000005344361;-6.8927627;-7.388238;-7.113291;-7.8470984;-7.316406
ZINC000101329465;-6.417606;-6.148517;-6.297376;-6.341361;-6.5205336
ZINC000005830801;-6.7168427;-6.6991777;-6.1169014;-6.4090056;-6.3907657
ZINC000299774152;-7.3659744;-7.564387;-7.4498096;-7.2402935;-7.4683437
ZINC000299774152;-7.0185785;-7.169357;-7.079359;-7.2024217;-7.3812075
ZINC000058227782;-8.025728;-7.598418;-7.899394;-7.8250775;-7.878323
ZINC000026253450;-7.152166;-6.5135593;-6.706671;-7.20502;-7.136296
ZINC000003904471;-6.2879424;-6.642953;-5.708063;-6.875126;-6.675935
ZINC000003904473;-6.2879424;-6.642953;-5.708063;-6.875126;-6.675935
ZINC000005781199;-6.978061;-6.9450674;-6.484722;-7.6945744;-6.88788
ZINC000071575772;-8.032297;-7.7848554;-7.9588375;-8.034778;-8.248659
ZINC000071745987;-6.8516197;-7.114127;-7.0425944;-7.311084;-7.246734
ZINC000071715315;-7.500441;-7.299102;-7.5233917;-7.6423078;-7.7407775
ZINC000004184438;-6.8927627;-7.388238;-7.113291;-7.8470984;-7.316406
ZINC000006161432;-7.3895783;-7.7201242;-7.6697435;-7.7423396;-8.098457
ZINC000004325117;-7.822902;-7.78285;-6.930237;-7.106418;-7.4923735
ZINC000004325117;-7.8154263;-7.7455873;-6.972367;-7.2598853;-7.634289
ZINC000006268988;-6.554647;-7.227073;-6.7124157;-7.4558163;-6.933895
ZINC000009012283;-6.958665;-6.7220554;-6.864196;-6.871833;-7.1001635
ZINC000071639397;-7.8454933;-8.090423;-7.6860604;-7.647993;-7.97327
ZINC000071751502;-7.69075;-8.122481;-7.4460835;-7.711944;-7.7582574
ZINC000071756783;-7.755646;-8.072758;-7.7341356;-8.330115;-7.6570225
ZINC000015009325;-6.6017904;-6.9091725;-6.763782;-6.8986087;-7.0224924
ZINC000015012437;-5.391488;-5.9511642;-5.6837044;-5.596172;-5.674442
ZINC000006508944;-6.6398005;-6.9009976;-6.3945236;-6.467408;-6.695682
ZINC000015012420;-5.96745;-6.187396;-6.3906994;-6.0936074;-6.314116
ZINC000001203125;-5.476492;-5.837721;-5.6633906;-5.4901805;-5.752925
