name;01;02;03;04;05
ZINC000004073414;-7.5134587;-7.225313;-7.378209;-7.6057568;-7.5453935
ZINC000004169997;-6.712083;-7.132494;-6.9633937;-7.328202;-7.12395
ZINC000012916344;-7.4191484;-6.9330673;-6.933752;-7.397087;-7.100292
ZINC000048354318;-6.651292;-6.7393126;-6.7284822;-6.8500204;-6.6752386
ZINC000048365307;-6.7339816;-6.8775406;-6.9371114;-7.04739;-6.806126
ZINC000048382965;-7.305398;-7.052763;-7.5784817;-7.5113707;-7.350113
ZINC000012630508;-7.3402624;-7.749979;-7.8298125;-7.886791;-7.6972
ZINC000001735869;-6.7699423;-6.7462006;-7.500925;-7.813814;-7.200735
ZINC000582647336;-7.258916;-6.940675;-7.152656;-7.7311463;-7.5533767
ZINC000582647335;-7.1070566;-6.8208146;-7.2607117;-7.5241146;-7.4160795
ZINC000004508948;-6.511311;-6.982659;-6.4504814;-7.3964033;-6.746825
ZINC000070666331;-7.2622085;-6.5983973;-6.7224426;-6.843453;-6.515448
ZINC000100829409;-7.36133;-7.4227977;-7.166178;-7.6988688;-7.4728594
ZINC000000302749;-7.161073;-7.026417;-7.1322765;-7.1781607;-7.235358
ZINC000108903851;-6.0389376;-6.0064116;-6.3154664;-6.226432;-6.396859
ZINC000002556456;-7.687513;-7.4341416;-7.0547986;-7.3987074;-7.8465595
ZINC000095428144;-6.247907;-6.1327324;-5.865616;-6.018175;-6.183193
ZINC000002659246;-6.9047294;-7.0072694;-7.0516076;-7.125432;-7.305969
ZINC000040071339;-6.755982;-6.513946;-6.1588926;-6.730219;-6.8366632
ZINC000013087519;-6.8024178;-6.426563;-6.5323305;-6.627838;-6.312892
ZINC000004885428;-7.1952515;-7.7244534;-7.3496537;-7.5020056;-7.7127438
ZINC000055182944;-6.8918233;-6.772843;-7.6729836;-6.817281;-6.9575405
ZINC000013407907;-7.581793;-7.3244133;-7.6291904;-7.44101;-7.664731
ZINC000257348217;-6.708735;-7.2257037;-7.1120634;-6.8650827;-6.9923406
ZINC000257348216;-6.8124194;-6.9956384;-6.5362487;-6.221854;-6.7566442
ZINC000003119385;-6.891121;-6.29411;-7.3048906;-7.2268763;-7.1790156
ZINC000013683064;-7.6630864;-8.054161;-7.7676353;-7.5945215;-7.9512877
ZINC000095970092;-8.110423;-7.2027416;-6.639701;-7.2651467;-7.1829786
ZINC000096011288;-7.1499186;-7.047392;-7.2335954;-7.696782;-7.372924
ZINC000060362429;-6.236293;-5.923281;-6.4697685;-6.564319;-6.5918636
ZINC000328596250;-7.5004716;-7.2090526;-7.6286664;-7.508823;-7.4534626
ZINC000004109095;-7.557017;-7.245418;-6.478784;-7.578131;-7.790065
ZINC000006096316;-6.6339707;-6.8684444;-6.459498;-6.7314806;-6.5763073
ZINC000060362428;-6.3034754;-6.01608;-6.5156;-6.6069736;-6.5548153
ZINC000006157421;-6.243207;-5.8266964;-6.467971;-6.459623;-6.4863462
