name;01;02;03;04;05
ZINC000426632953;-8.42083;-8.166381;-8.249342;-8.101446;-8.293402
ZINC000426632954;-8.416843;-8.1515665;-8.23238;-8.099678;-8.2932415
ZINC000012908288;-7.8768797;-7.9323087;-7.565514;-7.55248;-7.8682127
ZINC000952873516;-7.7274756;-6.9773636;-6.9594393;-7.3514466;-7.440286
ZINC000085842847;-6.8428006;-7.257839;-7.363947;-6.9799137;-6.9444194
ZINC000085842846;-6.740188;-7.270193;-7.1986027;-6.7276506;-6.9407463
ZINC000014980971;-8.180827;-8.145177;-8.377996;-7.983447;-8.2912245
ZINC000091974354;-7.534813;-7.743074;-7.2434645;-7.3389015;-7.445402
ZINC000048354342;-6.713223;-7.1840377;-7.874234;-7.333888;-6.9752192
ZINC000105904091;-6.8251743;-7.2097216;-6.9877553;-7.009888;-7.2413535
ZINC000004323015;-7.4956284;-7.2226615;-7.233548;-7.8911014;-7.3901353
ZINC000013007945;-6.4436884;-6.5720906;-6.4985285;-6.270816;-6.330789
ZINC000952980312;-8.149205;-7.7137837;-7.9016714;-8.420707;-7.8911786
ZINC000067852413;-8.528981;-8.151691;-7.520898;-7.556749;-7.7786393
ZINC000952968246;-8.04008;-6.816259;-6.648339;-7.2159367;-6.975547
ZINC000091964807;-7.2607384;-7.418482;-7.153764;-7.1192036;-7.2486496
ZINC000020599944;-7.4527564;-7.749202;-7.8605204;-7.7550254;-7.516045
ZINC000020451533;-6.7682676;-6.861785;-6.5719533;-6.555647;-7.2025776
ZINC000020777279;-6.9757047;-6.8852167;-6.7772655;-6.947226;-7.477708
ZINC000002390008;-6.228975;-6.44584;-5.9177694;-5.7469916;-5.816948
ZINC000012884547;-7.6702356;-7.3217783;-7.45541;-7.5947404;-7.892752
ZINC000004725530;-7.817153;-7.6954584;-7.498761;-7.5003033;-7.9255414
ZINC000952988282;-7.10136;-7.3017883;-7.589056;-7.4206095;-7.6225467
ZINC000039379933;-7.1122046;-6.811959;-7.2163506;-6.908878;-6.8973904
ZINC000952988277;-7.2053022;-7.3487396;-7.445271;-7.3361483;-7.607395
ZINC000039519053;-7.762364;-7.451014;-6.7401347;-7.456403;-7.4633694
ZINC000039445134;-8.151803;-7.878254;-7.7328305;-7.7966323;-7.6652336
ZINC000039552301;-7.295323;-7.0224714;-7.1437144;-7.0970097;-6.9996896
ZINC000952989801;-8.469335;-8.460041;-8.066865;-8.425758;-8.176372
ZINC000015580755;-7.073045;-6.708019;-6.8881226;-6.9323034;-7.0024767
ZINC000054470734;-6.981709;-7.536413;-7.708645;-7.543506;-7.4158516
ZINC000054470865;-7.7451043;-7.712471;-8.14504;-8.221585;-7.9787455
ZINC000013758027;-6.426792;-6.4357214;-6.148098;-6.645028;-6.8198185
ZINC000013785453;-6.6325784;-6.483789;-6.110305;-6.763785;-6.7272797
ZINC000015830198;-7.6369233;-7.0279546;-7.151963;-7.493133;-7.485411
ZINC000015855968;-6.166229;-7.1755986;-7.017305;-6.608703;-6.9688416
ZINC000013524460;-6.6619964;-7.183413;-6.562122;-6.6922936;-6.9543734
ZINC000005098830;-7.3309813;-7.1944757;-7.2651772;-7.7914724;-7.3780465
ZINC000005097814;-7.6017632;-6.971858;-7.03251;-7.581225;-7.738374
ZINC000005097861;-7.8149185;-7.299996;-7.1812735;-7.6408606;-7.7955484
ZINC000005098828;-7.508942;-7.4133825;-7.7151737;-7.953934;-7.7461
ZINC000005097805;-7.35651;-6.388411;-6.7159123;-7.4165726;-7.009713
ZINC000005097862;-7.8527;-7.2336526;-7.147757;-7.5901823;-7.765716
ZINC000005097808;-7.5825815;-6.5045733;-6.797005;-7.625653;-7.317919
ZINC000005097863;-7.1486907;-6.8740234;-6.7877226;-7.152673;-7.273598
ZINC000005098829;-7.779336;-6.559005;-6.506189;-7.596505;-7.204467
ZINC000005097682;-7.379634;-6.562265;-6.792907;-7.1550884;-7.364625
ZINC000075107749;-7.4437227;-7.551215;-7.3829517;-7.3266068;-7.5282755
ZINC000057088515;-7.3309493;-7.5060086;-7.519099;-7.3306785;-7.748773
ZINC000057090498;-6.9362354;-7.234644;-7.4050097;-7.5072117;-7.697115
ZINC000013758031;-6.482196;-6.4979897;-6.20657;-6.624066;-6.9496074
ZINC000013785451;-6.6515946;-6.31651;-6.357719;-6.5827985;-6.631824
ZINC000071767011;-8.895078;-8.440008;-8.428366;-8.319532;-8.845294
ZINC000071767015;-8.436224;-8.247958;-8.812502;-8.550039;-8.825313
