name;01;02;03;04;05
ZINC000330601691;-6.7353253;-6.8457127;-7.0054884;-6.45072;-6.8567505
ZINC000330601692;-6.700499;-7.030127;-6.9503736;-6.434946;-6.6850476
ZINC000001561187;-7.032094;-6.946839;-6.9889636;-7.1920066;-7.072028
ZINC000001561186;-6.4651756;-6.874364;-7.0924344;-7.452778;-7.136406
ZINC000036496843;-7.241496;-7.3522654;-7.323122;-7.8915324;-7.4945774
ZINC000045789132;-6.413555;-6.420341;-6.3065486;-6.1985245;-6.338922
ZINC000217036619;-6.9136147;-6.9468813;-6.512845;-6.7310357;-6.4405518
ZINC000013212173;-9.764429;-9.4509535;-9.4239645;-9.316928;-9.940847
ZINC000096112296;-6.8630104;-7.6145377;-7.1986523;-7.2358427;-7.2192845
ZINC000328958424;-5.093671;-5.285783;-4.9964213;-5.741735;-5.5260386
ZINC000013121670;-6.7476816;-6.7670803;-6.681313;-6.9006214;-6.782465
ZINC000072339834;-7.375202;-7.439786;-7.138647;-7.4987273;-6.445889
ZINC000329634936;-7.182853;-7.798399;-7.2860746;-7.3254175;-7.770257
ZINC000329634934;-7.120917;-7.7026877;-7.7996264;-7.126728;-7.7793875
ZINC000408546978;-8.102982;-8.30823;-8.1559925;-7.824725;-8.34943
ZINC000408602948;-6.983863;-7.4577255;-7.2879663;-7.307309;-7.436408
ZINC000096229098;-5.540265;-6.6302915;-6.2253933;-6.320804;-6.4882708
ZINC000408647246;-7.1586294;-6.764715;-6.944368;-7.2839766;-7.4106092
ZINC000408658394;-8.1382475;-7.49321;-7.343622;-7.503652;-8.025568
ZINC000408741040;-6.510427;-6.779798;-6.9993706;-6.5429144;-6.6368794
ZINC000408739634;-7.7160854;-8.016079;-7.6740146;-7.666907;-7.5049477
ZINC000408739633;-7.7160854;-8.016079;-7.6740146;-7.666907;-7.5049477
ZINC000408743593;-7.274464;-7.7416058;-7.393986;-7.3470693;-7.319405
ZINC000408740523;-7.192233;-7.4020567;-7.3189416;-7.1942677;-7.1509395
ZINC000408744188;-6.6523085;-7.114872;-6.957085;-6.7346034;-6.943963
ZINC000408741504;-7.043244;-7.4016094;-7.239199;-7.199917;-6.9746213
ZINC000408742640;-7.303528;-7.2885985;-6.942116;-7.248592;-6.960838
ZINC000408742639;-7.303528;-7.2885985;-6.942116;-7.248592;-6.960838
ZINC000408743031;-6.5867105;-6.687563;-6.414571;-6.513458;-6.2719316
ZINC000408743063;-6.795122;-7.0981264;-6.562558;-6.5945263;-7.0110765
ZINC000005315190;-7.766732;-7.828079;-7.72812;-7.838584;-7.7242985
ZINC000408741039;-6.510427;-6.779798;-6.9993706;-6.5429144;-6.6368794
ZINC000408742375;-6.8084736;-7.0008125;-6.9903774;-7.0413947;-6.777618
ZINC000408740082;-6.6198363;-7.1884007;-6.9652233;-6.7680974;-7.062922
ZINC000408742370;-6.8084736;-7.0008125;-6.9903774;-7.0413947;-6.777618
ZINC000408743030;-6.5867105;-6.687563;-6.414571;-6.513458;-6.2719316
ZINC000408740525;-7.192233;-7.4020567;-7.3189416;-7.1942677;-7.1509395
ZINC000408744194;-6.6523085;-7.114872;-6.957085;-6.7346034;-6.943963
ZINC000408741506;-7.043244;-7.4016094;-7.239199;-7.199917;-6.9746213
ZINC000408752269;-7.159226;-7.25967;-6.904648;-7.0224605;-7.028025
ZINC000408763770;-6.7513275;-6.7508993;-6.824063;-6.589409;-6.8370357
ZINC000408751591;-6.6051;-6.7536917;-6.454457;-6.5165706;-6.608125
ZINC000408751590;-6.6051;-6.7536917;-6.454457;-6.5165706;-6.608125
ZINC000408754120;-7.511327;-7.117466;-7.417394;-7.0914083;-7.309721
ZINC000408767011;-8.11608;-7.7358155;-7.798363;-7.461458;-8.244965
ZINC000408762373;-6.778632;-6.977086;-6.6762533;-6.711085;-6.980068
ZINC000408763669;-6.7155943;-6.748454;-6.799592;-6.817521;-6.8839607
ZINC000408752267;-7.159226;-7.25967;-6.904648;-7.0224605;-7.028025
ZINC000408762369;-6.778632;-6.977086;-6.6762533;-6.711085;-6.980068
ZINC000408752789;-6.8228636;-6.960115;-6.981006;-6.783672;-6.916111
ZINC000408754127;-7.511327;-7.117466;-7.417394;-7.0914083;-7.309721
ZINC000408756374;-6.6438894;-6.5775127;-6.705385;-6.4770117;-6.700705
ZINC000408756377;-6.6438894;-6.5775127;-6.705385;-6.4770117;-6.700705
ZINC000408752790;-6.8228636;-6.960115;-6.981006;-6.783672;-6.916111
ZINC000408767008;-8.114724;-7.7348323;-7.797236;-7.4592547;-8.244979
ZINC000408763767;-6.7513275;-6.7508993;-6.824063;-6.589409;-6.8370357
ZINC000408763678;-6.7155943;-6.748454;-6.799592;-6.817521;-6.8839607
ZINC000408870533;-7.0425224;-7.489608;-6.912798;-6.916044;-7.210494
ZINC000408920902;-6.504242;-6.1713552;-6.422616;-6.105668;-6.7689424
ZINC000408920904;-5.9998527;-6.335106;-7.0143223;-6.25062;-6.3766537
ZINC000408920901;-6.628621;-6.408676;-6.4660525;-6.178835;-6.5135574
ZINC000408920903;-5.8776984;-6.17007;-7.106883;-6.18472;-6.1981583
ZINC000408990091;-5.586235;-5.784317;-5.4388914;-5.6584845;-5.7753983
ZINC000408990090;-5.5280633;-5.8378754;-5.24666;-5.696004;-5.7361345
ZINC000409040336;-6.302145;-5.9514556;-6.1846886;-6.1307244;-6.577928
ZINC000409095424;-7.3100543;-7.124504;-6.7000833;-7.169434;-7.237841
ZINC000409143323;-6.6552324;-6.6493664;-6.1666694;-6.5491633;-6.4572883
ZINC000005408875;-5.538539;-6.185532;-6.1876435;-6.3669825;-6.4423847
ZINC000409139355;-6.7886753;-6.5657587;-6.476672;-6.5208488;-6.4411607
ZINC000005425671;-6.336855;-5.9523687;-6.380544;-6.291398;-6.441272
ZINC000409415257;-6.565018;-6.9156795;-7.2988386;-6.483265;-7.048693
ZINC000005849608;-7.365374;-7.594624;-7.010583;-7.144164;-7.494085
ZINC000226097806;-6.363578;-6.713242;-6.3953443;-6.6744123;-6.4791083
ZINC000045789135;-6.486314;-6.28621;-6.1785684;-6.1354055;-6.3678164
ZINC000035361379;-7.433863;-7.764186;-7.719239;-7.6692953;-7.699735
ZINC000255190630;-6.8517632;-6.4338865;-6.1391673;-6.376838;-6.764179
ZINC000019138763;-7.1019616;-6.899788;-6.473799;-7.0528684;-6.509087
ZINC000015676318;-8.029954;-7.6365895;-8.384222;-8.170118;-8.125355
ZINC000247872962;-6.9951115;-7.9096155;-7.1891246;-7.0362563;-7.052777
ZINC000073173776;-5.608571;-5.7172484;-5.8442297;-5.7845564;-5.5525646
ZINC000005163148;-7.0101094;-6.5192285;-6.9483204;-7.3490143;-7.224435
ZINC000005408876;-6.229213;-6.7004385;-6.553804;-6.9566174;-6.567236
ZINC000096112056;-7.650161;-8.08839;-7.7502556;-7.8052883;-7.7127023
ZINC000096112287;-7.0114436;-7.375795;-7.344454;-7.2984877;-7.2100024
ZINC000005408878;-6.5408955;-6.8706903;-6.3412213;-6.88777;-6.921269
ZINC000005411850;-6.1809416;-6.2403502;-6.651009;-6.3914237;-6.6021986
ZINC000096214833;-6.8350725;-7.13389;-7.263306;-7.277689;-7.121072
ZINC000096214835;-6.4555387;-6.7547565;-6.70306;-6.9570017;-7.375017
ZINC000096214830;-6.2650723;-6.320878;-6.7729955;-6.844309;-6.743644
ZINC000096214827;-6.0233808;-6.33595;-6.482047;-6.693296;-7.1501107
ZINC000096214831;-6.5450387;-7.128986;-6.999377;-7.1347733;-7.591045
ZINC000096214842;-6.48266;-6.67711;-6.94763;-6.837739;-7.2818956
ZINC000096214840;-6.5532966;-6.5801;-7.169235;-6.662007;-6.9261637
ZINC000096214837;-6.435591;-6.6303196;-6.94004;-6.5611134;-6.7203894
ZINC000096214836;-6.676544;-6.776244;-7.031083;-7.0151434;-6.9641657
ZINC000096214839;-6.4130545;-6.7914476;-6.6609983;-6.688936;-7.115311
ZINC000096229099;-7.317403;-6.9213777;-6.9757;-6.82743;-6.773592
ZINC000020111336;-7.471263;-7.2860765;-7.5569468;-7.2319107;-7.8372507
ZINC000020418438;-7.7616973;-7.7214203;-8.015675;-8.01528;-7.8118544
ZINC000032115267;-7.8042426;-8.058407;-7.8283114;-7.19335;-7.874798
ZINC000100013323;-6.3903675;-6.132388;-6.377805;-6.1274924;-6.466352
ZINC000100013319;-6.8410916;-6.1617374;-6.6417522;-6.313486;-6.654845
ZINC000100006925;-6.413555;-6.420341;-6.3065486;-6.1985245;-6.338922
ZINC000019138768;-6.6319494;-6.269282;-6.285385;-6.7164764;-6.291294
ZINC000066088076;-6.8102627;-6.607174;-6.5396314;-6.9282603;-6.4885306
ZINC000008651795;-9.64248;-9.42057;-9.327455;-9.271192;-9.740272
ZINC000035361383;-7.8414063;-7.536829;-7.904096;-7.3454847;-7.587714
ZINC000035361232;-7.389347;-7.1217437;-7.127863;-7.562373;-7.6457734
ZINC000028295212;-7.545002;-6.8800983;-7.244276;-6.285151;-6.370559
ZINC000004892345;-7.658285;-7.2995315;-7.127131;-7.6242766;-7.5287633
ZINC000001347327;-7.1450996;-6.6428013;-7.340831;-7.363619;-7.21772
ZINC000100955709;-6.395131;-6.3078194;-6.5096636;-6.4642467;-6.57861
ZINC000001347330;-6.9859037;-6.618862;-7.410952;-7.232216;-7.142014
ZINC000104237994;-9.64248;-9.42057;-9.327455;-9.271192;-9.740272
ZINC000217379651;-7.2807026;-7.2151556;-7.0532064;-7.4358764;-7.864515
ZINC000013121671;-6.231577;-6.098078;-6.118263;-6.469515;-6.371153
ZINC000002992008;-6.7306614;-6.264204;-6.509652;-6.5401936;-6.296258
ZINC000013718489;-6.577198;-6.2981515;-5.765502;-5.9696565;-5.856593
ZINC000103843014;-6.7110577;-6.8509545;-7.0988955;-6.4808416;-6.8953743
ZINC000018189302;-6.177731;-6.742546;-6.423072;-6.7908235;-6.654143
ZINC000020111338;-7.3936906;-7.216113;-7.2565184;-7.5346866;-7.9129906
ZINC000223289900;-6.1041646;-6.7044373;-6.2756133;-6.352148;-6.2592697
ZINC000004992975;-6.8147516;-6.8636885;-7.1410356;-6.7893248;-7.1664524
ZINC000005408719;-6.499043;-6.5591526;-6.377343;-6.4722886;-6.531907
ZINC000005408906;-6.4472747;-6.6741877;-6.323773;-7.0295663;-6.703017
