name;01;02;03;04;05
ZINC000096048055;-8.363953;-8.083943;-7.9610815;-7.850545;-8.2592945
ZINC000096051785;-7.5797863;-7.706124;-7.4805093;-6.776674;-7.4539027
ZINC000096051986;-7.2136827;-7.151058;-7.113064;-7.598766;-6.5870423
ZINC000096079057;-8.203489;-7.735313;-7.803977;-7.557358;-7.3506074
ZINC000096051784;-8.003351;-7.946088;-8.190867;-7.116744;-7.4180684
ZINC000096051795;-8.174259;-8.223193;-8.481417;-7.39817;-7.636827
ZINC000096056298;-7.963189;-7.5858693;-7.507946;-7.284176;-7.312308
ZINC000096055180;-7.522903;-7.396635;-7.074845;-7.1468186;-7.2210436
ZINC000096158678;-8.594997;-7.984086;-6.981788;-7.800136;-8.369137
ZINC000096158404;-7.6751585;-7.6854033;-7.819774;-7.873499;-7.4461756
ZINC000096207729;-7.3929415;-7.690218;-7.1902637;-7.199333;-7.0806003
ZINC000096215673;-8.594406;-8.184992;-8.39785;-8.675809;-8.378312
ZINC000096215139;-7.4282064;-7.0963807;-7.5475206;-7.5661316;-7.3876123
ZINC000096241469;-8.304064;-7.6464324;-8.2165575;-8.327891;-8.09403
ZINC000096268706;-8.661932;-8.640967;-8.1992035;-8.656091;-8.299513
ZINC000096249680;-7.995084;-7.6129217;-7.3878937;-7.4408855;-7.395096
ZINC000001593620;-7.7164164;-7.254659;-7.3313503;-7.730679;-7.625008
ZINC000096079035;-8.585065;-7.2685285;-8.348766;-8.203217;-7.540903
ZINC000096079036;-8.987906;-7.95497;-8.662695;-8.366838;-8.009195
ZINC000001735994;-7.7582774;-7.935144;-7.2466803;-7.3075213;-7.6618495
ZINC000031961894;-7.67672;-7.112142;-7.147081;-7.2753005;-7.334364
ZINC000107739561;-7.022193;-6.6792583;-6.796424;-6.3937864;-6.486174
ZINC000329046981;-7.922012;-7.7074056;-7.8902106;-7.306414;-7.9141994
ZINC000257226236;-9.010432;-9.159139;-8.907381;-8.576624;-8.665847
ZINC000257226235;-8.819995;-9.161538;-8.866594;-8.478441;-9.016052
ZINC000257225778;-7.4686694;-7.6572814;-7.241292;-7.8958387;-7.7556868
ZINC000257244897;-8.517029;-9.537987;-8.457542;-8.445835;-8.640488
ZINC000306124518;-8.407739;-7.3568554;-7.122909;-7.7087083;-7.6647587
ZINC000306142394;-7.7205944;-7.8588557;-8.371897;-7.49572;-7.765244
ZINC000096158886;-8.220402;-7.8396683;-7.6485224;-7.6811647;-7.719533
ZINC000100768876;-8.993991;-9.515934;-8.648707;-9.216685;-9.208773
ZINC000096208103;-7.9414344;-7.8219757;-8.132353;-7.394847;-7.409056
ZINC000257279268;-8.368577;-8.5324335;-8.509702;-7.9291058;-8.496381
ZINC000096208116;-8.03752;-7.9697304;-7.991063;-7.5159883;-7.5301743
ZINC000096208117;-7.7551246;-7.6457734;-7.656123;-7.3753653;-7.433626
ZINC000096208108;-7.975114;-7.971568;-7.7622547;-7.4516816;-7.304969
ZINC000096215676;-8.554572;-8.337101;-8.582917;-8.604511;-8.519938
ZINC000096215179;-8.091377;-7.853526;-7.8284;-7.732493;-7.893043
ZINC000096215165;-7.8630404;-7.282902;-7.516157;-7.2834325;-7.497892
ZINC000096215986;-8.259734;-7.724682;-8.0169525;-7.8572307;-8.394194
ZINC000096218080;-7.5750937;-7.719429;-7.9126463;-7.4020987;-7.3265166
ZINC000096218042;-8.405758;-8.094208;-8.00299;-7.9234486;-8.147715
ZINC000096220286;-7.7630606;-7.54566;-7.712049;-7.267396;-7.374937
ZINC000096218875;-7.5393915;-6.9873443;-7.4799147;-7.3607674;-7.484969
ZINC000096219364;-8.143258;-7.460466;-7.8243356;-7.408942;-7.645441
ZINC000113935300;-8.626206;-8.658372;-8.379039;-8.789795;-8.431547
ZINC000096240365;-8.109605;-8.090222;-8.0113325;-7.283618;-7.5903587
ZINC000096240366;-7.779833;-7.8325095;-7.4042773;-6.9063663;-7.671374
ZINC000096241478;-9.528821;-8.546278;-8.317491;-8.674294;-8.839524
ZINC000096241481;-9.526208;-8.778481;-8.695287;-9.362437;-9.332537
ZINC000096241479;-9.412214;-8.704165;-8.611144;-9.144073;-9.342674
ZINC000096241468;-8.20857;-7.108181;-8.050942;-8.01129;-7.60387
ZINC000096241480;-9.437489;-8.471443;-8.447202;-8.864606;-8.796589
ZINC000096242387;-8.326527;-7.12634;-7.293143;-7.8614407;-7.910319
ZINC000096244936;-9.163534;-8.591086;-8.498048;-8.418846;-8.484621
ZINC000096244935;-9.300314;-8.461564;-8.918079;-8.94701;-8.966036
ZINC000096048054;-8.107467;-8.005095;-7.6161785;-7.7070374;-8.243599
ZINC000096048048;-8.050372;-7.964079;-7.3888493;-7.534111;-8.227689
ZINC000096047979;-8.507747;-8.182318;-7.6661987;-7.9000897;-8.407908
ZINC000096047978;-8.359555;-7.929014;-7.552249;-7.866965;-8.474539
ZINC000096048083;-8.588829;-7.7975345;-7.8833466;-7.933097;-8.104723
ZINC000096048044;-8.117301;-7.9847574;-7.36281;-7.296127;-8.187842
ZINC000096047983;-8.215962;-7.7043266;-7.724264;-7.6373196;-8.188335
ZINC000096047982;-8.330361;-8.05551;-7.801777;-7.8065014;-8.360712
ZINC000096047975;-8.524684;-8.145394;-7.8254547;-7.681755;-8.349481
ZINC000096048070;-8.293924;-7.9919815;-7.300335;-7.3882217;-8.02952
ZINC000096079058;-7.7640214;-7.935493;-8.00434;-7.6212296;-7.764046
ZINC000009062606;-7.944145;-8.703744;-8.38058;-7.945647;-7.6710324
ZINC000009062579;-8.335477;-8.759253;-8.511594;-8.040911;-7.5328646
ZINC000306141761;-8.309405;-8.507629;-8.580092;-8.224321;-8.446632
ZINC000039757091;-7.9418736;-8.240825;-7.9800158;-7.650272;-7.580874
ZINC000039772631;-8.024727;-9.040894;-8.405959;-8.107106;-7.623962
ZINC000096158677;-8.301489;-8.573002;-7.0603957;-8.188162;-8.378648
ZINC000096208109;-7.594812;-7.804269;-7.1177554;-7.260582;-7.191279
ZINC000096207728;-7.89037;-7.874618;-7.9046984;-7.310544;-7.224931
ZINC000096208104;-7.5580516;-7.5258336;-7.719427;-7.31532;-7.3210244
ZINC000096220308;-7.8895655;-6.976721;-7.689102;-7.3635387;-7.712405
ZINC000072394188;-7.7026496;-7.9086204;-7.5071144;-6.9300876;-6.8998637
ZINC000072394187;-7.385423;-7.4564734;-7.397539;-6.6655436;-7.1121063
ZINC000005052199;-6.686651;-5.651728;-5.8026094;-6.3258986;-6.310382
ZINC000019134005;-8.267381;-8.662923;-8.310843;-8.338491;-8.504174
ZINC000012122663;-8.61606;-7.54448;-7.883525;-8.016672;-7.7226725
ZINC000012122641;-8.489532;-7.742446;-8.043891;-7.98821;-7.3337383
ZINC000012122646;-8.85558;-7.6289616;-7.7692795;-8.088081;-7.621585
ZINC000005418104;-7.323649;-6.029527;-6.1964207;-6.2106056;-4.6930265
ZINC000012182479;-9.070171;-7.637919;-8.021895;-7.421823;-8.81278
ZINC000012238228;-8.155915;-8.307702;-7.8320785;-8.596224;-8.460215
ZINC000012238230;-8.182741;-8.65384;-7.717653;-8.5053;-8.799277
ZINC000012240559;-7.8729267;-8.076446;-7.302952;-7.548325;-8.0491495
ZINC000100768878;-8.651551;-9.691053;-8.650121;-9.21369;-9.100557
ZINC000019371509;-8.812668;-8.041162;-8.012431;-8.972992;-7.890232
ZINC000019553784;-8.241937;-7.5067225;-7.8355074;-7.40406;-7.178711
ZINC000101873919;-8.010367;-8.598369;-8.057691;-8.49491;-8.304853
ZINC000019133922;-8.013311;-8.494129;-8.334285;-8.441682;-8.400156
ZINC000019581002;-8.608091;-8.714134;-8.373637;-7.7256994;-7.9425144
ZINC000019583280;-8.330875;-9.18036;-8.423608;-8.788552;-9.054601
ZINC000019590714;-8.0021515;-9.344142;-8.479197;-8.57175;-8.68006
ZINC000019234943;-8.7071495;-8.428502;-8.629101;-8.597967;-8.716268
ZINC000019659668;-8.142882;-8.272229;-8.443191;-8.403422;-7.797039
ZINC000019346714;-7.487278;-8.293531;-8.212307;-8.593211;-8.533315
ZINC000019371511;-9.102208;-8.271846;-7.9091673;-8.659924;-8.104392
ZINC000019533364;-8.372055;-8.428998;-8.433924;-8.550638;-8.032907
ZINC000019580999;-9.151869;-8.58229;-8.490222;-7.798148;-8.292115
ZINC000019590479;-8.864297;-9.100018;-8.59619;-8.774097;-9.028561
ZINC000019590478;-8.61541;-8.835353;-8.286135;-8.393728;-8.569148
ZINC000019659666;-8.155762;-7.9682436;-8.282021;-8.1168;-7.6441975
ZINC000019660678;-8.978214;-8.942544;-8.810223;-8.58753;-8.731081
ZINC000008701082;-6.8953667;-6.7078977;-7.2951517;-6.8931894;-7.2200723
ZINC000255186956;-8.8184805;-9.457713;-9.564194;-10.303252;-9.603291
ZINC000255187479;-9.533846;-9.971371;-10.265454;-10.874927;-10.232432
ZINC000001677062;-6.1444225;-5.943194;-6.3198843;-5.988645;-5.9670124
ZINC000022031820;-8.945313;-8.746145;-8.9418335;-8.884214;-8.418826
ZINC000257211763;-6.6540213;-7.39805;-7.0664487;-7.345972;-6.9187813
ZINC000257212356;-7.7501106;-7.2173853;-6.8720236;-7.0684724;-7.5486073
ZINC000257206149;-8.009857;-7.9720354;-6.7783394;-7.191124;-7.256669
ZINC000257225779;-7.5699663;-7.707444;-7.163912;-7.8924675;-7.8245745
ZINC000257244896;-8.953609;-9.30691;-8.11267;-8.39208;-8.581321
ZINC000039747842;-7.768264;-8.169842;-7.6959734;-7.6932898;-7.489844
ZINC000257310620;-8.482402;-9.309017;-8.34589;-8.768732;-9.113728
ZINC000257310305;-8.993991;-9.515934;-8.648707;-9.216685;-9.208773
ZINC000257310619;-8.594302;-8.934885;-8.35572;-8.7436695;-9.117641
ZINC000257310306;-8.651551;-9.691053;-8.650121;-9.21369;-9.100557
ZINC000257331961;-7.036821;-6.478757;-6.985792;-6.5848813;-7.155615
ZINC000257323608;-7.5969453;-7.8785915;-7.807028;-7.9516006;-8.051453
ZINC000257327319;-7.9219646;-8.424908;-8.386989;-8.035206;-8.706886
ZINC000257322379;-7.519737;-7.529228;-7.2933702;-7.6777596;-7.3178263
ZINC000257323609;-7.197754;-7.773883;-7.6592207;-7.75495;-7.833076
ZINC000257341465;-8.833448;-9.151431;-8.543759;-8.76411;-8.926153
ZINC000260892806;-9.018824;-8.361443;-8.401281;-8.372751;-7.8170185
ZINC000019134001;-8.339814;-8.501398;-8.173593;-8.194489;-8.068872
ZINC000019234942;-8.497375;-8.492068;-8.726906;-8.584904;-8.7456665
ZINC000019237161;-7.884309;-8.469937;-8.707978;-8.157805;-8.573462
ZINC000019237162;-7.660919;-8.254019;-8.335315;-8.242462;-8.599165
ZINC000019293386;-8.150194;-8.750345;-8.607002;-8.8621025;-8.867511
ZINC000019293387;-8.104343;-8.640854;-8.472586;-8.791595;-8.826168
ZINC000019290715;-8.079639;-7.7050242;-7.332841;-7.4892325;-7.4155593
ZINC000019348806;-8.169314;-8.703593;-8.529804;-8.616879;-8.558819
ZINC000019346712;-7.5111876;-8.392963;-8.287717;-8.586852;-8.646626
ZINC000019348808;-8.03435;-8.431707;-8.54664;-8.64533;-8.546146
ZINC000019358976;-8.7301445;-8.732742;-8.612088;-8.723326;-8.30777
ZINC000019361697;-8.776241;-8.906527;-8.912714;-8.528201;-8.291035
ZINC000019371513;-9.230394;-8.1398735;-8.525058;-8.434295;-7.916445
ZINC000019533211;-7.37354;-8.273538;-8.010086;-8.225072;-8.115628
ZINC000019523288;-8.260219;-8.074498;-7.6642427;-7.915182;-8.35992
ZINC000019590715;-8.00423;-9.000205;-8.329117;-8.406401;-8.448437
ZINC000019583283;-8.494991;-8.842781;-8.501062;-8.8072815;-9.104738
ZINC000019590483;-8.668263;-9.06175;-8.543026;-8.692752;-8.892967
ZINC000019590723;-8.374167;-8.521921;-8.503462;-8.650353;-8.518181
ZINC000019590482;-8.709755;-8.632982;-8.2829075;-8.4936;-8.484334
ZINC000019698296;-8.777079;-8.772936;-8.198628;-8.676993;-8.419921
ZINC000019698138;-8.60569;-8.581423;-8.690596;-8.830891;-8.295309
ZINC000019698295;-8.698117;-8.620167;-8.22091;-8.5677185;-8.557405
ZINC000019698253;-8.274908;-7.8956466;-7.8357162;-8.204072;-8.003434
ZINC000019698271;-7.5310144;-7.4861326;-7.4584985;-7.64075;-7.2797017
ZINC000019705394;-8.276556;-8.454853;-8.343022;-9.168651;-8.881881
ZINC000019698137;-8.462494;-9.018152;-8.608905;-8.647345;-8.581159
ZINC000019698272;-7.2223825;-7.3597183;-7.271455;-7.4090576;-7.3529415
ZINC000019698254;-8.029699;-7.746801;-7.738068;-8.10812;-8.001188
ZINC000019705395;-8.577003;-8.354854;-8.456226;-9.174545;-8.749283
ZINC000019712763;-8.943233;-8.281974;-8.109837;-7.4801593;-8.38394
ZINC000019759954;-8.889296;-8.608315;-8.8607025;-8.842825;-9.117144
ZINC000019759956;-8.79005;-8.570561;-8.703192;-8.995723;-9.306313
ZINC000262190970;-8.118309;-8.613533;-7.5252347;-8.674629;-7.9999666
ZINC000262190968;-8.460268;-8.036785;-8.47338;-8.424729;-8.532147
ZINC000023247888;-8.010096;-7.3298306;-7.842092;-8.035772;-7.9176116
ZINC000023247889;-8.405695;-7.6237984;-8.061147;-8.677254;-7.8408537
ZINC000585102707;-8.125292;-8.27707;-7.6916866;-7.938491;-7.9464827
ZINC000585102708;-7.926911;-8.160632;-7.6908484;-7.769219;-7.5527225
ZINC000585104128;-7.91559;-8.176673;-7.9765325;-7.752427;-8.006833
ZINC000585103880;-7.9464464;-7.966782;-7.740814;-7.3548193;-7.536087
ZINC000585104127;-7.5628433;-7.997174;-8.081062;-7.5315347;-7.685735
ZINC000585103876;-8.429121;-7.9772544;-7.4753513;-7.607507;-7.831583
ZINC000585104101;-8.5216255;-8.95;-8.351842;-8.389095;-8.271729
ZINC000585104083;-8.558907;-8.896855;-8.328022;-8.289849;-7.9906907
ZINC000585103658;-8.608886;-8.547808;-7.9598813;-8.070919;-8.068813
ZINC000585103801;-8.198721;-8.445305;-7.9791803;-7.9337535;-7.685985
ZINC000019900084;-9.130807;-8.878394;-9.011056;-8.796581;-8.52528
ZINC000019900082;-9.0522;-8.6545925;-8.928255;-8.808329;-8.547346
ZINC000585289578;-8.79313;-8.9622345;-8.123423;-8.721975;-8.203506
ZINC000107738665;-8.0758295;-6.707205;-6.6660995;-7.2267466;-6.741523
ZINC000257294648;-9.727987;-9.8063965;-9.2118225;-9.333479;-9.329231
ZINC000306124520;-8.232188;-6.8963094;-7.0770836;-8.157478;-7.6487923
ZINC000306123118;-6.6165495;-6.7479854;-6.8034105;-7.6053534;-7.3094864
ZINC000306124517;-7.845036;-7.194366;-7.2125916;-7.867716;-7.450202
ZINC000306124519;-7.9383516;-6.970852;-7.398713;-7.8762984;-7.4376893
ZINC000222688062;-6.941859;-7.023983;-6.8061676;-6.8732376;-6.6638355
ZINC000001705403;-6.999185;-7.147334;-7.084463;-7.494454;-7.078333
ZINC000001667557;-7.4634585;-8.387842;-6.9091377;-7.223671;-7.2270923
ZINC000247828285;-8.768442;-8.34794;-8.0722;-8.348003;-8.052703
ZINC000247828286;-8.376152;-8.316747;-8.22732;-8.108744;-7.740803
