name;01;02;03;04;05
ZINC000440328572;-8.278802;-7.9724464;-8.266293;-8.249012;-8.639491
ZINC000330027666;-8.038156;-8.577835;-8.191058;-8.266027;-8.13772
ZINC000556857544;-6.8579016;-6.2615623;-7.3149705;-6.940011;-7.0915904
ZINC000413580998;-8.078993;-8.005009;-7.5362043;-8.063446;-8.366624
ZINC000269737105;-5.9570026;-5.8897295;-5.9432254;-6.022094;-5.8202605
ZINC000413581014;-7.6004386;-7.9510703;-7.566289;-7.559568;-8.046669
ZINC000110639766;-8.46599;-8.845114;-8.667654;-8.732466;-8.976359
ZINC000820464450;-7.1121426;-7.2378063;-7.022567;-6.776719;-7.218256
ZINC000922749424;-7.5494685;-7.0757294;-7.1460724;-6.9135284;-7.5348544
ZINC000328952025;-7.9038534;-7.720496;-7.661888;-7.731268;-7.286405
ZINC000505840388;-6.812657;-7.2479115;-6.6145124;-7.1024776;-6.3175044
ZINC000556857546;-6.739068;-6.1610293;-7.5175114;-6.612838;-7.095191
ZINC000413581517;-7.9598656;-8.092575;-8.050273;-7.984459;-7.9641657
ZINC000110640092;-7.819766;-7.1150265;-7.424923;-7.4763117;-7.3938627
ZINC000328952861;-8.347868;-7.5959578;-7.5815487;-7.154291;-7.7725773
ZINC000440328571;-8.051324;-8.084491;-8.140811;-8.205429;-8.594682
ZINC000363794885;-7.8449774;-7.768579;-7.510394;-7.6092415;-7.4698253
ZINC000544071063;-7.0515385;-7.3149242;-7.328846;-7.5085306;-7.4445567
ZINC000328954951;-7.857323;-8.094924;-7.8332253;-8.045166;-8.293261
ZINC000171704925;-7.15127;-7.3329287;-6.899149;-7.2046127;-7.445463
ZINC000440328566;-7.374563;-7.7035093;-7.8531656;-8.155505;-8.234848
ZINC000556857545;-6.914008;-6.5250397;-7.7269964;-6.904453;-7.0619745
ZINC000069687673;-6.230909;-6.8581195;-6.7661104;-6.576537;-7.329174
ZINC000328950815;-8.680148;-7.870606;-8.620057;-7.247491;-7.483989
ZINC000544072034;-7.8214345;-7.9406786;-7.554131;-7.6596146;-7.13901
ZINC000556857543;-6.759554;-6.360736;-7.0036845;-7.1302953;-7.0717993
ZINC000328950870;-8.749277;-8.434404;-8.102767;-7.7251563;-8.286775
ZINC000274030821;-8.173479;-7.6231904;-6.9932375;-7.5293493;-7.518377
ZINC000530525270;-7.008953;-6.6463904;-6.9712496;-6.518395;-6.4936013
ZINC000440328569;-7.5867963;-7.7179303;-8.080179;-8.199713;-8.293332
ZINC000328952023;-7.3990936;-7.282579;-7.16443;-7.3565817;-7.1422663
ZINC000189069216;-7.0354266;-7.238331;-6.4916234;-6.8918257;-6.963685
ZINC000171704922;-7.23893;-7.3519073;-7.0051565;-7.3831863;-7.6790047
ZINC000597531760;-8.763403;-8.183122;-8.471575;-8.689046;-8.714546
ZINC000513671625;-7.7042823;-7.778315;-7.7811284;-8.605174;-7.984337
ZINC000478485544;-6.7781906;-6.4765196;-6.890629;-6.923309;-7.2199774
ZINC000497599708;-7.683301;-7.4407263;-7.541191;-7.679488;-7.2068872
ZINC000363796886;-7.705618;-8.278294;-7.4012127;-7.613752;-7.5009775
ZINC000485947722;-8.48128;-7.629146;-7.6982756;-7.4718423;-7.891793
ZINC001164864215;-7.615769;-7.125813;-6.984956;-7.1936626;-7.023913
ZINC000527915308;-7.7286615;-8.368923;-8.2392;-7.5506268;-7.824687
ZINC000449411757;-7.7267356;-7.7606764;-7.487116;-7.5195856;-7.705245
ZINC000328952862;-8.0012045;-7.7823033;-7.676279;-7.0661488;-7.5570583
ZINC000583828846;-8.027982;-7.8459153;-7.696484;-8.168985;-7.75927
ZINC000560118909;-7.726171;-7.601608;-7.954346;-7.040087;-7.505922
ZINC000814759953;-8.078632;-8.33057;-7.8369446;-8.204865;-7.858418
ZINC000497599940;-7.483636;-7.1902666;-7.3555665;-7.393676;-6.938454
ZINC000449411328;-7.659037;-7.314729;-8.05076;-7.620482;-7.221648
ZINC000192108382;-7.250064;-7.4493556;-7.2422476;-7.498952;-7.486377
ZINC000799196035;-8.052988;-8.174237;-8.1308975;-8.053021;-7.9506755
ZINC000288336141;-7.555698;-8.151165;-8.412024;-7.836916;-7.908576
ZINC000471356095;-6.4914494;-6.91379;-6.9339023;-7.2007585;-7.0792828
ZINC000527915294;-7.776972;-8.488344;-8.390748;-7.6693926;-7.754675
ZINC000513671624;-7.83807;-7.6207;-7.7877936;-8.577485;-7.93957
ZINC000478485541;-7.294571;-6.6964397;-7.018787;-7.1349983;-7.391136
ZINC000560118911;-7.845184;-7.1255097;-8.094508;-7.0015335;-7.9223213
ZINC000153405700;-6.6982193;-6.4688935;-6.601489;-6.812116;-6.6945763
ZINC000799196034;-8.1758175;-8.074329;-7.693368;-7.9133916;-7.867477
