name;01;02;03;04;05
ZINC000012520681;-7.2871256;-6.6767087;-6.709109;-7.1892242;-7.1415033
ZINC000012905093;-9.292074;-9.534666;-9.21292;-9.202546;-9.38097
ZINC000012905093;-9.781151;-9.725225;-9.235086;-9.136521;-9.337164
ZINC000252669443;-8.469537;-8.600039;-8.815504;-8.4222975;-8.271612
ZINC000252669443;-8.315153;-8.741946;-8.351885;-8.462279;-8.397523
ZINC000252669443;-8.410485;-8.749945;-8.46239;-8.607335;-8.572835
ZINC000048355327;-7.159977;-6.9150934;-6.7153034;-7.2525096;-7.24704
ZINC000048362154;-8.453454;-8.327139;-7.952513;-8.16476;-7.9777646
ZINC000048364409;-7.899116;-8.055084;-8.466575;-8.159739;-7.950325
ZINC000048364409;-7.78256;-7.844588;-8.592512;-7.9651113;-7.994531
ZINC000059887178;-8.685565;-9.44738;-9.014825;-9.062857;-9.274191
ZINC000060333552;-8.322596;-8.597761;-8.909138;-8.64091;-8.449806
ZINC000012765431;-7.901925;-7.5093145;-7.6048098;-7.6986427;-7.702143
ZINC000012889125;-8.402716;-8.150013;-8.256765;-8.30444;-8.31753
ZINC000012889125;-8.217545;-8.386764;-8.35128;-8.157502;-8.31569
ZINC000052906991;-8.533666;-8.015183;-7.8347325;-7.8754163;-7.8707147
ZINC000052906991;-8.27404;-8.490832;-8.082468;-7.751586;-7.9679933
ZINC000012905083;-9.462994;-9.702739;-9.1213875;-9.334458;-9.138725
ZINC000008345444;-8.559894;-8.339745;-9.1899605;-8.948921;-8.622245
ZINC000008345444;-8.26619;-8.199563;-8.987622;-8.832612;-8.7091255
ZINC000008345449;-8.467034;-8.0792265;-8.97015;-8.754039;-8.566477
ZINC000008345449;-8.632276;-8.069299;-8.971784;-8.711453;-8.449441
ZINC000032853716;-9.276269;-9.206885;-8.626689;-9.00548;-9.027815
ZINC000032853718;-9.159019;-9.29714;-8.578171;-9.061382;-9.208235
ZINC000012691616;-8.134187;-8.67301;-9.227999;-8.629234;-8.6559105
ZINC000012691616;-7.9075665;-8.806488;-9.352668;-8.829449;-8.642122
ZINC000012691621;-7.9186077;-8.708701;-9.277456;-8.703228;-8.68383
ZINC000012691621;-8.053019;-8.773679;-9.31084;-8.73396;-8.579518
ZINC000004833023;-9.628588;-9.262542;-8.73084;-9.004754;-8.865386
ZINC000001402321;-7.978597;-8.644232;-8.414512;-8.252169;-7.919051
ZINC000072308338;-8.360811;-8.614258;-8.316341;-8.447158;-8.094134
ZINC000072308338;-8.488321;-8.777515;-8.41716;-8.506732;-8.564892
ZINC000072308338;-8.507245;-8.86673;-8.260778;-8.377397;-8.399118
ZINC000072308337;-8.325478;-8.748256;-8.186503;-8.729878;-8.11416
ZINC000072308337;-8.42019;-8.619564;-8.406475;-8.636057;-8.271922
ZINC000072308337;-8.3648405;-8.601111;-8.465103;-8.716843;-8.394513
ZINC000004987215;-8.587753;-9.0187235;-8.958005;-8.832743;-8.9424305
ZINC000040067038;-7.2679443;-7.9904346;-7.458644;-7.9190745;-8.050841
ZINC000040067038;-7.989362;-7.457571;-7.199477;-7.491231;-7.8012366
ZINC000040067035;-8.012538;-7.5400724;-7.288517;-7.4652433;-7.576067
ZINC000040067035;-7.6426787;-8.051173;-7.3102493;-7.944227;-7.878408
ZINC000004986954;-7.561904;-7.4852524;-7.0019546;-7.3051424;-7.226319
ZINC000004986954;-7.473612;-7.432466;-6.8919177;-7.271121;-7.0296073
ZINC000014094557;-8.7061;-9.165049;-8.980685;-9.043897;-9.224136
ZINC000053139563;-7.4169474;-7.8742514;-7.936789;-7.9160514;-8.331992
ZINC000053139563;-7.0567293;-7.789605;-7.316242;-7.9762964;-7.9846516
ZINC000040105836;-7.5441523;-7.812486;-7.7106266;-7.524382;-7.8489914
ZINC000040105836;-7.4136667;-7.7293687;-8.136388;-7.7351494;-7.88682
ZINC000012765428;-7.8725963;-7.6004086;-7.587509;-7.758076;-7.7364564
ZINC000040153876;-8.371518;-8.010483;-8.231993;-8.86678;-8.291566
ZINC000040153876;-8.188237;-8.330598;-8.101125;-8.506023;-8.413952
ZINC000040153875;-8.408196;-7.8232207;-7.8235135;-8.485033;-8.273356
ZINC000040153875;-8.300401;-7.9333797;-7.978565;-8.460237;-8.225665
ZINC000040157796;-8.1438055;-9.164351;-7.901797;-8.603185;-8.062367
ZINC000040157795;-8.021975;-8.683151;-7.954883;-8.392901;-8.188297
ZINC000084625112;-8.2084;-8.063466;-8.38821;-8.1548;-8.280932
ZINC000000865190;-7.4104047;-7.984539;-7.923738;-8.054861;-8.022504
ZINC000000865271;-8.059854;-8.761556;-8.584155;-8.525605;-8.742744
ZINC000012780480;-9.085616;-8.417314;-8.515331;-8.409242;-8.56645
ZINC000012780476;-8.90995;-8.702071;-8.454117;-8.497587;-8.48794
ZINC000034675627;-7.5717316;-7.7583504;-7.6784105;-7.8191023;-8.225889
ZINC000014094558;-8.879504;-9.374631;-9.317909;-9.364615;-9.441937
ZINC000241371238;-6.6781216;-6.9214654;-6.8923144;-6.56555;-6.790783
ZINC000007980798;-7.9983582;-8.318506;-7.4511595;-7.6630054;-7.767481
ZINC000007980798;-7.5576515;-8.041946;-7.1144185;-7.6362486;-7.6227865
ZINC000058343820;-8.007508;-7.7874675;-8.131622;-7.70642;-8.113444
ZINC000058343820;-7.9906063;-7.9509764;-7.973488;-7.996426;-8.033448
ZINC000071008967;-8.025589;-7.33423;-6.9061084;-7.1667447;-7.370512
ZINC000071008970;-7.421851;-7.2177887;-6.823968;-7.05384;-7.2414913
ZINC000004122127;-7.9845867;-8.230121;-8.23756;-8.430939;-8.636982
ZINC000052537675;-8.43164;-8.519852;-8.536238;-8.605672;-8.509972
ZINC000010340391;-8.048987;-8.376378;-8.1907625;-8.647283;-8.281382
ZINC000010340391;-8.314668;-8.250265;-8.260559;-8.324611;-7.91607
ZINC000055543853;-7.462527;-7.990092;-7.6611795;-7.5165987;-7.5725865
ZINC000015302381;-7.685164;-7.602828;-7.039697;-7.4767995;-7.490893
ZINC000015302381;-7.406751;-7.918663;-6.9455857;-7.016325;-7.412598
ZINC000055543186;-8.258076;-8.300909;-8.210353;-8.364146;-8.480866
ZINC000055543200;-7.655509;-7.768584;-7.783943;-7.7939;-7.9567165
ZINC000015787756;-8.114627;-8.077315;-8.095379;-8.013005;-7.722215
ZINC000071867254;-7.962927;-7.3045626;-6.9351015;-7.2906117;-7.419861
ZINC000071867253;-7.3773365;-7.232583;-6.919511;-7.1606445;-7.3315816
ZINC000060333553;-8.089261;-8.742625;-9.116034;-8.709292;-8.355126
ZINC000006159807;-8.165022;-8.298062;-7.8587794;-7.9874983;-8.422654
ZINC000058980999;-6.9299703;-7.14664;-7.567296;-7.493615;-7.539365
ZINC000006159806;-8.133214;-8.36;-7.9093485;-7.9937425;-8.374208
ZINC000012905097;-9.605487;-9.568233;-9.354596;-9.285651;-9.173763
ZINC000012901980;-7.895757;-7.9552507;-7.93029;-8.343598;-7.8118973
ZINC000012901980;-7.8296156;-8.150553;-8.320804;-8.2326355;-8.163803
ZINC000000755519;-9.424356;-9.095901;-9.139345;-8.906686;-9.398296
ZINC000075105835;-8.414346;-9.25264;-8.294241;-8.911535;-8.2259445
ZINC000075105834;-8.282993;-8.910746;-8.294792;-8.587333;-7.909576
ZINC000075106432;-8.740526;-9.207178;-8.924186;-9.256018;-9.378157
ZINC000075106430;-8.713884;-9.20708;-8.930846;-9.207201;-9.368367
ZINC000015787755;-8.131807;-8.048278;-8.094048;-7.8616014;-7.8043513
ZINC000031577120;-7.780542;-8.311339;-8.076194;-8.176226;-8.044927
ZINC000017076714;-8.30175;-8.821244;-8.393799;-8.751097;-8.456374
ZINC000012557485;-8.485979;-8.299461;-8.359501;-7.9626694;-8.2041
ZINC000012557959;-8.0195675;-7.9136457;-7.9732623;-7.561881;-8.01333
ZINC000004986150;-7.9114027;-7.946706;-7.187584;-7.741057;-8.239196
ZINC000005032136;-9.434324;-9.144601;-8.256262;-8.907178;-8.6843195
ZINC000005032136;-9.13817;-8.983603;-8.50165;-9.19165;-8.896779
ZINC000000771875;-7.539263;-7.754527;-7.2082925;-7.2119684;-7.5994716
ZINC000000771876;-7.525526;-7.7285132;-7.427935;-7.4557004;-7.52634
ZINC000007647725;-8.110512;-8.438278;-7.707968;-7.991834;-7.7332473
ZINC000007647725;-7.9515615;-8.541084;-7.996509;-8.183375;-8.278017
ZINC000054531226;-8.787087;-8.4567;-8.251866;-8.741532;-8.200735
ZINC000038536747;-7.470726;-7.882454;-8.4454155;-7.693711;-7.809219
ZINC000095460531;-7.2672935;-7.5673227;-7.840077;-7.3131137;-7.169731
ZINC000252444225;-8.422886;-9.072233;-9.286507;-8.894279;-9.230801
