name;01;02;03;04;05
ZINC000048235061;-8.010648;-8.116566;-8.119855;-8.115633;-8.244689
ZINC000024715757;-7.902348;-7.9386816;-7.4159107;-7.714848;-8.033957
ZINC000252669443;-8.439278;-8.860952;-8.247808;-8.387215;-8.270726
ZINC000012562952;-8.007217;-8.438228;-8.72422;-8.225942;-8.257153
ZINC000010280839;-8.16121;-9.471568;-9.213789;-9.32005;-9.105612
ZINC000058412327;-8.335645;-9.028241;-9.29573;-8.733659;-9.08748
ZINC000048362154;-8.186911;-8.607302;-8.303531;-8.612273;-8.162383
ZINC000059887178;-9.052502;-9.159974;-9.333919;-8.821938;-8.979599
ZINC000060333552;-8.47694;-8.962456;-8.964032;-8.387406;-8.522528
ZINC000043331606;-8.70759;-9.399906;-8.181875;-8.662136;-8.570977
ZINC000012791902;-9.422499;-9.590084;-9.302657;-8.989633;-9.256031
ZINC000012793250;-8.325379;-8.692896;-7.7870865;-8.265769;-8.086552
ZINC000012800338;-9.265802;-9.263327;-8.892566;-8.716967;-9.081496
ZINC000012800366;-9.391512;-9.223497;-9.263059;-8.812999;-9.069471
ZINC000002352404;-7.9253817;-7.461047;-7.683713;-6.666313;-7.7203913
ZINC000004679267;-7.5985765;-7.003649;-7.2245145;-7.9635916;-7.558442
ZINC000032769494;-9.305291;-8.720818;-8.9506035;-8.73797;-8.806073
ZINC000032806329;-7.8573637;-7.1916823;-7.554063;-7.6777673;-7.4283056
ZINC000001280087;-6.657747;-6.7221026;-6.2464952;-6.648511;-6.5792055
ZINC000032806331;-8.330798;-7.6896057;-7.95555;-7.590914;-7.7885814
ZINC000001280004;-6.183998;-6.4215274;-6.272894;-6.013786;-6.013759
ZINC000001280086;-6.747351;-6.667445;-6.198386;-6.7733297;-6.617471
ZINC000001280141;-7.3057365;-7.379351;-6.4115744;-6.887846;-6.898707
ZINC000001280140;-7.2864604;-7.2268257;-6.3855186;-7.0046787;-7.0397525
ZINC000001280370;-6.4036174;-6.3612814;-6.1094327;-6.3264;-6.200582
ZINC000001280142;-7.3550844;-7.7292905;-6.7710085;-6.942385;-6.8206596
ZINC000001280192;-6.6805525;-6.974156;-6.3954854;-6.676789;-6.315951
ZINC000012979963;-9.001212;-9.74184;-9.191168;-9.305263;-9.34909
ZINC000095443099;-7.8026247;-8.306753;-7.8660555;-7.8671117;-8.034264
ZINC000095454584;-8.03076;-8.234048;-8.126182;-8.135621;-8.793395
ZINC000004833023;-8.936437;-9.476563;-8.636038;-9.092972;-8.831527
ZINC000072294899;-6.655028;-7.668358;-6.921725;-7.346763;-7.891293
ZINC000040098648;-9.132058;-9.13158;-8.211907;-8.650946;-8.697491
ZINC000013325252;-8.241766;-8.612293;-8.301146;-8.870211;-8.386037
ZINC000013370962;-6.9713726;-7.3626103;-7.28467;-7.1333065;-6.8543015
ZINC000072308338;-8.34842;-8.177385;-8.52777;-8.362348;-8.027941
ZINC000072308337;-8.86773;-8.526986;-8.328999;-8.370322;-8.085211
ZINC000039985765;-8.522616;-8.415634;-7.892592;-7.708166;-7.997326
ZINC000004993513;-8.527099;-8.60417;-8.6661;-8.6687975;-8.665037
ZINC000004986748;-8.103088;-8.158409;-7.758198;-8.188337;-8.326152
ZINC000002974649;-8.420004;-7.9781923;-8.146881;-8.222706;-8.449147
ZINC000002966513;-8.425324;-8.519165;-8.338665;-8.604564;-8.604881
ZINC000002966509;-8.065654;-7.9344826;-8.02494;-8.04553;-8.300056
ZINC000002966510;-7.9461308;-7.916709;-7.711619;-8.061776;-8.144305
ZINC000004983948;-7.8415504;-7.775321;-7.890047;-7.745431;-7.909005
ZINC000014094557;-8.72245;-9.2590275;-9.009794;-8.962115;-9.114172
ZINC000015499673;-8.864649;-8.87132;-8.808958;-8.970728;-8.561268
ZINC000015499675;-9.103932;-8.920384;-8.7877865;-9.009786;-8.570639
ZINC000040098650;-8.984904;-9.275479;-8.356032;-8.738204;-8.580767
ZINC000048289811;-8.845622;-8.56063;-8.350774;-8.926796;-8.85029
ZINC000003224704;-7.838558;-7.7755256;-7.399196;-7.5281734;-7.728222
ZINC000003224702;-8.085022;-7.6390457;-7.6876373;-7.452539;-7.9221234
ZINC000003242112;-8.272551;-8.261825;-7.6106534;-8.092565;-7.7506757
ZINC000095940912;-7.6090937;-8.144567;-8.230225;-7.726873;-7.5922866
ZINC000040157796;-8.006277;-8.719379;-7.989699;-8.5211315;-8.167862
ZINC000040157795;-8.068806;-9.25337;-8.062116;-8.528309;-8.058203
ZINC000040158349;-7.675674;-7.892391;-7.7463784;-7.8953;-7.52153
ZINC000040158350;-7.87115;-8.080615;-7.924405;-8.095778;-7.732034
ZINC000084625112;-8.4;-7.637665;-8.469173;-7.6319633;-8.208886
ZINC000095981268;-8.039432;-8.248791;-7.848475;-7.914299;-8.096763
ZINC000095997170;-8.652087;-8.042166;-7.860511;-7.848938;-8.440414
ZINC000095997169;-8.644473;-7.7802706;-7.7355156;-7.7826185;-8.487949
ZINC000058157555;-8.989899;-9.37791;-8.740444;-8.754418;-8.772852
ZINC000058157466;-8.430292;-8.565563;-8.301145;-8.380317;-8.099954
ZINC000009329248;-7.344533;-7.0576634;-7.4082766;-6.916801;-6.43426
ZINC000009329251;-7.065366;-7.190418;-7.275153;-6.969685;-7.089256
ZINC000014094558;-8.215988;-9.143917;-9.119617;-8.883556;-9.285284
ZINC000069978854;-8.730772;-8.163795;-8.746248;-7.932066;-8.270246
ZINC000070011592;-8.003591;-8.07055;-8.064962;-8.275161;-8.495893
ZINC000005626278;-7.6135664;-8.119253;-7.606371;-8.166969;-7.8746486
ZINC000241371238;-6.355633;-6.6351395;-6.7311006;-6.6693687;-6.798979
ZINC000058339725;-9.716791;-8.99352;-9.563554;-9.487321;-9.529688
ZINC000003778885;-8.161701;-8.426263;-7.24872;-7.8023634;-7.9503875
ZINC000004122127;-8.287525;-8.360391;-8.221954;-8.29331;-8.76731
ZINC000070011595;-8.393533;-8.127182;-8.009492;-8.337439;-8.477166
ZINC000010281355;-8.024379;-8.486984;-8.5895;-8.874443;-8.602209
ZINC000010281758;-8.24798;-9.543358;-9.451607;-9.318058;-9.416687
ZINC000000855985;-6.000633;-6.141198;-5.988435;-5.9050884;-6.0791645
ZINC000055208222;-8.035475;-7.91615;-7.47519;-7.972471;-8.107065
ZINC000055542847;-7.0875278;-7.284125;-7.2304096;-7.3787184;-7.115898
ZINC000055543342;-7.6320505;-7.8589344;-7.327319;-7.884469;-7.720209
ZINC000010456425;-8.7920475;-8.30588;-8.684968;-8.380275;-8.763136
ZINC000010456497;-9.379784;-9.413513;-9.322525;-8.974531;-9.0439
ZINC000060333553;-8.288735;-8.594097;-8.910398;-8.641745;-8.469557
ZINC000012865683;-7.121144;-7.1417456;-7.117286;-7.1304593;-6.229065
ZINC000015499671;-8.961334;-8.555987;-8.119634;-8.543606;-9.1104555
ZINC000015499677;-8.792695;-8.6796665;-8.322897;-8.468818;-8.843045
ZINC000006159807;-8.171229;-8.310255;-7.885928;-7.999664;-8.367906
ZINC000059384643;-8.485736;-8.474682;-8.706306;-8.455563;-8.182465
ZINC000006159806;-8.197774;-8.296515;-7.8495893;-8.003559;-8.435142
ZINC000004315046;-7.8818665;-7.7474413;-7.799011;-7.6886787;-8.040017
ZINC000004315074;-8.517044;-8.275225;-8.026201;-8.353526;-8.713142
ZINC000065564514;-7.1062098;-6.8914647;-6.4705715;-6.733236;-6.7541037
ZINC000065564515;-7.0887375;-6.9208302;-6.487117;-6.779502;-6.7799664
ZINC000004385517;-9.645603;-9.753395;-9.5828;-9.448528;-9.732048
ZINC000004426579;-7.2974195;-7.668535;-7.3260407;-7.3041286;-7.2885094
ZINC000015880100;-9.417866;-9.712439;-9.056087;-8.836584;-9.303651
ZINC000052447976;-7.970269;-8.2086935;-7.8795686;-8.212001;-8.207787
ZINC000000755519;-9.549448;-9.290411;-9.317764;-9.252798;-9.244049
ZINC000001280139;-7.435357;-7.6122704;-6.655043;-6.958399;-6.9146857
ZINC000001322987;-6.2106075;-6.6987066;-6.300979;-6.3119183;-6.134634
ZINC000001280193;-6.4242587;-6.8932476;-6.2742405;-6.634649;-6.2228727
ZINC000000640266;-6.0014625;-6.020935;-5.9647045;-6.2614813;-6.0522385
ZINC000025539256;-6.641101;-6.9347086;-6.8523903;-7.18588;-7.5475845
ZINC000001886360;-8.399658;-8.762468;-8.443657;-8.121012;-8.449829
ZINC000002268164;-7.457042;-7.5723825;-7.0719666;-6.631564;-7.125968
ZINC000002268161;-7.5934916;-7.696836;-7.0603733;-7.3043346;-7.3889885
ZINC000075105835;-8.089743;-9.325835;-8.133761;-8.557054;-8.138549
ZINC000075105834;-8.477772;-8.211992;-8.092648;-8.047774;-8.312352
ZINC000004656761;-6.884614;-7.2245684;-6.542875;-6.8689203;-6.5941753
ZINC000004676233;-8.401479;-8.454041;-8.894759;-8.283328;-8.746538
ZINC000004678493;-8.428825;-8.301352;-8.007403;-8.056033;-8.322279
ZINC000004679251;-7.6884394;-7.3013196;-7.3910556;-8.036342;-7.77287
ZINC000001636097;-7.600227;-7.749765;-7.951855;-7.748973;-7.8975577
ZINC000001188113;-8.078308;-7.79099;-8.1356535;-8.038213;-8.267121
ZINC000001753752;-6.956648;-7.3857245;-7.038614;-7.0622234;-7.3622675
ZINC000003224705;-7.6567135;-7.3837295;-7.6693525;-7.338385;-7.7825046
ZINC000000855986;-6.170894;-6.2008157;-6.0600777;-5.88783;-6.11924
