name;01;02;03;04;05
ZINC000513545343;-10.244972;-9.559309;-9.087712;-10.564621;-9.859079
ZINC000513545344;-10.318343;-9.918066;-9.511642;-10.46226;-9.849155
ZINC000513545345;-10.497222;-9.795611;-9.337293;-10.422819;-9.812214
ZINC000513545342;-10.196247;-9.883537;-9.507969;-10.271445;-9.923914
ZINC000539072714;-9.153603;-9.1036625;-8.926866;-8.70045;-8.978533
ZINC000517134283;-7.9651704;-8.224982;-7.6083245;-8.372202;-8.542067
ZINC000105459170;-9.528173;-8.530221;-8.631474;-9.125167;-8.795263
ZINC000105454274;-9.624424;-9.5049715;-8.867971;-9.392696;-9.335964
ZINC000517145137;-8.585118;-8.236911;-8.385284;-8.683254;-8.97733
ZINC000162564652;-9.296365;-8.905205;-9.304811;-8.897268;-9.818041
ZINC000162564778;-8.893402;-8.688149;-9.005781;-8.867038;-9.587046
ZINC000290408312;-8.679519;-9.110946;-8.6615505;-8.918703;-9.093097
ZINC000290408321;-9.028177;-8.218255;-8.496973;-8.212679;-8.894876
ZINC000302144813;-6.965718;-8.505471;-7.346291;-7.9082656;-6.963453
ZINC000247935458;-9.240823;-9.117166;-9.512421;-9.09823;-8.555029
ZINC000247935449;-9.007253;-9.091148;-8.38486;-8.743467;-8.737898
ZINC000236649244;-9.29867;-8.731516;-9.164792;-8.4994755;-8.270593
ZINC000236649183;-9.491837;-9.076209;-9.231116;-8.876813;-8.532427
ZINC000236649148;-9.306541;-8.951561;-8.761495;-8.848471;-8.464344
ZINC000414659550;-10.079933;-10.602558;-9.583779;-9.799552;-9.919098
ZINC000179467687;-8.718611;-8.944372;-8.904515;-9.450982;-9.335526
ZINC000179467696;-8.722452;-9.0542965;-8.983368;-9.707052;-8.9482565
ZINC000610372101;-9.360331;-8.74639;-8.679169;-8.528706;-8.540202
ZINC000610372100;-10.01338;-9.016437;-9.311717;-9.261408;-8.909453
ZINC000422559118;-9.790011;-10.2792;-9.301529;-8.94344;-10.368032
ZINC000422559116;-9.691095;-10.0137615;-9.125808;-9.155198;-9.703395
ZINC000422559119;-9.959452;-10.460676;-9.200905;-9.083645;-10.130464
ZINC000422559117;-9.103115;-9.233389;-9.008097;-8.997902;-8.98332
ZINC000367691700;-8.70314;-8.6476555;-8.49115;-8.880858;-8.890688
