name;01;02;03;04;05
ZINC000104205902;-7.666957;-7.379103;-7.2120767;-7.6547136;-7.6145525
ZINC000007274901;-6.7469544;-6.2940354;-6.195744;-6.501272;-6.347231
ZINC000008470155;-6.9239936;-6.5288224;-6.1345654;-6.6772003;-6.8972626
ZINC000001438467;-7.589184;-7.517602;-7.2077227;-6.7041802;-7.455418
ZINC000001440423;-6.9755144;-6.756952;-6.642055;-6.8843937;-6.3275204
ZINC000001473626;-6.54861;-6.3979077;-6.4260006;-6.4513664;-6.5263205
ZINC000001510747;-7.2101154;-7.227402;-7.0775337;-7.076185;-7.548089
ZINC000001802988;-6.023886;-6.283211;-5.8356047;-6.0330772;-6.2561116
ZINC000013410500;-6.6220117;-6.685242;-6.613995;-6.77819;-6.7465525
ZINC000059662642;-6.341631;-6.6220064;-6.079966;-5.751279;-6.127491
ZINC000224500552;-6.478992;-6.4621334;-6.766824;-6.633245;-6.7040043
ZINC000006780528;-8.865142;-8.957905;-8.196242;-8.432655;-8.28943
ZINC000224292676;-7.114838;-6.987668;-7.8134317;-7.055168;-7.365845
ZINC000031769273;-7.3890276;-7.7181706;-7.5760202;-7.7526293;-7.7774434
ZINC000225057067;-7.1505003;-6.9856024;-6.6847086;-6.683731;-6.701498
ZINC000223254558;-8.335687;-6.4221816;-7.679451;-7.0680556;-7.13416
ZINC000013568869;-7.9903035;-8.097565;-7.595682;-7.527537;-7.813792
ZINC000008300037;-6.208286;-7.3147774;-6.6481853;-6.7636156;-7.276113
ZINC000036633746;-7.4946694;-7.5181136;-7.36601;-7.660932;-7.428889
ZINC000037390765;-7.504023;-7.719436;-7.7041063;-7.6334696;-7.7737
ZINC000005161624;-7.656801;-6.7583313;-7.303254;-7.2864256;-7.418356
ZINC000005161624;-7.312436;-6.7771597;-7.0947576;-6.7384343;-7.1892495
ZINC000058885986;-7.3246145;-8.268324;-7.751381;-7.3156834;-8.063035
ZINC000005552543;-7.3890276;-7.7181706;-7.5760202;-7.7526293;-7.7774434
ZINC000054363827;-6.9715476;-6.9787803;-6.9358864;-6.966289;-6.8838644
ZINC000012147550;-7.140519;-7.0853457;-6.813454;-7.4241786;-6.9290085
ZINC000585294602;-7.093627;-7.652339;-7.651786;-7.4714036;-8.002878
ZINC000585295226;-7.20106;-7.2796206;-7.1046486;-6.931565;-7.529614
ZINC000585294607;-7.4225717;-7.1624613;-7.11905;-7.086194;-7.5509233
ZINC000012143735;-7.142876;-7.3134003;-6.539564;-7.078917;-7.029069
ZINC000035610689;-8.1065235;-8.114913;-7.867816;-8.351885;-8.87682
ZINC000019790561;-7.203256;-6.3496957;-6.89711;-6.7467203;-6.6514244
ZINC000019014298;-6.8402295;-6.7974296;-6.7321687;-6.8325887;-7.0178895
ZINC000001535916;-8.036545;-7.729786;-7.5372515;-7.338911;-7.7229004
ZINC000019530049;-7.2077174;-6.6987076;-6.75279;-6.9166627;-6.6375213
ZINC000019530059;-7.4581;-7.166938;-6.756843;-6.8815207;-6.857734
ZINC000001013454;-8.495751;-8.594495;-7.7300935;-8.084734;-7.6896467
ZINC000004526626;-7.612777;-7.6845407;-7.5644374;-7.6165037;-7.638793
ZINC000006621596;-5.8603144;-5.4388123;-5.376813;-5.9533496;-5.5197344
ZINC000016217387;-7.089898;-7.3219194;-7.3742137;-7.32708;-7.0523677
ZINC000328783234;-7.656048;-7.2499504;-7.0943823;-7.6410284;-7.1456337
ZINC000328783235;-7.819895;-7.3801956;-7.3222766;-7.678578;-7.232682
ZINC000003898471;-8.549809;-8.680927;-8.565262;-8.684746;-8.829075
ZINC000036633745;-7.548485;-7.5369625;-7.3507395;-7.575643;-7.539709
ZINC000216920616;-6.642925;-6.4957414;-6.509687;-6.4120464;-6.5752544
ZINC000004713138;-7.9351525;-7.923896;-7.7111983;-7.6994557;-7.75521
ZINC000104896565;-6.623804;-6.8699493;-6.551301;-6.6981897;-6.554567
ZINC000005444140;-6.952693;-6.917811;-7.1519895;-7.5528817;-6.861235
ZINC000005879714;-6.8007455;-6.768869;-6.684251;-6.5828543;-6.582627
ZINC000100045370;-3.9128292;-3.592246;-4.047863;-3.5691745;-4.0488973
ZINC000100045370;-3.8071342;-3.4625723;-3.739677;-3.6346807;-3.709817
ZINC000012418807;-6.959548;-6.519647;-6.2064896;-6.494958;-6.4442444
ZINC000017429167;-8.2420435;-7.8613753;-7.552877;-8.038986;-7.905319
ZINC000095532719;-7.2825027;-7.507843;-7.163723;-7.3817644;-6.8943315
ZINC000095532721;-7.468236;-7.485573;-7.1479387;-7.400647;-7.2349186
ZINC000078549861;-7.218772;-7.257629;-7.0475416;-7.5431676;-6.8270464
ZINC000005614552;-8.121354;-7.9936047;-7.7200003;-7.5322914;-8.034024
ZINC000018043398;-7.0677705;-6.6281652;-7.123658;-7.456822;-6.764697
ZINC000100045372;-3.885352;-3.640961;-4.0561852;-3.5599706;-4.021629
ZINC000100045372;-3.696992;-3.6630738;-4.0218854;-4.0395684;-3.981679
ZINC000019138115;-7.2773714;-6.9705825;-7.1471972;-7.5054607;-6.8935966
ZINC000004679274;-7.0006466;-6.38805;-6.632997;-6.746522;-6.87362
ZINC000100316273;-4.038947;-4.404068;-4.3496017;-4.7199526;-5.005432
ZINC000100413557;-7.2896395;-7.194263;-7.2757697;-7.269698;-7.039592
ZINC000100480927;-9.169097;-9.227645;-8.964227;-9.231225;-9.391553
ZINC000006382717;-7.4486284;-8.045739;-7.706928;-7.5689197;-7.8295293
ZINC000006297208;-5.0616264;-4.836784;-5.3149176;-5.668946;-5.55437
ZINC000006297260;-5.883903;-5.201206;-5.542038;-5.6517525;-5.778068
ZINC000005003231;-6.330974;-6.897453;-6.421281;-6.92153;-6.8449755
ZINC000100926150;-7.529368;-7.686357;-7.656761;-7.4446507;-7.4203415
ZINC000006686811;-7.4226184;-7.5042543;-7.181493;-7.43186;-7.396952
ZINC000107935842;-7.479926;-7.0672436;-6.9419746;-7.584447;-7.3113422
ZINC000254369497;-7.3677983;-7.6193366;-7.6997504;-7.935005;-7.4137197
ZINC000006588361;-7.3305917;-7.4119124;-7.6407337;-7.817151;-7.508116
ZINC000006588361;-7.6552887;-7.9686737;-7.8234625;-8.232044;-7.8918915
ZINC000006588362;-7.4117537;-7.215751;-7.3756685;-7.6394444;-7.171907
ZINC000006588362;-7.6832995;-7.792234;-7.4919453;-8.145832;-7.57337
ZINC000007098645;-8.276709;-8.42676;-7.907893;-8.508629;-8.540792
ZINC000007098645;-8.517874;-8.318433;-7.972265;-8.495316;-8.582485
ZINC000007604770;-7.4891605;-8.080271;-7.7207437;-7.6762595;-7.631461
ZINC000008336392;-7.0256443;-7.2023573;-7.008956;-7.325462;-6.8871884
ZINC000008336400;-7.0256443;-7.2023573;-7.008956;-7.325462;-6.8871884
ZINC000013568870;-7.644275;-7.3981237;-7.212577;-7.512832;-7.4632072
ZINC000013999866;-8.358748;-7.948101;-8.286331;-8.4049015;-8.297596
ZINC000013999868;-8.266247;-7.6918035;-7.801653;-8.306407;-8.181517
ZINC000013999863;-8.199923;-7.844595;-8.250517;-8.456458;-8.237197
ZINC000006024759;-7.1369762;-6.8444057;-6.4461927;-7.423232;-7.1416054
ZINC000004864343;-6.935028;-7.1094513;-6.9588985;-7.0372343;-7.132773
ZINC000007008451;-7.007732;-6.9863977;-6.981781;-7.1695075;-7.4254394
ZINC000006564833;-6.9303455;-6.812528;-6.622111;-7.715022;-7.1427894
ZINC000033409248;-8.075998;-7.507395;-7.758746;-7.5627112;-7.494789
ZINC000033666577;-6.847288;-6.4962106;-6.243136;-7.3640623;-6.843611
ZINC000034743882;-6.1352787;-6.398061;-6.362371;-6.42807;-6.474098
ZINC000105147617;-6.251025;-6.491976;-6.3850613;-6.5792866;-6.3593316
ZINC000107624437;-7.7780724;-7.0107527;-7.2434797;-7.8736277;-7.542454
ZINC000137844835;-6.1352787;-6.398061;-6.362371;-6.42807;-6.474098
ZINC000137991230;-7.7780724;-7.0107527;-7.2434797;-7.8736277;-7.542454
ZINC000108101288;-6.139847;-6.335008;-6.101394;-6.1375346;-6.2087555
ZINC000137837046;-7.1369762;-6.8444057;-6.4461927;-7.423232;-7.1416054
ZINC000137716462;-6.847288;-6.4962106;-6.243136;-7.3640623;-6.843611
