name;01;02;03;04;05
ZINC000104366757;-7.362537;-7.3741474;-7.3380995;-7.533619;-6.8906703
ZINC000004341285;-7.967089;-7.739053;-7.7289953;-8.005169;-7.8125877
ZINC000013058305;-7.3972645;-7.383211;-6.967628;-7.2176;-7.0868993
ZINC000032115734;-8.052904;-8.17289;-8.339479;-8.497083;-8.037938
ZINC000004539496;-7.4464703;-7.456868;-7.7065735;-7.131324;-7.86767
ZINC000225599358;-7.8854914;-7.534083;-7.9213424;-7.558682;-8.017377
ZINC000225609379;-8.088726;-8.067185;-7.9989023;-7.9888644;-7.888679
ZINC000031772078;-7.086961;-7.31858;-7.3365436;-7.192807;-7.2252293
ZINC000032116813;-6.7943587;-6.8721046;-7.3208985;-7.1231947;-7.2126384
ZINC000033531531;-6.697648;-7.3807287;-7.3831987;-7.599426;-7.187115
ZINC000013389168;-6.9726896;-7.3186164;-7.355259;-7.3911834;-7.1160884
ZINC000013402436;-7.609037;-7.3635244;-7.1487026;-7.7674913;-7.8235025
ZINC000005772230;-9.216927;-9.327725;-9.281545;-8.920345;-9.81598
ZINC000005015095;-8.085561;-7.960372;-7.904521;-8.081924;-8.115843
ZINC000003136506;-7.463437;-7.578007;-7.475308;-7.403887;-7.760689
ZINC000033319614;-7.5379534;-7.533039;-7.1109343;-7.8652964;-7.71288
ZINC000005214077;-7.035366;-7.4294076;-7.3471804;-7.313156;-7.228647
ZINC000059135783;-6.78442;-7.044691;-7.2028475;-7.1328926;-7.0262985
ZINC000059135971;-6.688381;-7.1368494;-7.395114;-7.2180996;-7.173281
ZINC000059135750;-6.4277997;-6.795781;-7.162056;-6.8859596;-6.8812246
ZINC000005214133;-7.2292676;-7.3321543;-7.151677;-6.3765235;-7.324781
ZINC000059401563;-6.6487875;-6.8404884;-6.9147253;-7.2369013;-6.785635
ZINC000057690622;-7.7285037;-7.4611645;-7.622259;-7.4233475;-7.636761
ZINC000059862148;-6.4802184;-6.8037844;-7.3481865;-7.273509;-7.1429567
ZINC000059860384;-7.0644994;-7.412824;-7.1778407;-7.177558;-7.3661313
ZINC000059860355;-6.708549;-7.4926887;-7.1588335;-7.390937;-7.2090487
ZINC000005371867;-7.2390733;-6.590859;-6.553562;-6.5360847;-6.899968
ZINC000041105580;-6.6153;-7.0361004;-7.0424933;-6.7576194;-7.1415434
ZINC000005373486;-7.1227064;-7.400509;-7.6581755;-7.2845936;-6.9680023
ZINC000005374182;-6.5747676;-6.859657;-6.417681;-6.547919;-6.6480618
ZINC000005373130;-8.450385;-8.008175;-8.0967865;-7.9200006;-8.108682
ZINC000005373371;-8.309156;-8.174245;-7.5630937;-7.924733;-7.6188793
ZINC000005371798;-7.66367;-7.9319844;-7.892498;-8.158705;-7.8416915
ZINC000005371174;-7.6987543;-7.6902447;-7.6975713;-7.768041;-7.668621
ZINC000005373439;-7.9189863;-8.331864;-7.9098883;-8.316858;-7.981878
ZINC000005374058;-7.896581;-7.7647667;-7.4356585;-7.614922;-7.4939904
ZINC000005374228;-6.7807655;-7.074329;-7.068228;-6.6140165;-7.1581197
ZINC000083292135;-7.2117968;-7.464628;-6.894552;-7.5493836;-7.2084637
ZINC000083324766;-8.365499;-8.414934;-8.354435;-8.561759;-8.339577
ZINC000083318119;-7.1846466;-7.3610525;-7.2953167;-7.909718;-7.8050714
ZINC000083308391;-7.187001;-8.103647;-7.9273777;-7.883774;-7.457696
ZINC000054153080;-8.594228;-8.151677;-8.296761;-8.120757;-8.336467
ZINC000054164374;-8.838108;-8.388494;-8.319186;-8.219522;-8.422341
ZINC000054164376;-8.2917595;-8.103568;-8.135468;-7.899681;-8.195567
ZINC000001461856;-7.13087;-7.3404245;-7.042691;-7.321041;-7.598184
ZINC000096193365;-7.624402;-8.443241;-8.367998;-7.9878592;-8.53992
ZINC000096193368;-8.436417;-8.612831;-8.5893955;-8.19314;-8.852915
ZINC000006568848;-7.1534705;-7.201378;-7.3538976;-7.626728;-7.4824133
ZINC000004140413;-6.809065;-6.7111173;-6.701084;-6.912056;-6.8720746
ZINC000004140433;-7.1896152;-6.253862;-6.803734;-6.5025225;-6.9556007
ZINC000004701230;-7.6280117;-7.5718904;-8.083516;-7.708412;-8.045807
ZINC000004804142;-7.362537;-7.3741474;-7.3380995;-7.533619;-6.8906703
ZINC000004151415;-7.7104397;-7.7923107;-7.9612055;-8.276998;-8.071106
ZINC000004151417;-7.2963424;-7.198162;-6.7974076;-7.1577997;-7.2074494
ZINC000004140411;-7.010104;-6.909811;-6.598233;-6.519485;-6.8525043
ZINC000016249342;-8.830176;-8.648568;-8.39529;-8.074965;-8.780822
ZINC000004959443;-7.9934816;-7.888347;-7.934272;-8.337628;-8.452059
ZINC000004959442;-7.4372954;-6.9483924;-7.615534;-7.218832;-7.4832673
ZINC000016347101;-8.20661;-8.205778;-8.344441;-8.24066;-8.391369
ZINC000001766412;-7.0468926;-6.8919187;-6.9169326;-7.250747;-7.209102
ZINC000016906091;-7.7679825;-7.720732;-7.5281906;-7.570033;-7.6226654
ZINC000005740253;-7.3784885;-7.56374;-6.7361174;-7.1727343;-7.5527334
ZINC000005214134;-6.958619;-6.776161;-6.450039;-6.2570686;-6.6861963
ZINC000005940333;-7.4409943;-7.8096776;-7.4779205;-7.5736136;-7.638045
ZINC000005373483;-7.3306828;-7.403943;-7.566681;-7.438756;-7.0817924
ZINC000005374184;-7.669448;-7.151545;-7.1302166;-6.8303347;-7.1115217
ZINC000005371864;-7.2577;-6.510866;-6.734832;-6.583417;-6.8928204
ZINC000005374137;-8.33709;-8.476566;-7.877832;-8.009746;-7.869189
ZINC000005374227;-6.8339477;-7.104824;-7.03028;-6.536496;-7.093328
ZINC000005373436;-7.180595;-7.4972463;-7.2541637;-7.220582;-7.1384187
ZINC000005371763;-7.7938433;-7.967318;-7.815198;-8.023095;-7.7599525
ZINC000005371828;-7.621411;-7.703372;-7.667836;-7.813288;-7.5481367
ZINC000005373355;-7.0696764;-7.842352;-7.172631;-7.450233;-7.287675
ZINC000005373449;-8.517432;-8.580859;-7.7290483;-8.192403;-7.986659
ZINC000005372258;-6.621642;-6.2923145;-6.937392;-6.4618034;-6.9143114
ZINC000005488251;-7.21863;-6.8843;-7.477476;-7.296858;-7.4827905
ZINC000100369388;-7.624222;-7.6009603;-6.9988375;-7.398463;-7.954728
ZINC000005569772;-7.1549063;-7.209095;-7.095277;-7.065132;-7.449695
ZINC000100244942;-8.379065;-8.390603;-8.3967285;-8.4703045;-8.447927
ZINC000100244949;-8.379065;-8.390603;-8.3967285;-8.4703045;-8.447927
ZINC000000871827;-6.6344147;-6.5985327;-6.6183243;-6.618914;-6.961803
ZINC000004140434;-7.125088;-7.339016;-7.042014;-7.323719;-7.5926313
ZINC000006060397;-6.7422304;-7.1480904;-7.015069;-7.175783;-7.0797997
ZINC000004172125;-7.1207557;-6.3015122;-6.7466598;-6.5501;-6.799016
ZINC000100148027;-8.478396;-8.401937;-8.360167;-8.701937;-8.64182
ZINC000005394224;-7.5975785;-7.269835;-7.284184;-7.053972;-7.470953
ZINC000005394223;-7.8764057;-8.319014;-8.048313;-8.16285;-8.299324
ZINC000006075093;-7.841659;-7.759374;-7.5720005;-7.775205;-7.6552114
ZINC000100922780;-8.374144;-8.863147;-8.46482;-8.816911;-8.68194
ZINC000100988548;-7.2192883;-7.784853;-6.8736844;-7.0712934;-6.979929
ZINC000104250365;-6.79831;-7.36921;-6.8864765;-6.7895555;-7.033088
ZINC000101141468;-8.43186;-8.800492;-8.541817;-8.697996;-8.724295
ZINC000230259605;-6.6013393;-6.1595683;-6.872858;-6.446411;-6.4462147
ZINC000000851475;-7.3736095;-7.359026;-7.3269625;-7.3008566;-6.900901
ZINC000248334158;-7.7480655;-7.7929554;-7.310913;-7.8164797;-7.828724
ZINC000248339950;-6.924412;-7.023685;-6.662779;-6.99813;-7.353215
ZINC000248339948;-6.8356915;-7.1648536;-6.4409328;-6.6500773;-7.015267
ZINC000248334159;-7.756007;-7.556635;-7.3045955;-7.3124914;-7.8211994
ZINC000038172428;-6.900982;-7.9060125;-7.61486;-8.046797;-7.451169
ZINC000038183056;-6.653278;-7.240231;-6.9742727;-7.592279;-7.2890253
ZINC000034715440;-7.9316535;-8.1340275;-7.982578;-8.001409;-8.254669
ZINC000038178007;-6.88074;-7.4689794;-7.2076592;-7.62599;-7.474887
ZINC000038173330;-6.8725643;-7.3010483;-7.2559934;-7.429323;-7.3415756
ZINC000043769598;-7.2211337;-7.0111046;-6.9469748;-7.01749;-7.0868015
ZINC000038188329;-7.1288214;-7.6857123;-7.4522595;-8.165138;-7.6158876
ZINC000199499950;-8.130677;-8.363034;-7.872428;-8.036521;-7.9685245
ZINC000107771898;-7.7875986;-8.270108;-8.094192;-8.084066;-8.3258505
ZINC000020227017;-8.378276;-8.136741;-8.130838;-7.7273517;-8.192461
ZINC000006657387;-8.006447;-7.775158;-7.3522778;-7.7867117;-7.35047
ZINC000000971843;-8.071714;-7.8757453;-7.8862686;-8.146847;-8.031626
ZINC000031903716;-7.49127;-7.5289464;-7.746916;-7.2770567;-7.668524
ZINC000004140435;-7.505587;-7.575426;-7.3452578;-7.547017;-7.93077
ZINC000001084633;-7.480661;-7.551971;-7.340935;-7.393527;-7.599416
ZINC000226855799;-6.88035;-7.237552;-7.010659;-6.9818926;-7.172864
ZINC000105456863;-7.4331503;-7.474203;-7.5627933;-7.2618275;-7.2249317
ZINC000105456866;-7.4331503;-7.474203;-7.5627933;-7.2618275;-7.2249317
ZINC000012504542;-7.1223297;-7.088977;-6.9210176;-7.124216;-7.092465
ZINC000054164260;-8.391537;-8.044573;-8.113025;-8.013566;-8.141272
ZINC000004151416;-7.559608;-7.378465;-7.0536623;-7.722645;-7.884275
ZINC000059136249;-6.9887686;-7.354001;-7.8349752;-7.2485332;-7.1888394
ZINC000059135388;-7.1951575;-7.456318;-7.6721954;-7.4889708;-7.235287
ZINC000013058311;-7.5076666;-7.4705596;-7.174927;-7.2700953;-7.247126
ZINC000096006229;-7.870129;-7.997752;-8.347034;-8.381233;-8.398281
ZINC000408736209;-6.685542;-6.114767;-7.0378246;-6.5180726;-6.5872087
ZINC000100041048;-8.404669;-8.922327;-8.109725;-8.478699;-8.841645
ZINC000001436355;-8.771648;-9.045228;-8.152735;-8.581155;-8.835549
ZINC000408828089;-7.581242;-7.3492117;-7.4355936;-7.146125;-7.6625834
ZINC000408526599;-8.874951;-8.933775;-8.304808;-8.701368;-8.879137
ZINC000408527715;-9.146104;-9.093401;-8.506809;-8.89572;-8.915445
ZINC000408952026;-6.6308737;-6.8519735;-6.695429;-6.792354;-7.084359
ZINC000408529197;-8.092127;-8.292888;-8.016523;-8.115702;-8.309183
ZINC000100988550;-7.2192883;-7.784853;-6.8736844;-7.0712934;-6.979929
ZINC000408532967;-7.797925;-7.4797792;-7.4983244;-7.645729;-7.774344
