name;01;02;03;04;05
ZINC000008470160;-7.6302133;-6.633048;-6.840859;-7.034721;-6.993087
ZINC000033353061;-6.6819763;-6.166768;-6.1013527;-5.9549484;-6.306596
ZINC000001398684;-7.087316;-7.2417707;-6.6978326;-6.736881;-6.947685
ZINC000055307609;-7.512018;-6.6159363;-7.0044284;-6.737886;-6.4930916
ZINC000012571921;-7.191821;-6.960695;-6.8899856;-6.7473106;-6.816978
ZINC000012590515;-7.814511;-7.765846;-7.7519426;-7.4879613;-7.8642282
ZINC000012659061;-8.13637;-7.7932987;-8.075383;-8.090177;-8.274502
ZINC000012659728;-9.418494;-8.235425;-8.658653;-8.499629;-8.568516
ZINC000012659729;-8.817308;-8.512572;-7.802286;-8.551997;-8.724147
ZINC000036646309;-8.061639;-8.70107;-7.954742;-8.41973;-8.311123
ZINC000013081310;-7.4247437;-7.746517;-7.5578094;-7.3548727;-7.911014
ZINC000104468828;-6.69086;-6.6884065;-6.4720984;-6.4066424;-6.3471603
ZINC000002471258;-7.342445;-7.537301;-7.453197;-7.549595;-7.3811803
ZINC000002471259;-7.359705;-7.586892;-7.437244;-7.5020804;-7.4137564
ZINC000001250168;-8.040755;-7.619997;-7.1915874;-7.7061305;-7.432704
ZINC000001250166;-8.029154;-8.193611;-7.247448;-7.896303;-7.765189
ZINC000004785503;-7.0669994;-6.7961545;-5.934827;-6.9101844;-6.496747
ZINC000004786015;-6.1602592;-5.8506637;-5.819737;-6.3761315;-5.892715
ZINC000002090357;-7.3711133;-7.660566;-7.5750113;-6.884305;-7.1152
ZINC000004786016;-6.0587068;-6.3881664;-6.175954;-6.0895324;-6.079234
ZINC000006273007;-7.477025;-7.829232;-7.4367223;-7.5362115;-7.7210207
ZINC000004542279;-8.24282;-8.189939;-7.772109;-8.610463;-8.696036
ZINC000003082342;-8.312797;-7.9356265;-7.707382;-7.699203;-8.1201935
ZINC000013730699;-7.4895697;-7.3747835;-7.030299;-7.079187;-7.3561535
ZINC000008690797;-7.5914645;-7.998145;-8.199196;-7.353087;-7.7547107
ZINC000102554252;-6.8715625;-6.29348;-6.2527924;-6.35389;-6.2001057
ZINC000008683041;-7.9818373;-7.6603374;-7.8310113;-7.9827127;-7.7114115
ZINC000215175295;-8.233184;-8.16503;-7.6653094;-7.6725082;-8.242612
ZINC000215175245;-8.151176;-7.938453;-7.647922;-7.685972;-8.325936
ZINC000106964035;-9.210396;-8.604816;-8.153158;-8.216574;-8.661086
ZINC000055129804;-8.19167;-8.509218;-8.333493;-8.5656805;-8.071759
ZINC000058157803;-7.4769764;-7.111259;-7.4331365;-7.3916245;-7.5588675
ZINC000008844860;-8.057573;-8.299298;-8.009434;-8.132652;-8.1435375
ZINC000008867559;-8.657774;-8.401951;-8.123123;-8.477245;-8.048105
ZINC000033341238;-7.7090816;-7.8426833;-7.6061087;-7.638635;-7.780285
ZINC000101011847;-8.21827;-7.83071;-7.4171205;-7.715037;-7.759918
ZINC000013371113;-7.8300343;-7.44739;-7.9090924;-8.182082;-7.4565134
ZINC000055307605;-7.661808;-6.942563;-6.816511;-6.637764;-6.448144
ZINC000055211631;-8.605307;-8.299729;-8.338465;-8.014931;-8.194572
ZINC000055459290;-7.7645607;-7.599483;-7.957009;-7.596138;-7.96933
ZINC000065453794;-7.3049164;-8.497501;-7.9666047;-7.7737327;-7.964644
ZINC000248130505;-7.3738475;-7.5847664;-7.606791;-8.036879;-7.820486
ZINC000029487394;-7.8581862;-7.6350446;-7.743923;-7.8904967;-7.627403
ZINC000029487392;-7.690081;-7.273672;-7.32092;-7.8855486;-7.375919
ZINC000003086206;-6.241444;-6.1298;-5.6497793;-6.0281415;-6.041358
ZINC000013427205;-8.690126;-8.796728;-8.571702;-9.011112;-9.288782
ZINC000095691964;-6.996182;-7.147263;-7.1975207;-6.786102;-7.010663
ZINC000095918136;-6.776334;-6.6805844;-6.265615;-7.243924;-6.3607974
ZINC000025949259;-8.026395;-7.6285257;-8.172334;-7.913734;-8.229858
ZINC000244742218;-8.268662;-8.323947;-8.256547;-8.152302;-8.043406
ZINC000013756157;-6.6224957;-6.427837;-6.312688;-6.2837214;-6.1598053
ZINC000013776459;-7.8566427;-7.658005;-7.539958;-7.755838;-7.7165446
ZINC000013756159;-6.92799;-6.5597863;-7.006419;-6.8117466;-6.408932
ZINC000003376930;-7.269717;-7.483537;-7.200373;-6.893831;-7.36506
ZINC000065453789;-7.186035;-8.328424;-7.8681583;-7.681519;-8.091609
ZINC000004275312;-7.376562;-8.51128;-7.6285563;-7.668241;-7.483202
ZINC000003656627;-6.7662616;-7.0228786;-6.6385417;-6.817264;-7.2051554
ZINC000101251919;-8.550209;-8.888933;-8.375227;-8.847034;-8.99731
ZINC000101170105;-8.151321;-7.622204;-8.3313875;-8.550765;-7.9470983
ZINC000006855860;-7.6105685;-7.131571;-7.016419;-7.4678802;-7.220904
ZINC000004542222;-8.110086;-7.7250233;-7.3179674;-7.9040284;-8.331365
ZINC000007525106;-7.466375;-7.2364798;-7.5524354;-7.336266;-7.2598433
ZINC000007525128;-8.583823;-8.272865;-7.813503;-7.7401047;-8.475099
ZINC000009338811;-7.203019;-7.454031;-7.7196345;-7.9832816;-7.713595
ZINC000009338810;-7.4191885;-7.8514366;-7.651269;-7.793533;-7.880171
ZINC000009378963;-7.415382;-8.038181;-7.7996964;-7.6585436;-7.783654
ZINC000006317624;-7.5751777;-8.203114;-7.795693;-8.102371;-8.187365
ZINC000008470112;-7.818358;-7.2686696;-7.178123;-7.380567;-7.9148703
