name;01;02;03;04;05
ZINC000602632517;-7.6167526;-7.889669;-7.595975;-7.3891716;-7.589791
ZINC000602632503;-7.5836897;-7.9605513;-7.6804943;-7.6558867;-7.5574617
ZINC000602645996;-8.277988;-8.077564;-8.373596;-7.8052545;-8.05058
ZINC000602645997;-8.332875;-8.037564;-7.785269;-7.931836;-7.659835
ZINC000602646634;-8.22107;-7.720209;-7.3559628;-7.486619;-7.4363775
ZINC000602646633;-7.7844305;-7.4994254;-7.8282413;-7.2544236;-7.5841684
ZINC000602649342;-7.2597175;-7.2262864;-6.812135;-6.53356;-7.071142
ZINC000602649341;-7.055837;-7.306655;-6.9374633;-6.9541783;-6.630744
ZINC000602649343;-7.4638724;-7.0447364;-7.049682;-6.7505736;-7.1494956
ZINC000602649344;-6.6767163;-7.085026;-6.9453855;-6.712056;-6.559984
ZINC000602656314;-7.715662;-7.7231736;-7.4868555;-7.4543896;-7.562915
ZINC000602656296;-7.0909905;-7.70068;-7.4036756;-7.6390505;-7.4731417
ZINC001165054670;-7.66731;-7.162954;-6.790535;-6.932371;-6.7875576
ZINC000188785652;-8.532606;-8.356124;-7.8089128;-8.622003;-8.472421
ZINC000188785675;-8.501486;-8.063795;-7.602171;-8.407448;-8.335169
ZINC000568343824;-8.921339;-8.237991;-8.882943;-8.522724;-8.924836
ZINC000568343823;-8.828825;-8.744513;-8.563377;-8.584884;-8.770752
ZINC000602766188;-8.024549;-8.308508;-8.275897;-8.0858345;-7.9330444
ZINC000602766189;-8.206719;-8.189127;-8.580146;-8.072963;-7.93839
ZINC000602766187;-7.767946;-8.028307;-7.9984865;-7.9464064;-7.8740454
ZINC000602766185;-7.980198;-7.867056;-7.779524;-7.7347493;-7.935907
ZINC000568301105;-7.6852193;-7.395274;-7.092977;-7.293762;-7.6700325
ZINC000602826038;-7.220751;-7.935295;-7.486087;-7.6380796;-7.5957184
ZINC000065276108;-8.147538;-7.9220114;-7.5745773;-8.046705;-8.356751
ZINC000568544275;-8.319091;-7.6217756;-7.599626;-7.3314714;-7.794249
ZINC000568544276;-7.7568865;-7.6017303;-7.3148136;-7.1215143;-7.8585434
ZINC000568570640;-8.553442;-7.739416;-7.849054;-7.932541;-8.235247
ZINC000568570635;-8.624434;-7.908262;-7.8153005;-7.9817133;-8.150447
ZINC000568573312;-5.7492356;-6.2585554;-5.8312926;-5.684211;-5.746949
ZINC000568573310;-5.956722;-6.3052397;-5.5972;-5.8282447;-5.9523993
ZINC000568573311;-5.3970017;-5.9540925;-5.721988;-5.8730435;-5.596048
ZINC000568573309;-5.240238;-6.1729345;-5.5076056;-5.695372;-5.6110945
ZINC000568580497;-7.1384873;-7.629062;-7.740573;-7.223476;-7.278894
ZINC000065951229;-7.855832;-7.5195117;-7.9255667;-7.7751346;-7.5121636
ZINC000065959804;-7.55649;-8.074235;-7.4299316;-7.6819954;-7.8085666
ZINC000481645983;-8.176866;-7.649281;-7.757164;-7.6054573;-8.091886
ZINC000481644852;-7.2101045;-7.300481;-7.453487;-7.2313256;-6.699744
ZINC000481644851;-8.558279;-7.5747924;-7.1140995;-7.2330947;-7.5098805
ZINC000481653017;-7.0888906;-7.418672;-7.2767572;-7.0990586;-7.4150524
ZINC000481653014;-8.089963;-7.4555197;-6.5934544;-7.3422103;-7.617655
ZINC000481648189;-8.38328;-8.259785;-8.609842;-7.801814;-7.9351416
ZINC000481645993;-7.9079266;-7.263994;-7.315598;-7.3809185;-7.2895217
ZINC000481645054;-8.4568615;-7.8348308;-7.461327;-8.0688925;-7.75334
ZINC000481644850;-7.922817;-7.417768;-7.3828697;-7.4000797;-7.227597
ZINC000481645599;-8.37528;-8.092476;-7.6921425;-7.815352;-8.258348
ZINC000481649652;-8.287881;-7.1868525;-7.7766113;-7.7145176;-7.85972
ZINC000481650002;-8.156523;-6.877257;-7.7860456;-7.707258;-8.003
ZINC000481645601;-8.192324;-8.74333;-8.67078;-7.6142206;-8.474592
ZINC000481650003;-8.39326;-7.8976307;-7.5664024;-7.681;-8.16818
ZINC000481648188;-8.258821;-7.716763;-7.862366;-7.9215374;-7.7997766
ZINC000481650402;-7.191393;-7.031813;-6.577791;-6.9319677;-6.780813
ZINC000481647322;-7.863807;-7.1041594;-7.218403;-7.123769;-7.206547
ZINC000481645058;-8.706688;-8.5777645;-8.227704;-7.938689;-8.283369
ZINC000481647323;-7.7191024;-7.8830633;-7.335409;-7.1073346;-7.4319353
ZINC000481651308;-8.353471;-7.5917845;-8.276327;-7.727656;-8.11557
ZINC000481645984;-7.9195986;-8.089071;-8.371971;-7.9177303;-8.142965
ZINC000481653015;-7.1602054;-7.1842475;-6.545683;-6.624864;-6.7302094
ZINC000481651309;-8.868048;-8.516712;-8.2792425;-7.892225;-8.391954
ZINC000481652168;-8.679554;-7.002157;-8.373223;-7.982327;-8.20707
ZINC000481649653;-7.9790297;-7.943818;-7.661916;-7.497841;-8.016255
ZINC000481650406;-7.739392;-6.8049283;-6.7661705;-6.9627786;-7.5885267
ZINC000481645600;-8.47567;-8.691465;-7.9218946;-7.510436;-8.0586405
ZINC000481653016;-6.7401843;-7.2459245;-6.921573;-7.3203807;-7.20071
ZINC000481645056;-8.185061;-8.082999;-7.9669313;-7.707214;-8.08676
ZINC000481645602;-7.258141;-7.6461453;-8.472361;-7.555042;-7.870602
ZINC000481645994;-7.5691137;-7.6300516;-7.2385178;-7.329774;-7.55731
ZINC000481650398;-8.072575;-7.4603295;-8.008731;-7.511293;-7.375162
ZINC000481652171;-8.2494545;-7.8342147;-8.189241;-7.70968;-8.326406
ZINC000481669953;-7.7057757;-7.73539;-7.3670053;-7.517377;-7.781251
ZINC000481669299;-7.7295933;-6.585257;-6.65265;-6.751638;-7.2588973
ZINC000481669200;-8.332443;-8.946104;-8.295203;-8.68656;-8.891189
ZINC000481668765;-7.9710965;-7.230019;-7.3219347;-7.474529;-7.4225554
ZINC000481669658;-7.8975763;-7.7697244;-7.7180657;-7.4062448;-7.6806493
ZINC000481667795;-7.42349;-7.5987306;-7.418704;-7.1675973;-7.186607
ZINC000481669198;-8.858859;-8.756363;-8.110147;-8.962511;-9.073378
ZINC000481669196;-8.276765;-8.933273;-8.00279;-8.257241;-8.718397
ZINC000481669954;-7.9893193;-7.165162;-7.6628995;-7.400251;-7.62675
ZINC000481659133;-8.49352;-7.387552;-7.2779646;-7.5669346;-7.938576
ZINC000481659546;-7.846733;-7.3612256;-6.6128206;-7.0137744;-7.2527943
ZINC000481659131;-8.651451;-7.99199;-7.8857107;-7.8402834;-8.058637
ZINC000481659042;-7.7124352;-7.456826;-7.8306637;-7.01717;-7.2710185
ZINC000481661548;-6.8396673;-6.912818;-6.7167892;-7.1531615;-7.1601663
ZINC000481659129;-8.117146;-8.12141;-7.8156676;-7.4935045;-8.026586
ZINC000481659551;-7.922403;-7.2914104;-6.479543;-7.3183794;-7.4305634
ZINC000481659553;-7.3406324;-7.273137;-7.0708585;-6.7296476;-7.099564
ZINC000481659556;-7.6795073;-7.3138695;-7.186164;-7.254796;-7.234013
ZINC000481659041;-7.482695;-6.8740644;-7.1795754;-7.04524;-7.1987743
ZINC000481661557;-6.8663077;-7.5315123;-6.502598;-6.7719517;-6.9864955
ZINC000481659127;-8.885407;-7.52417;-7.7204905;-7.609085;-7.857466
ZINC000481660733;-7.9796267;-6.8326254;-7.5609226;-7.488942;-7.475601
