name;01;02;03;04;05
ZINC000004070762;-7.546569;-7.7139063;-6.918699;-7.9613514;-7.9006224
ZINC000257336852;-8.6511;-8.690611;-8.171748;-8.006477;-8.557032
ZINC000039766126;-7.780098;-8.164024;-7.902108;-8.1182;-7.9213085
ZINC000039766652;-6.901419;-7.5108924;-7.8497963;-7.5373163;-7.498631
ZINC000039773226;-7.797967;-8.200029;-7.912723;-8.116812;-7.78432
ZINC000225261203;-7.6763005;-7.712488;-7.6531506;-7.672719;-7.3786583
ZINC000225261249;-7.202757;-7.371543;-7.413678;-7.34743;-7.431472
ZINC000225261388;-6.952832;-7.2833424;-7.2121572;-7.1350555;-7.2040825
ZINC000225261344;-7.4475093;-7.5701637;-7.6245914;-7.5032334;-7.3863945
ZINC000225261068;-7.160713;-7.533731;-7.600842;-7.7329335;-7.466226
ZINC000225261295;-7.523427;-7.763176;-7.535635;-7.8463755;-7.4531794
ZINC000225261592;-7.368668;-7.505016;-7.442057;-7.672211;-7.4480367
ZINC000225260289;-7.6841536;-8.119142;-7.4078827;-7.9575167;-7.7695603
ZINC000225261162;-7.5789986;-7.512971;-7.584315;-7.646162;-7.373648
ZINC000225261117;-7.211116;-7.338021;-7.319854;-7.4585166;-7.1765466
ZINC000225260511;-7.566248;-7.8932986;-7.4986014;-7.679695;-7.4971457
ZINC000225261432;-7.0299573;-7.402592;-7.4077997;-7.184692;-7.3437386
ZINC000039750212;-7.2105913;-7.803806;-7.989446;-7.5645504;-7.4465523
ZINC000225262481;-6.869097;-6.800994;-6.6608133;-6.8211765;-6.849033
ZINC000225261644;-7.6477137;-7.8674097;-7.696468;-7.924699;-7.684104
ZINC000225262669;-7.3269205;-7.4232216;-7.43974;-7.690486;-7.3320065
ZINC000225264449;-8.355119;-8.521788;-7.9736037;-8.236055;-8.370022
ZINC000225261679;-7.0091276;-7.141485;-7.1858683;-7.359979;-7.277899
ZINC000225262446;-7.2381186;-7.259149;-6.9521103;-7.3405495;-7.196741
ZINC000039755319;-7.613831;-8.4569435;-8.001;-8.063549;-7.6939683
ZINC000225265693;-7.526152;-7.2455807;-7.605453;-7.8458133;-7.374555
ZINC000225265746;-7.784587;-7.444892;-7.715389;-8.049025;-7.550212
ZINC000225265782;-7.1198344;-7.0741997;-7.248785;-7.4499493;-7.2748833
ZINC000225266296;-7.253781;-7.0225344;-7.336862;-7.4730253;-7.20583
ZINC000225266329;-7.14428;-6.824233;-7.118269;-7.335958;-7.1002707
ZINC000039759704;-7.54921;-7.7153683;-7.7293463;-7.9913945;-7.7673807
ZINC000299817250;-7.4941454;-6.686353;-6.9144773;-6.8723464;-7.0376735
ZINC000257275720;-8.377978;-7.9862456;-7.982645;-8.120947;-7.982526
ZINC000070462779;-7.2677994;-7.055895;-6.9551387;-6.839912;-7.0866203
ZINC000070462757;-7.591321;-7.402444;-7.5264807;-7.259571;-7.4563794
ZINC000013368468;-7.1162605;-7.159958;-7.435679;-7.065284;-7.4520764
ZINC000257336851;-8.009411;-8.22042;-7.876365;-7.4047685;-8.144874
ZINC000013570230;-7.6734943;-7.349868;-7.5874224;-7.5686564;-7.670577
ZINC000013570252;-7.1984277;-7.152619;-7.100946;-7.5604453;-7.2677374
ZINC000000600484;-7.5332737;-7.626993;-7.6978097;-7.0518036;-7.5361195
ZINC000013989218;-6.453825;-6.3695536;-6.574227;-6.7096853;-6.115302
ZINC000013989290;-7.9312224;-7.479996;-7.722034;-7.6893063;-7.563588
ZINC000005524073;-7.396471;-7.1778693;-7.101725;-7.044017;-7.2015452
ZINC000005566436;-5.5962677;-5.913377;-5.4285975;-5.3033323;-5.6448326
ZINC000003877391;-7.115557;-7.798896;-7.380778;-7.5418315;-7.2973433
ZINC000003877392;-7.057092;-7.8690963;-7.5027456;-7.4569435;-7.3307643
ZINC000059535461;-6.7780795;-6.9605055;-6.8186393;-6.558057;-6.503824
ZINC000060130272;-7.1174326;-7.395008;-7.066397;-7.2175617;-7.0622873
ZINC000006092801;-7.5750175;-7.791501;-7.735776;-7.6572485;-7.616415
ZINC000216913703;-7.3514314;-7.4551873;-7.189766;-7.501794;-7.3484273
ZINC000216912494;-7.282651;-7.0895553;-7.1933174;-7.1078234;-7.3613615
