name;01;02;03;04;05
ZINC000008443698;-6.612291;-6.5289636;-6.03816;-6.672876;-6.697564
ZINC000008443698;-6.3177123;-5.9733024;-5.7242727;-6.032762;-6.1476874
ZINC000097949438;-6.3972716;-6.428851;-6.3992176;-6.1239486;-6.594384
ZINC000060239233;-7.329111;-7.120797;-7.121176;-7.140351;-7.188834
ZINC000001920034;-6.855732;-7.320436;-7.1910315;-7.361849;-7.3410068
ZINC000013126146;-6.401095;-6.6196713;-6.562178;-6.6041;-7.0976624
ZINC000002131705;-6.294952;-6.613308;-6.660036;-6.598778;-6.583342
ZINC000013281277;-7.7249956;-7.6550684;-7.4162083;-7.6085773;-7.538325
ZINC000002278626;-7.2127266;-7.3410554;-7.306179;-7.195378;-7.750814
ZINC000050580151;-6.616366;-6.360995;-6.3087883;-6.629438;-6.756302
ZINC000002284475;-7.6883774;-7.546124;-7.092966;-6.9374948;-7.509621
ZINC000002324737;-7.5000377;-7.2563753;-7.1005087;-6.9964995;-6.956958
ZINC000002343294;-7.8598824;-7.8355446;-7.6892323;-7.6998396;-8.182612
ZINC000008733592;-7.766015;-7.071291;-7.108639;-7.1213665;-7.0528226
ZINC000008828844;-5.8882084;-6.358429;-5.678149;-6.235281;-5.983222
ZINC000008385614;-8.000339;-7.4831553;-7.0985856;-7.4080887;-7.39169
ZINC000033747549;-6.7727165;-6.5537243;-6.1421127;-6.4282174;-6.575181
ZINC000033747547;-6.8200235;-7.397565;-6.9776926;-6.932486;-6.5127397
ZINC000084027028;-7.920025;-7.96091;-8.195387;-8.065615;-8.2703
ZINC000084027031;-7.920025;-7.96091;-8.195387;-8.065615;-8.2703
ZINC000004974094;-8.7680435;-8.324482;-7.5978556;-8.081384;-8.446806
ZINC000004974094;-8.52222;-8.476866;-7.808259;-8.124875;-8.426638
ZINC000055459542;-7.311168;-6.8021364;-6.7048926;-6.7252216;-6.7810583
ZINC000003116247;-7.4275327;-7.6014204;-7.703578;-7.2956433;-7.6387486
ZINC000005101305;-7.0052853;-7.0567503;-6.926096;-6.87601;-7.0920773
ZINC000001435228;-6.6141396;-6.52724;-6.448064;-6.4042573;-6.469362
ZINC000001435232;-6.43567;-6.5361423;-6.5482326;-6.5378857;-6.520846
ZINC000041562222;-7.506025;-8.003896;-7.7390475;-7.9325647;-7.304135
ZINC000041562222;-7.5060263;-8.003896;-7.739047;-7.9325657;-7.3041344
ZINC000001435345;-6.8100963;-6.769551;-6.639509;-6.672941;-6.618899
ZINC000001435387;-6.9483156;-6.491453;-6.405342;-6.5895095;-6.4394054
ZINC000041562224;-7.506025;-8.003896;-7.7390475;-7.9325647;-7.304135
ZINC000041562224;-7.582623;-7.995314;-7.8154955;-7.8500237;-7.3630795
ZINC000005382828;-7.543331;-7.5401673;-7.5299506;-7.1970124;-7.346758
ZINC000005409147;-7.6346626;-8.026369;-7.7902446;-7.8672943;-8.105798
ZINC000005393648;-8.007694;-8.110662;-7.5707407;-7.9926834;-8.310397
ZINC000001441060;-7.52892;-6.9430256;-7.243337;-7.298858;-6.767199
ZINC000006855854;-7.4397936;-7.1122594;-6.5445566;-7.1882954;-6.9841495
