name;01;02;03;04;05
ZINC000409004183;-6.144069;-6.213769;-5.663389;-6.436865;-5.9928346
ZINC000257230808;-7.8599567;-7.723799;-7.497295;-7.712855;-7.4121
ZINC000257248284;-9.118726;-8.5142355;-7.8674207;-7.8762636;-8.114981
ZINC000257265365;-5.273701;-4.9536576;-4.9593754;-5.0669365;-4.687709
ZINC000257294368;-5.4108825;-5.6811714;-6.02486;-5.7494802;-6.1432056
ZINC000257311728;-5.090848;-6.0453467;-5.689212;-5.628501;-5.37589
ZINC000019656208;-7.1845775;-7.2830014;-6.930484;-7.515976;-7.096729
ZINC000004104827;-5.371649;-5.7445693;-5.7015066;-5.761031;-5.818732
ZINC000257337029;-5.2473683;-5.9098735;-6.5322847;-5.7849517;-6.257698
ZINC000299754535;-7.4441547;-6.9000587;-6.271425;-6.959687;-6.6144896
ZINC000253389902;-6.713336;-6.646524;-6.4567933;-6.349763;-6.0663414
ZINC000253389203;-6.3795733;-6.273454;-6.0168962;-5.8180904;-6.086922
ZINC000225516275;-6.1415987;-7.367172;-7.4642844;-6.806528;-7.02358
ZINC000225514726;-6.3147154;-7.7635436;-7.6516724;-7.0590687;-7.713222
ZINC000225498617;-7.7315087;-7.6866956;-7.2197638;-6.880794;-7.5499806
ZINC000028538317;-5.8117075;-6.499267;-5.983068;-5.90596;-5.7159815
ZINC000008582189;-5.9275427;-6.149083;-6.008239;-6.186097;-5.8623424
ZINC000004429548;-6.012191;-5.651465;-5.982929;-6.2397623;-5.82472
ZINC000225395025;-6.5612593;-7.3789554;-7.061569;-7.328724;-6.7036824
ZINC000077257457;-5.8611717;-6.3724303;-6.788768;-6.1151214;-5.9299335
ZINC000008612354;-6.962926;-7.326483;-6.990634;-6.860491;-7.7935925
ZINC000067912734;-6.2763653;-6.55868;-6.3023815;-5.9705877;-5.927094
ZINC000067912740;-6.526882;-5.995704;-6.251228;-6.5768533;-5.9924107
ZINC000067912737;-6.933473;-6.696682;-6.592449;-6.7347975;-6.10594
ZINC000004534263;-6.264256;-6.3725457;-6.5595713;-6.3778143;-6.2378097
ZINC000225516476;-6.397243;-6.8433466;-6.523995;-6.0027585;-6.337367
ZINC000059364495;-6.377485;-6.389884;-6.084813;-5.988894;-5.9933286
ZINC000059364493;-6.1093025;-6.77079;-5.9344516;-5.911972;-6.348196
ZINC000059364491;-6.3831625;-6.964386;-6.228807;-6.0214787;-6.3064265
ZINC000257248283;-9.237872;-8.447179;-7.9692664;-7.930599;-8.142423
ZINC000013509082;-7.076416;-7.517454;-7.095985;-6.9965787;-6.711727
ZINC000040455056;-4.3203044;-4.476219;-4.6596165;-4.7372427;-4.6503377
ZINC000257283493;-7.2730093;-7.2839336;-7.1033196;-6.868896;-6.7544537
ZINC000257283494;-7.0196414;-7.431771;-7.0618043;-6.738442;-7.026806
ZINC000004722988;-5.8727217;-5.584613;-5.7901583;-6.710489;-5.690781
ZINC000257294367;-5.4895215;-5.6227264;-6.024869;-5.747993;-6.1711783
ZINC000257287680;-3.6844318;-4.409931;-4.620596;-4.911737;-4.743293
ZINC000004758488;-4.7997212;-4.847963;-4.89046;-4.9021554;-4.9633317
ZINC000004758487;-5.0389023;-4.9766626;-5.307685;-5.1110935;-5.4125752
ZINC000005004634;-4.9499254;-4.0954523;-4.2719026;-4.1594343;-4.2111726
ZINC000004429549;-4.959176;-5.62499;-5.9096985;-5.76022;-5.8094964
ZINC000004963792;-5.573303;-3.539359;-4.1975164;-4.36681;-4.568283
ZINC000004429551;-5.3353944;-5.374364;-5.786622;-5.894744;-5.4750576
ZINC000005759905;-5.7182736;-5.592204;-5.5181174;-5.621517;-5.659509
ZINC000005662931;-6.4973736;-7.302752;-6.302911;-5.865311;-5.967575
ZINC000004429550;-5.8427706;-5.3626065;-5.4347377;-5.7956753;-5.5741353
ZINC000005759902;-5.7500234;-5.056994;-5.704398;-5.5179424;-5.6866384
ZINC000257304530;-5.3801403;-5.514674;-5.144171;-5.472787;-5.171525
ZINC000005760556;-5.2498736;-4.779875;-5.437128;-4.6381426;-5.3052325
ZINC000005759904;-5.7589726;-4.795553;-5.733918;-5.1298957;-5.1990933
ZINC000004758486;-4.4624915;-4.3288145;-4.519822;-4.6914735;-4.6413207
ZINC000004758485;-4.538923;-4.913643;-5.2545567;-4.9399123;-4.970674
ZINC000026504979;-5.4689217;-4.9752116;-5.374187;-5.140912;-5.4823546
ZINC000026504975;-4.7262163;-4.7433376;-4.9816413;-4.948869;-4.974024
ZINC000257306588;-6.794993;-6.67031;-6.483959;-5.581452;-5.8444185
ZINC000017124436;-5.894658;-6.143504;-6.464153;-5.3407273;-5.6861863
ZINC000040455052;-4.860348;-4.7960134;-5.2864156;-4.9647202;-4.9987283
ZINC000253475995;-6.7118855;-5.784013;-6.082804;-5.806029;-5.645534
ZINC000043771797;-5.100781;-5.261921;-5.2212634;-5.215962;-5.2800956
ZINC000004772064;-5.119659;-5.3821635;-5.2513556;-4.8141327;-5.3294516
ZINC000104187562;-6.473488;-6.95277;-6.3511343;-6.188022;-6.3057437
ZINC000104187566;-6.664067;-6.947006;-6.2297015;-6.22457;-6.2735715
ZINC000038496188;-5.2254953;-5.6218815;-5.481757;-5.383979;-5.66071
ZINC000016778882;-7.1300516;-6.19008;-6.540418;-6.330684;-5.956318
ZINC000004830519;-6.1174717;-5.4957237;-4.743827;-5.5892797;-5.1732526
ZINC000004830518;-5.8692393;-6.06998;-5.476998;-5.6168275;-5.62434
ZINC000016942985;-7.078622;-6.2739706;-6.18815;-6.588567;-7.1105785
ZINC000299754534;-7.4914784;-6.885667;-6.1925483;-6.984102;-6.52436
ZINC000299754532;-7.4913816;-6.8853793;-6.1922035;-6.983872;-6.52409
ZINC000167857829;-4.6831555;-5.2039022;-4.7458644;-4.9685545;-4.87814
ZINC000167857942;-5.13032;-5.22006;-4.8355293;-4.606993;-5.162484
ZINC000167857731;-4.6709867;-5.242267;-4.9046893;-4.6916475;-4.886882
ZINC000034166788;-6.346308;-6.2440476;-6.6271667;-5.9191732;-6.183274
ZINC000033830308;-7.014495;-6.2099953;-6.6129637;-6.363282;-5.9831505
ZINC000033830310;-5.8149476;-6.2263665;-6.396802;-6.1101313;-5.980816
ZINC000004900922;-6.279808;-6.3898396;-5.878022;-5.8725367;-5.6272445
ZINC000006878845;-4.681917;-5.6218834;-6.132218;-5.4632;-5.4034925
ZINC000031156311;-6.5021534;-6.127766;-6.431296;-5.932722;-6.1023083
ZINC000031156650;-5.4756966;-5.3820653;-5.9954667;-5.562718;-5.775846
ZINC000031156303;-5.536351;-6.081926;-6.0673733;-5.6622906;-5.651387
ZINC000226348841;-6.3089995;-6.3330626;-6.0257506;-5.9700212;-5.7551126
ZINC000039945957;-5.512332;-5.567461;-5.524081;-5.6726904;-5.7997127
ZINC000059585773;-5.4049;-5.7782164;-5.6338706;-6.004946;-5.73436
ZINC000257311729;-4.7078533;-5.2956614;-6.5123158;-6.0879183;-5.644545
ZINC000020504099;-6.5705714;-6.733384;-5.5575924;-6.1094093;-6.3707485
ZINC000072343072;-7.347005;-7.1542315;-6.717659;-7.1273293;-7.095004
ZINC000095871167;-6.7286086;-6.840066;-6.067278;-6.2916727;-6.4752707
ZINC000018206312;-5.721821;-6.4647217;-6.29787;-6.0787907;-5.37432
ZINC000045789230;-6.6140356;-6.903109;-6.6567006;-6.7535005;-5.8708897
ZINC000045789233;-6.4419165;-6.9173713;-6.543698;-6.5128703;-5.9126034
ZINC000005004632;-4.1466236;-3.7552593;-3.922097;-3.5874767;-4.3050804
ZINC000005015108;-5.4328694;-6.5542493;-6.228546;-5.881501;-5.9726324
ZINC000005004631;-4.264324;-4.060692;-3.422126;-3.2368455;-4.12847
ZINC000005004633;-4.302691;-3.910633;-3.9601102;-3.757376;-4.0822277
ZINC000575426166;-6.540885;-6.540977;-7.0862427;-6.7914557;-7.231761
ZINC000575424747;-5.2829657;-5.300884;-5.784221;-5.719709;-6.2091236
ZINC000575426138;-5.4457684;-5.581355;-5.6495295;-5.9461527;-5.5385747
ZINC000575426139;-5.4070535;-4.8341475;-5.703981;-5.6903296;-5.0585146
ZINC000575426119;-5.709941;-5.6119037;-5.1836815;-5.883385;-6.1799817
ZINC000575420573;-5.3203773;-5.1074724;-5.741165;-5.6134725;-5.2860584
ZINC000575426165;-6.5277967;-7.439141;-6.5614047;-6.638095;-6.806864
ZINC000575426163;-6.7519693;-7.236892;-7.1525755;-7.3456006;-7.4213543
ZINC000575426141;-4.9057446;-5.3124747;-5.8647532;-5.7055106;-5.307037
ZINC000575426120;-5.3718963;-4.828475;-5.2470274;-5.851241;-5.9527903
ZINC000575424745;-5.79469;-5.8881063;-5.3634367;-5.896295;-6.3914905
ZINC000575426164;-6.2609167;-6.25252;-7.4563975;-6.6843233;-7.211352
ZINC000575424748;-5.2758803;-5.947356;-5.454103;-5.9099994;-6.3818398
ZINC000575420568;-5.274794;-5.886923;-6.0016556;-5.9317245;-5.589735
ZINC000575426121;-5.313369;-5.046653;-5.6521378;-5.718292;-5.990562
ZINC000575426140;-5.850848;-5.2274275;-5.8179636;-6.0048184;-5.7401543
ZINC000575424746;-5.3810825;-5.1522493;-5.4132333;-5.8660965;-6.1676903
ZINC000575426122;-5.185773;-5.7471147;-5.3569374;-5.9404745;-6.1841297
ZINC000005017106;-7.1949897;-6.6274576;-6.76281;-6.2866974;-6.261305
ZINC000575420574;-5.780837;-5.3335495;-5.9837475;-5.88303;-5.8385425
ZINC000575420575;-4.8074207;-5.7195387;-6.0591164;-5.7587676;-5.3891463
ZINC000005017098;-7.036951;-6.6244016;-7.112839;-6.429804;-6.568943
ZINC000019142457;-5.497857;-5.906681;-5.2177134;-5.645498;-5.5886717
ZINC000005125104;-5.698211;-5.7366457;-5.2028294;-4.8149977;-4.766431
ZINC000019323231;-6.551989;-5.1639996;-6.938408;-6.198395;-5.856306
ZINC000019331354;-5.7071013;-5.8100495;-6.160996;-5.9115543;-4.8701034
