name;01;02;03;04;05
ZINC000091289311;-7.124306;-6.127063;-6.522358;-5.870898;-6.017389
ZINC000091350916;-7.0330477;-7.326222;-7.7501616;-8.158812;-7.7038813
ZINC000091364638;-7.378356;-6.787737;-6.6940804;-6.82782;-7.0289235
ZINC000091364639;-7.5218453;-6.859419;-6.455253;-6.8307385;-6.7833204
ZINC000091416528;-6.978383;-7.546383;-6.132488;-7.2263346;-6.184093
ZINC000091426352;-5.946849;-6.5829024;-6.2215185;-6.306062;-6.412195
ZINC000096005208;-7.2393737;-7.0335684;-6.8668613;-6.822483;-7.196741
ZINC000091468476;-7.539747;-7.56334;-7.918211;-7.728884;-7.3779244
ZINC000091548616;-7.506037;-7.3522816;-7.3000293;-7.6420946;-7.5536323
ZINC000091586448;-6.9393787;-7.2296395;-7.089049;-6.767394;-7.0566883
ZINC000067713947;-7.267616;-7.381441;-7.051647;-7.410345;-7.4761324
ZINC000067713946;-7.393989;-6.9955406;-6.6987224;-6.876207;-7.343324
ZINC000067785793;-6.8746457;-6.539777;-6.7537203;-6.587447;-6.3566856
ZINC000091644387;-6.2486396;-6.755932;-6.4104834;-6.640961;-6.910508
ZINC000091665687;-6.2161107;-7.1336427;-6.908128;-6.9006524;-6.6032877
ZINC000067867648;-7.428206;-7.434684;-7.5476456;-7.1946487;-7.06844
ZINC000072447094;-7.9383063;-7.9944043;-7.3286505;-7.7308536;-7.494999
ZINC000072447094;-6.8468456;-6.8379135;-6.869708;-7.265852;-7.3307376
ZINC000014741059;-6.07855;-6.536536;-5.7795987;-6.6584096;-6.514254
ZINC000057105524;-6.8747663;-7.332099;-6.9712553;-7.3497343;-7.2280703
ZINC000012913462;-6.70587;-6.9813;-7.1166368;-7.1966963;-7.224053
ZINC000067908854;-7.479102;-7.4047513;-6.90322;-6.922609;-7.117277
ZINC000067935278;-5.9129033;-5.4404287;-5.9598117;-5.972827;-5.835804
ZINC000014748472;-6.6631546;-6.9227266;-7.133578;-7.00371;-7.1179852
ZINC000299769753;-6.9754076;-7.350628;-7.783765;-7.4321327;-7.309508
ZINC000091894026;-7.5061994;-8.592934;-7.977951;-7.760624;-8.086107
ZINC000091894027;-8.535177;-8.623122;-8.270672;-8.1950245;-8.214154
ZINC000092001378;-7.292418;-7.367277;-6.950985;-6.5408664;-7.2584043
ZINC000077394225;-7.7551465;-7.1267805;-7.5595922;-7.2822704;-7.461685
ZINC000095361864;-7.1098843;-7.0683403;-7.032717;-7.1718264;-7.1871796
ZINC000095361865;-7.2091193;-7.1306252;-6.9660473;-6.7704186;-7.3116007
ZINC000095377863;-7.0405602;-7.2178335;-7.288101;-6.909034;-7.0921154
ZINC000016025258;-6.7667513;-6.84303;-7.0667725;-6.607886;-6.5965424
ZINC000095392054;-6.97075;-6.2584805;-6.334479;-6.76388;-6.772023
ZINC000072145285;-8.053158;-7.2436247;-7.2426276;-7.534798;-7.5067844
ZINC000072156024;-6.891566;-7.465192;-7.4203544;-7.2925663;-7.2862988
ZINC000095511093;-6.3415933;-6.7674346;-6.223936;-6.1825337;-6.887391
ZINC000095516367;-6.7871504;-6.8444796;-6.9343543;-6.740226;-6.8217626
ZINC000095517898;-6.8128285;-6.860635;-6.262694;-7.3175826;-7.052503
ZINC000095517897;-6.6343226;-7.110206;-6.290192;-7.230119;-6.947479
ZINC000095518162;-7.420354;-7.235105;-6.402028;-6.527099;-6.9081206
ZINC000095519357;-6.727666;-6.5518093;-6.4494357;-6.1994944;-6.8511486
ZINC000095520633;-6.7430625;-7.3217707;-6.855621;-6.850525;-7.2892876
ZINC000058355953;-6.612535;-7.4395676;-6.1428885;-5.873216;-6.0297093
ZINC000065393770;-6.2764573;-6.6392365;-7.006751;-6.931714;-7.084584
ZINC000095528659;-6.855675;-7.341991;-6.139333;-6.4523096;-6.9578886
ZINC000013806258;-6.900077;-6.718728;-6.9307523;-6.4636264;-6.41118
ZINC000092066905;-5.6495333;-6.610218;-5.431111;-6.0311246;-6.1640368
ZINC000095361232;-7.136525;-6.7302804;-6.265123;-6.952455;-6.945523
ZINC000095361232;-6.759679;-6.0731473;-5.505238;-6.373204;-6.0883403
ZINC000045944201;-6.1208887;-6.9458423;-6.781124;-6.5155277;-6.628314
ZINC000011904565;-7.092349;-6.9587917;-6.670813;-6.82053;-6.4411516
ZINC000077377612;-7.2385902;-6.975573;-7.3833456;-7.067621;-7.341542
ZINC000091350915;-7.9399962;-8.209329;-8.275098;-7.7202415;-7.440513
ZINC000072447093;-7.18273;-7.3184185;-7.53063;-7.771386;-7.606327
ZINC000072447093;-7.8153987;-8.144681;-7.219693;-7.7824364;-7.7369843
ZINC000005225303;-7.839695;-7.8615427;-7.355254;-7.44289;-7.7731915
ZINC000241587801;-7.553306;-7.65314;-7.129531;-6.9906316;-7.424802
ZINC000241587799;-7.6768346;-7.631251;-7.1085963;-7.0989356;-7.444286
ZINC000065397677;-7.1374054;-6.853195;-7.1143956;-6.8442035;-6.870779
ZINC000077301917;-7.6495743;-6.7376103;-7.454115;-7.010854;-7.5324173
ZINC000091677587;-6.1295214;-6.641012;-6.2841015;-6.3922267;-6.6273403
ZINC000077521017;-7.6783915;-7.4696016;-7.567836;-7.463198;-7.84052
ZINC000077521017;-7.3047748;-6.8924356;-6.926346;-6.917238;-7.059815
ZINC000077487294;-7.1526604;-7.179625;-6.9241467;-6.891268;-7.1609025
ZINC000077504848;-6.5199337;-6.7516394;-7.1806693;-6.4508443;-6.894376
ZINC000091931510;-6.1542788;-6.561628;-6.78946;-6.4372125;-6.6372824
ZINC000092003024;-5.9495916;-6.766922;-6.345596;-6.5629663;-6.3191357
ZINC000082107677;-6.7192483;-6.19154;-6.7766905;-6.2896852;-6.991744
ZINC000082128369;-7.017548;-7.083956;-6.7144833;-6.8249373;-7.55796
ZINC000066343930;-7.0482793;-7.337352;-6.6142287;-7.2064495;-6.8564444
ZINC000066343927;-7.208918;-6.6871624;-6.766167;-7.1483226;-6.37194
ZINC000000629432;-6.825503;-6.559039;-7.1865005;-5.4357758;-6.1368885
ZINC000000629433;-6.8797417;-6.565436;-6.85187;-5.9307346;-6.214905
ZINC000095377862;-6.832375;-6.6458187;-7.242436;-7.088447;-7.163306
ZINC000077298753;-6.682309;-7.104532;-7.093256;-6.978507;-7.524859
ZINC000077503648;-6.559099;-7.101708;-7.3680115;-6.9039288;-7.2976
ZINC000058355951;-6.6260376;-7.5445232;-5.8103056;-5.6088343;-5.5886807
ZINC000082107981;-8.517875;-7.433264;-7.5302153;-8.043868;-7.918723
ZINC000082107980;-8.342227;-7.4927154;-7.921875;-8.164811;-7.957762
ZINC000069929349;-6.953082;-6.7286415;-6.3538737;-6.3928795;-7.1046
ZINC000091305496;-7.446884;-8.056777;-7.554064;-8.141215;-8.118553
ZINC000091680583;-6.5042133;-6.2973366;-6.423661;-5.906341;-6.04717
ZINC000095358168;-7.657387;-6.592638;-6.2642083;-6.6947923;-6.311395
ZINC000071388661;-7.320385;-7.342812;-7.1057425;-7.8359313;-7.1156473
ZINC000016025256;-7.173102;-6.455961;-6.5384545;-6.434075;-6.440338
ZINC000006553653;-7.774926;-8.966555;-8.418915;-8.39527;-8.248642
ZINC000096180880;-7.385332;-6.8880987;-6.5911145;-6.7187643;-6.620962
ZINC000020432398;-6.2637415;-6.913733;-7.1958437;-6.51914;-6.9080563
ZINC000091416893;-6.783327;-6.619;-6.6744704;-6.982544;-6.62056
ZINC000334157946;-7.3203974;-7.025443;-6.93764;-7.508583;-7.136199
ZINC000091644386;-6.2433257;-6.636367;-6.510498;-6.8598127;-6.9501395
ZINC000230209561;-6.1463847;-6.3779745;-5.848507;-6.1231036;-6.4571695
ZINC000020567306;-7.199574;-7.0855227;-6.910437;-7.3448896;-6.770341
ZINC000020567307;-6.8231764;-6.663226;-6.9620857;-7.0211926;-6.7686644
ZINC000091665688;-5.9462624;-7.2811894;-6.9417033;-7.0250416;-6.747873
ZINC000095506707;-6.167083;-5.9855847;-5.951857;-6.4120207;-5.7989945
ZINC000095508220;-6.8877125;-6.942354;-6.5512147;-6.469991;-6.0970273
ZINC000095508024;-6.745946;-6.8740826;-6.864205;-6.5911393;-6.7153378
ZINC000096130849;-7.3586607;-6.6948714;-6.609295;-7.213655;-6.973439
ZINC000096132021;-7.5103827;-7.37426;-6.892793;-7.612974;-6.7583876
ZINC000072156026;-7.3512154;-7.419052;-7.6682825;-7.410601;-7.2561784
ZINC000095511094;-6.49967;-6.520781;-6.2331076;-6.379476;-6.9898434
ZINC000096151384;-7.9747453;-7.9659247;-7.9626865;-7.5730653;-8.125595
ZINC000095517362;-6.2665834;-6.7080297;-6.7457585;-6.0052934;-6.876013
ZINC000095522108;-6.294312;-6.904323;-6.7236633;-6.4982324;-6.9213533
ZINC000095520634;-6.982862;-7.3364916;-6.8645267;-6.893595;-7.302184
ZINC000019841852;-7.5750017;-7.4333377;-6.9789643;-7.4225;-7.489053
ZINC000019841848;-7.1712437;-7.416814;-6.9769373;-7.215704;-7.4509687
ZINC000095528658;-7.1986427;-7.3178225;-6.156123;-6.6294923;-6.6026297
ZINC000426493161;-7.499429;-7.0642853;-7.629179;-7.0230503;-7.545385
ZINC000426498813;-8.368945;-8.646725;-8.112243;-8.566586;-7.965703
ZINC000426498813;-8.230985;-7.816372;-7.898432;-8.517989;-7.6972938
ZINC000426498814;-8.208435;-8.790608;-8.225577;-8.36014;-8.021144
ZINC000426498814;-8.05592;-8.004452;-8.175572;-8.213762;-7.917742
