name;01;02;03;04;05
ZINC000091364638;-7.7199655;-7.58118;-6.961987;-7.3878284;-6.7733207
ZINC000091364639;-8.21782;-7.424137;-7.080675;-7.4159617;-7.2645044
ZINC000091425374;-8.309606;-8.091221;-7.554142;-7.694059;-8.139873
ZINC000091468476;-8.238744;-7.565071;-7.53309;-7.9514494;-7.6787868
ZINC000067514114;-6.619103;-6.5055404;-6.432347;-6.5583596;-6.3171024
ZINC000007875235;-7.171129;-7.5824924;-7.204007;-7.1990623;-6.820451
ZINC000091586448;-7.440151;-7.998225;-7.5975857;-7.237633;-7.341282
ZINC000091644387;-6.857618;-6.7994695;-6.5909624;-6.967957;-6.9987583
ZINC000091656061;-7.8821726;-7.563801;-7.299715;-7.8842955;-7.767831
ZINC000067880982;-7.372272;-7.75163;-6.987337;-7.457568;-7.454998
ZINC000067880979;-7.3008237;-7.6688805;-7.032334;-7.4622097;-7.7537994
ZINC000091745723;-9.473252;-8.17598;-7.5881906;-8.371974;-8.239935
ZINC000091781721;-7.840031;-7.9514594;-7.6294904;-7.724923;-8.053478
ZINC000077286918;-6.672674;-6.941175;-6.8818097;-7.195895;-7.4457455
ZINC000299788830;-8.43622;-8.348131;-7.8156414;-8.23711;-8.109336
ZINC000299788827;-8.422829;-7.962868;-7.919219;-8.55079;-8.191803
ZINC000091997428;-8.227293;-8.7643385;-8.566752;-7.7825494;-8.188732
ZINC000091997428;-7.892801;-9.064109;-8.074321;-7.907942;-8.2064295
ZINC000092003422;-7.4711494;-7.6387215;-7.677676;-7.1970434;-7.37116
ZINC000092028048;-8.104946;-8.286802;-6.861405;-7.798768;-7.945414
ZINC000077554764;-7.8022103;-7.7544904;-7.51055;-7.6885495;-7.737829
ZINC000071479716;-8.0908985;-7.3035464;-7.5787535;-7.383402;-8.031239
ZINC000008725083;-7.4275074;-7.4776506;-7.2845078;-6.9581356;-7.4455976
ZINC000015678748;-7.8137307;-7.557413;-7.0058355;-7.1739473;-7.80773
ZINC000015678766;-8.255928;-7.371469;-7.297091;-7.3716;-7.9175043
ZINC000071750248;-7.907574;-7.833182;-6.9380436;-6.877244;-8.194916
ZINC000095361864;-7.450816;-7.5595503;-7.1573153;-7.4734454;-7.4290953
ZINC000095361865;-7.446652;-7.4921403;-7.362235;-7.2585673;-7.4388456
ZINC000071760382;-7.4603767;-7.5227256;-7.7699933;-7.3023834;-7.745736
ZINC000095372610;-7.8695817;-7.9628944;-7.9132614;-7.8479123;-8.209707
ZINC000095376289;-7.802718;-7.919837;-7.513403;-8.030215;-8.136026
