name;01;02;03;04;05
ZINC000003347700;-8.48196;-8.4033165;-7.3989005;-7.954715;-7.83372
ZINC000091325561;-6.752405;-6.976619;-6.775331;-7.1542006;-6.579014
ZINC000091411961;-6.8656898;-6.4762216;-6.6080365;-6.4988317;-6.8436055
ZINC000014019995;-7.349334;-7.219406;-7.4918156;-7.365905;-7.8221197
ZINC000091474439;-6.3286233;-6.2394733;-6.8251038;-6.4266047;-6.9331017
ZINC000036357599;-7.372799;-7.408971;-7.432394;-8.27067;-7.7510257
ZINC000036354454;-8.019514;-8.139838;-7.046639;-7.216512;-7.131476
ZINC000036356939;-6.629379;-6.613039;-6.2648907;-6.5965805;-6.2555695
ZINC000091550669;-7.02137;-7.753664;-7.6224546;-7.463265;-7.265317
ZINC000091563444;-7.018764;-7.1511292;-6.72438;-6.7803297;-6.926872
ZINC000036365755;-6.7094045;-7.0104947;-6.664921;-6.6465187;-6.7611837
ZINC000067678714;-7.651368;-8.162704;-7.9463177;-7.629516;-7.7167068
ZINC000036365754;-6.714766;-7.206816;-6.5205193;-6.5659356;-6.453302
ZINC000091586727;-6.973418;-6.5696983;-7.078496;-6.7784147;-7.098563
ZINC000067678711;-7.5690913;-7.959693;-7.534389;-7.509462;-7.5922456
ZINC000072409224;-7.765528;-7.6642237;-7.488589;-7.103361;-7.761272
ZINC000091616578;-7.4788494;-6.849629;-7.1570287;-7.7842135;-7.243592
ZINC000091624781;-8.005662;-8.383454;-8.133824;-8.286877;-8.216564
ZINC000067786063;-7.1714573;-7.4982224;-7.489674;-7.6564407;-7.6529956
ZINC000091645314;-7.17098;-7.120579;-7.1781845;-6.8665786;-7.6029415
ZINC000244647116;-6.8490286;-6.875388;-6.7875447;-7.0591908;-7.2523856
ZINC000084572645;-7.992218;-8.351377;-7.703415;-8.001642;-8.292532
ZINC000091679756;-7.3565135;-7.193605;-7.7408705;-7.832304;-7.4685364
ZINC000091745572;-7.104262;-7.0117884;-6.8995733;-7.4001975;-6.949538
ZINC000091792894;-7.2163887;-6.8122797;-7.220717;-7.0629644;-6.9565163
ZINC000091845826;-6.475526;-6.53261;-5.948988;-6.417215;-6.555301
ZINC000091848817;-7.1558223;-7.2508335;-7.12374;-7.348339;-7.375396
ZINC000091860900;-7.2753754;-6.71316;-7.246101;-7.199443;-7.2904625
ZINC000299779448;-7.6627884;-7.5356317;-8.278557;-7.88382;-8.067812
ZINC000091907122;-6.8583875;-5.8920727;-6.80262;-6.1938915;-6.0780654
ZINC000091915349;-6.797126;-7.089984;-6.732203;-6.591591;-7.473092
ZINC000091950633;-6.8805323;-6.442309;-6.277424;-6.7759466;-6.731116
ZINC000092022546;-6.647495;-6.6451874;-6.400979;-6.8464746;-6.941822
ZINC000071282112;-6.618923;-7.3327546;-6.8108025;-6.752655;-6.611459
