name;01;02;03;04;05
ZINC001574030607;-7.902324;-7.9154587;-7.3754272;-7.3884315;-7.0048776
ZINC000768346376;-7.284424;-8.052646;-7.0316553;-8.329616;-7.7991467
ZINC000775286113;-7.292214;-6.950373;-7.2494173;-6.8134675;-6.741899
ZINC000276756350;-7.69014;-8.458827;-7.466948;-7.6656632;-7.9818525
ZINC000768547111;-7.0235777;-7.039503;-6.9960384;-6.544392;-6.810482
ZINC001598622439;-6.5219965;-6.829664;-7.046617;-6.8262396;-6.824931
ZINC001598622441;-6.4040422;-6.760432;-6.6657386;-6.6984367;-6.6093054
ZINC001598622440;-6.866575;-7.0248075;-6.8747554;-6.763115;-6.7984333
ZINC001598622417;-7.02654;-7.548133;-7.2279153;-7.3512726;-7.7957435
ZINC001598622442;-6.6265597;-6.9844313;-7.1298804;-6.7653236;-6.863528
ZINC001598622516;-6.732449;-8.009687;-6.850325;-6.55961;-7.2597294
ZINC001598622747;-6.5568657;-7.1931047;-6.7959423;-6.558526;-7.145584
ZINC000737121496;-6.627782;-6.727523;-6.66646;-6.357561;-6.7513695
ZINC000737121495;-6.7403436;-6.8546014;-6.7203484;-6.450486;-7.0779686
ZINC001598622744;-6.28475;-6.8646035;-6.478371;-5.9519343;-6.9296284
ZINC000824012108;-6.441945;-6.538818;-6.3734202;-6.8108125;-6.40496
ZINC001190490468;-6.540222;-6.2401175;-6.3248544;-5.942012;-6.7083917
ZINC000276773099;-6.8403172;-7.682763;-7.8089123;-7.5447383;-7.277302
ZINC000775408540;-6.972841;-7.0209084;-6.6233864;-7.537451;-6.868133
ZINC000775408539;-6.981776;-7.0440664;-6.6054792;-7.519919;-6.829467
ZINC001604810084;-7.2046957;-7.257606;-7.30732;-7.3477087;-7.6573067
ZINC001604810091;-7.1516685;-7.24847;-7.3462734;-7.4131083;-7.7234197
ZINC001598624311;-7.249252;-7.414442;-7.7215223;-6.92052;-7.323822
ZINC000822600689;-7.1799026;-7.045333;-7.707456;-7.0492125;-7.5954385
ZINC001596745078;-6.4725637;-6.4303904;-5.5134506;-6.5432158;-6.4274445
ZINC001596745079;-6.803088;-6.490146;-6.081365;-6.481104;-6.8633995
ZINC000826347997;-8.422278;-8.730272;-8.075001;-8.345898;-8.052725
ZINC000826347997;-8.4273615;-8.745902;-8.080807;-8.359066;-8.062254
ZINC000769643677;-7.024522;-7.4876537;-6.8090386;-7.789196;-7.5483813
ZINC000769618593;-6.9238644;-6.69712;-6.872424;-6.869881;-7.35264
ZINC001598624734;-7.988311;-7.8488073;-7.789265;-7.860794;-7.072426
ZINC001598624969;-7.5951977;-7.4133997;-7.6966085;-7.299508;-7.2375174
ZINC000728015601;-6.517184;-6.4151063;-5.9967427;-6.577292;-6.125731
ZINC000728015247;-6.229828;-6.043941;-5.7892423;-5.865751;-6.12859
ZINC000265912477;-5.9762907;-5.8760767;-5.989798;-5.778502;-6.2286024
ZINC000776506081;-5.9670258;-6.5937514;-5.441619;-5.6302767;-5.478109
ZINC000897279490;-6.7460747;-6.457647;-6.5123568;-6.3696947;-6.1564765
ZINC000897279491;-6.522391;-6.557452;-6.573633;-6.306182;-6.438134
ZINC000825887330;-7.627352;-7.6788945;-7.6475515;-7.609226;-7.6843314
ZINC000770985749;-7.2580996;-6.970825;-7.0681796;-7.135894;-6.8490095
ZINC000827374012;-6.593734;-6.5806484;-6.6809435;-6.568283;-6.7078753
ZINC000827374014;-6.8083086;-6.640213;-6.608666;-6.6442833;-7.0741944
ZINC000771058438;-7.18011;-7.280053;-7.6069894;-7.2844667;-7.4580183
ZINC000771058580;-6.8329797;-6.775007;-7.0715322;-6.922394;-6.951006
ZINC000771058439;-7.1985035;-7.2576294;-7.658394;-7.29391;-7.4476376
ZINC000771187573;-7.5836773;-7.5176473;-7.706575;-7.4709735;-7.737339
ZINC000821927473;-7.4656825;-6.8377295;-7.484395;-7.36799;-6.942213
ZINC000822620463;-8.37104;-8.051305;-7.5738573;-7.6027746;-7.6903
ZINC000822620463;-8.367379;-8.065553;-7.5847406;-7.61063;-7.699381
ZINC000066902818;-6.8008738;-6.847451;-6.5794277;-6.7997594;-6.612586
ZINC000874392391;-6.935132;-6.445857;-6.0088415;-5.996654;-6.919877
ZINC000299269956;-6.398731;-6.8263364;-6.1481247;-6.2617846;-6.547925
ZINC000891252668;-6.870084;-6.529953;-6.382484;-6.893743;-7.125619
ZINC000891252669;-6.866935;-6.693698;-6.9746885;-6.7274194;-6.8261757
ZINC000897576489;-6.212763;-6.417064;-6.6735926;-7.040158;-6.80646
ZINC000897576490;-5.689533;-6.6463943;-6.5930047;-6.6679144;-6.4879856
ZINC000760178820;-9.064857;-8.607882;-8.182533;-8.578445;-8.57391
ZINC000267048691;-7.202995;-7.2870936;-6.7640452;-7.2650833;-6.934812
ZINC000267047713;-7.3606772;-7.3978896;-6.9398766;-7.1967263;-7.0262566
ZINC000823132051;-7.358242;-7.365694;-7.2374935;-7.1890306;-7.675153
ZINC000821831506;-7.649936;-7.2157607;-7.2827616;-7.4187474;-7.3504577
ZINC000820333862;-8.297239;-7.4979987;-7.615205;-7.877168;-7.966569
ZINC000820333863;-8.346719;-7.3587894;-7.589415;-7.868519;-8.047179
ZINC000821832111;-7.666809;-6.876443;-7.3279076;-7.4820232;-7.68367
ZINC000834476071;-7.1883907;-7.898638;-7.2695684;-7.36629;-7.722479
ZINC000834476072;-7.0261793;-7.995247;-7.563813;-7.563596;-8.031336
ZINC001279107643;-5.7587886;-6.017024;-6.0067744;-5.6404676;-6.2307506
ZINC000267903122;-7.93513;-7.4317513;-7.0135083;-7.474603;-7.295532
ZINC001279107641;-5.9871707;-5.5696282;-5.96912;-5.97073;-6.2697988
ZINC000825565307;-7.923563;-7.3935504;-7.9074283;-7.9997053;-8.220884
ZINC000821589548;-7.7180367;-7.0490746;-6.895899;-7.0097294;-7.240854
