name;01;02;03;04;05
ZINC000223878368;-7.5129995;-6.7227426;-7.307423;-7.26407;-6.8374047
ZINC000054801654;-6.9565616;-7.334125;-6.896796;-6.869286;-7.8065643
ZINC000105070470;-7.660287;-8.728462;-7.161438;-8.184046;-7.4219704
ZINC000003965416;-7.7539864;-7.4315805;-7.5084877;-7.22604;-7.004039
ZINC000004140109;-5.254895;-5.3347445;-4.9167614;-5.2764454;-5.5340886
ZINC000223472054;-7.2166314;-6.9356937;-7.2196236;-7.25908;-6.974005
ZINC000019701200;-6.5423617;-7.569689;-7.550136;-7.262268;-7.213501
ZINC000004269915;-4.9940767;-5.3277597;-4.48574;-5.3546453;-5.5356812
ZINC000408913966;-8.096412;-8.522821;-7.941436;-7.856039;-8.144564
ZINC000409346978;-7.188175;-7.139018;-6.9868317;-7.3519206;-6.9873347
ZINC000408914598;-5.9176373;-5.8568206;-5.7783785;-6.1535864;-6.1377316
ZINC000409091032;-7.419525;-7.7344007;-7.4332495;-7.4728384;-7.759036
ZINC000408960905;-7.4502554;-6.6544485;-7.438486;-6.9766192;-7.3129125
ZINC000408961216;-5.874802;-5.7051716;-5.62661;-5.855728;-6.2145844
ZINC000408526620;-6.612456;-6.6327147;-6.7898417;-6.1888733;-6.7481103
ZINC000409104721;-7.166209;-7.660394;-7.1923046;-7.1593995;-7.7139287
ZINC000408905244;-7.3201313;-6.825426;-7.148677;-6.706197;-7.0191264
ZINC000408526189;-7.373008;-7.1006393;-7.661355;-7.0463805;-8.234642
ZINC000008426152;-9.327028;-9.347287;-9.465484;-9.644992;-9.552549
ZINC000041083949;-7.2645774;-7.094039;-7.2334385;-6.9845657;-7.111207
ZINC000041077761;-7.0827074;-6.7395144;-6.87342;-6.827345;-6.8872585
ZINC000256055826;-6.836215;-7.345647;-7.08385;-6.919034;-6.962178
ZINC000225490117;-6.9492726;-6.7508173;-6.611766;-6.485198;-7.2387652
ZINC000408539762;-6.7842946;-6.556541;-7.198802;-6.847936;-6.9871564
ZINC000408552417;-7.1348095;-6.831038;-7.015129;-7.2427816;-7.097268
ZINC000054361065;-6.932245;-6.7708187;-6.702666;-7.617345;-6.968071
ZINC000054360887;-7.2934113;-7.149403;-6.749527;-7.701831;-7.2511406
ZINC000054360888;-7.134237;-7.3637805;-6.761428;-7.5456557;-7.321765
ZINC000054360889;-7.1428676;-7.0822306;-7.0122395;-7.5576973;-7.316533
ZINC000054361068;-6.984433;-6.7309303;-6.5820417;-7.703768;-6.905941
ZINC000054360875;-7.7593517;-7.5746574;-7.151595;-7.844555;-7.5032988
ZINC000054360877;-7.568283;-7.4622173;-7.407883;-7.642363;-7.626763
ZINC000054360871;-8.19226;-7.9269924;-7.5604305;-7.3862486;-7.322835
ZINC000013471733;-5.0724645;-4.966102;-5.0916033;-5.084894;-5.339591
ZINC000013555844;-5.763707;-6.46052;-6.3314905;-6.3462305;-6.026223
ZINC000013547486;-7.2348433;-7.0498;-6.9252667;-6.953657;-7.2620587
ZINC000013571900;-6.367388;-6.7446785;-7.0845942;-7.0122557;-6.916256
ZINC000009189377;-6.551656;-6.578269;-6.4368033;-6.5504427;-6.5925913
ZINC000009189315;-6.932905;-6.7420297;-6.3679194;-6.962073;-6.7737684
ZINC000009265020;-6.7865257;-7.192435;-6.350729;-7.026882;-6.9425707
ZINC000004856696;-6.3327723;-6.2762227;-6.8016124;-6.1803665;-6.138692
ZINC000256055535;-7.031203;-7.4649816;-7.203595;-7.2649436;-7.3611794
ZINC000041077741;-6.99884;-6.902987;-6.99883;-6.7209144;-6.880008
ZINC000041107979;-7.408624;-6.8379636;-7.0371013;-7.0066433;-7.158864
ZINC000019169519;-6.7724156;-7.151169;-7.300876;-6.745855;-6.8336697
ZINC000027563218;-7.3295302;-7.3091855;-7.29599;-7.501301;-7.5828714
ZINC000408737071;-7.980934;-7.764652;-7.99508;-7.6890817;-8.112296
ZINC000408737087;-7.8015738;-6.851364;-6.7815647;-7.022206;-7.0855007
ZINC000028296951;-6.516131;-7.553912;-7.107139;-7.7566404;-7.2902646
ZINC000033585020;-7.7591968;-7.489272;-7.2187743;-7.44511;-7.4890423
ZINC000033585021;-7.6193233;-7.457423;-7.080927;-7.508935;-7.5040874
ZINC000054360876;-7.511545;-7.810749;-7.21561;-7.6642714;-7.658536
ZINC000054361080;-6.9762864;-7.0144997;-6.8632374;-7.553379;-7.080781
ZINC000054360878;-7.3680396;-7.427141;-6.9459786;-7.5808926;-7.1463246
ZINC000054361067;-7.108998;-6.825571;-6.857019;-7.668879;-7.1595974
ZINC000408790103;-7.000839;-6.1391206;-6.7663627;-6.6670284;-6.5684295
ZINC000054361066;-7.126535;-6.884705;-6.5729127;-7.8170633;-7.2129145
ZINC000019327691;-6.8224277;-7.012595;-6.907956;-7.1737103;-7.5311027
ZINC000001154946;-7.775789;-7.982918;-7.601232;-7.893817;-7.564346
ZINC000011691751;-5.3098936;-5.0846157;-5.232113;-5.3970737;-5.4833994
ZINC000408861716;-6.2331614;-5.9458513;-5.9625025;-6.1144514;-5.9604874
ZINC000005267411;-7.7225094;-6.8530035;-6.4752836;-6.8574033;-6.9311757
ZINC000005325425;-6.876994;-6.8518434;-6.72053;-7.0516987;-6.870067
ZINC000005386603;-5.86521;-5.753808;-6.065878;-5.8131876;-6.3412266
ZINC000408913016;-6.6099243;-7.323782;-7.017157;-7.688802;-7.0534654
ZINC000408966085;-6.824885;-6.9044337;-6.543312;-7.1511765;-6.8775444
