name;01;02;03;04;05
ZINC000067954669;-7.2688694;-6.8316956;-6.6073794;-7.2102165;-7.140393
ZINC000004906105;-7.5987697;-7.66402;-7.6231565;-7.899383;-7.8725824
ZINC000299754897;-8.484375;-8.587273;-8.274154;-8.268512;-8.196537
ZINC000263625406;-8.004465;-7.8071322;-7.9867935;-7.728946;-7.5951767
ZINC000299800892;-8.346384;-8.335619;-8.015847;-8.016731;-7.9036293
ZINC000004314392;-7.082835;-7.116116;-7.2466125;-6.493774;-7.2906413
ZINC000039933381;-7.7700214;-7.6293592;-7.543409;-7.7990923;-7.6948214
ZINC000071748530;-8.27952;-7.655631;-8.147862;-8.193104;-8.367562
ZINC000071750187;-8.545456;-8.311063;-7.849244;-7.9388175;-8.450622
ZINC000071750544;-8.078579;-7.9763794;-7.7355175;-7.7485986;-7.7655363
ZINC000016235310;-8.4874935;-8.32144;-7.9178867;-7.9425173;-7.9355917
ZINC000005274778;-7.6112266;-7.3585267;-7.4533253;-7.5055733;-7.4486585
ZINC000008963886;-8.236678;-7.6814084;-7.7919397;-8.032227;-8.496632
ZINC000015000170;-7.6411967;-7.587706;-6.8970294;-7.401832;-7.398119
ZINC000225769407;-8.066545;-7.0356297;-7.015682;-8.051295;-7.641974
ZINC000004675629;-5.5696263;-5.5466213;-5.704995;-6.0015545;-6.137406
ZINC000082051259;-7.594941;-8.232608;-7.9675236;-7.3999505;-7.5499935
ZINC000013688851;-7.703546;-7.4609103;-7.5191135;-7.4799795;-7.2908673
ZINC000101810808;-7.6710825;-7.114034;-7.207597;-7.2266493;-7.4654694
ZINC000009512763;-6.832381;-7.7483125;-7.3680196;-7.144451;-7.4506793
ZINC000084497794;-8.2362385;-8.160099;-7.7064457;-8.777264;-8.449374
ZINC000045966857;-8.6496105;-8.018357;-8.124893;-8.073617;-8.209361
ZINC000019300175;-7.615655;-6.9200106;-7.074769;-7.1753187;-7.5813007
ZINC000047010628;-8.246164;-8.39063;-8.062231;-7.468877;-8.077326
ZINC000001782781;-7.161581;-6.626698;-6.5206885;-6.83157;-6.4264984
ZINC000225400164;-7.5703063;-6.884884;-6.8283486;-6.997764;-7.3177166
ZINC000241132890;-7.2592926;-7.230097;-7.580906;-6.74842;-6.9417663
ZINC000067540505;-8.263496;-8.097813;-8.051742;-7.8935704;-8.193562
ZINC000090590670;-7.935671;-7.676937;-7.5781584;-7.6593456;-7.622735
ZINC000067675706;-8.8319845;-8.380474;-8.4192705;-9.19388;-8.427167
ZINC000067847826;-9.138643;-8.60268;-9.162004;-8.519449;-8.808475
ZINC000067854754;-7.5193396;-8.482413;-7.4413605;-7.317053;-7.747362
ZINC000012202597;-7.6570654;-7.7405157;-7.541232;-8.535427;-8.317875
ZINC000065408346;-7.8271003;-7.7254534;-7.6295137;-8.235829;-8.146792
ZINC000065403747;-7.992909;-7.3357615;-7.707283;-7.6320653;-7.7781754
ZINC000328593626;-9.429751;-9.363034;-8.651274;-8.4714155;-8.914753
ZINC000071745408;-8.5729885;-8.603081;-7.5783825;-7.962223;-8.2527485
ZINC000071745407;-8.209383;-7.8175325;-7.804344;-7.5010514;-8.424736
ZINC000071764725;-8.309155;-8.262981;-7.3281894;-7.643589;-7.854842
ZINC000071764394;-8.169007;-7.623483;-8.219038;-7.526558;-7.9422307
ZINC000071764726;-7.9707713;-7.7489095;-7.867447;-7.6274476;-8.186366
ZINC000071764393;-8.705076;-8.044292;-7.558929;-7.6531653;-7.587756
