name;01;02;03;04;05
ZINC000013893103;-7.387376;-7.345066;-6.7841277;-7.420951;-7.4233065
ZINC000013999613;-7.300196;-7.2221346;-7.2999225;-7.6156144;-7.135119
ZINC000067621400;-7.537843;-7.454761;-6.9788666;-7.0491276;-7.4901047
ZINC000007737305;-6.1922708;-6.756292;-6.7662644;-6.6260614;-7.307025
ZINC000008477345;-7.4494467;-7.132889;-7.5784564;-7.422192;-7.8123565
ZINC000004498106;-7.3258257;-7.3258076;-6.744256;-7.2660613;-7.411312
ZINC000009135488;-8.051113;-7.8012233;-8.031491;-7.475996;-8.132635
ZINC000009135700;-7.733601;-7.284957;-7.973334;-7.76585;-7.7017164
ZINC000009135486;-8.073256;-7.9271913;-7.1669307;-7.397576;-8.018759
ZINC000018181721;-8.189819;-8.137033;-8.231899;-8.128154;-8.630911
ZINC000018203994;-7.481292;-7.6305647;-7.0820603;-7.486212;-7.3082294
ZINC000005009682;-6.467745;-6.2277927;-6.2974925;-6.411098;-6.883048
ZINC000005098847;-6.588485;-6.680388;-6.4729047;-6.709358;-6.186408
ZINC000005098856;-6.7817397;-6.7326164;-6.69394;-6.661276;-6.292638
ZINC000011612308;-8.1724205;-8.180136;-8.246283;-8.310141;-8.818128
ZINC000065453532;-7.981702;-7.805416;-7.099158;-7.9528913;-7.867635
ZINC000005647232;-6.5077453;-6.7949333;-6.553809;-6.862964;-6.854628
ZINC000005647232;-6.4332724;-7.0778537;-6.765735;-6.869761;-6.7685833
ZINC000065458567;-7.8874297;-7.578738;-7.693757;-7.744306;-8.18624
ZINC000072169975;-8.352464;-8.422032;-7.516753;-7.6548815;-7.726714
ZINC000072169975;-8.253323;-8.41701;-7.4122133;-7.5183334;-7.4759674
ZINC000072171344;-7.7082567;-7.645556;-8.15748;-7.9886136;-8.081769
ZINC000072171345;-7.708764;-7.827571;-7.925251;-7.9835005;-7.65978
ZINC000019908848;-7.2722983;-7.219005;-7.339195;-6.8523636;-6.8166313
ZINC000019908845;-7.212967;-7.285394;-7.382205;-6.817538;-6.829608
ZINC000020028334;-8.309454;-8.4353895;-8.282711;-8.680731;-8.438324
ZINC000095476832;-7.2061505;-6.880984;-7.083118;-7.1977057;-6.8922405
ZINC000012363730;-6.3309264;-6.524477;-6.6656895;-6.27893;-6.9981036
ZINC000101032598;-7.2000732;-7.4544253;-7.7095256;-7.412892;-7.3088636
ZINC000101374680;-7.619233;-8.694088;-8.190776;-7.6290784;-7.8680983
ZINC000012412882;-9.157323;-9.318692;-8.658381;-9.366541;-9.060865
ZINC000002307103;-7.202105;-7.370802;-7.6778626;-7.9282875;-7.4953647
ZINC000002892664;-7.3151965;-7.3523545;-7.1384773;-6.9459004;-6.6442633
ZINC000004815293;-8.348076;-8.334117;-8.093271;-8.209065;-7.746998
ZINC000101037407;-7.4398117;-7.093776;-7.2183723;-7.133707;-7.480165
ZINC000101086053;-7.464103;-7.3484044;-7.4409466;-7.43633;-7.409544
ZINC000012507745;-6.2671556;-6.7431965;-6.7923555;-6.6857557;-6.107734
ZINC000001022768;-6.337142;-6.341909;-6.434842;-6.635515;-6.748787
ZINC000006786404;-7.3180804;-6.5352235;-7.3694935;-7.164219;-7.1601267
ZINC000001118719;-7.8728676;-8.225754;-7.6214743;-8.030203;-8.130289
ZINC000001066983;-7.2067356;-7.4773493;-7.592495;-7.387243;-7.421912
ZINC000020841867;-8.030934;-8.079919;-8.352187;-8.162475;-8.439675
ZINC000096237069;-6.3184543;-6.5296516;-6.014667;-6.162237;-6.663855
ZINC000019839953;-7.2906065;-6.8759556;-6.6945257;-6.74212;-7.235228
ZINC000001175635;-7.117946;-7.423707;-6.887497;-7.311014;-7.366672
ZINC000001191958;-6.432438;-6.113905;-6.248379;-6.541362;-6.786412
ZINC000001213998;-8.296483;-8.078068;-8.425245;-8.078473;-8.506151
ZINC000004817965;-6.2851515;-6.3354454;-6.5493;-7.414461;-7.4473395
ZINC000023135356;-6.93236;-7.12135;-6.9973307;-6.651512;-6.7474413
ZINC000010188276;-7.6883354;-7.394325;-7.1048517;-7.3995147;-7.832926
ZINC000010188277;-7.5956635;-6.958653;-7.709444;-7.387874;-7.6519637
ZINC000095480183;-6.050806;-6.087566;-6.748345;-5.835115;-6.308566
ZINC000067604699;-7.561712;-6.987011;-7.781513;-7.287772;-6.9547243
ZINC000020291416;-7.668253;-7.970475;-7.9833827;-8.091339;-8.251485
ZINC000009245097;-6.9116993;-7.5761194;-7.107923;-7.0844517;-7.0215607
ZINC000022589242;-7.8084364;-8.011358;-7.5248146;-7.4836473;-7.7786303
ZINC000022589035;-6.927146;-7.4786186;-7.200597;-7.2264833;-7.266541
ZINC000022589230;-7.520371;-7.4252577;-7.135526;-7.5080094;-7.6379204
ZINC000013008069;-7.424091;-7.1913233;-7.4587994;-7.221902;-7.2018113
ZINC000013008076;-8.083833;-6.9920135;-7.941624;-7.5810795;-8.022894
ZINC000104332370;-7.308382;-7.3449693;-7.3322725;-7.273369;-7.6843424
ZINC000104401818;-7.017983;-7.2702136;-7.175335;-7.396149;-7.3706236
ZINC000100497234;-6.5783415;-6.787079;-6.64263;-6.916095;-6.958601
ZINC000100497234;-6.6535053;-7.1478567;-6.928135;-6.959079;-6.8576865
ZINC000100503209;-6.5077453;-6.7949333;-6.553809;-6.862964;-6.854628
ZINC000100503209;-6.4332724;-7.0778537;-6.765735;-6.869761;-6.7685833
ZINC000013571696;-8.016919;-8.337974;-8.309167;-8.551129;-7.9578753
ZINC000013570388;-7.435609;-7.0309935;-7.331825;-7.6457024;-7.612691
ZINC000100998245;-7.934304;-8.29487;-7.843547;-8.552122;-8.366898
ZINC000000658381;-6.2711825;-6.6172724;-6.9256673;-6.7692146;-6.8432665
ZINC000000995421;-6.4313183;-6.730098;-6.317394;-6.893562;-6.9723206
ZINC000008748074;-8.835259;-9.48777;-8.734408;-8.443955;-9.058519
