name;01;02;03;04;05
ZINC000049735079;-7.275202;-7.7319956;-7.2717314;-7.393674;-7.5106874
ZINC000013893103;-7.2631903;-7.1436806;-6.6274524;-7.416215;-7.306444
ZINC000013999613;-7.367799;-7.169214;-7.3521123;-7.5535874;-7.20298
ZINC000003850740;-6.6297483;-6.661903;-6.482531;-6.7020526;-6.77084
ZINC000007737305;-6.289115;-6.799425;-6.8132386;-6.6780615;-7.3796086
ZINC000252621107;-7.020939;-7.190065;-7.3358;-7.540446;-7.5672846
ZINC000252621108;-7.020939;-7.190065;-7.3358;-7.540446;-7.5672846
ZINC000008477345;-7.888226;-6.9103236;-7.7051363;-7.506168;-8.045826
ZINC000004411668;-7.3111362;-7.273423;-7.0551357;-7.4006004;-7.4831266
ZINC000004498106;-7.3175993;-7.3695645;-6.986783;-7.3012924;-7.6409974
ZINC000004503416;-7.001799;-6.6534925;-6.870929;-7.3568015;-6.9284253
ZINC000015357257;-5.242115;-5.5136156;-5.976015;-6.1656637;-6.045022
ZINC000015864791;-7.3249235;-7.913281;-6.84713;-7.5455847;-8.15332
ZINC000004704557;-7.6434145;-7.3145466;-7.291758;-7.7561226;-7.8437905
ZINC000013564321;-7.851866;-7.454982;-8.107227;-8.141481;-8.006432
ZINC000004723779;-6.2456303;-6.6221476;-6.198604;-6.4955955;-6.5982594
ZINC000016160969;-8.245032;-8.54028;-8.299821;-8.440963;-9.013397
ZINC000009189378;-6.556505;-6.395999;-6.152465;-6.425283;-6.40543
ZINC000009189314;-6.8618784;-6.53613;-6.072404;-6.807898;-6.54599
ZINC000009304614;-7.743101;-7.9196067;-7.786727;-7.950117;-8.112179
ZINC000016810415;-6.4401326;-6.8545794;-7.028103;-7.0933294;-6.767616
ZINC000013693501;-6.5867586;-6.724981;-6.2281375;-6.2300534;-6.647405
ZINC000004852137;-7.4542;-7.5266795;-7.7916584;-7.643793;-7.662885
ZINC000017124034;-6.9409184;-7.0623717;-7.1243615;-6.9280725;-7.053551
ZINC000018181721;-8.525568;-8.385027;-8.299275;-8.379612;-8.827936
ZINC000018203994;-7.604187;-7.541804;-7.0376186;-7.5181513;-7.3758082
ZINC000013892675;-8.623986;-8.504993;-7.9294195;-7.745391;-8.414595
ZINC000005009682;-6.547578;-6.352684;-6.3851953;-6.4589934;-7.1065917
ZINC000005023976;-6.46244;-7.206283;-6.95016;-7.082426;-6.806591
ZINC000011612308;-8.410615;-8.4451685;-8.230238;-8.363595;-8.950707
ZINC000011615808;-5.038327;-5.494234;-4.9482136;-5.4663224;-6.32261
ZINC000005346384;-7.3409367;-7.668007;-7.41191;-7.5563965;-7.7388206
ZINC000005348296;-8.297842;-8.272;-7.798855;-8.186283;-7.8489027
ZINC000005348294;-8.639133;-8.241763;-7.7996135;-8.242545;-7.853401
ZINC000005593976;-7.5637636;-7.365695;-7.3368845;-7.5983076;-7.456136
ZINC000015013710;-7.4740734;-7.138731;-6.626336;-7.155539;-7.3752675
ZINC000015013023;-6.9758754;-7.154946;-7.0519648;-7.2118764;-7.1536875
ZINC000005648588;-7.601306;-7.2242174;-7.8913064;-7.375788;-7.714105
ZINC000005647232;-6.5471225;-7.140605;-6.8344693;-7.027591;-6.9906483
ZINC000005751403;-7.2309675;-7.647025;-6.6275997;-7.269583;-7.2995358
ZINC000020358251;-7.6721134;-7.9790487;-8.12874;-8.040784;-7.9909487
ZINC000096947682;-6.2371254;-6.2476196;-6.1957383;-6.351267;-6.6087184
