name;01;02;03;04;05
ZINC000007505387;-6.83625;-6.5562;-6.994087;-6.366776;-6.8416557
ZINC000065433831;-7.6424627;-7.5039997;-7.8010798;-7.958372;-7.957745
ZINC000065433827;-7.259988;-7.7393513;-7.5415926;-7.840445;-7.663021
ZINC000012759213;-8.086748;-7.6448245;-8.17272;-8.049046;-7.949774
ZINC000007709695;-7.5953026;-7.37774;-7.2253556;-7.8099437;-6.951876
ZINC000045966712;-7.7753644;-7.2943892;-7.975872;-7.2592235;-7.413616
ZINC000053527062;-7.409299;-6.9374375;-7.4893093;-7.4921665;-7.328562
ZINC000005901426;-8.499581;-8.0915985;-8.645121;-8.239665;-8.019538
ZINC000005684513;-7.793769;-7.9028997;-8.332157;-7.342769;-7.5353703
ZINC000100779983;-6.852638;-6.3755574;-6.7283287;-7.115947;-6.563633
ZINC000017145534;-7.516399;-6.9392653;-7.195743;-7.7239347;-7.4775386
ZINC000057279552;-7.691984;-7.064413;-7.4302316;-8.1679945;-7.4513474
ZINC000091932582;-7.473414;-7.112359;-6.6788163;-6.9629407;-7.5503564
ZINC000077287309;-8.11066;-8.034825;-8.11787;-7.6507993;-8.1979885
ZINC000039930138;-7.5074935;-7.2542024;-7.368358;-7.366762;-7.747646
ZINC000253630123;-7.8266206;-7.9211693;-7.70584;-7.714944;-7.6923413
ZINC000020493981;-8.815215;-8.844488;-8.134073;-8.467308;-8.311606
ZINC000012583144;-7.7853513;-7.6685777;-7.38235;-7.453032;-7.2172904
ZINC000012583144;-7.7432494;-7.749164;-7.3188887;-7.3213816;-7.202866
ZINC000012583151;-7.741829;-7.7442937;-7.3149858;-7.3191624;-7.198724
ZINC000012583151;-7.7432494;-7.749164;-7.3188887;-7.3213816;-7.202866
ZINC000008735234;-8.046383;-7.7064247;-6.8990183;-7.4275193;-7.3172936
ZINC000029231358;-8.134558;-8.222796;-7.7224054;-7.6672225;-8.123781
ZINC000015864127;-8.141207;-7.913065;-7.944119;-7.5231204;-7.9724917
ZINC000004714583;-7.5597477;-7.1674986;-7.3118;-7.236912;-7.2739115
ZINC000004738583;-6.6391373;-6.930934;-6.598914;-6.370963;-6.7410445
ZINC000009154062;-6.6875367;-6.5709705;-6.865499;-6.163557;-6.52809
ZINC000426661175;-7.30088;-7.2809515;-6.987526;-7.5785646;-7.326038
ZINC000067725401;-7.6050034;-7.002002;-7.1494284;-7.0397787;-7.380281
ZINC000030587771;-6.9592;-6.4835176;-6.5760674;-6.3602285;-6.400654
ZINC000072172797;-7.360091;-7.0930166;-6.8938456;-7.096799;-7.410615
ZINC000072172796;-7.3302507;-7.630576;-7.0429935;-7.3156176;-7.486916
ZINC000017145536;-6.5997443;-6.79852;-6.6831036;-7.330888;-7.136827
ZINC000102398105;-7.805163;-7.563598;-7.702885;-8.02581;-7.842828
ZINC000009138081;-7.679057;-6.9583597;-7.284798;-7.4017773;-7.6406446
ZINC000013543277;-6.3595433;-6.2809887;-6.205423;-5.8833666;-6.2854376
ZINC000045966610;-8.000196;-7.4564853;-8.113853;-7.813492;-7.7984905
ZINC000102745655;-7.3476243;-7.1827316;-7.2886195;-6.7939005;-6.3155704
ZINC000064969804;-7.812845;-7.729032;-7.8668795;-8.266682;-8.051641
ZINC000046813062;-8.448089;-7.654179;-7.966954;-8.129803;-8.556856
ZINC000013725744;-7.3476243;-7.1827316;-7.2886195;-6.7939005;-6.3155704
ZINC000072423177;-8.547479;-7.864975;-7.5869207;-7.9768853;-7.1896515
ZINC000091381039;-6.7142825;-6.594701;-6.629859;-6.3627253;-7.193117
ZINC000005196097;-6.9431453;-6.1828504;-5.7014546;-5.935757;-6.652674
ZINC000005196097;-6.9431453;-6.1828504;-5.7014546;-5.935757;-6.652674
ZINC000072436589;-7.851265;-7.8787026;-7.1630993;-7.7213182;-7.356244
ZINC000077287308;-7.7615595;-8.074019;-8.074684;-7.869568;-8.121431
ZINC000004689793;-6.519815;-6.2806387;-6.2253876;-6.1653686;-6.5463653
ZINC000005451396;-6.9599075;-6.048996;-7.037173;-6.5212474;-6.9526925
ZINC000005482889;-6.7174478;-6.2874465;-6.810243;-6.6586013;-6.897658
ZINC000091562977;-7.60201;-7.575432;-8.07812;-7.1533737;-7.4240794
ZINC000005885282;-7.233166;-7.4836063;-7.56602;-8.051398;-7.3454647
ZINC000095355177;-6.8343945;-7.0014353;-7.0900807;-7.2024727;-7.258009
ZINC000008579676;-6.4740944;-7.052501;-6.490907;-6.4221983;-6.763695
ZINC000012714236;-8.002102;-7.4087353;-7.647661;-7.8169036;-7.99992
ZINC000102745652;-7.1473284;-7.2818413;-6.8663235;-6.671834;-6.4009047
ZINC000013725740;-7.1473284;-7.2818413;-6.8663235;-6.671834;-6.4009047
ZINC000082146393;-7.2663484;-7.3161144;-7.7481074;-7.5480347;-7.4040165
ZINC000100584477;-6.463272;-6.3740287;-7.127774;-6.1696844;-6.554659
ZINC000058216573;-6.486775;-6.081131;-7.2381787;-6.651768;-6.9027824
ZINC000100584482;-7.297672;-7.472309;-6.9559;-6.663458;-6.553063
ZINC000015864126;-8.197858;-8.182774;-7.9816146;-7.693752;-7.7565374
ZINC000013124458;-6.463272;-6.3740287;-7.127774;-6.1696844;-6.554659
ZINC000091550831;-7.0951333;-7.047972;-6.814377;-6.9668255;-7.5228014
