name;01;02;03;04;05
ZINC000065433831;-7.4997487;-8.008787;-7.5209026;-7.766267;-7.652091
ZINC000065433827;-7.6144953;-7.9882116;-8.156005;-8.042599;-8.20433
ZINC000065492037;-7.6713953;-7.35741;-7.214649;-8.167848;-7.582608
ZINC000252597526;-7.9887342;-8.11805;-8.151323;-8.183682;-8.674014
ZINC000067847633;-8.59532;-8.430937;-8.379751;-8.293705;-8.705147
ZINC000067852502;-7.3721533;-7.396614;-7.5216856;-7.6558256;-7.2072845
ZINC000077197643;-8.004992;-7.69707;-7.668472;-7.8121467;-7.838261
ZINC000077197643;-8.016647;-7.6752844;-7.638729;-7.9240265;-7.8446727
ZINC000252624350;-8.398382;-7.8939257;-7.7437754;-8.0012045;-8.308311
ZINC000039930138;-7.8195887;-7.5164747;-7.60338;-7.798083;-8.0843725
ZINC000008706301;-7.652859;-6.8570538;-7.3210287;-6.8872914;-6.758566
ZINC000008706196;-7.6775503;-6.90961;-7.0495872;-6.6629233;-7.3044596
ZINC000008725121;-7.217041;-6.8680563;-7.7494454;-6.994466;-7.1801305
ZINC000008725032;-7.3844223;-6.7809305;-7.758796;-6.91172;-7.0582685
ZINC000008724575;-7.7120066;-7.083203;-7.1387987;-6.307045;-6.881341
ZINC000029121322;-8.218205;-8.832614;-8.07286;-7.906028;-8.353711
ZINC000071738830;-8.464804;-7.981248;-8.484575;-8.2489605;-8.141313
ZINC000077197645;-7.9870067;-7.6340384;-7.688898;-7.886325;-7.7989063
ZINC000077197645;-7.974477;-7.69095;-7.693245;-7.7927136;-7.7981367
ZINC000426661175;-7.765979;-7.932717;-7.6103783;-8.380487;-7.971697
ZINC000032825855;-8.618454;-9.07104;-8.529477;-8.364908;-8.718803
ZINC000008709885;-7.4893436;-7.635683;-7.4626255;-7.110672;-7.175548
ZINC000014743772;-7.3878922;-7.438473;-6.8203263;-7.362762;-7.489428
ZINC000014743772;-7.6023774;-7.573624;-6.6778255;-7.4177012;-7.264719
ZINC000019795198;-7.568156;-7.810136;-7.094162;-6.802684;-7.5142994
ZINC000005047647;-7.8214383;-7.1504016;-7.67665;-7.6541586;-8.034225
ZINC000046813062;-8.530341;-7.788711;-8.224374;-8.286955;-8.923052
ZINC000199346626;-7.103105;-6.9637556;-6.8970947;-6.858311;-6.769042
ZINC000091351203;-9.11329;-8.18794;-7.9654074;-8.238137;-8.8725815
ZINC000005377129;-7.0214972;-6.9079685;-6.966217;-7.026785;-6.4643145
ZINC000100339392;-6.284013;-7.085924;-6.761023;-6.5957375;-7.133786
ZINC000328592727;-7.7656593;-7.251494;-7.3241825;-7.26322;-7.8028507
ZINC000067587682;-7.8932796;-7.8623214;-7.997947;-8.001188;-8.414366
ZINC000067714860;-7.876583;-8.061265;-8.1702175;-7.8246236;-8.031805
ZINC000067714860;-8.104589;-8.306496;-8.560141;-7.9591455;-7.9862137
ZINC000095355177;-7.0007977;-7.3683105;-7.0731544;-7.526941;-7.4663987
ZINC000008881778;-6.0650153;-6.435032;-5.9989977;-5.8798447;-6.2607546
ZINC000008881778;-6.238886;-5.823332;-5.5468917;-5.786271;-6.3890314
ZINC000008706154;-7.332078;-6.8225665;-6.778579;-6.5480046;-6.7951984
ZINC000010335238;-7.1711593;-7.559012;-7.3816395;-6.938602;-7.391779
ZINC000067847632;-8.327828;-8.189772;-8.123713;-8.301483;-8.446428
ZINC000065527863;-8.766717;-8.040579;-8.51603;-8.2788725;-8.147733
ZINC000012714236;-8.104665;-6.9908476;-7.6690254;-7.5461335;-7.728473
ZINC000071281401;-7.886411;-7.6869793;-7.333934;-7.4245915;-7.6181626
ZINC000058160936;-7.570116;-7.4476633;-7.0169935;-7.4537954;-7.3312016
ZINC000058160936;-7.6387553;-7.5674734;-7.2039948;-7.5714216;-7.285551
ZINC000072419142;-7.0349393;-6.743589;-7.3761983;-7.209326;-7.423785
ZINC000072419142;-7.465925;-6.7432647;-7.8247805;-7.5806584;-7.7173214
ZINC000072434412;-6.574056;-6.752351;-7.36582;-7.0629444;-6.7587442
ZINC000072434412;-7.4241934;-7.2982078;-7.4994025;-7.3516603;-7.4437103
ZINC000072457727;-6.549787;-6.665822;-6.808305;-7.137797;-7.2475896
ZINC000072457727;-7.4690404;-6.6857386;-7.353256;-7.510485;-7.656699
ZINC000072475918;-6.6507583;-6.9442472;-7.1506147;-7.3421154;-7.4706144
ZINC000072475918;-7.391286;-6.9088926;-7.69317;-7.5699167;-7.944339
ZINC000092107499;-7.137128;-7.0572224;-6.15186;-6.8098474;-6.561434
ZINC000020426484;-8.052321;-7.4426146;-7.2409277;-8.426087;-7.7737966
ZINC000071751521;-8.253829;-8.324047;-7.9405727;-7.7721987;-7.54957
