name;01;02;03;04;05
ZINC000001425576;-7.71046;-7.543345;-7.483557;-7.2483563;-7.8198223
ZINC000036035472;-7.383403;-8.1333885;-7.421184;-7.9107375;-8.024803
ZINC000036035473;-7.2653904;-7.868959;-7.6915436;-8.265289;-8.297148
ZINC000036073945;-8.814047;-9.036119;-8.580418;-8.529438;-8.543424
ZINC000013945523;-8.111693;-8.282596;-7.666673;-8.312715;-7.7547064
ZINC000013943480;-8.492537;-8.407245;-8.28859;-8.405086;-8.416627
ZINC000012752835;-8.116829;-8.401828;-8.513984;-8.541891;-8.2365265
ZINC000014166287;-8.121235;-8.321777;-8.243208;-8.609504;-8.374211
ZINC000007813541;-7.27308;-6.9885225;-7.1580186;-7.6096215;-7.637503
ZINC000007709391;-8.422872;-8.179967;-8.111099;-7.915482;-7.988645
ZINC000003880039;-9.214926;-8.554243;-8.4990015;-8.637664;-9.055732
ZINC000007726626;-7.7433505;-7.44909;-7.9985576;-8.452295;-8.181404
ZINC000004173494;-7.4671717;-7.4337153;-7.2636566;-7.3458395;-7.2000237
ZINC000004134540;-8.078708;-8.2062025;-8.21679;-8.267465;-8.286812
ZINC000020255299;-7.2756906;-7.324401;-7.2728815;-7.75086;-6.8462596
ZINC000015011076;-8.197071;-8.405859;-8.076006;-7.700561;-7.8942556
ZINC000225465539;-8.574779;-8.782479;-8.647575;-8.240317;-8.341232
ZINC000004521531;-8.357125;-8.114696;-7.3072023;-7.9563932;-7.287689
ZINC000004521530;-8.262863;-8.1731825;-7.2082515;-8.051695;-7.296243
ZINC000004557583;-7.4413075;-7.590612;-7.4285984;-7.1650186;-7.106775
ZINC000004563464;-7.101754;-6.9338317;-7.205865;-6.8491306;-7.1064196
ZINC000225527659;-7.646124;-7.5301147;-7.675858;-7.690654;-7.964857
ZINC000004580742;-7.585773;-7.3228793;-7.098004;-7.4392686;-7.248651
ZINC000004580706;-7.23864;-6.93068;-6.745659;-7.310519;-7.3596783
ZINC000013260060;-7.956089;-7.4083166;-7.4903364;-8.214863;-7.6790195
ZINC000004624237;-8.932642;-9.111341;-8.773649;-8.835397;-8.731141
ZINC000008771039;-7.7582936;-8.020336;-7.8952093;-8.077081;-7.9059877
ZINC000225532198;-8.307729;-8.473811;-7.559865;-7.6340804;-8.316041
ZINC000004716035;-6.1855435;-7.2436247;-6.353499;-7.144289;-6.9927473
ZINC000009135240;-8.5526;-8.249043;-8.857355;-8.761385;-8.561691
ZINC000009135239;-8.282305;-8.134062;-8.374977;-8.440458;-8.438328
ZINC000004822415;-7.6275034;-7.48384;-7.4974813;-7.6396656;-8.12351
ZINC000004829138;-8.892947;-9.462803;-8.456776;-8.904422;-8.426857
ZINC000004826923;-7.6996627;-7.5471206;-7.534182;-7.738121;-8.239803
ZINC000009467843;-8.705426;-8.840275;-8.482543;-8.312762;-8.331725
ZINC000004134537;-6.632483;-7.398567;-7.266417;-7.5042357;-7.621358
ZINC000009482342;-7.647599;-7.720988;-7.798536;-8.533009;-8.357957
ZINC000017080471;-8.409589;-8.9183655;-8.90515;-8.851016;-8.523898
ZINC000003102098;-8.746788;-9.295726;-8.356356;-8.621624;-8.965167
ZINC000004020496;-7.2302017;-6.739559;-6.801268;-7.148489;-6.834273
ZINC000003666177;-8.348183;-7.7592573;-7.5660725;-7.9451146;-7.9724965
ZINC000004877595;-8.666395;-8.667408;-8.690619;-8.983767;-8.886592
ZINC000005008008;-8.192877;-8.415867;-8.615202;-8.795439;-8.605101
ZINC000005065132;-7.002344;-6.886792;-6.84385;-6.961187;-6.8669586
ZINC000005557787;-8.32848;-8.743082;-8.479856;-8.193074;-8.630417
ZINC000009234847;-6.5948167;-6.819581;-6.6138535;-7.2188263;-7.1500964
ZINC000089651391;-8.868895;-9.055172;-8.668943;-9.035707;-9.035738
ZINC000010720924;-8.059511;-7.4435515;-7.58642;-7.588074;-8.051191
ZINC000026540622;-7.123405;-7.0072556;-7.566226;-7.505143;-7.6163473
ZINC000065329812;-8.7354765;-8.478279;-8.263058;-8.696573;-8.45526
ZINC000065329802;-8.422404;-9.322858;-8.467591;-8.65119;-8.713805
ZINC000033358820;-6.008605;-6.278038;-5.7291164;-6.0258465;-6.0384126
ZINC000005652808;-7.8706493;-8.202947;-7.769396;-7.924543;-8.226512
ZINC000253424592;-8.017307;-8.231426;-8.044626;-8.34329;-8.553392
ZINC000047383507;-7.708233;-7.1567435;-7.4607573;-7.947181;-7.42922
ZINC000095969625;-8.046794;-7.511859;-7.9192867;-8.499619;-8.257238
ZINC000095969624;-8.042237;-7.5048823;-7.9484186;-8.457815;-8.272172
ZINC000095456426;-8.687846;-8.63217;-8.870733;-8.4758835;-8.98054
ZINC000005154092;-8.162305;-8.254374;-8.45887;-8.0500145;-8.304171
ZINC000005252348;-8.009889;-8.092918;-8.120501;-7.8667746;-8.207645
ZINC000005330040;-8.875068;-8.478182;-7.9469147;-8.248841;-8.705197
ZINC000005329776;-7.6703787;-8.214924;-7.7556868;-8.213406;-8.091383
ZINC000005636326;-8.164809;-7.6727567;-7.8884716;-7.949625;-8.0915575
ZINC000012508217;-7.463999;-7.758379;-6.8278294;-7.40673;-7.680928
ZINC000017076919;-7.766486;-7.528934;-7.703692;-7.740449;-8.019186
ZINC000017080472;-8.327768;-8.4505;-8.014402;-8.100786;-8.59342
ZINC000006843964;-7.5385494;-7.27917;-7.7087955;-7.6445704;-7.3478327
ZINC000001107047;-8.661488;-8.318157;-7.8354836;-8.089141;-8.227266
ZINC000001115652;-6.5324736;-7.0318584;-6.715595;-6.9685473;-7.161356
ZINC000001122264;-8.674293;-8.335146;-8.107389;-8.127929;-7.8676147
ZINC000007054036;-7.847795;-7.7299633;-7.8868814;-7.511563;-7.5583725
ZINC000095447948;-7.122654;-7.2535243;-7.1574774;-7.3805165;-7.4973125
