name;01;02;03;04;05
ZINC000078814501;-8.098974;-7.579349;-7.348009;-7.187676;-7.674608
ZINC000078814506;-8.345922;-7.6440525;-7.102675;-7.4297967;-7.3788123
ZINC000012755554;-8.298413;-7.8178287;-8.091869;-9.140891;-8.1618185
ZINC000012755550;-8.371243;-7.6942167;-7.8404517;-8.420456;-7.9679356
ZINC000036160389;-7.797582;-8.405036;-7.3862815;-8.079289;-8.294752
ZINC000036390126;-8.548449;-8.097217;-8.221448;-8.536006;-8.92131
ZINC000084535685;-7.7476482;-8.594752;-8.631913;-8.741021;-8.477139
ZINC000004164480;-7.9061823;-8.590506;-7.618065;-8.214957;-8.180719
ZINC000008215731;-9.493178;-10.359181;-9.282265;-9.621263;-9.40113
ZINC000252461180;-6.3819947;-7.1581054;-6.8260016;-6.9941278;-6.8582106
ZINC000252461184;-6.6996565;-7.235491;-6.9513373;-6.7185855;-6.8633657
ZINC000012782330;-8.30316;-7.5898952;-7.1404614;-8.740421;-7.5635967
ZINC000031784642;-9.032982;-8.914783;-8.959278;-8.8419485;-8.834295
ZINC000008719693;-8.168044;-9.091752;-8.552513;-8.510164;-8.858111
ZINC000004560931;-8.072997;-8.035941;-8.314959;-8.408468;-8.333382
ZINC000060392199;-9.034008;-9.412162;-8.858198;-8.800886;-8.805985
ZINC000225577152;-5.9486585;-6.3772006;-5.8356957;-6.7021165;-6.2631984
ZINC000225832543;-7.328669;-7.7891164;-7.5018835;-7.5911813;-7.638162
ZINC000008917115;-8.581304;-8.049539;-7.953905;-8.263432;-8.28965
ZINC000032935378;-8.362597;-8.61398;-8.208578;-8.251709;-8.688244
ZINC000043148761;-8.050537;-8.668948;-8.800668;-7.9806023;-8.928749
ZINC000003440603;-6.675144;-6.753256;-6.4210525;-6.4849877;-6.8272853
ZINC000032912013;-9.214958;-8.885693;-8.684424;-8.720836;-8.662014
ZINC000032935513;-7.8103623;-7.477604;-7.802274;-8.231137;-7.731701
ZINC000045805648;-7.4893613;-7.74285;-8.148111;-8.514089;-7.8828425
ZINC000058306552;-8.285144;-8.372212;-8.09111;-8.7302;-7.85886
ZINC000058306554;-8.734893;-8.71666;-8.7927;-9.012405;-8.7529125
ZINC000007616227;-7.932609;-7.8474207;-7.9967737;-8.160489;-8.167429
ZINC000007728746;-9.302812;-9.807503;-8.989291;-9.673707;-9.263998
ZINC000089374932;-9.750744;-9.072216;-8.549273;-9.083518;-8.883016
ZINC000046954355;-8.022525;-7.4369497;-7.165261;-7.0197144;-6.7747173
ZINC000046954357;-8.118163;-7.6791887;-7.5326676;-7.534525;-7.2479935
ZINC000229712760;-8.436325;-7.6443405;-7.6618266;-7.140874;-7.054279
ZINC000005146327;-8.2959385;-8.398669;-8.198211;-8.806614;-8.600296
ZINC000005164943;-6.959058;-7.777459;-8.192762;-6.494455;-6.998324
ZINC000019419177;-8.3520975;-8.282138;-8.682691;-8.673861;-7.9243026
ZINC000048366895;-7.956958;-8.272779;-7.9270825;-7.859823;-8.270525
ZINC000053580462;-8.183112;-8.39996;-7.465803;-8.087782;-8.447016
ZINC000005670650;-7.421261;-7.2085037;-7.0598626;-7.294129;-7.510175
ZINC000253419211;-8.31114;-8.274664;-7.6168838;-8.137233;-7.70391
ZINC000055543418;-6.9608426;-7.00328;-6.3820286;-7.03371;-6.869029
ZINC000078904375;-7.6439333;-8.016788;-7.7477217;-7.71757;-7.4795976
ZINC000089735728;-7.2575397;-6.3674383;-6.322831;-6.490765;-6.5439043
ZINC000095349641;-8.519995;-9.303633;-8.4725;-8.899647;-8.90986
ZINC000095349643;-9.0151825;-8.999063;-8.525169;-8.872684;-8.871841
ZINC000095349644;-8.664712;-8.928734;-8.369466;-8.892999;-8.646293
ZINC000095349642;-9.086572;-8.849811;-8.42806;-8.867309;-8.754373
ZINC000020101028;-9.403664;-10.422699;-9.25794;-9.477872;-9.242701
ZINC000006517649;-8.255275;-7.8726206;-8.824692;-8.209165;-8.275767
ZINC000089969010;-7.4460073;-8.116138;-8.717832;-8.2179;-8.178797
ZINC000229766817;-7.6743417;-8.65467;-7.6421256;-7.982801;-8.258807
ZINC000030000039;-9.83224;-9.154011;-8.930157;-9.155083;-9.581896
ZINC000000938411;-9.553349;-9.737448;-9.174478;-9.438425;-8.815527
ZINC000000958920;-8.771964;-9.183706;-8.845104;-9.291927;-8.579014
ZINC000047917615;-7.814596;-7.2461357;-6.997428;-6.9402046;-7.425045
ZINC000012634076;-7.797635;-8.303184;-7.8129196;-8.187521;-8.020175
ZINC000012653206;-8.04992;-8.689768;-8.664366;-8.179589;-8.458193
ZINC000057838445;-7.8726377;-7.2697315;-7.6254015;-8.272054;-7.462335
ZINC000048263188;-7.5478687;-7.696442;-7.004296;-7.958282;-7.8508353
ZINC000012771176;-7.7853856;-8.170994;-8.118729;-8.295056;-8.170914
ZINC000328597683;-8.721319;-9.572196;-8.901037;-9.005932;-8.974421
ZINC000048285881;-8.222422;-8.211302;-7.682949;-8.862658;-8.7956085
ZINC000048285883;-8.291657;-8.210676;-7.6621265;-8.892611;-8.871842
ZINC000048310192;-7.6344204;-7.53445;-8.106945;-7.999004;-7.845641
ZINC000048311626;-8.596014;-8.743438;-8.732278;-8.611396;-8.020093
ZINC000048314115;-8.292488;-7.710709;-8.2919655;-8.511094;-8.836665
ZINC000095398040;-8.577662;-8.505332;-8.183678;-7.8907914;-8.2944975
ZINC000048340422;-8.735156;-9.6911545;-9.083168;-8.842479;-8.901598
ZINC000048343167;-8.635216;-9.396561;-9.027162;-9.142441;-9.200832
ZINC000048365023;-8.8140545;-8.841957;-8.659765;-8.927477;-8.418665
ZINC000095464928;-9.091608;-9.305784;-8.414016;-9.108126;-9.274096
ZINC000010331994;-8.571443;-8.611225;-8.173696;-8.668029;-8.902136
ZINC000012928836;-7.791281;-7.988803;-8.23349;-8.432266;-8.244683
ZINC000112559571;-7.3890595;-8.086694;-7.6574078;-7.5673437;-7.1617637
ZINC000112559573;-6.1902404;-6.8092904;-6.4559293;-6.5384064;-7.54172
ZINC000024710393;-7.979556;-7.3422327;-6.9245925;-7.658184;-7.766921
ZINC000071288798;-8.01237;-7.875867;-7.6550446;-8.40599;-8.217642
ZINC000008707095;-8.048587;-8.235694;-7.7859654;-8.122748;-8.140718
ZINC000008745143;-8.333433;-7.8935337;-8.083571;-7.9205856;-7.946936
ZINC000095982966;-8.857049;-8.86451;-8.572416;-8.874366;-8.870061
ZINC000078904379;-7.5259743;-7.7519436;-7.928874;-7.5766582;-7.4788327
ZINC000079001561;-7.609168;-7.6512294;-7.377332;-7.146409;-7.408314
ZINC000079074983;-8.893822;-9.37757;-8.414842;-8.654074;-8.61865
ZINC000000629244;-6.4633265;-6.5877304;-6.5589895;-6.495897;-6.556625
ZINC000026304624;-8.408369;-7.7770076;-7.8902273;-7.6572485;-8.401824
ZINC000000754606;-8.426301;-7.919485;-8.28743;-8.631284;-7.972987
ZINC000072274784;-8.5836;-7.798958;-7.6950665;-7.926751;-7.7085705
ZINC000026304620;-8.45001;-8.439946;-7.7656407;-8.119169;-8.854008
ZINC000053580461;-8.079764;-8.290235;-7.5517898;-8.285337;-8.553301
ZINC000004843912;-7.6795483;-8.172312;-8.231824;-7.533086;-7.638078
ZINC000023619431;-8.038115;-8.257223;-7.791519;-7.934636;-8.2822485
ZINC000023619428;-8.41358;-8.35575;-7.948453;-7.9135427;-8.249035
ZINC000023619426;-8.317486;-8.204819;-7.68404;-7.745792;-8.201541
ZINC000010329579;-7.374672;-7.25604;-7.048912;-7.492014;-7.233362
ZINC000015129213;-7.6995883;-8.240849;-8.572533;-7.904074;-8.518887
ZINC000015129212;-8.2746525;-8.061566;-7.9094152;-8.470368;-8.725386
ZINC000040089833;-9.247298;-9.374216;-8.4486475;-8.979488;-9.000049
ZINC000097165622;-8.844147;-8.585015;-7.9033356;-8.076614;-8.368693
ZINC000023994636;-8.328601;-8.614645;-8.1710005;-8.164986;-8.2793255
ZINC000040123029;-9.493751;-10.266263;-9.374595;-9.457206;-9.677437
ZINC000040153872;-8.414411;-7.845255;-8.347343;-8.710121;-8.388653
ZINC000002353230;-9.180673;-9.31085;-8.544916;-9.149085;-9.299791
ZINC000252460246;-8.537667;-7.7622128;-7.0598736;-7.5676923;-7.2908287
ZINC000016599251;-8.489118;-8.439456;-8.570606;-9.052744;-9.249763
ZINC000095982965;-8.70279;-8.930319;-8.714419;-8.896251;-8.864455
ZINC000016685387;-9.365106;-8.719083;-8.162278;-8.696431;-9.393226
ZINC000016685385;-9.025637;-9.273923;-8.57837;-8.808369;-9.18873
ZINC000002580955;-8.178536;-8.30394;-7.9994187;-8.082;-7.6679153
ZINC000078904373;-7.4413834;-7.854422;-7.7130113;-7.582151;-7.8033094
ZINC000079001566;-7.1547937;-8.073575;-7.4912353;-6.8793745;-7.211468
ZINC000017081718;-8.100483;-9.313431;-9.08747;-8.999782;-9.550554
ZINC000017081717;-7.8968515;-9.048974;-9.325925;-9.1833;-9.919035
ZINC000010331998;-8.624151;-8.465418;-8.236767;-8.764121;-8.818336
ZINC000010329584;-7.434243;-7.4848757;-7.078057;-7.582004;-7.2338047
ZINC000032072419;-7.431209;-7.0887938;-7.4394307;-7.757906;-8.041777
ZINC000095467603;-7.7471356;-8.765653;-7.8786497;-7.989928;-7.701315
ZINC000004998618;-7.8170977;-7.9955077;-8.20501;-7.9741926;-7.862788
ZINC000006391764;-8.480854;-8.697204;-8.414409;-7.9820647;-8.752334
ZINC000035622367;-6.6134744;-7.3329434;-7.1877465;-6.162289;-6.9840956
ZINC000035622369;-6.8034735;-7.2207823;-6.9473705;-6.131858;-6.7969847
ZINC000001764259;-7.71074;-8.52235;-7.990397;-8.199747;-8.3318405
ZINC000005150428;-8.53252;-8.923486;-9.284839;-9.040164;-9.122436
ZINC000005150425;-8.564864;-8.742473;-8.864642;-8.84554;-9.128366
ZINC000005146340;-8.416465;-8.604516;-8.567463;-9.0370865;-8.596737
ZINC000089984839;-9.325424;-8.72041;-8.752095;-8.977949;-9.523493
