name;01;02;03;04;05
ZINC000067676134;-8.410652;-8.493698;-7.56384;-8.265678;-7.983787
ZINC000014980564;-8.503725;-8.420762;-8.450078;-8.560051;-8.358198
ZINC000014980561;-7.7678857;-7.3203855;-7.5233264;-8.167257;-8.597068
ZINC000012984014;-7.547036;-7.291792;-7.5119677;-7.384721;-7.623478
ZINC000004362628;-8.291233;-7.7501054;-8.382797;-8.098928;-7.974622
ZINC000039552344;-7.1623917;-7.0046406;-6.936616;-7.137274;-7.062183
ZINC000004435023;-7.7201595;-8.210327;-8.174557;-7.610998;-8.363162
ZINC000015746512;-7.3435354;-6.969821;-7.5419416;-7.4749565;-7.4015427
ZINC000008963945;-7.6758823;-7.6321898;-8.03536;-7.7745485;-8.063623
ZINC000008963022;-7.5785656;-6.7103367;-7.0354786;-7.516885;-7.7654595
ZINC000008963997;-8.086756;-7.794263;-7.7615337;-8.078119;-8.155742
ZINC000008963971;-8.039839;-7.8873324;-7.9391003;-8.060478;-8.26344
ZINC000008964140;-8.419775;-7.69648;-8.270742;-7.7403274;-8.3615
ZINC000008963102;-8.20681;-7.9496384;-7.556204;-7.995687;-8.557671
ZINC000015953397;-6.590167;-6.789391;-6.29663;-6.417352;-6.4874887
ZINC000004819381;-7.475119;-7.8308992;-8.095225;-7.29451;-7.44332
ZINC000005098890;-8.26549;-6.6536813;-6.8909664;-7.5178704;-7.633744
ZINC000005098873;-7.8204584;-6.9492164;-6.515362;-7.5639906;-7.4384565
ZINC000005098898;-7.3834004;-6.9891696;-7.2569942;-7.694572;-7.571816
ZINC000005098891;-7.987469;-7.383625;-7.421179;-7.8944654;-7.7755113
ZINC000005098899;-7.948115;-6.9989104;-6.606253;-7.581279;-7.6107345
ZINC000005098872;-7.4516764;-7.2317;-7.165687;-7.8482323;-7.620185
ZINC000005098843;-7.3874435;-7.2008986;-7.4252663;-7.697691;-7.503098
ZINC000005098842;-8.01958;-7.0223026;-7.018635;-7.279921;-7.5907545
ZINC000005098870;-7.060009;-6.9674616;-7.0367517;-7.3071775;-7.4028883
ZINC000005098918;-7.869019;-7.1321535;-7.285023;-7.6276007;-7.308811
ZINC000005097750;-7.917174;-7.806881;-7.0820503;-7.685323;-7.878759
ZINC000005098862;-7.541451;-7.224886;-7.609113;-7.9313946;-7.384692
ZINC000005098833;-7.5873756;-7.425116;-7.554319;-7.880866;-7.6083455
ZINC000016873064;-6.380801;-6.9697146;-6.830376;-6.2364397;-6.793706
ZINC000018218196;-6.389243;-6.850319;-6.728874;-7.04725;-6.826865
ZINC000065256987;-8.521571;-7.9793406;-7.611831;-7.6360655;-7.9947844
ZINC000013008629;-7.688558;-7.924608;-7.4654007;-7.7373905;-8.012405
ZINC000013008633;-7.9840326;-8.164267;-7.706716;-7.9929366;-8.1752615
ZINC000013008611;-7.803338;-8.08085;-7.6166277;-7.8971863;-8.048713
ZINC000005555142;-7.461787;-6.807548;-6.5611396;-7.3184366;-7.4639807
ZINC000012079475;-8.788796;-9.393404;-8.3375225;-8.450186;-8.3243685
ZINC000067621563;-8.385919;-7.568677;-8.334476;-8.137367;-8.004167
ZINC000064131820;-7.8347907;-7.659378;-7.771865;-7.7133183;-7.5265827
ZINC000064131819;-7.6543546;-7.7011995;-8.12037;-7.8545017;-7.9880896
ZINC000012149640;-7.147749;-6.948471;-7.749844;-7.7849026;-7.4788127
ZINC000019837892;-7.0563154;-7.0062237;-7.4476686;-7.103896;-7.1145706
ZINC000072159284;-6.820463;-7.8436465;-7.919647;-7.6450334;-7.455842
ZINC000072167346;-8.681457;-8.407099;-8.4098015;-8.179372;-8.034707
ZINC000072167347;-8.72104;-8.458967;-8.346781;-8.358146;-8.248486
ZINC000019901748;-6.908268;-7.4251747;-7.5701494;-6.963036;-6.951379
ZINC000095370313;-8.645187;-7.8681054;-7.810566;-7.7695723;-8.294386
ZINC000095464578;-6.9768653;-7.3798776;-7.3523803;-7.273171;-7.15484
ZINC000097096743;-6.935729;-7.225151;-6.8561916;-6.852312;-7.4842243
ZINC000097096744;-7.424597;-7.6905026;-7.4819756;-6.910641;-7.333127
ZINC000237220138;-9.397553;-8.545597;-8.244321;-9.064229;-8.9857435
ZINC000237872276;-7.3807335;-8.269689;-7.2515697;-7.7621818;-7.489386
ZINC000237899559;-7.9079175;-8.71927;-7.5185027;-8.335622;-7.9337573
ZINC000008798777;-7.9400806;-7.138742;-6.706521;-7.624121;-8.013223
ZINC000008798776;-7.7211905;-8.002515;-7.6813593;-8.203027;-8.291455
