name;01;02;03;04;05
ZINC000408526582;-6.954077;-7.300151;-7.5305448;-7.505415;-7.3012753
ZINC000103795047;-7.722576;-7.097504;-6.8663435;-7.002116;-7.0160146
ZINC000096834147;-7.319912;-7.0674987;-6.9523587;-7.1331964;-7.4345617
ZINC000100260998;-7.7751856;-8.003908;-7.9953413;-8.389052;-7.970065
ZINC000057117930;-6.7735157;-6.9596353;-6.449203;-6.580182;-6.8619647
ZINC000004179642;-7.638329;-7.547563;-6.666189;-7.4681277;-7.408879
ZINC000408527243;-7.4855347;-8.485777;-8.231096;-7.807392;-8.132244
ZINC000408914549;-7.802129;-7.9173307;-7.7693024;-8.180699;-8.248299
ZINC000408998958;-7.675691;-7.9125457;-7.5892644;-7.9047613;-8.399891
ZINC000408528148;-6.628299;-6.921717;-7.2902164;-7.1074667;-6.5692053
ZINC000408526186;-6.7482033;-7.236457;-7.46022;-6.9336658;-6.737965
ZINC000408527574;-7.729696;-7.523905;-8.108116;-8.181461;-7.8428144
ZINC000408529861;-7.649311;-7.4609675;-7.91862;-7.794367;-7.7924614
ZINC000408528589;-8.237528;-7.968355;-8.273233;-8.096222;-8.038232
ZINC000408533847;-7.6621017;-7.665107;-8.375604;-8.522305;-7.875985
ZINC000211657460;-5.470052;-5.5619164;-5.4558945;-5.570816;-5.7199883
ZINC000211655204;-5.3211284;-5.591781;-5.325049;-5.3803635;-5.5825596
ZINC000408533891;-7.7669387;-7.739071;-8.088431;-8.121992;-7.6198945
ZINC000408535045;-7.2226605;-7.2491384;-7.5238857;-7.697061;-7.5419197
ZINC000408536054;-8.030918;-7.889683;-7.975637;-7.9158106;-8.161029
ZINC000408534450;-8.010122;-8.567448;-8.086613;-8.38729;-8.225506
ZINC000408536797;-7.333939;-7.3168373;-7.908373;-8.201474;-7.7595763
ZINC000222429765;-6.7613554;-6.534577;-6.5673943;-6.709799;-6.2730236
ZINC000004602359;-6.8917465;-6.6968884;-6.8688817;-7.072707;-6.9768724
ZINC000408550128;-6.9398303;-7.1353426;-7.2423406;-7.1326575;-6.9957476
ZINC000408549990;-7.6307783;-7.818557;-7.637132;-7.7396464;-7.3765073
ZINC000408550406;-6.9786305;-7.287461;-7.2766457;-7.2074084;-7.106478
ZINC000408551704;-7.541905;-7.2956114;-7.5510616;-7.3831005;-7.269644
ZINC000408591278;-7.154937;-6.6732693;-6.936257;-6.872379;-7.161769
ZINC000408591740;-8.078204;-7.745663;-7.627837;-7.971037;-7.576856
ZINC000408591124;-7.5777426;-6.873638;-6.6537323;-6.974128;-6.837162
ZINC000408594066;-7.8828487;-7.447498;-6.948952;-7.3142676;-7.33563
ZINC000009188880;-7.9944735;-7.505435;-7.4944696;-7.6654572;-7.8545866
ZINC000016195985;-8.694927;-8.857398;-8.258851;-9.020724;-8.668955
ZINC000002261598;-5.9461913;-6.4857306;-6.7756033;-6.89774;-6.6129394
ZINC000016922858;-7.755634;-7.172653;-7.3525543;-7.735517;-7.601598
ZINC000016922842;-7.8555603;-7.6546082;-7.4247966;-7.584894;-7.9731565
ZINC000016922829;-7.9656014;-7.759222;-8.043059;-7.9355507;-8.102379
ZINC000329007226;-7.2527685;-6.8856277;-7.2797985;-6.9924674;-7.4614453
