name;01;02;03;04;05
ZINC000827058602;-7.009227;-7.384225;-6.4728665;-6.699954;-7.29066
ZINC000827058538;-7.1832995;-7.2494726;-6.5810404;-6.5838065;-7.3203964
ZINC000535688284;-7.095757;-7.4688334;-7.4985757;-7.6283917;-7.5639887
ZINC000833758294;-7.9730434;-7.696502;-8.14953;-8.147287;-8.629797
ZINC000833758295;-8.131386;-7.743706;-8.214733;-8.162327;-8.603395
ZINC000536498152;-7.503464;-7.856861;-8.022811;-8.056186;-7.9707713
ZINC000536494110;-7.2746077;-7.6902223;-7.623847;-7.921742;-7.801623
ZINC000504680282;-6.8274307;-7.401998;-6.83642;-7.2312164;-7.0910196
ZINC000504657320;-7.1527815;-7.3653736;-6.8750772;-7.291383;-7.3061748
ZINC000536686513;-7.221412;-7.50899;-7.7364683;-7.995777;-7.664558
ZINC000536686514;-7.221288;-7.509156;-7.7348394;-7.9969625;-7.6666827
ZINC000537036035;-7.55057;-7.4253597;-7.478736;-7.631466;-7.7515182
ZINC000270895143;-6.821066;-7.159981;-6.792139;-7.0240836;-6.925429
ZINC000271228699;-7.2848597;-6.9746804;-6.996842;-7.1450806;-7.236004
ZINC000271247598;-7.044586;-7.108902;-6.646645;-7.328662;-7.0978913
ZINC000271255787;-7.5905437;-7.6589637;-7.763824;-8.175783;-7.8257866
ZINC000271255789;-7.5982165;-7.7936244;-7.8429856;-8.126253;-7.918227
ZINC000271260688;-7.50631;-7.2919073;-7.16297;-7.431182;-7.299556
ZINC000271260684;-7.396248;-7.051868;-6.9602327;-7.4429073;-7.358235
ZINC000271376877;-7.7998667;-7.689555;-7.516388;-7.7081013;-7.720399
ZINC000271376878;-7.7759304;-7.582687;-7.355196;-7.8125525;-7.641532
ZINC000825702102;-8.483423;-7.9447465;-8.529479;-8.681358;-9.181624
ZINC000798247166;-7.288703;-7.2740116;-7.5656524;-7.535346;-7.3533397
ZINC000826401255;-7.8054056;-7.7937703;-7.437217;-7.541803;-7.7802744
ZINC000826401255;-7.8116035;-7.802509;-7.4428806;-7.549513;-7.7896476
ZINC000826401254;-7.8054056;-7.7937703;-7.437217;-7.541803;-7.7802744
ZINC000826401254;-7.8116035;-7.802509;-7.4428806;-7.549513;-7.7896476
ZINC000814681493;-7.5969477;-7.543024;-6.94875;-7.662745;-7.4096007
ZINC000736105918;-7.1537037;-7.698734;-6.9442143;-7.2580266;-7.166993
ZINC000736105633;-8.230535;-7.6231117;-7.547257;-7.825391;-7.958522
ZINC000782097350;-7.2096477;-7.0662003;-7.3238125;-7.7277517;-7.4684134
ZINC000819877275;-8.440623;-8.043423;-8.103216;-8.032406;-8.188679
ZINC000819877274;-8.438824;-8.047873;-8.099869;-8.024662;-8.185359
ZINC000462105180;-6.952194;-6.4930496;-7.0051;-6.9303236;-6.996752
ZINC000737029995;-6.9506087;-6.580659;-7.2129455;-7.1644535;-6.9504867
ZINC000462104238;-7.0145893;-6.628076;-7.500643;-7.0449924;-7.183996
ZINC000833074754;-8.010153;-7.808876;-7.888797;-8.06257;-7.773449
ZINC000588316576;-6.6275196;-6.7546263;-6.7555704;-7.251707;-7.5343256
ZINC000588316577;-6.594779;-6.865878;-6.6812134;-7.2394123;-7.6109943
ZINC000163153527;-7.157019;-7.219819;-7.0408363;-7.4476757;-7.24011
ZINC000163148563;-7.582221;-7.480037;-7.0482106;-7.095574;-7.3385606
ZINC000765753770;-7.039176;-7.1210537;-6.716547;-6.8122573;-6.885581
ZINC000833367150;-7.5076065;-7.7055054;-7.266069;-7.815588;-7.9526553
ZINC000833366729;-7.1740623;-7.1015816;-6.9628916;-7.205926;-7.4984612
ZINC000823963037;-7.826133;-7.948418;-8.152236;-7.9935126;-8.440558
ZINC000738731767;-7.7546053;-8.033974;-7.886452;-7.125866;-7.8848705
ZINC000738731764;-7.7002497;-8.0219145;-7.873307;-7.0743675;-7.849623
ZINC000485269494;-7.415601;-7.671486;-7.6697264;-7.9426265;-7.5763445
ZINC000799042108;-7.764888;-7.652365;-7.525703;-7.549155;-7.6754103
ZINC000799042109;-7.9393597;-7.5561347;-7.2908726;-7.7501593;-7.6067386
ZINC000799047295;-7.4055047;-7.68699;-7.6889086;-7.8718395;-7.504076
ZINC000799047294;-7.2901955;-7.467112;-7.6930046;-7.8017807;-7.5617247
ZINC000273878799;-7.68859;-7.414208;-6.9995365;-7.5852613;-7.3519673
ZINC000273878796;-7.686402;-7.4144645;-7.0022783;-7.583893;-7.35424
ZINC000435144873;-7.2005734;-7.668894;-7.3136086;-7.631174;-7.7129126
ZINC000273919075;-7.395013;-7.6340017;-7.658993;-7.9346066;-7.523836
ZINC000273919080;-7.400891;-7.626547;-7.6524415;-7.9392014;-7.5257897
ZINC000833376598;-7.5704684;-7.7892523;-7.081375;-7.3519583;-7.644053
ZINC000791742273;-7.7002373;-7.599886;-7.0490513;-7.5600224;-7.285003
ZINC000791742276;-7.703351;-7.621181;-7.054755;-7.568911;-7.3008275
ZINC000791745400;-7.2113643;-7.61425;-7.4665885;-7.7266197;-7.4852886
