name;01;02;03;04;05
ZINC000223455036;-9.330486;-9.352314;-9.303715;-9.789668;-9.271148
ZINC000036128353;-9.229574;-8.989099;-8.598536;-8.9846115;-8.625091
ZINC000100446491;-7.7060013;-7.9185143;-7.522603;-7.8083544;-7.7648787
ZINC000100447597;-8.047428;-8.2024;-8.031694;-8.324701;-8.243374
ZINC000036128351;-9.002037;-9.343728;-8.778601;-9.233495;-8.615176
ZINC000223830400;-7.7536693;-8.030216;-8.137342;-8.475815;-8.345429
ZINC000224029659;-8.706162;-8.978607;-8.537508;-8.604017;-9.184118
ZINC000014246935;-7.076112;-6.9733806;-7.3536353;-7.8473644;-7.6780405
ZINC000224778163;-6.942726;-7.4641576;-7.4950285;-7.5981383;-7.4631777
ZINC000225081596;-7.541394;-7.192401;-7.8799458;-7.532508;-7.300285
ZINC000225362074;-9.178527;-9.202938;-8.926918;-9.118367;-9.261427
ZINC000409000270;-7.7411175;-7.3268056;-7.0120783;-7.789224;-7.7403936
ZINC000409002410;-7.928354;-7.811492;-7.6253524;-8.194023;-8.452309
ZINC000013091806;-8.049549;-8.018954;-8.073536;-8.122638;-8.489679
ZINC000408544476;-7.1407776;-7.1455464;-6.6989985;-7.6448126;-6.828828
ZINC000059579078;-8.355036;-8.080199;-8.371171;-8.042226;-8.306316
ZINC000071980434;-8.442267;-8.11939;-8.111132;-8.203013;-8.0617285
ZINC000071980433;-8.1114645;-8.364531;-8.468661;-8.277606;-7.639014
ZINC000006270374;-8.452691;-9.103917;-8.849545;-8.914077;-9.115347
ZINC000004821914;-7.628937;-7.6559296;-7.7166944;-7.6493444;-8.34025
ZINC000013381907;-9.401479;-8.613202;-8.671625;-8.742061;-9.250771
ZINC000007363457;-7.778196;-8.427838;-8.05166;-8.459676;-8.382934
ZINC000408623028;-7.608024;-8.176014;-7.968077;-8.145005;-8.23322
ZINC000044849450;-8.059794;-8.005194;-7.9978437;-8.61164;-8.353177
ZINC000041076614;-7.287624;-7.9436684;-7.764542;-7.9179993;-7.9488506
ZINC000041074097;-6.8777475;-8.111609;-7.0065527;-7.715476;-7.9644194
ZINC000033712218;-6.788055;-6.426347;-6.494608;-7.0557604;-7.07064
ZINC000408712730;-8.758191;-8.485874;-8.210954;-8.598688;-8.371899
ZINC000020142644;-8.623874;-8.34138;-7.813569;-8.255967;-8.066597
ZINC000020142786;-8.174151;-8.671171;-8.285858;-8.094325;-8.182144
ZINC000005378133;-7.839636;-7.793818;-7.6447897;-7.746189;-7.5613356
ZINC000409065726;-8.600519;-8.463462;-8.611746;-8.39175;-8.625802
ZINC000409094802;-8.049311;-8.464509;-8.140607;-8.316986;-8.394173
ZINC000409123433;-8.680614;-7.9852505;-7.497681;-8.300149;-8.617229
ZINC000409142146;-8.648774;-7.8937907;-8.157829;-8.618634;-8.337717
ZINC000409170331;-9.253468;-9.488741;-8.569985;-9.028826;-8.478424
ZINC000409171074;-8.893248;-9.438279;-8.41072;-9.273084;-8.73779
ZINC000059368845;-8.640987;-8.560693;-8.12356;-8.995535;-8.798237
ZINC000020140658;-8.022631;-7.695553;-7.759482;-7.8619747;-7.854853
ZINC000020142790;-8.410606;-7.753917;-7.8455577;-8.048042;-8.485635
ZINC000020142840;-9.039041;-8.440246;-8.715073;-8.42021;-8.999881
ZINC000020142726;-7.8895483;-8.104901;-8.11113;-8.119436;-7.9905853
ZINC000020142788;-8.7153225;-8.552085;-8.667454;-8.408501;-9.138455
ZINC000020142646;-8.617603;-8.565897;-7.8924255;-8.055789;-8.6558
ZINC000409232583;-8.51632;-8.868379;-8.509886;-9.145655;-8.575408
ZINC000001634305;-7.537312;-7.4821577;-7.2762203;-7.4066133;-7.40446
ZINC000001738101;-7.0613527;-7.6056395;-6.9595027;-7.0761814;-7.526323
ZINC000409310662;-8.747958;-8.788495;-8.7679615;-9.099827;-8.646391
