name;01;02;03;04;05
ZINC000284215917;-9.01089;-8.291514;-9.132674;-9.192702;-9.270639
ZINC000163514142;-9.648867;-9.86984;-9.959631;-9.624564;-8.947558
ZINC000163514238;-9.444327;-9.800974;-9.997018;-9.504941;-8.784795
ZINC000163519318;-8.712178;-9.377821;-9.958141;-9.379061;-8.954749
ZINC000163519206;-8.840213;-9.449353;-9.892274;-9.784389;-9.117488
ZINC000163519697;-9.149545;-9.546608;-9.995662;-9.945384;-9.074705
ZINC000163519799;-8.739996;-9.254362;-10.159972;-9.335427;-8.876751
ZINC000163532432;-9.832759;-9.856076;-9.755149;-10.029173;-9.41082
ZINC000163532541;-9.236076;-9.527352;-9.8618965;-9.378611;-9.637748
ZINC000134088827;-8.448609;-9.419726;-8.883761;-9.148012;-9.143477
ZINC000134097448;-9.346697;-9.41618;-9.021679;-9.338495;-9.831163
ZINC000134108760;-9.6943035;-10.289395;-9.814645;-9.9108095;-10.053136
ZINC000128691277;-9.667419;-9.755859;-9.365443;-9.488459;-9.335747
ZINC000128691057;-9.725013;-9.770598;-8.97373;-9.616782;-9.49008
ZINC000105439617;-9.361875;-9.900181;-9.269714;-9.042313;-9.148003
ZINC000105439328;-8.652037;-8.979139;-8.753328;-8.897815;-8.71474
ZINC000105439331;-8.554763;-8.969397;-8.798879;-8.775149;-8.76386
ZINC000105439612;-9.48213;-9.807953;-9.38805;-9.125649;-9.105384
ZINC000105466101;-8.753643;-8.9237795;-8.68778;-8.429902;-8.56909
ZINC000105466097;-9.168256;-8.876529;-8.575215;-9.096751;-8.7343445
ZINC000105476378;-8.695414;-8.695564;-8.658709;-8.044979;-8.650001
ZINC000105476464;-9.490207;-9.656658;-9.136226;-8.267292;-8.951187
ZINC000274677728;-9.023897;-9.378937;-9.138343;-9.636618;-9.109222
ZINC000274677724;-9.217002;-9.353595;-8.9480915;-9.624153;-9.747539
ZINC000274677716;-9.264249;-9.284109;-9.09477;-9.769807;-9.319423
ZINC000274677720;-9.252488;-9.297859;-9.260201;-9.955953;-9.451598
ZINC000067452128;-9.553999;-9.315836;-9.2968025;-9.0528145;-9.2774515
ZINC000067452126;-9.306155;-8.789508;-8.994347;-8.8097925;-9.02129
ZINC000067452417;-9.98943;-9.718483;-9.230674;-9.352456;-9.446826
ZINC000067452420;-9.94925;-9.630018;-9.596961;-9.439404;-9.735587
ZINC000178654496;-9.519427;-9.872888;-10.007254;-10.000735;-10.654142
ZINC000178654510;-9.767229;-9.603227;-10.228607;-10.144585;-10.661394
ZINC000157986160;-9.060608;-9.691177;-9.063577;-10.064164;-9.639416
ZINC000180963670;-7.790313;-8.176338;-8.6098385;-8.499241;-8.274777
ZINC000180977244;-9.064489;-9.675258;-9.0845995;-9.20166;-8.892796
ZINC000180977228;-9.062939;-9.669782;-9.073784;-9.198861;-8.889153
ZINC000155078964;-8.252131;-9.114349;-8.737717;-9.063105;-9.224891
ZINC000180996668;-9.257616;-9.481018;-9.291703;-9.20267;-9.3524
ZINC000180995965;-9.515094;-9.547112;-9.15744;-9.466858;-9.298453
ZINC000180995949;-9.455115;-9.64279;-9.197575;-9.473934;-9.320784
ZINC000180996686;-9.201122;-9.428389;-9.278059;-8.998423;-9.2389965
ZINC000106126640;-8.554651;-8.438956;-7.706323;-8.106583;-8.779936
ZINC000106126642;-8.685696;-8.293014;-7.959409;-8.047487;-8.719748
ZINC000290770066;-7.987423;-7.791115;-7.4788632;-7.873516;-8.307215
ZINC000290845139;-8.230031;-8.7559805;-7.8266397;-8.159792;-8.415552
ZINC000290845143;-8.237621;-7.922697;-7.809097;-7.69502;-7.97476
ZINC000290851512;-8.039233;-8.046932;-7.999296;-7.9242873;-7.978183
ZINC000290893652;-8.086367;-7.781894;-7.69492;-7.7222114;-7.9281797
ZINC000290976252;-8.684659;-8.29575;-7.8044953;-7.9940267;-8.566165
ZINC000290989559;-8.507211;-8.236506;-7.6780653;-8.181796;-8.670995
ZINC000185685627;-9.664642;-9.203687;-9.388397;-9.418977;-9.062286
ZINC000185685606;-9.16144;-9.418113;-9.0935135;-8.862049;-8.654995
ZINC000185685647;-9.82319;-9.538457;-9.629351;-9.590346;-9.061667
ZINC000185685667;-9.751039;-9.450095;-9.604757;-9.2264595;-9.341037
ZINC000185695214;-8.934664;-8.52794;-9.067159;-9.130409;-8.585445
ZINC000185695196;-8.725294;-8.062296;-8.62672;-8.633676;-8.577699
ZINC000185695182;-8.878911;-8.261268;-8.726164;-8.657208;-8.924511
ZINC000185695233;-8.671656;-8.359251;-9.16568;-8.685487;-8.708843
ZINC000185729088;-9.994891;-9.92148;-9.702467;-9.522766;-9.166301
ZINC000185729072;-9.443543;-10.116344;-9.301348;-8.865658;-8.5285845
ZINC000185729111;-9.902334;-9.831056;-9.462494;-9.040157;-9.260181
ZINC000185729053;-9.130738;-9.661855;-9.144384;-9.113871;-8.614472
ZINC000093132957;-9.282957;-8.706439;-9.003038;-8.900438;-9.470345
ZINC000093132956;-9.776885;-8.666161;-8.808469;-8.902491;-9.570234
ZINC000185753498;-9.355566;-9.531452;-9.41985;-9.239188;-9.0022335
ZINC000185753462;-8.712916;-9.328733;-8.950901;-8.832986;-8.369386
