name;01;02;03;04;05
ZINC000013892957;-7.0031066;-7.2252626;-7.084256;-7.158825;-7.5973496
ZINC000003659503;-6.56208;-6.7272654;-7.1311197;-6.898897;-7.1987586
ZINC000055243012;-7.3962955;-7.554614;-7.554954;-7.9875593;-7.797019
ZINC000055243002;-7.7240252;-8.12183;-7.7460604;-8.275885;-8.063923
ZINC000004132174;-6.622705;-5.7349167;-6.691236;-6.6050296;-6.2542753
ZINC000077319051;-7.263942;-7.570249;-7.714568;-7.369584;-7.730266
ZINC000015012674;-6.5399227;-6.954668;-6.697164;-6.7895417;-6.986762
ZINC000004458312;-7.1867347;-7.2743487;-7.3514357;-7.2449026;-7.6725693
ZINC000015134428;-9.111489;-9.857657;-8.849414;-9.211796;-8.69955
ZINC000004514350;-6.903108;-7.183078;-7.146946;-6.783068;-7.51851
ZINC000004513214;-6.804343;-6.7667007;-6.5552917;-6.825716;-6.8211646
ZINC000008739703;-6.945018;-7.397265;-7.024707;-7.0321827;-6.570292
ZINC000008743238;-8.355044;-8.058772;-7.9673095;-8.148017;-7.978926
ZINC000015680541;-6.892584;-7.2073274;-7.107587;-7.113064;-7.2846336
ZINC000008767308;-7.391445;-7.6963496;-7.6004715;-6.993512;-7.7353363
ZINC000001434503;-8.247503;-8.352478;-8.017565;-7.9681315;-8.478313
ZINC000071763967;-6.811882;-7.2324743;-7.2335134;-7.376825;-7.4535127
ZINC000008845691;-7.0604205;-7.3523006;-7.1923723;-7.449241;-7.253743
ZINC000015800083;-7.358977;-7.5968738;-7.10141;-7.524017;-7.901456
ZINC000015800093;-7.328415;-7.6094685;-7.492746;-7.967027;-8.21165
ZINC000004691440;-6.5959053;-7.125889;-7.3774753;-7.371603;-7.121609
ZINC000004690162;-6.699303;-7.195727;-7.0443163;-6.9876604;-7.2742014
ZINC000008971349;-7.8655205;-8.282413;-8.034361;-8.458511;-8.229965
ZINC000004724064;-6.4919624;-7.3599796;-7.595178;-7.7223697;-6.9320364
ZINC000004739022;-7.089587;-7.596048;-7.0562806;-7.441095;-7.9630547
ZINC000004739005;-7.718605;-8.044709;-8.013421;-7.9404116;-7.9991946
ZINC000004743324;-7.2307987;-7.155241;-7.3489594;-6.9495797;-6.9982815
ZINC000072139231;-7.741589;-7.4488096;-7.221491;-7.1808186;-7.360126
ZINC000016671016;-6.6984763;-6.926204;-6.5707564;-7.0889335;-7.054429
ZINC000009260788;-7.030057;-7.1532917;-6.903948;-6.7062836;-6.770214
ZINC000013687295;-7.0107365;-7.315057;-6.894191;-6.714611;-7.0069623
ZINC000004823291;-6.861109;-7.1389046;-6.980448;-7.0139427;-7.2030225
ZINC000004834455;-6.328462;-6.331022;-6.1679163;-6.6096416;-6.154464
ZINC000004834491;-7.0949035;-7.08739;-6.9447026;-7.3010993;-7.0211935
ZINC000013773723;-6.587513;-6.505141;-6.6558805;-6.906988;-6.746999
ZINC000005024720;-7.2543173;-7.9700313;-7.848044;-8.236516;-8.367335
ZINC000033337337;-6.5201163;-7.2336893;-6.806856;-6.972675;-6.979396
ZINC000055243008;-7.2569194;-7.903563;-7.731721;-8.033477;-7.75335
