name;01;02;03;04;05
ZINC000157391121;-7.4130087;-7.5634294;-6.5605807;-7.092917;-7.1733446
ZINC000157390962;-7.8807936;-7.6759524;-7.030247;-7.0768576;-6.9927154
ZINC000174101539;-8.021794;-8.361266;-7.9448614;-7.3733582;-8.692499
ZINC000284237132;-7.4584937;-7.429013;-7.7779655;-7.4005923;-7.8788166
ZINC000273702326;-8.470538;-7.8138433;-7.7080173;-7.8314257;-8.175957
ZINC000163501285;-8.452241;-7.7561803;-8.702517;-8.409983;-7.605344
ZINC000163501198;-8.716504;-7.7480106;-8.732711;-8.677084;-7.738813
ZINC000284277148;-8.043313;-7.504712;-7.9215755;-7.952122;-7.718999
ZINC000163519913;-8.356544;-7.984933;-8.671778;-8.710002;-7.921217
ZINC000163520018;-8.202935;-8.001985;-8.943956;-8.365454;-8.078553
ZINC000263642422;-7.5276923;-7.1059146;-7.019988;-7.1881714;-7.2480807
ZINC000263647606;-9.515239;-8.228647;-8.542938;-8.737872;-8.384831
ZINC000263661745;-8.74004;-7.9372044;-8.678234;-8.194067;-8.033849
ZINC000263676334;-8.934387;-8.653764;-8.452042;-7.850505;-8.243033
ZINC000163598263;-6.866756;-6.715906;-6.85029;-6.468319;-6.9856606
ZINC000163598391;-7.358875;-7.4952903;-6.8520393;-6.88846;-7.1549573
ZINC000363892977;-7.709088;-7.803966;-7.4447784;-7.954635;-7.085652
ZINC000184968889;-8.872587;-7.7548184;-8.560689;-8.192799;-8.597351
ZINC000184968868;-8.91704;-7.8520637;-8.545839;-8.277753;-8.66716
ZINC000184993505;-8.877779;-8.507731;-8.054682;-8.55755;-8.379301
ZINC000184993522;-8.702466;-8.451931;-7.9993033;-8.478562;-8.330486
ZINC000185042296;-9.976187;-8.17955;-8.621955;-8.592995;-8.876611
ZINC000185042316;-9.815645;-8.012505;-8.528469;-8.53441;-8.904574
ZINC000185047306;-8.470821;-7.529414;-8.289738;-7.5731807;-8.205609
ZINC000185047326;-8.631135;-8.576896;-8.172748;-7.8456264;-8.496716
ZINC000185047048;-8.069923;-8.208752;-9.013293;-8.176332;-8.523532
ZINC000185047032;-7.9643545;-8.076492;-8.922623;-8.057403;-8.505621
ZINC000364467854;-8.504389;-7.821455;-8.060281;-7.576103;-7.8664007
ZINC000364467851;-9.1087055;-7.755701;-8.739944;-8.817737;-8.873411
ZINC000364467852;-8.824719;-7.6567;-8.248605;-8.348791;-8.286381
ZINC000364467853;-8.582249;-8.481897;-8.713689;-8.527916;-8.267133
ZINC000090038691;-8.540887;-8.210778;-8.426501;-8.377052;-8.001561
ZINC000090038807;-8.374352;-7.642413;-8.109611;-8.394296;-8.044115
ZINC000090038806;-8.3591;-7.7386875;-8.084278;-8.366355;-8.014842
ZINC000090038690;-9.2328005;-8.286986;-8.30691;-8.577401;-8.402761
ZINC000105467123;-7.965534;-7.4279385;-8.002932;-7.8233395;-8.139123
ZINC000155655372;-8.302365;-7.938512;-7.5910482;-7.917462;-8.033752
ZINC000105467121;-7.6341743;-7.375049;-8.057382;-7.5783806;-8.043624
ZINC000155655488;-7.567156;-7.693581;-7.390852;-7.632;-8.148405
ZINC000155655605;-7.754704;-7.1346545;-7.326235;-7.1234612;-7.3098235
ZINC000155655251;-7.7178783;-7.3840485;-7.278115;-7.670942;-7.8095574
ZINC000178423227;-8.380421;-7.8040295;-7.9636436;-8.553772;-8.217139
ZINC000185165989;-8.347851;-8.139899;-8.796263;-8.082252;-7.8665056
ZINC000185166008;-8.527592;-8.031772;-8.088269;-7.918209;-7.847785
ZINC000164111983;-7.9663944;-7.8811407;-7.019396;-7.728913;-7.776996
ZINC000185322294;-9.152549;-8.352313;-8.6051035;-9.583224;-9.413388
ZINC000185322050;-8.631431;-8.750041;-8.459387;-9.558092;-9.268124
ZINC000185322034;-8.728347;-8.687142;-8.6829;-9.439151;-9.136921
ZINC000185322276;-9.101127;-8.314922;-8.825969;-9.525472;-9.421764
ZINC000185400650;-9.152955;-8.776041;-9.4249325;-9.054511;-9.823284
ZINC000185400794;-8.778362;-9.056595;-9.030977;-8.988459;-9.779077
ZINC000185400811;-8.409461;-8.8367405;-8.824266;-8.974203;-9.830962
ZINC000185400673;-8.985075;-9.023577;-9.462169;-8.944039;-9.87258
ZINC000370341565;-8.284293;-7.925788;-8.212175;-8.423963;-8.052347
ZINC000174408728;-8.425775;-8.478913;-8.300802;-8.42369;-7.9206944
ZINC000180975681;-8.47686;-8.446102;-8.201345;-8.356758;-8.069625
ZINC000180975699;-8.553687;-8.539094;-8.422092;-8.494787;-8.126671
ZINC000184976807;-5.9384856;-7.103623;-7.6236806;-7.281041;-7.4332237
ZINC000184976788;-7.2383175;-7.0217166;-8.062402;-7.7151937;-7.7778664
ZINC000184976841;-6.457649;-7.082883;-7.3723817;-7.5505223;-7.5703425
ZINC000184976824;-7.273753;-7.3263593;-8.186139;-7.873845;-7.716455
ZINC000185014789;-7.758885;-7.94637;-7.7047806;-8.00348;-7.6486015
ZINC000185014297;-7.950372;-7.993621;-8.049588;-8.001614;-7.9394155
ZINC000185014316;-7.986058;-8.141689;-8.150519;-8.066027;-8.041271
ZINC000185014809;-7.887355;-8.047071;-7.781659;-8.044843;-7.703585
ZINC000185344781;-8.076945;-7.333921;-8.187312;-8.362733;-8.164499
ZINC000185344764;-8.038265;-7.3957996;-8.182597;-8.291253;-8.147072
ZINC000185344799;-8.249578;-7.152668;-8.302608;-8.470953;-8.358344
ZINC000185344817;-8.253044;-7.4989305;-8.265789;-8.416245;-8.1238785
ZINC000185345671;-7.9159527;-7.3497047;-7.9489493;-8.303885;-7.772561
ZINC000185345649;-7.926044;-7.420288;-7.9261603;-8.258895;-7.8248005
ZINC000185345687;-8.120508;-7.1022673;-8.051625;-8.387057;-7.9590206
ZINC000185345709;-8.196451;-7.4372964;-7.903254;-8.34362;-7.749642
ZINC000185491340;-8.732634;-8.2832365;-7.9040117;-8.505417;-8.690072
ZINC000185491359;-8.756554;-8.028986;-8.16308;-8.225538;-8.457221
ZINC000185491324;-8.714395;-8.152929;-8.007738;-8.262633;-8.585851
ZINC000185491378;-8.828152;-8.124515;-7.947588;-8.471998;-8.558569
ZINC000106483654;-7.6754684;-7.9496555;-8.350104;-8.020238;-8.302883
ZINC000106483650;-8.164356;-7.976134;-8.422944;-8.088799;-8.226903
ZINC000093336852;-7.772927;-8.366125;-7.9893017;-7.6710887;-8.16141
ZINC000093336851;-7.7941303;-8.470922;-7.589247;-7.7741213;-7.9956074
ZINC000186197527;-8.217939;-7.6765704;-7.8749514;-7.516096;-7.7763906
ZINC000186197547;-8.505803;-7.7010007;-7.9455276;-7.604253;-7.9611263
ZINC000186426969;-8.412352;-7.598057;-7.5761404;-8.005901;-8.115009
ZINC000186426954;-8.37575;-7.4360886;-7.2839537;-8.163122;-8.1615505
ZINC000186426937;-8.506974;-8.03614;-7.931836;-8.6545515;-8.77239
ZINC000186426986;-8.490476;-8.340451;-7.977106;-8.49368;-8.779382
ZINC000093734884;-8.763083;-8.562852;-7.6833553;-7.6024246;-8.434189
ZINC000093769432;-7.296652;-7.2284346;-7.6154823;-7.503565;-7.1429534
ZINC000373459116;-8.307488;-8.31534;-8.347016;-8.612856;-8.457166
ZINC000373459113;-8.663656;-7.7283583;-8.441121;-8.889789;-9.032126
