name;01;02;03;04;05
ZINC000027532025;-6.7820015;-6.6062493;-6.4551253;-6.6279216;-6.8368697
ZINC000096119261;-7.83743;-7.2687035;-7.930979;-7.4901495;-7.6666703
ZINC000096893036;-6.95216;-7.1456623;-7.233052;-7.1302433;-7.28732
ZINC000013602035;-6.561578;-6.9239492;-6.8369007;-6.8966665;-7.0727243
ZINC000104709351;-7.488899;-7.7585855;-7.827015;-7.6624365;-7.459515
ZINC000036612940;-7.526923;-7.06693;-6.9779415;-7.068426;-7.3674603
ZINC000036612939;-6.835996;-7.16294;-6.710976;-7.0599446;-7.2229595
ZINC000018127037;-7.074541;-6.796444;-6.8541374;-6.793679;-6.8091993
ZINC000007777941;-8.269871;-7.67925;-6.8313894;-7.5447216;-7.605382
ZINC000007777941;-8.243443;-7.705935;-6.8309097;-7.5447397;-7.6781645
ZINC000007777942;-8.243494;-7.706172;-6.8306837;-7.5445466;-7.6779575
ZINC000007777942;-8.243443;-7.705935;-6.8309097;-7.5447397;-7.6781645
ZINC000225872236;-6.450159;-7.3750014;-7.100087;-7.142374;-7.5819817
ZINC000225872213;-6.3458796;-7.4123216;-7.07677;-7.2248077;-7.700761
ZINC000225872194;-6.502365;-7.28379;-7.0756645;-7.2769084;-7.4941974
ZINC000008616310;-6.536931;-7.204282;-7.4638925;-7.4038286;-7.589965
ZINC000008616315;-7.903232;-7.416537;-7.0224724;-7.8697805;-7.6596184
ZINC000408546872;-8.207958;-8.594172;-8.301354;-8.0133915;-8.559611
ZINC000096112282;-6.5899105;-7.254033;-7.016257;-7.116542;-7.2452946
ZINC000016195084;-7.34212;-7.1051674;-7.134947;-7.407591;-7.7805667
ZINC000017078262;-8.1321125;-8.137297;-7.7203717;-7.72001;-8.3788185
ZINC000409377489;-7.0977993;-7.3517337;-7.088991;-7.014888;-7.1030474
ZINC000408880606;-6.9605618;-6.8468866;-7.133682;-6.8928976;-7.472865
ZINC000012188202;-7.4374514;-7.1874094;-7.047394;-7.4035673;-7.7174773
ZINC000408866659;-7.132412;-7.625189;-7.1206617;-7.1583557;-7.3375072
ZINC000408740354;-6.6016493;-6.950131;-6.863162;-6.659047;-6.8215237
ZINC000408740870;-6.6098056;-7.172697;-6.687243;-6.796443;-6.958109
ZINC000408740353;-6.6016493;-6.950131;-6.863162;-6.659047;-6.8215237
ZINC000408740871;-6.6098056;-7.172697;-6.687243;-6.796443;-6.958109
ZINC000408744438;-6.5053196;-6.7676344;-6.7385545;-6.536663;-6.6915984
ZINC000408743340;-7.0946856;-7.137554;-7.0955067;-6.832406;-6.8120527
ZINC000408743337;-7.0946856;-7.137554;-7.0955067;-6.832406;-6.8120527
ZINC000408741858;-6.4901137;-6.9259424;-6.429062;-6.5609365;-6.5879245
ZINC000408744436;-6.5053196;-6.7676344;-6.7385545;-6.536663;-6.6915984
ZINC000408741856;-6.4901137;-6.9259424;-6.429062;-6.5609365;-6.5879245
ZINC000408749314;-8.72924;-8.640012;-8.614126;-8.889729;-9.010127
ZINC000408752306;-7.0304294;-7.204441;-7.032253;-6.522204;-6.890086
ZINC000408752304;-7.0304294;-7.204441;-7.032253;-6.522204;-6.890086
ZINC000219795125;-8.206255;-7.718658;-7.5465336;-7.538538;-7.764749
ZINC000408820494;-6.561947;-7.753671;-7.294868;-7.5620112;-6.9218683
ZINC000011710367;-7.6537957;-7.6542244;-7.223589;-7.551565;-7.9499626
ZINC000011710367;-7.5367184;-7.2329783;-6.646922;-7.1045666;-7.214863
ZINC000012344685;-6.848761;-7.308071;-6.4601846;-7.0910425;-7.6004477
ZINC000409202772;-7.4277997;-7.586951;-7.541766;-7.491867;-7.274242
ZINC000004526095;-7.78686;-6.871246;-7.2938566;-7.6368914;-7.262782
ZINC000409037276;-5.251325;-4.963435;-4.759894;-4.5829926;-4.984973
ZINC000409071391;-8.719148;-8.706518;-8.282684;-8.744031;-8.771482
ZINC000012121913;-7.092521;-7.272067;-7.482803;-7.4187365;-6.4113407
ZINC000006605963;-6.8112507;-7.064921;-6.2079453;-6.237835;-6.635039
ZINC000006605963;-6.790347;-7.0678864;-6.2258263;-6.224289;-6.6436667
ZINC000006605969;-6.790162;-7.0677843;-6.2257633;-6.2243404;-6.6437025
ZINC000006605969;-6.790347;-7.0678864;-6.2258263;-6.224289;-6.6436667
ZINC000100966040;-6.437839;-6.832209;-6.667239;-6.3988986;-6.763147
ZINC000019016171;-8.806369;-7.98833;-7.8768587;-8.213384;-8.507658
ZINC000019016171;-8.68734;-8.562904;-8.222057;-7.980899;-8.28721
ZINC000409172876;-8.667252;-8.136815;-8.193865;-8.162233;-8.305965
ZINC000409358179;-6.547618;-7.507719;-7.4322114;-6.7754498;-7.4256735
ZINC000409099331;-6.5326767;-5.372523;-5.714521;-6.194977;-5.8837113
ZINC000006222396;-7.8152223;-7.733957;-7.5410075;-7.697363;-7.7055583
ZINC000408741189;-6.8470736;-7.4935374;-7.103701;-7.253633;-7.0386763
ZINC000408741195;-6.8470736;-7.4935374;-7.103701;-7.253633;-7.0386763
ZINC000005804304;-7.2942905;-7.989276;-7.723626;-7.3689313;-7.5098543
ZINC000012293011;-6.9898195;-7.362789;-6.4144416;-7.012095;-7.5653367
ZINC000012344315;-7.2304063;-7.019334;-6.264971;-6.4692597;-7.138051
ZINC000018044784;-6.560629;-6.47031;-6.5982294;-6.55209;-6.4679246
ZINC000007757076;-6.962386;-7.010978;-6.753816;-6.988522;-7.19506
ZINC000012188196;-7.25678;-7.3533826;-7.009554;-7.4091463;-7.647257
ZINC000028295172;-7.1165533;-6.7487245;-6.8671994;-6.214642;-6.3152146
ZINC000028295170;-6.9685783;-6.510748;-6.829895;-6.211387;-6.05659
ZINC000019240326;-7.4373293;-7.4367237;-7.607109;-7.348346;-7.4166822
ZINC000001657196;-6.8404036;-7.0525546;-7.057012;-6.9096775;-7.418226
ZINC000409037103;-7.7817473;-7.2268744;-7.743388;-7.640444;-7.063707
