name;01;02;03;04;05
ZINC000111631958;-7.5229564;-7.8252826;-7.209352;-8.167164;-7.6584835
ZINC000544880976;-6.711685;-6.4093485;-6.75022;-6.6925573;-7.301709
ZINC000771904745;-7.199275;-7.5764523;-7.196496;-7.449624;-7.330501
ZINC000827058567;-6.9979734;-7.2886863;-6.4935145;-7.3073306;-6.910311
ZINC000827058568;-7.487258;-7.490945;-6.799021;-7.4920645;-7.3269095
ZINC000827058737;-7.219741;-7.608315;-6.7138033;-6.8663845;-7.535907
ZINC000827058818;-7.5263505;-8.078582;-7.617702;-7.9151754;-8.070881
ZINC000771906285;-7.493684;-7.763939;-7.3541718;-7.675893;-7.705418
ZINC000826462312;-7.7819633;-7.686637;-7.3989553;-7.5122495;-7.875522
ZINC000603979851;-7.7412086;-7.9446077;-8.302997;-8.337745;-8.053735
ZINC000603986151;-7.392495;-7.4825735;-7.850134;-7.715861;-7.5755954
ZINC000153984500;-8.007524;-8.279371;-8.128996;-7.8053436;-7.88453
ZINC000153984393;-7.6932054;-8.016677;-7.91362;-8.0818815;-7.8497224
ZINC000153970788;-7.6411843;-7.678154;-7.6227636;-7.932284;-7.780449
ZINC000822935911;-8.608892;-8.686233;-8.3731785;-8.598019;-8.365195
ZINC000833407114;-8.042423;-8.015998;-7.2022867;-7.037267;-7.8448496
ZINC000833407113;-7.9234104;-7.9564543;-7.249246;-7.1771865;-7.8697042
ZINC000521144431;-7.9510193;-7.831466;-7.3099647;-7.666702;-7.750963
ZINC000826385795;-8.855963;-8.880745;-8.526444;-8.110264;-8.760174
ZINC000826400180;-8.346777;-8.054152;-7.6811414;-7.8307695;-7.7024918
ZINC000738500870;-6.264004;-6.6424723;-6.416165;-6.434901;-6.6421833
ZINC000739098369;-6.3502254;-6.8014293;-6.099803;-6.196953;-6.567502
ZINC000739092607;-6.205468;-6.842339;-6.0684876;-5.968502;-6.4430604
ZINC000826387308;-8.650337;-8.884029;-9.17211;-8.983894;-8.663527
ZINC000431182465;-7.4391866;-7.71194;-7.288689;-7.6903906;-7.5522995
ZINC000155534077;-7.526433;-8.160688;-7.870818;-8.048176;-8.191508
ZINC000739139963;-8.2533;-8.727629;-8.03599;-8.364054;-8.151553
ZINC000823387309;-7.947261;-8.514647;-7.449368;-8.053446;-7.673046
