name;01;02;03;04;05
ZINC000045946102;-7.1225476;-7.6116714;-7.358534;-7.4273734;-7.1752467
ZINC000045946733;-7.870979;-8.383481;-8.070234;-7.8250103;-7.947687
ZINC000045946698;-7.8533607;-8.110303;-8.387636;-8.024702;-7.8323307
ZINC000170664802;-8.973884;-8.734698;-8.852156;-8.929702;-8.739908
ZINC000170664803;-9.005883;-8.692801;-8.862206;-8.9122;-8.747158
ZINC000096753073;-7.3000793;-7.2927537;-6.9337716;-7.4663463;-6.9676337
ZINC000055648997;-6.7814646;-7.319086;-7.1855197;-6.950055;-6.915626
ZINC000055586245;-8.014303;-7.53462;-8.228627;-7.937907;-7.950557
ZINC000057122136;-7.089003;-7.540873;-7.0756197;-7.056875;-7.3084893
ZINC000257355504;-6.0631614;-7.0988436;-6.7103305;-6.7823663;-7.123559
ZINC000257355502;-7.3359604;-7.083629;-7.108284;-7.0312595;-7.4011965
ZINC000096753081;-7.2262626;-7.399421;-7.251377;-7.536998;-7.724482
ZINC000038528779;-7.7268844;-7.643152;-8.017835;-7.4343786;-7.8913097
ZINC000038528777;-7.6355505;-7.545937;-7.4958963;-7.330285;-7.5530877
ZINC000058368556;-6.738959;-7.353798;-6.538575;-6.9182158;-6.9861803
ZINC000058378191;-7.3061666;-7.20147;-7.504672;-7.6592946;-7.664083
ZINC000004557334;-6.1047645;-6.2686963;-6.090321;-6.5083566;-6.543104
ZINC000004660793;-6.5755453;-6.9470477;-6.9939804;-6.927601;-7.1034126
ZINC000040050407;-7.343905;-7.5101805;-7.2292786;-7.779503;-7.574839
ZINC000072172540;-8.745409;-8.530283;-8.483345;-8.875243;-9.060286
ZINC000064843946;-7.050364;-6.2827935;-6.7181764;-7.589454;-7.3506584
ZINC000032586620;-6.777555;-6.892105;-7.459736;-7.401369;-7.2377725
ZINC000037225807;-7.5108137;-8.163158;-7.46825;-7.4277005;-7.5694394
ZINC000253424392;-7.5054717;-8.115548;-7.7406726;-7.9845796;-7.8749895
