name;01;02;03;04;05
ZINC000079059096;-7.7304697;-9.217641;-8.660274;-8.526835;-8.348491
ZINC000079059103;-8.558415;-8.934913;-8.541943;-8.661645;-7.8771014
ZINC000057315545;-8.097792;-8.694298;-7.937123;-8.741386;-8.454803
ZINC000057731310;-7.3782415;-7.668111;-7.151697;-7.4328055;-8.024132
ZINC000057731310;-7.2018495;-7.644988;-7.153857;-7.3973436;-8.065803
ZINC000241588095;-8.511639;-8.351919;-7.918541;-8.616262;-8.423395
ZINC000008594876;-8.084568;-9.365168;-8.565211;-8.675503;-8.325326
ZINC000008609594;-7.9191785;-9.123734;-8.338673;-8.741945;-8.445101
ZINC000040086053;-9.805704;-10.369335;-9.582995;-9.522122;-9.845267
ZINC000040106640;-9.759696;-9.480995;-9.403249;-9.060593;-9.204808
ZINC000040106639;-9.653725;-9.607187;-9.2133255;-9.005544;-9.299505
ZINC000013322785;-7.4780946;-8.564089;-8.487805;-8.663665;-8.219482
ZINC000040154247;-8.158332;-8.212315;-8.625468;-8.46356;-8.183829
ZINC000040154248;-8.034637;-8.232594;-8.651187;-8.726536;-8.100111
ZINC000003181143;-9.019029;-9.324135;-9.2260475;-9.491039;-9.57421
ZINC000008092484;-8.018005;-8.155909;-7.4568076;-7.814663;-7.6102333
ZINC000008092484;-8.064143;-8.178739;-7.533491;-7.7880464;-7.5538306
ZINC000004712141;-8.438151;-8.571066;-8.379531;-8.2773;-8.397719
ZINC000013039978;-7.202993;-7.4627624;-7.2966685;-7.3508215;-7.318515
ZINC000096835532;-9.021938;-9.365139;-9.358002;-8.840291;-9.191331
ZINC000009608907;-8.350318;-8.816336;-8.819249;-8.428639;-8.465501
ZINC000009608907;-8.297139;-8.7670145;-8.782253;-8.396728;-8.474818
ZINC000032930258;-9.724482;-9.821885;-9.156982;-9.145215;-9.62312
ZINC000005027958;-7.6790447;-7.969599;-7.528109;-8.003419;-7.982138
ZINC000089893784;-8.006544;-7.7130103;-8.402797;-7.368738;-8.11438
ZINC000057471002;-7.598645;-8.600564;-8.566052;-8.3673115;-8.556413
ZINC000019287760;-7.1268344;-7.6558123;-7.649149;-7.716489;-6.9795756
ZINC000008320642;-8.07759;-8.026869;-7.9696817;-7.8263435;-7.20212
ZINC000008320642;-8.63923;-8.868863;-8.091354;-8.53089;-8.160313
ZINC000008320640;-7.574743;-7.569327;-7.471574;-7.14322;-7.124763
ZINC000008320640;-7.5682964;-8.207006;-8.113123;-8.249168;-7.822846
ZINC000005204041;-7.5998044;-7.7473636;-7.8899665;-7.8669853;-7.571363
ZINC000005388599;-8.5841875;-8.315168;-7.712552;-7.820177;-7.966566
ZINC000015101611;-7.629197;-8.259581;-7.4979777;-7.543561;-7.8029375
ZINC000015101611;-7.8293786;-8.067837;-7.5863123;-7.7154136;-7.8539467
ZINC000058160381;-8.86416;-9.081442;-8.529989;-8.806047;-8.874572
ZINC000058160149;-8.53904;-8.854964;-8.339594;-8.719974;-8.555666
ZINC000058160172;-8.264155;-8.959192;-8.685189;-8.838358;-8.558806
ZINC000057315543;-8.162508;-8.799509;-8.383198;-9.272634;-8.376381
ZINC000066325916;-7.9214244;-7.7981553;-7.5763755;-7.7401433;-8.090243
ZINC000019831912;-8.273928;-8.590347;-8.236132;-8.528772;-8.604376
ZINC000015838343;-8.573863;-8.690894;-8.86756;-8.3038845;-8.420172
ZINC000015838343;-8.747479;-8.941305;-8.7251835;-8.483868;-8.401263
ZINC000015838345;-7.299942;-6.996192;-7.5769095;-7.364704;-7.1101375
ZINC000015838345;-7.639098;-7.6648483;-7.550435;-7.5231767;-7.220205
ZINC000095080980;-7.6237164;-8.073207;-7.6207356;-7.8197293;-8.351218
ZINC000095080975;-7.841763;-7.785779;-7.4355097;-7.7458277;-8.240507
ZINC000020893137;-8.592827;-9.025319;-9.03748;-9.017751;-8.730366
ZINC000089834936;-8.75364;-9.044853;-8.688945;-8.529579;-8.401878
ZINC000089834935;-8.7154045;-8.9725685;-8.805185;-8.699201;-8.703558
ZINC000225565286;-8.096693;-7.345068;-7.4968557;-7.6464834;-8.092809
ZINC000016587328;-7.0778637;-7.560183;-7.228842;-7.3004537;-7.355058
ZINC000016587328;-6.94167;-7.5387626;-7.1880856;-7.202602;-7.4202347
ZINC000022312066;-7.430256;-7.812696;-7.554949;-7.539859;-7.9207816
ZINC000022312066;-7.7755637;-8.054373;-7.3020134;-7.280702;-7.853263
ZINC000012527634;-7.3081284;-7.190467;-7.317364;-7.362486;-7.399529
ZINC000012555600;-8.270209;-8.32019;-8.385611;-7.9643517;-7.8040595
ZINC000047676523;-9.601118;-8.690379;-8.386284;-8.666518;-8.726777
ZINC000006865313;-8.538108;-8.800797;-8.056432;-8.574648;-8.747285
ZINC000047996058;-9.068607;-9.644445;-8.625303;-8.470689;-8.687888
ZINC000047996056;-8.861893;-9.554491;-8.620228;-8.952749;-8.603472
ZINC000019799597;-8.439604;-9.009178;-8.954645;-8.67565;-8.416741
ZINC000072308762;-9.028442;-9.142852;-8.294474;-8.980012;-9.076739
ZINC000072308761;-8.967352;-9.157204;-7.9020777;-8.44179;-9.512417
ZINC000048252745;-7.8558693;-7.9343;-8.286753;-8.336575;-8.3626375
ZINC000048252742;-7.9018984;-8.160029;-8.249302;-8.174574;-8.302795
ZINC000048310355;-8.912093;-9.4966345;-9.369445;-8.667749;-8.344564
ZINC000007267334;-8.63045;-8.445318;-8.601867;-8.680979;-8.263655
ZINC000007267334;-8.413362;-8.588158;-8.297938;-8.517647;-8.4350605
ZINC000048332112;-7.9301043;-8.513626;-9.228391;-8.970105;-8.562871
ZINC000048343189;-8.76049;-9.326686;-8.47518;-8.8421335;-9.138697
ZINC000048343189;-9.274134;-9.194225;-9.106015;-8.700614;-9.09492
ZINC000048343187;-9.073577;-9.37379;-8.841062;-8.5621;-9.121973
ZINC000048343187;-9.276056;-9.236443;-8.948405;-9.058772;-9.290148
ZINC000095458053;-7.6652904;-7.617954;-6.9989653;-7.233612;-6.903539
ZINC000007788131;-9.160908;-9.181487;-8.486975;-8.870194;-8.667348
ZINC000096012953;-9.237694;-9.394859;-8.741924;-8.926365;-8.752752
ZINC000012879059;-8.29245;-8.206357;-8.49679;-8.13025;-8.01815
ZINC000012879059;-7.8486557;-8.077116;-8.367637;-8.110465;-7.920695
ZINC000012879066;-7.968218;-8.178467;-8.578982;-8.104561;-8.04494
ZINC000012879066;-8.4150505;-7.9219046;-8.086704;-8.187481;-7.7299395
ZINC000015880168;-9.22353;-9.338033;-9.214419;-8.998666;-9.179717
ZINC000015880168;-9.2235;-9.338023;-9.214322;-8.998738;-9.1795225
ZINC000023732766;-8.086166;-7.599517;-7.5650315;-7.7942605;-8.0957985
ZINC000013725845;-8.948942;-9.083958;-9.316594;-9.557807;-9.198197
ZINC000008746216;-9.1318;-9.228252;-8.813471;-8.826024;-9.521081
ZINC000008746217;-9.075442;-9.222811;-8.661046;-8.911401;-9.078762
ZINC000012915604;-9.858158;-9.180308;-8.737076;-8.992856;-8.680987
ZINC000019782466;-8.385687;-8.654415;-8.30962;-8.544125;-8.48395
ZINC000071821602;-8.99571;-9.166545;-9.393004;-8.744442;-9.570753
ZINC000004832486;-8.608573;-8.804696;-7.99735;-8.133162;-8.564959
ZINC000004832745;-8.892153;-9.0691395;-8.282612;-8.592697;-8.463899
ZINC000025809207;-7.4698963;-7.9959292;-6.8565207;-6.900198;-7.3420725
ZINC000025809207;-7.593629;-7.870918;-7.010866;-7.307599;-7.367532
ZINC000026154911;-7.117941;-7.136894;-7.107338;-7.4255915;-6.9048
ZINC000026712670;-8.3382435;-8.645579;-8.328769;-8.447756;-8.697162
ZINC000026712670;-8.3382435;-8.645579;-8.328769;-8.447756;-8.697162
ZINC000036396712;-7.6440105;-7.5031176;-6.9628606;-7.7324324;-7.935852
ZINC000010139833;-9.2951145;-9.768585;-9.920624;-9.786653;-9.639854
ZINC000023732763;-8.045287;-7.833514;-7.8014116;-7.7668;-8.035799
ZINC000015101610;-7.8080416;-8.122847;-7.6396446;-7.6917005;-7.491785
ZINC000015101610;-7.589773;-8.234248;-7.83557;-7.845677;-8.018776
ZINC000023990791;-8.264273;-9.8317995;-8.847544;-8.953648;-8.232604
ZINC000023990781;-7.743387;-8.458581;-7.4725842;-7.806869;-8.038781
ZINC000023990781;-7.743387;-8.458581;-7.4725842;-7.806869;-8.038781
ZINC000011172726;-7.926691;-8.3197975;-8.186274;-8.303451;-8.199626
ZINC000015838341;-7.7952776;-7.7421355;-8.0607605;-7.708843;-7.480505
ZINC000015838341;-8.143804;-7.946207;-7.962721;-7.992914;-7.598876
ZINC000004858373;-8.78506;-8.708058;-8.437561;-8.711515;-8.698
ZINC000015906449;-9.200713;-9.4990635;-8.876356;-9.256413;-9.903604
ZINC000003342218;-7.9383893;-8.31994;-8.29013;-8.195306;-8.080036
ZINC000003342221;-8.184976;-8.343149;-8.318661;-8.158032;-8.153957
ZINC000016587327;-6.9918957;-7.551808;-7.257723;-7.4214907;-7.268067
ZINC000016587327;-6.8716784;-7.357395;-7.081668;-7.327666;-7.467869
ZINC000020893138;-8.535244;-9.034607;-9.155717;-9.073971;-8.763307
ZINC000020893140;-9.954877;-10.192821;-10.185323;-9.7267685;-9.871717
ZINC000096012952;-9.041884;-9.396977;-8.790114;-8.417009;-8.361398
ZINC000004982161;-7.579798;-7.837286;-8.031131;-8.088071;-7.8802633
ZINC000026712666;-8.395838;-8.633159;-8.290098;-8.368419;-8.71007
ZINC000026712666;-8.238134;-8.533718;-7.955686;-8.469393;-8.593235
ZINC000006472028;-8.178487;-9.029991;-8.743507;-8.705448;-8.247587
ZINC000016564647;-8.365849;-8.486794;-8.434158;-8.502364;-8.605446
ZINC000029874868;-8.296614;-8.623111;-9.0900135;-8.927939;-8.908063
ZINC000079046097;-8.273233;-9.110312;-8.095425;-8.918143;-8.115639
ZINC000079046102;-8.330401;-8.949992;-8.223212;-8.840331;-7.8930573
ZINC000252675679;-8.957235;-8.833052;-8.742994;-8.550733;-7.7981305
ZINC000252675680;-8.523419;-8.946731;-8.655942;-8.485632;-8.147053
ZINC000006638047;-7.5262213;-7.97227;-7.8486347;-7.8507133;-7.6143055
ZINC000006638047;-7.6702323;-7.914068;-7.5984397;-7.9345503;-7.476093
ZINC000004326531;-8.656713;-9.141869;-8.45006;-9.073673;-8.73835
ZINC000005388612;-8.406444;-8.233049;-7.6237183;-7.5732203;-7.838432
ZINC000005032639;-9.117216;-7.8480153;-7.9222603;-7.878833;-8.060425
ZINC000095455180;-8.3107195;-8.5396595;-8.003005;-8.626156;-8.128706
ZINC000014703394;-7.1040893;-7.107799;-7.087951;-7.1460567;-7.0956254
ZINC000009190339;-8.913792;-8.89906;-8.572273;-8.377548;-8.796355
ZINC000006852278;-7.212789;-8.037859;-7.2836328;-7.7577286;-7.466055
ZINC000006852278;-7.548406;-8.275269;-7.7757974;-7.957939;-7.7973747
ZINC000006857626;-8.420603;-9.107885;-8.392485;-8.341461;-8.923421
ZINC000006857626;-8.454271;-9.06311;-8.446937;-8.351825;-8.905315
ZINC000006857672;-8.45201;-9.056287;-8.446423;-8.350788;-8.909716
ZINC000006857672;-8.42137;-9.098001;-8.391887;-8.341461;-8.925395
ZINC000006865311;-8.523062;-8.815566;-8.0623865;-8.580301;-8.77359
ZINC000040107101;-8.755774;-8.964964;-8.974522;-9.263874;-9.303001
ZINC000040107102;-8.509337;-9.112486;-9.14975;-9.251053;-9.010261
ZINC000004846204;-8.791644;-8.642404;-8.178312;-8.660905;-8.681832
ZINC000036393635;-9.077894;-9.718255;-9.096608;-9.281161;-9.6195135
ZINC000034675655;-7.995693;-8.537905;-8.3288145;-8.165152;-8.272306
ZINC000036396570;-8.610565;-8.923668;-9.182321;-9.295993;-8.933819
ZINC000036396569;-8.577824;-8.940054;-8.882136;-9.042261;-9.005374
ZINC000040154246;-8.118543;-8.557126;-8.329241;-8.805847;-8.224226
ZINC000040154245;-8.263085;-8.341969;-8.569506;-8.394095;-8.279987
ZINC000040152981;-7.9969206;-7.915692;-8.104328;-7.9641743;-8.040078
ZINC000040152982;-8.632158;-8.548053;-8.738431;-8.455899;-8.272453
ZINC000008980950;-8.63689;-8.907787;-8.753657;-8.7125435;-8.970791
ZINC000009669083;-8.440312;-7.9484315;-7.9030156;-8.068895;-8.269243
ZINC000006941914;-8.643751;-8.563156;-7.984588;-8.459764;-8.084122
ZINC000006941914;-8.565497;-8.474879;-8.050425;-8.405455;-8.152995
ZINC000032674840;-8.467881;-8.774684;-9.080063;-8.947531;-8.949226
ZINC000032674839;-8.531812;-8.970622;-9.103867;-8.887815;-9.088607
ZINC000011183086;-9.891233;-10.34497;-9.990287;-9.564128;-10.591064
ZINC000052507970;-8.357069;-8.655323;-7.8357863;-8.3489;-8.440424
ZINC000052507967;-8.237442;-8.314937;-8.254385;-8.23975;-8.897261
ZINC000013691266;-8.386305;-8.09031;-7.7763767;-8.082547;-8.376793
ZINC000036393636;-8.887234;-8.816667;-9.008447;-8.026025;-9.011209
ZINC000012486862;-9.215393;-9.338469;-8.789724;-9.021624;-8.963965
ZINC000012486862;-9.212642;-9.338252;-8.791732;-9.021701;-8.958198
ZINC000007267333;-8.428858;-8.604813;-8.076056;-8.428884;-8.54985
ZINC000007267333;-8.452579;-8.554367;-8.703971;-8.534694;-8.422503
ZINC000239412384;-7.7834597;-7.540017;-7.8009634;-7.8785877;-8.335303
ZINC000239412383;-8.518808;-8.024652;-7.5384707;-7.679459;-8.050188
ZINC000239412385;-8.944157;-7.856078;-8.448236;-8.610651;-8.463772
ZINC000004706903;-8.850526;-8.104694;-7.962343;-8.775258;-8.473733
ZINC000004712142;-8.363145;-8.339892;-8.359007;-8.602636;-8.550441
ZINC000012555601;-8.010057;-8.2425375;-8.338667;-7.9956946;-7.714023
ZINC000170609572;-8.089816;-8.724082;-8.402787;-8.738132;-8.386916
ZINC000170609571;-8.285319;-8.948016;-8.717149;-8.8354225;-8.520863
ZINC000240551414;-8.833939;-9.093504;-8.692303;-8.670723;-9.327824
ZINC000004556329;-8.923055;-8.677719;-8.989813;-9.039316;-9.611572
ZINC000004556332;-8.506382;-8.458344;-8.187298;-8.31926;-8.734766
ZINC000004556331;-8.385701;-8.133152;-8.1470995;-8.269394;-8.779712
ZINC000004556330;-9.082255;-8.7290945;-8.999546;-9.006117;-9.665094
ZINC000012600454;-8.315975;-8.746046;-8.468216;-9.279645;-8.401565
ZINC000015300270;-7.301059;-7.614287;-6.722375;-6.5013256;-7.029556
ZINC000015300270;-7.360552;-7.3521786;-6.7303386;-6.8502007;-7.2238007
ZINC000058147815;-8.330198;-8.454394;-8.710416;-8.521201;-9.034291
ZINC000058147815;-8.13656;-8.554968;-8.787796;-8.995458;-8.702544
ZINC000058147822;-8.451973;-8.396081;-8.695565;-8.586789;-8.894719
ZINC000058147822;-8.201191;-8.565324;-8.794945;-8.501077;-8.78158
ZINC000089761682;-7.9936357;-8.624123;-8.447617;-8.454811;-8.5414505
ZINC000058440409;-8.2070675;-7.894878;-7.08571;-7.7945895;-7.392806
ZINC000058440407;-8.634831;-7.391534;-7.5092278;-7.7002373;-7.19395
ZINC000263585794;-9.760034;-9.349481;-9.829761;-9.092335;-9.682258
